date,temperature
2023-06-10,7.9
2023-06-11,19.9
2023-06-12,18.3
2023-06-13,4.7
2023-06-14,25.0
2023-06-15,24.5
2023-06-16,29.5
2023-06-17,30.0
2023-06-18,6.3
2023-06-19,22.7
2023-06-20,-0.3
2023-06-21,16.8
2023-06-22,6.4
2023-06-23,9.0
2023-06-24,8.0
2023-06-25,-1.3
2023-06-26,7.1
2023-06-27,22.3
2023-06-28,-3.2
2023-06-29,26.3
2023-06-30,9.6
2023-07-01,21.0
2023-07-02,1.2
2023-07-03,26.8
2023-07-04,26.4
2023-07-05,-2.9
2023-07-06,-3.3
2023-07-07,-0.3
2023-07-08,10.8
2023-07-09,29.6
2023-07-10,13.5
2023-07-11,13.5
2023-07-12,23.7
2023-07-13,-3.8
2023-07-14,22.7
2023-07-15,25.4
2023-07-16,24.5
2023-07-17,16.1
2023-07-18,6.0
2023-07-19,23.9
2023-07-20,1.6
2023-07-21,-4.8
2023-07-22,-3.7
2023-07-23,19.6
2023-07-24,19.7
2023-07-25,8.4
2023-07-26,6.0
2023-07-27,20.4
2023-07-28,5.3
2023-07-29,28.9
2023-07-30,19.1
2023-07-31,3.1
2023-08-01,12.3
2023-08-02,20.1
2023-08-03,20.1
2023-08-04,8.9
2023-08-05,25.2
2023-08-06,24.7
2023-08-07,-4.3
2023-08-08,-3.9
2023-08-09,1.0
2023-08-10,-4.8
2023-08-11,10.3
2023-08-12,20.1
2023-08-13,0.3
2023-08-14,21.5
2023-08-15,-3.3
2023-08-16,18.0
2023-08-17,1.0
2023-08-18,-1.3
2023-08-19,4.5
2023-08-20,16.5
2023-08-21,8.6
2023-08-22,17.6
2023-08-23,20.0
2023-08-24,29.2
2023-08-25,13.0
2023-08-26,7.1
2023-08-27,7.0
2023-08-28,-3.0
2023-08-29,12.8
2023-08-30,26.2
2023-08-31,6.4
2023-09-01,3.1
2023-09-02,25.4
2023-09-03,0.6
2023-09-04,22.6
2023-09-05,19.7
2023-09-06,6.1
2023-09-07,17.4
2023-09-08,9.3
2023-09-09,21.8
2023-09-10,7.3
2023-09-11,28.3
2023-09-12,5.6
2023-09-13,26.3
2023-09-14,-1.2
2023-09-15,5.1
2023-09-16,1.4
2023-09-17,23.8
2023-09-18,13.4
2023-09-19,2.8
2023-09-20,13.9
2023-09-21,23.8
2023-09-22,18.7
2023-09-23,19.2
2023-09-24,27.4
2023-09-25,8.4
2023-09-26,-4.8
2023-09-27,18.1
2023-09-28,0.8
2023-09-29,17.2
2023-09-30,25.8
2023-10-01,23.7
2023-10-02,-2.5
2023-10-03,19.1
2023-10-04,4.6
2023-10-05,25.4
2023-10-06,-3.0
2023-10-07,1.6
2023-10-08,8.0
2023-10-09,8.8
2023-10-10,0.8
2023-10-11,-2.4
2023-10-12,12.1
2023-10-13,18.8
2023-10-14,16.2
2023-10-15,5.6
2023-10-16,-3.3
2023-10-17,16.3
2023-10-18,0.7
2023-10-19,16.3
2023-10-20,21.7
2023-10-21,3.5
2023-10-22,17.4
2023-10-23,13.1
2023-10-24,0.7
2023-10-25,2.4
2023-10-26,13.0
2023-10-27,20.8
2023-10-28,17.3
2023-10-29,24.3
2023-10-30,17.3
2023-10-31,2.1
2023-11-01,17.0
2023-11-02,-4.8
2023-11-03,-2.7
2023-11-04,24.5
2023-11-05,-0.4
2023-11-06,17.0
2023-11-07,7.7
2023-11-08,1.7
2023-11-09,12.3
2023-11-10,28.4
2023-11-11,-4.8
2023-11-12,3.4
2023-11-13,-0.9
2023-11-14,13.2
2023-11-15,29.2
2023-11-16,28.2
2023-11-17,12.5
2023-11-18,27.4
2023-11-19,25.7
2023-11-20,21.3
2023-11-21,13.9
2023-11-22,11.4
2023-11-23,4.2
2023-11-24,21.6
2023-11-25,26.9
2023-11-26,22.7
2023-11-27,-3.4
2023-11-28,22.4
2023-11-29,12.2
2023-11-30,22.7
2023-12-01,16.0
2023-12-02,-0.6
2023-12-03,5.6
2023-12-04,-3.1
2023-12-05,26.2
2023-12-06,-3.3
2023-12-07,-2.4
2023-12-08,9.4
2023-12-09,3.0
2023-12-10,3.2
2023-12-11,9.5
2023-12-12,11.0
2023-12-13,29.2
2023-12-14,0.7
2023-12-15,30.0
2023-12-16,2.3
2023-12-17,15.3
2023-12-18,19.1
2023-12-19,1.7
2023-12-20,26.1
2023-12-21,10.6
2023-12-22,-0.4
2023-12-23,11.0
2023-12-24,26.2
2023-12-25,19.6
2023-12-26,7.4
2023-12-27,-2.7
2023-12-28,-3.2
2023-12-29,12.2
2023-12-30,23.0
2023-12-31,18.2
2024-01-01,22.1
2024-01-02,9.4
2024-01-03,-0.7
2024-01-04,2.0
2024-01-05,14.1
2024-01-06,4.9
2024-01-07,20.0
2024-01-08,-3.9
2024-01-09,21.0
2024-01-10,20.0
2024-01-11,15.4
2024-01-12,20.3
2024-01-13,16.8
2024-01-14,19.9
2024-01-15,10.8
2024-01-16,-4.1
2024-01-17,24.7
