date,temperature
2023-06-10,1.0
2023-06-11,17.7
2023-06-12,-2.1
2023-06-13,11.4
2023-06-14,1.2
2023-06-15,-8.7
2023-06-16,-1.0
2023-06-17,10.6
2023-06-18,-6.3
2023-06-19,-8.1
2023-06-20,-6.2
2023-06-21,-8.3
2023-06-22,6.3
2023-06-23,24.4
2023-06-24,9.3
2023-06-25,-2.1
2023-06-26,8.9
2023-06-27,15.5
2023-06-28,26.4
2023-06-29,9.4
2023-06-30,14.8
2023-07-01,7.8
2023-07-02,11.7
2023-07-03,4.4
2023-07-04,12.3
2023-07-05,19.0
2023-07-06,4.1
2023-07-07,4.9
2023-07-08,-3.4
2023-07-09,-3.0
2023-07-10,5.9
2023-07-11,12.0
2023-07-12,-2.5
2023-07-13,-4.2
2023-07-14,9.7
2023-07-15,27.1
2023-07-16,-0.5
2023-07-17,19.4
2023-07-18,-1.0
2023-07-19,5.4
2023-07-20,-0.1
2023-07-21,19.1
2023-07-22,28.0
2023-07-23,11.8
2023-07-24,5.3
2023-07-25,2.9
2023-07-26,3.6
2023-07-27,-9.0
2023-07-28,9.9
2023-07-29,15.3
2023-07-30,4.2
2023-07-31,15.3
2023-08-01,27.3
2023-08-02,14.7
2023-08-03,23.7
2023-08-04,27.0
2023-08-05,14.9
2023-08-06,0.6
2023-08-07,26.7
2023-08-08,6.7
2023-08-09,0.4
2023-08-10,22.0
2023-08-11,-3.8
2023-08-12,10.7
2023-08-13,7.8
2023-08-14,-4.8
2023-08-15,-5.4
2023-08-16,23.1
2023-08-17,9.0
2023-08-18,-1.2
2023-08-19,13.5
2023-08-20,5.0
2023-08-21,6.1
2023-08-22,23.7
2023-08-23,19.5
2023-08-24,-6.6
2023-08-25,17.1
2023-08-26,-1.3
2023-08-27,4.7
2023-08-28,-5.4
2023-08-29,-7.0
2023-08-30,8.9
2023-08-31,28.2
2023-09-01,7.1
2023-09-02,14.9
2023-09-03,23.8
2023-09-04,8.0
2023-09-05,29.0
2023-09-06,-5.7
2023-09-07,25.8
2023-09-08,-2.6
2023-09-09,4.2
2023-09-10,-9.1
2023-09-11,-7.3
2023-09-12,17.7
2023-09-13,-2.0
2023-09-14,5.1
2023-09-15,8.8
2023-09-16,21.7
2023-09-17,23.9
2023-09-18,-5.8
2023-09-19,-8.4
2023-09-20,-8.7
2023-09-21,-7.3
2023-09-22,18.3
2023-09-23,-7.2
2023-09-24,-9.7
2023-09-25,11.8
2023-09-26,-9.7
2023-09-27,10.5
2023-09-28,25.7
2023-09-29,12.8
2023-09-30,-0.5
2023-10-01,4.6
2023-10-02,-2.9
2023-10-03,21.0
2023-10-04,-8.3
2023-10-05,27.6
2023-10-06,18.8
2023-10-07,1.5
2023-10-08,-2.7
2023-10-09,11.9
2023-10-10,7.9
2023-10-11,-3.5
2023-10-12,4.3
2023-10-13,-3.6
2023-10-14,2.9
2023-10-15,-7.4
2023-10-16,1.2
2023-10-17,29.3
2023-10-18,-1.7
2023-10-19,-2.2
2023-10-20,-9.9
2023-10-21,-7.6
2023-10-22,-1.8
2023-10-23,8.1
2023-10-24,5.7
2023-10-25,19.0
2023-10-26,27.8
2023-10-27,-6.8
2023-10-28,-2.1
2023-10-29,9.4
2023-10-30,-2.7
2023-10-31,22.6
2023-11-01,29.3
2023-11-02,8.7
2023-11-03,-6.9
2023-11-04,2.2
2023-11-05,25.4
2023-11-06,27.0
2023-11-07,-0.0
2023-11-08,26.2
2023-11-09,-2.4
2023-11-10,-9.6
2023-11-11,8.0
2023-11-12,-8.6
2023-11-13,1.2
2023-11-14,29.7
2023-11-15,22.3
2023-11-16,15.2
2023-11-17,9.1
2023-11-18,20.8
2023-11-19,1.6
2023-11-20,22.6
2023-11-21,3.7
2023-11-22,29.3
2023-11-23,24.9
2023-11-24,-7.0
2023-11-25,25.7
2023-11-26,19.9
2023-11-27,1.2
2023-11-28,17.1
2023-11-29,6.6
2023-11-30,23.1
2023-12-01,8.4
2023-12-02,-7.4
2023-12-03,5.4
2023-12-04,4.1
2023-12-05,10.3
2023-12-06,29.8
2023-12-07,25.8
2023-12-08,22.5
2023-12-09,25.2
2023-12-10,0.9
2023-12-11,-8.0
2023-12-12,20.2
2023-12-13,-8.5
2023-12-14,3.8
2023-12-15,3.8
2023-12-16,1.7
2023-12-17,19.1
2023-12-18,22.9
2023-12-19,3.1
2023-12-20,25.5
2023-12-21,17.8
2023-12-22,10.4
2023-12-23,0.2
2023-12-24,28.2
2023-12-25,4.4
2023-12-26,-1.9
2023-12-27,-6.1
2023-12-28,4.2
2023-12-29,4.4
2023-12-30,3.2
2023-12-31,7.0
2024-01-01,9.4
2024-01-02,2.2
2024-01-03,-7.9
2024-01-04,4.9
2024-01-05,12.5
2024-01-06,17.9
2024-01-07,0.2
2024-01-08,23.0
2024-01-09,13.6
2024-01-10,-8.0
2024-01-11,26.8
2024-01-12,-4.9
2024-01-13,21.5
2024-01-14,1.8
2024-01-15,28.9
2024-01-16,8.0
2024-01-17,17.1
2024-01-18,29.4
2024-01-19,15.2
2024-01-20,3.6
2024-01-21,10.7
2024-01-22,15.3
2024-01-23,-3.1
2024-01-24,26.7
2024-01-25,28.6
2024-01-26,18.2
2024-01-27,4.9
2024-01-28,28.2
2024-01-29,24.9
2024-01-30,18.8
2024-01-31,-5.7
2024-02-01,17.7
2024-02-02,17.8
2024-02-03,29.5
2024-02-04,22.6
2024-02-05,0.2
2024-02-06,10.4
2024-02-07,2.7
2024-02-08,29.2
2024-02-09,6.3
2024-02-10,4.7
2024-02-11,21.8
2024-02-12,5.9
2024-02-13,14.0
2024-02-14,-6.0
2024-02-15,16.5
2024-02-16,25.8
2024-02-17,-4.0
2024-02-18,-8.5
2024-02-19,0.4
2024-02-20,15.5
2024-02-21,4.1
2024-02-22,29.2
2024-02-23,9.1
2024-02-24,1.5
2024-02-25,7.3
2024-02-26,7.6
2024-02-27,-1.3
2024-02-28,-2.0
2024-02-29,28.8
2024-03-01,13.8
2024-03-02,1.0
2024-03-03,1.6
2024-03-04,-9.9
2024-03-05,-1.8
2024-03-06,-7.7
2024-03-07,1.7
2024-03-08,0.3
2024-03-09,25.0
2024-03-10,15.4
2024-03-11,22.7
2024-03-12,2.5
2024-03-13,12.0
2024-03-14,15.9
2024-03-15,-4.9
2024-03-16,28.3
2024-03-17,3.5
2024-03-18,-8.7
2024-03-19,-5.9
2024-03-20,5.9
2024-03-21,1.3
2024-03-22,3.0
2024-03-23,2.4
2024-03-24,22.6
2024-03-25,28.6
2024-03-26,17.2
2024-03-27,4.0
2024-03-28,1.4
2024-03-29,3.9
2024-03-30,28.9
2024-03-31,11.2
2024-04-01,18.0
2024-04-02,26.4
2024-04-03,-4.8
2024-04-04,5.5
2024-04-05,16.3
2024-04-06,-1.8
2024-04-07,13.1
2024-04-08,-0.9
2024-04-09,11.0
2024-04-10,23.6
2024-04-11,-5.3
2024-04-12,10.0
2024-04-13,28.0
2024-04-14,24.3
2024-04-15,12.8
2024-04-16,-2.3
2024-04-17,21.8
2024-04-18,21.5
2024-04-19,11.5
2024-04-20,11.2
2024-04-21,-6.6
2024-04-22,9.1
2024-04-23,-9.0
2024-04-24,9.2
2024-04-25,1.2
2024-04-26,13.8
2024-04-27,25.0
2024-04-28,11.9
2024-04-29,19.2
2024-04-30,8.6
2024-05-01,-7.5
2024-05-02,16.9
2024-05-03,10.3
2024-05-04,2.4
2024-05-05,-5.9
2024-05-06,28.0
2024-05-07,22.6
2024-05-08,11.3
2024-05-09,-5.3
2024-05-10,28.2
2024-05-11,-6.6
2024-05-12,16.0
2024-05-13,-9.7
2024-05-14,-9.3
2024-05-15,-3.0
2024-05-16,12.7
2024-05-17,10.5
2024-05-18,16.0
2024-05-19,1.4
2024-05-20,13.8
2024-05-21,25.6
2024-05-22,12.1
2024-05-23,11.9
2024-05-24,4.6
2024-05-25,-5.2
2024-05-26,-8.1
2024-05-27,8.8
2024-05-28,12.2
2024-05-29,1.9
2024-05-30,0.6
2024-05-31,22.9
2024-06-01,26.5
2024-06-02,28.9
2024-06-03,17.3
2024-06-04,22.1
2024-06-05,4.8
2024-06-06,17.4
2024-06-07,12.9
2024-06-08,-0.5
2024-06-09,-4.5
2024-06-10,17.4
2024-06-11,13.7
2024-06-12,8.8
2024-06-13,-3.5
2024-06-14,3.3
2024-06-15,24.4
2024-06-16,0.4
2024-06-17,21.4
2024-06-18,-3.0
2024-06-19,17.2
2024-06-20,6.2
2024-06-21,27.6
2024-06-22,19.9
2024-06-23,19.8
2024-06-24,-2.6
2024-06-25,6.5
2024-06-26,-3.6
2024-06-27,-3.2
2024-06-28,25.9
2024-06-29,5.8
2024-06-30,-1.9
2024-07-01,-1.2
2024-07-02,1.9
2024-07-03,-7.8
2024-07-04,15.5
2024-07-05,0.4
2024-07-06,6.8
2024-07-07,29.6
2024-07-08,9.8
2024-07-09,24.0
