date,temperature
2023-06-10,35.1
2023-06-11,28.8
2023-06-12,26.7
2023-06-13,20.3
2023-06-14,27.5
2023-06-15,29.4
2023-06-16,15.3
2023-06-17,30.8
2023-06-18,39.8
2023-06-19,34.7
2023-06-20,39.8
2023-06-21,20.5
2023-06-22,13.2
2023-06-23,29.9
2023-06-24,37.5
2023-06-25,22.5
2023-06-26,30.1
2023-06-27,20.1
2023-06-28,16.3
2023-06-29,28.5
2023-06-30,32.2
2023-07-01,13.4
2023-07-02,28.3
2023-07-03,32.2
2023-07-04,22.7
2023-07-05,13.6
2023-07-06,21.3
2023-07-07,12.9
2023-07-08,18.9
2023-07-09,34.2
2023-07-10,30.5
2023-07-11,31.7
2023-07-12,11.2
2023-07-13,21.4
2023-07-14,30.6
2023-07-15,12.5
2023-07-16,27.8
2023-07-17,20.8
2023-07-18,28.0
2023-07-19,10.3
2023-07-20,27.2
2023-07-21,25.8
2023-07-22,37.5
2023-07-23,15.2
2023-07-24,24.0
2023-07-25,39.9
2023-07-26,24.0
2023-07-27,25.6
2023-07-28,18.7
2023-07-29,14.9
2023-07-30,21.2
2023-07-31,12.8
2023-08-01,24.7
2023-08-02,31.7
2023-08-03,32.3
2023-08-04,27.2
2023-08-05,20.6
2023-08-06,32.7
2023-08-07,33.7
2023-08-08,26.3
2023-08-09,28.7
2023-08-10,18.5
2023-08-11,30.6
2023-08-12,37.6
2023-08-13,37.0
2023-08-14,24.0
2023-08-15,12.4
2023-08-16,17.3
2023-08-17,34.1
2023-08-18,30.0
2023-08-19,16.3
2023-08-20,10.9
2023-08-21,36.9
2023-08-22,11.7
2023-08-23,20.1
2023-08-24,26.5
2023-08-25,36.8
2023-08-26,35.8
2023-08-27,25.6
2023-08-28,13.1
2023-08-29,33.3
2023-08-30,26.3
2023-08-31,25.4
2023-09-01,13.5
2023-09-02,31.8
2023-09-03,10.8
2023-09-04,28.5
2023-09-05,39.7
2023-09-06,17.9
2023-09-07,32.4
2023-09-08,39.6
2023-09-09,12.4
2023-09-10,38.4
2023-09-11,25.8
2023-09-12,23.5
2023-09-13,20.9
2023-09-14,14.2
2023-09-15,37.3
2023-09-16,39.5
2023-09-17,39.8
2023-09-18,18.2
2023-09-19,35.8
2023-09-20,12.4
2023-09-21,13.8
2023-09-22,39.1
2023-09-23,17.5
2023-09-24,23.1
2023-09-25,36.6
2023-09-26,18.2
2023-09-27,23.5
2023-09-28,21.8
2023-09-29,10.9
2023-09-30,24.4
2023-10-01,29.7
2023-10-02,33.6
2023-10-03,32.9
2023-10-04,36.7
2023-10-05,34.1
2023-10-06,29.9
2023-10-07,30.5
2023-10-08,16.7
2023-10-09,37.1
2023-10-10,11.9
2023-10-11,36.9
2023-10-12,29.1
2023-10-13,25.1
2023-10-14,23.4
2023-10-15,29.2
2023-10-16,26.6
2023-10-17,30.1
2023-10-18,27.9
2023-10-19,29.0
2023-10-20,35.4
2023-10-21,21.2
2023-10-22,36.0
2023-10-23,33.7
2023-10-24,40.0
2023-10-25,21.7
2023-10-26,38.1
2023-10-27,20.7
2023-10-28,15.1
2023-10-29,33.2
2023-10-30,18.2
2023-10-31,34.8
2023-11-01,14.3
2023-11-02,26.4
2023-11-03,30.6
2023-11-04,21.0
2023-11-05,28.1
2023-11-06,31.2
2023-11-07,39.3
2023-11-08,10.2
2023-11-09,14.7
2023-11-10,31.5
2023-11-11,28.6
2023-11-12,14.8
2023-11-13,16.1
2023-11-14,31.1
2023-11-15,17.4
2023-11-16,23.2
2023-11-17,22.2
2023-11-18,19.8
2023-11-19,22.5
2023-11-20,12.1
2023-11-21,37.0
2023-11-22,37.5
2023-11-23,21.0
2023-11-24,22.8
2023-11-25,34.1
2023-11-26,35.7
2023-11-27,18.7
2023-11-28,11.2
2023-11-29,20.4
2023-11-30,22.3
2023-12-01,35.3
2023-12-02,31.5
2023-12-03,34.1
2023-12-04,25.9
2023-12-05,36.5
2023-12-06,27.7
2023-12-07,38.9
2023-12-08,15.5
2023-12-09,25.4
2023-12-10,26.6
2023-12-11,20.2
2023-12-12,17.4
2023-12-13,37.9
2023-12-14,11.4
2023-12-15,16.1
2023-12-16,30.9
2023-12-17,23.8
2023-12-18,33.3
2023-12-19,28.0
2023-12-20,19.8
2023-12-21,23.1
2023-12-22,23.6
2023-12-23,16.0
2023-12-24,30.6
2023-12-25,31.8
2023-12-26,14.0
2023-12-27,25.9
2023-12-28,16.4
2023-12-29,37.4
2023-12-30,29.2
2023-12-31,27.0
2024-01-01,22.7
2024-01-02,17.5
2024-01-03,23.7
2024-01-04,18.9
2024-01-05,37.0
2024-01-06,21.1
2024-01-07,16.5
2024-01-08,37.2
2024-01-09,19.0
2024-01-10,13.4
2024-01-11,16.4
2024-01-12,17.4
2024-01-13,30.7
2024-01-14,29.1
2024-01-15,29.5
2024-01-16,29.4
2024-01-17,32.2
2024-01-18,28.1
2024-01-19,14.0
2024-01-20,39.7
2024-01-21,35.9
2024-01-22,19.5
2024-01-23,14.9
2024-01-24,36.6
2024-01-25,11.7
2024-01-26,25.9
2024-01-27,35.7
2024-01-28,20.8
2024-01-29,38.8
2024-01-30,12.7
2024-01-31,17.3
2024-02-01,36.9
2024-02-02,14.5
2024-02-03,24.1
2024-02-04,12.9
2024-02-05,18.2
2024-02-06,13.6
2024-02-07,33.1
2024-02-08,35.6
2024-02-09,39.3
2024-02-10,35.2
2024-02-11,17.7
2024-02-12,37.8
2024-02-13,17.8
2024-02-14,36.9
2024-02-15,13.0
2024-02-16,30.8
2024-02-17,22.8
2024-02-18,25.6
2024-02-19,40.0
2024-02-20,15.5
2024-02-21,11.8
2024-02-22,31.6
2024-02-23,13.2
2024-02-24,35.2
2024-02-25,13.0
2024-02-26,39.2
2024-02-27,27.8
2024-02-28,15.2
2024-02-29,23.1
2024-03-01,11.0
2024-03-02,39.9
2024-03-03,27.0
2024-03-04,27.2
2024-03-05,17.1
2024-03-06,25.3
2024-03-07,20.4
2024-03-08,11.6
2024-03-09,34.0
2024-03-10,37.9
2024-03-11,36.9
2024-03-12,10.7
2024-03-13,11.2
2024-03-14,22.5
2024-03-15,19.1
2024-03-16,39.0
2024-03-17,33.4
