date,temperature
2023-06-10,23.2
2023-06-11,1.8
2023-06-12,1.6
2023-06-13,6.7
2023-06-14,27.9
2023-06-15,19.8
2023-06-16,12.0
2023-06-17,16.3
2023-06-18,15.9
2023-06-19,10.6
2023-06-20,26.9
2023-06-21,19.3
2023-06-22,23.8
2023-06-23,17.5
2023-06-24,4.2
2023-06-25,12.2
2023-06-26,13.0
2023-06-27,22.3
2023-06-28,5.7
2023-06-29,14.6
2023-06-30,7.2
2023-07-01,28.6
2023-07-02,14.2
2023-07-03,8.1
2023-07-04,24.9
2023-07-05,27.0
2023-07-06,14.4
2023-07-07,16.1
2023-07-08,25.9
2023-07-09,17.0
2023-07-10,20.1
2023-07-11,21.8
2023-07-12,24.8
2023-07-13,27.9
2023-07-14,0.5
2023-07-15,12.7
2023-07-16,22.8
2023-07-17,11.8
2023-07-18,27.4
2023-07-19,10.1
2023-07-20,4.4
2023-07-21,23.0
2023-07-22,14.1
2023-07-23,0.4
2023-07-24,23.8
2023-07-25,25.3
2023-07-26,18.1
2023-07-27,3.2
2023-07-28,3.2
2023-07-29,16.5
2023-07-30,0.2
2023-07-31,15.6
2023-08-01,7.5
2023-08-02,4.0
2023-08-03,8.6
2023-08-04,7.0
2023-08-05,25.6
2023-08-06,0.6
2023-08-07,27.0
2023-08-08,7.2
2023-08-09,16.1
2023-08-10,27.1
2023-08-11,5.1
2023-08-12,3.7
2023-08-13,21.9
2023-08-14,3.9
2023-08-15,29.0
2023-08-16,29.8
2023-08-17,14.9
2023-08-18,25.5
2023-08-19,24.3
2023-08-20,3.5
2023-08-21,25.2
2023-08-22,24.4
2023-08-23,9.2
2023-08-24,15.4
2023-08-25,1.4
2023-08-26,17.0
2023-08-27,17.1
2023-08-28,4.4
2023-08-29,6.4
2023-08-30,10.0
2023-08-31,16.7
2023-09-01,20.8
2023-09-02,6.7
2023-09-03,8.3
2023-09-04,30.0
2023-09-05,0.1
2023-09-06,6.5
2023-09-07,23.1
2023-09-08,2.3
2023-09-09,5.8
2023-09-10,11.8
2023-09-11,19.8
2023-09-12,20.8
2023-09-13,5.8
2023-09-14,12.2
2023-09-15,13.4
2023-09-16,2.9
2023-09-17,19.5
2023-09-18,16.6
2023-09-19,12.7
2023-09-20,17.6
2023-09-21,19.9
2023-09-22,3.5
2023-09-23,20.6
2023-09-24,17.0
2023-09-25,26.2
2023-09-26,23.5
2023-09-27,20.8
2023-09-28,8.6
2023-09-29,24.6
2023-09-30,2.4
2023-10-01,28.2
2023-10-02,2.4
2023-10-03,14.9
2023-10-04,4.3
2023-10-05,24.8
2023-10-06,7.3
2023-10-07,16.9
2023-10-08,8.1
2023-10-09,7.1
2023-10-10,23.7
2023-10-11,9.4
2023-10-12,21.4
2023-10-13,19.7
2023-10-14,16.4
2023-10-15,21.2
2023-10-16,12.7
2023-10-17,18.5
2023-10-18,26.0
2023-10-19,9.5
2023-10-20,1.1
2023-10-21,19.5
2023-10-22,21.4
2023-10-23,27.0
2023-10-24,15.8
2023-10-25,18.2
2023-10-26,14.7
2023-10-27,7.8
2023-10-28,6.7
2023-10-29,24.8
2023-10-30,19.9
2023-10-31,4.9
2023-11-01,3.3
2023-11-02,9.3
2023-11-03,27.3
2023-11-04,18.8
2023-11-05,12.0
2023-11-06,0.8
2023-11-07,0.1
2023-11-08,7.2
2023-11-09,20.0
2023-11-10,25.3
2023-11-11,13.5
2023-11-12,21.2
2023-11-13,26.9
2023-11-14,1.0
2023-11-15,19.4
2023-11-16,15.6
2023-11-17,20.9
2023-11-18,19.2
2023-11-19,23.0
2023-11-20,27.4
2023-11-21,19.8
2023-11-22,20.7
2023-11-23,27.4
2023-11-24,10.6
2023-11-25,28.1
2023-11-26,25.5
2023-11-27,1.8
2023-11-28,27.1
2023-11-29,15.6
2023-11-30,11.7
2023-12-01,6.2
2023-12-02,6.5
2023-12-03,14.0
2023-12-04,4.1
2023-12-05,4.6
2023-12-06,23.2
2023-12-07,11.5
2023-12-08,10.0
2023-12-09,1.2
2023-12-10,8.6
2023-12-11,15.5
2023-12-12,4.7
2023-12-13,16.6
2023-12-14,0.2
2023-12-15,7.0
2023-12-16,12.6
2023-12-17,2.7
2023-12-18,25.8
2023-12-19,19.6
2023-12-20,11.0
2023-12-21,26.4
2023-12-22,5.1
2023-12-23,2.1
2023-12-24,11.0
2023-12-25,17.0
2023-12-26,5.8
2023-12-27,21.1
2023-12-28,18.6
2023-12-29,27.7
2023-12-30,2.2
2023-12-31,15.4
2024-01-01,13.4
2024-01-02,21.3
2024-01-03,14.4
2024-01-04,12.0
2024-01-05,26.1
2024-01-06,5.6
2024-01-07,29.5
2024-01-08,25.1
2024-01-09,17.1
2024-01-10,1.9
2024-01-11,0.6
2024-01-12,4.4
2024-01-13,12.8
2024-01-14,13.5
2024-01-15,3.8
2024-01-16,30.0
2024-01-17,14.8
2024-01-18,23.3
2024-01-19,12.9
2024-01-20,30.0
2024-01-21,6.5
2024-01-22,24.8
2024-01-23,18.6
2024-01-24,12.3
2024-01-25,13.1
2024-01-26,24.0
2024-01-27,26.4
2024-01-28,2.9
2024-01-29,29.1
2024-01-30,4.8
2024-01-31,5.3
2024-02-01,24.1
2024-02-02,15.9
2024-02-03,20.9
2024-02-04,27.9
2024-02-05,28.2
2024-02-06,9.4
2024-02-07,6.9
2024-02-08,13.2
2024-02-09,18.8
2024-02-10,19.0
2024-02-11,19.3
2024-02-12,12.6
2024-02-13,12.8
2024-02-14,7.2
2024-02-15,21.0
2024-02-16,12.5
