date,temperature
2023-06-10,23.3
2023-06-11,15.4
2023-06-12,28.5
2023-06-13,25.7
2023-06-14,16.6
2023-06-15,32.1
2023-06-16,26.7
2023-06-17,32.6
2023-06-18,15.0
2023-06-19,31.7
2023-06-20,16.5
2023-06-21,26.3
2023-06-22,16.5
2023-06-23,27.9
2023-06-24,23.5
2023-06-25,15.9
2023-06-26,33.4
2023-06-27,21.4
2023-06-28,22.6
2023-06-29,24.5
2023-06-30,21.4
2023-07-01,28.3
2023-07-02,26.3
2023-07-03,25.8
2023-07-04,31.6
2023-07-05,30.8
2023-07-06,18.0
2023-07-07,31.8
2023-07-08,18.6
2023-07-09,25.3
2023-07-10,15.4
2023-07-11,32.3
2023-07-12,24.0
2023-07-13,33.6
2023-07-14,29.0
2023-07-15,26.8
2023-07-16,27.9
2023-07-17,20.9
2023-07-18,29.5
2023-07-19,23.8
2023-07-20,33.0
2023-07-21,33.9
2023-07-22,32.8
2023-07-23,16.6
2023-07-24,26.4
2023-07-25,23.9
2023-07-26,23.5
2023-07-27,32.5
2023-07-28,23.5
2023-07-29,27.4
2023-07-30,26.3
2023-07-31,33.8
2023-08-01,30.7
2023-08-02,19.3
2023-08-03,18.7
2023-08-04,18.5
2023-08-05,16.9
2023-08-06,34.5
2023-08-07,32.7
2023-08-08,24.2
2023-08-09,27.9
2023-08-10,32.7
2023-08-11,33.3
2023-08-12,24.2
2023-08-13,31.0
2023-08-14,29.0
2023-08-15,18.9
2023-08-16,30.7
2023-08-17,34.7
2023-08-18,27.9
2023-08-19,29.7
2023-08-20,34.1
2023-08-21,26.8
2023-08-22,28.1
2023-08-23,30.9
2023-08-24,27.6
2023-08-25,19.5
2023-08-26,24.5
2023-08-27,28.6
2023-08-28,34.0
2023-08-29,15.8
2023-08-30,18.6
2023-08-31,15.3
2023-09-01,31.2
2023-09-02,31.0
2023-09-03,32.1
2023-09-04,28.6
2023-09-05,16.0
2023-09-06,16.0
2023-09-07,23.3
2023-09-08,16.0
2023-09-09,32.0
2023-09-10,33.9
2023-09-11,21.0
2023-09-12,34.8
2023-09-13,15.3
2023-09-14,17.6
2023-09-15,16.3
2023-09-16,33.5
2023-09-17,27.5
2023-09-18,16.6
2023-09-19,16.9
2023-09-20,15.5
2023-09-21,29.7
2023-09-22,16.9
2023-09-23,22.5
2023-09-24,21.1
2023-09-25,32.7
2023-09-26,20.9
2023-09-27,31.2
2023-09-28,33.0
2023-09-29,23.6
2023-09-30,33.6
2023-10-01,17.0
2023-10-02,29.9
2023-10-03,34.1
2023-10-04,32.5
2023-10-05,31.9
2023-10-06,26.8
2023-10-07,32.5
2023-10-08,32.8
2023-10-09,34.2
2023-10-10,29.9
2023-10-11,22.7
2023-10-12,19.7
2023-10-13,15.3
2023-10-14,25.2
2023-10-15,21.6
2023-10-16,30.0
2023-10-17,22.5
2023-10-18,33.7
2023-10-19,31.5
2023-10-20,15.4
2023-10-21,33.7
2023-10-22,16.2
2023-10-23,18.6
2023-10-24,33.5
2023-10-25,27.8
2023-10-26,24.5
2023-10-27,34.7
2023-10-28,21.7
2023-10-29,33.5
2023-10-30,16.3
2023-10-31,20.4
2023-11-01,17.4
2023-11-02,19.0
2023-11-03,18.1
2023-11-04,29.6
2023-11-05,15.3
2023-11-06,34.2
2023-11-07,18.3
2023-11-08,16.1
2023-11-09,17.7
2023-11-10,21.7
2023-11-11,17.8
2023-11-12,29.6
2023-11-13,31.9
2023-11-14,32.6
2023-11-15,16.2
2023-11-16,32.1
2023-11-17,32.6
2023-11-18,15.4
2023-11-19,31.0
2023-11-20,31.0
2023-11-21,18.1
2023-11-22,30.7
2023-11-23,27.3
2023-11-24,31.0
2023-11-25,34.9
2023-11-26,26.7
2023-11-27,33.0
2023-11-28,21.9
2023-11-29,33.1
2023-11-30,15.2
2023-12-01,21.1
2023-12-02,25.9
2023-12-03,23.3
2023-12-04,16.1
2023-12-05,34.0
2023-12-06,18.8
2023-12-07,32.1
2023-12-08,26.7
2023-12-09,30.4
2023-12-10,17.2
2023-12-11,24.9
2023-12-12,34.9
2023-12-13,19.3
2023-12-14,16.6
2023-12-15,27.1
2023-12-16,26.2
2023-12-17,24.3
2023-12-18,24.5
2023-12-19,24.0
2023-12-20,27.4
2023-12-21,20.4
2023-12-22,34.6
2023-12-23,31.9
2023-12-24,22.3
2023-12-25,24.2
2023-12-26,19.6
2023-12-27,17.6
2023-12-28,29.0
2023-12-29,20.9
2023-12-30,19.9
2023-12-31,16.7
2024-01-01,19.1
2024-01-02,30.6
2024-01-03,20.3
2024-01-04,15.7
2024-01-05,34.8
2024-01-06,21.3
2024-01-07,16.0
2024-01-08,28.9
2024-01-09,34.7
2024-01-10,19.7
2024-01-11,34.0
2024-01-12,22.3
2024-01-13,20.7
2024-01-14,20.0
2024-01-15,16.8
2024-01-16,30.5
2024-01-17,21.7
2024-01-18,27.9
2024-01-19,22.8
2024-01-20,30.8
2024-01-21,22.6
2024-01-22,24.1
2024-01-23,31.1
2024-01-24,22.3
2024-01-25,22.3
2024-01-26,33.0
2024-01-27,15.8
2024-01-28,34.4
2024-01-29,18.5
2024-01-30,17.4
2024-01-31,17.2
2024-02-01,26.1
2024-02-02,31.6
2024-02-03,21.9
2024-02-04,29.3
2024-02-05,22.1
2024-02-06,33.0
2024-02-07,31.5
2024-02-08,17.6
2024-02-09,20.2
2024-02-10,16.0
2024-02-11,28.4
2024-02-12,20.9
2024-02-13,16.3
2024-02-14,15.5
2024-02-15,30.8
2024-02-16,33.0
2024-02-17,23.0
2024-02-18,32.7
2024-02-19,26.7
2024-02-20,30.1
2024-02-21,28.1
2024-02-22,16.4
2024-02-23,25.5
2024-02-24,27.0
2024-02-25,31.1
2024-02-26,32.8
2024-02-27,34.0
2024-02-28,29.2
2024-02-29,28.4
2024-03-01,18.1
2024-03-02,33.8
2024-03-03,22.0
2024-03-04,24.3
2024-03-05,33.0
2024-03-06,18.2
2024-03-07,20.2
2024-03-08,32.8
2024-03-09,33.3
2024-03-10,20.7
2024-03-11,25.2
2024-03-12,27.0
2024-03-13,34.4
2024-03-14,21.7
2024-03-15,26.9
2024-03-16,30.1
2024-03-17,20.5
2024-03-18,25.8
2024-03-19,29.3
2024-03-20,31.2
2024-03-21,26.9
2024-03-22,29.2
2024-03-23,16.2
2024-03-24,23.8
2024-03-25,21.9
2024-03-26,26.9
2024-03-27,17.3
2024-03-28,21.1
2024-03-29,15.1
2024-03-30,30.1
2024-03-31,26.9
2024-04-01,19.4
2024-04-02,16.0
2024-04-03,30.4
2024-04-04,27.0
2024-04-05,15.1
2024-04-06,28.4
2024-04-07,21.5
2024-04-08,16.8
2024-04-09,29.3
2024-04-10,31.2
2024-04-11,21.1
2024-04-12,26.4
2024-04-13,20.4
2024-04-14,16.7
2024-04-15,26.2
2024-04-16,33.9
2024-04-17,15.7
2024-04-18,16.8
2024-04-19,21.2
2024-04-20,21.3
2024-04-21,28.3
2024-04-22,33.4
2024-04-23,16.8
2024-04-24,25.1
2024-04-25,30.3
2024-04-26,20.1
2024-04-27,19.3
2024-04-28,18.2
2024-04-29,29.1
2024-04-30,20.9
2024-05-01,25.7
2024-05-02,19.1
2024-05-03,20.2
2024-05-04,34.8
2024-05-05,16.3
2024-05-06,18.2
2024-05-07,30.9
2024-05-08,19.3
2024-05-09,31.4
2024-05-10,31.3
2024-05-11,21.3
2024-05-12,33.0
2024-05-13,30.8
2024-05-14,34.2
2024-05-15,33.9
2024-05-16,30.7
2024-05-17,30.7
2024-05-18,33.9
2024-05-19,26.2
2024-05-20,32.5
2024-05-21,29.7
2024-05-22,27.2
2024-05-23,27.4
2024-05-24,21.6
2024-05-25,21.5
2024-05-26,17.2
2024-05-27,20.9
2024-05-28,34.7
2024-05-29,26.0
2024-05-30,18.1
2024-05-31,15.8
2024-06-01,33.3
2024-06-02,30.4
2024-06-03,21.1
2024-06-04,19.8
2024-06-05,22.6
2024-06-06,16.2
2024-06-07,18.4
2024-06-08,27.7
2024-06-09,23.5
2024-06-10,20.2
2024-06-11,31.6
2024-06-12,24.6
2024-06-13,32.4
2024-06-14,17.0
2024-06-15,24.9
2024-06-16,28.9
2024-06-17,16.9
2024-06-18,21.1
2024-06-19,33.0
2024-06-20,26.6
2024-06-21,15.3
2024-06-22,22.1
2024-06-23,25.2
2024-06-24,32.9
2024-06-25,16.9
2024-06-26,21.8
2024-06-27,31.2
2024-06-28,29.4
2024-06-29,17.5
2024-06-30,34.0
2024-07-01,31.6
2024-07-02,25.5
2024-07-03,30.9
2024-07-04,32.9
2024-07-05,16.7
2024-07-06,23.7
2024-07-07,24.1
2024-07-08,21.6
2024-07-09,23.6
2024-07-10,31.6
2024-07-11,25.0
2024-07-12,34.8
2024-07-13,27.0
2024-07-14,25.7
2024-07-15,16.4
2024-07-16,18.6
2024-07-17,20.0
2024-07-18,29.0
2024-07-19,16.3
2024-07-20,34.8
2024-07-21,32.8
2024-07-22,27.8
2024-07-23,31.7
2024-07-24,30.4
2024-07-25,26.2
2024-07-26,18.1
2024-07-27,32.8
2024-07-28,21.2
2024-07-29,15.3
2024-07-30,15.7
2024-07-31,20.5
2024-08-01,27.0
2024-08-02,29.7
2024-08-03,22.6
2024-08-04,28.8
2024-08-05,34.2
2024-08-06,16.9
2024-08-07,19.0
2024-08-08,25.5
2024-08-09,28.2
2024-08-10,34.9
2024-08-11,19.6
2024-08-12,17.0
2024-08-13,16.2
2024-08-14,18.8
2024-08-15,31.4
2024-08-16,29.8
2024-08-17,32.2
2024-08-18,18.5
2024-08-19,15.6
2024-08-20,27.5
2024-08-21,26.0
2024-08-22,18.9
2024-08-23,33.1
2024-08-24,19.5
2024-08-25,26.8
2024-08-26,16.3
2024-08-27,18.5
2024-08-28,32.8
2024-08-29,23.9
2024-08-30,22.7
2024-08-31,29.5
2024-09-01,25.3
2024-09-02,33.0
2024-09-03,19.6
2024-09-04,31.1
2024-09-05,24.4
2024-09-06,33.6
2024-09-07,32.9
2024-09-08,26.2
2024-09-09,19.0
2024-09-10,23.4
2024-09-11,22.0
2024-09-12,31.1
2024-09-13,22.9
2024-09-14,15.0
2024-09-15,24.9
2024-09-16,22.5
2024-09-17,15.6
2024-09-18,17.5
2024-09-19,32.8
2024-09-20,24.3
2024-09-21,30.0
2024-09-22,22.7
2024-09-23,20.7
2024-09-24,30.4
2024-09-25,21.2
2024-09-26,30.4
2024-09-27,32.8
2024-09-28,32.0
2024-09-29,20.6
2024-09-30,16.9
2024-10-01,30.4
2024-10-02,17.2
2024-10-03,23.5
2024-10-04,23.9
2024-10-05,32.4
2024-10-06,19.7
2024-10-07,32.6
2024-10-08,27.0
2024-10-09,28.7
2024-10-10,27.1
2024-10-11,21.3
2024-10-12,22.0
2024-10-13,21.4
2024-10-14,33.6
2024-10-15,23.8
2024-10-16,23.6
2024-10-17,30.1
2024-10-18,29.7
2024-10-19,26.3
2024-10-20,20.1
2024-10-21,34.9
2024-10-22,17.2
2024-10-23,22.3
2024-10-24,27.1
2024-10-25,29.4
2024-10-26,32.0
2024-10-27,30.7
2024-10-28,29.5
2024-10-29,25.9
2024-10-30,31.6
2024-10-31,20.4
2024-11-01,19.7
2024-11-02,22.7
2024-11-03,28.1
2024-11-04,25.2
2024-11-05,32.4
2024-11-06,19.3
2024-11-07,26.4
2024-11-08,18.2
2024-11-09,23.8
2024-11-10,25.9
2024-11-11,27.5
2024-11-12,33.9
2024-11-13,29.7
2024-11-14,22.0
2024-11-15,20.6
2024-11-16,21.0
2024-11-17,21.6
2024-11-18,22.3
2024-11-19,19.2
2024-11-20,25.8
2024-11-21,33.3
2024-11-22,19.3
2024-11-23,35.0
2024-11-24,26.9
2024-11-25,34.8
2024-11-26,17.7
2024-11-27,27.0
2024-11-28,33.9
2024-11-29,29.4
2024-11-30,30.2
2024-12-01,23.5
2024-12-02,25.7
2024-12-03,26.3
2024-12-04,21.7
2024-12-05,23.8
2024-12-06,26.8
2024-12-07,33.2
2024-12-08,17.1
2024-12-09,15.4
2024-12-10,23.3
2024-12-11,32.9
2024-12-12,20.4
2024-12-13,24.2
2024-12-14,22.9
2024-12-15,30.8
2024-12-16,32.3
2024-12-17,19.7
2024-12-18,24.5
2024-12-19,26.3
2024-12-20,30.8
2024-12-21,16.5
2024-12-22,31.3
2024-12-23,22.4
2024-12-24,29.4
2024-12-25,32.2
2024-12-26,28.9
2024-12-27,18.9
2024-12-28,31.4
2024-12-29,23.7
2024-12-30,28.9
2024-12-31,34.6
2025-01-01,34.1
2025-01-02,22.5
2025-01-03,21.4
2025-01-04,34.1
2025-01-05,30.5
2025-01-06,18.6
2025-01-07,33.3
2025-01-08,18.1
2025-01-09,30.9
2025-01-10,30.9
2025-01-11,28.5
2025-01-12,34.6
2025-01-13,34.9
2025-01-14,15.7
2025-01-15,16.3
2025-01-16,16.8
2025-01-17,16.3
2025-01-18,15.1
2025-01-19,30.8
2025-01-20,17.8
2025-01-21,22.9
2025-01-22,31.8
2025-01-23,29.8
2025-01-24,18.2
2025-01-25,20.9
2025-01-26,31.0
2025-01-27,21.6
2025-01-28,24.8
2025-01-29,28.4
2025-01-30,32.2
2025-01-31,28.0
2025-02-01,27.9
2025-02-02,27.2
2025-02-03,17.2
2025-02-04,23.7
2025-02-05,19.0
2025-02-06,32.8
2025-02-07,24.6
2025-02-08,26.2
2025-02-09,16.7
2025-02-10,26.5
2025-02-11,19.1
2025-02-12,17.5
2025-02-13,20.4
2025-02-14,33.0
2025-02-15,27.2
2025-02-16,32.3
2025-02-17,32.5
2025-02-18,22.3
2025-02-19,31.7
2025-02-20,21.9
2025-02-21,32.2
2025-02-22,16.6
2025-02-23,26.5
2025-02-24,21.1
2025-02-25,24.7
2025-02-26,30.2
2025-02-27,33.2
2025-02-28,31.5
2025-03-01,29.2
2025-03-02,27.6
2025-03-03,17.0
2025-03-04,31.3
2025-03-05,15.5
2025-03-06,28.5
2025-03-07,17.3
2025-03-08,29.0
2025-03-09,26.5
2025-03-10,24.8
2025-03-11,27.4
2025-03-12,31.5
2025-03-13,23.2
2025-03-14,21.2
2025-03-15,23.3
2025-03-16,18.5
2025-03-17,25.4
2025-03-18,24.2
2025-03-19,28.0
2025-03-20,25.1
2025-03-21,16.2
2025-03-22,19.2
2025-03-23,20.5
2025-03-24,33.0
2025-03-25,19.0
2025-03-26,18.6
2025-03-27,19.6
2025-03-28,32.4
2025-03-29,29.6
2025-03-30,20.1
2025-03-31,33.7
2025-04-01,28.7
2025-04-02,15.0
2025-04-03,32.1
2025-04-04,28.1
2025-04-05,24.5
2025-04-06,26.1
2025-04-07,17.0
2025-04-08,33.7
2025-04-09,27.5
2025-04-10,15.8
2025-04-11,20.1
2025-04-12,31.0
2025-04-13,29.0
2025-04-14,30.5
2025-04-15,32.3
2025-04-16,16.2
2025-04-17,19.3
2025-04-18,24.4
2025-04-19,19.7
2025-04-20,23.7
2025-04-21,31.8
2025-04-22,19.0
2025-04-23,17.6
2025-04-24,21.5
2025-04-25,16.8
2025-04-26,23.8
2025-04-27,27.7
2025-04-28,24.6
2025-04-29,17.9
2025-04-30,18.2
2025-05-01,32.2
2025-05-02,25.0
2025-05-03,30.3
2025-05-04,17.1
2025-05-05,20.2
2025-05-06,35.0
2025-05-07,34.6
2025-05-08,33.8
2025-05-09,34.1
2025-05-10,30.5
2025-05-11,23.5
2025-05-12,16.1
2025-05-13,32.8
2025-05-14,22.8
2025-05-15,26.6
2025-05-16,33.5
2025-05-17,26.5
2025-05-18,20.4
2025-05-19,24.2
2025-05-20,26.1
2025-05-21,33.8
2025-05-22,30.3
2025-05-23,22.7
2025-05-24,19.4
2025-05-25,33.4
2025-05-26,21.4
2025-05-27,16.0
2025-05-28,33.2
2025-05-29,29.1
2025-05-30,29.1
2025-05-31,27.6
2025-06-01,22.9
2025-06-02,33.9
2025-06-03,23.6
2025-06-04,28.3
2025-06-05,24.9
2025-06-06,31.1
2025-06-07,19.6
2025-06-08,15.1
