date,temperature
2023-06-10,9.8
2023-06-11,-1.0
2023-06-12,3.1
2023-06-13,12.8
2023-06-14,2.5
2023-06-15,4.5
2023-06-16,-9.7
2023-06-17,10.4
2023-06-18,-4.1
2023-06-19,21.5
2023-06-20,8.0
2023-06-21,-7.9
2023-06-22,25.7
2023-06-23,-3.1
2023-06-24,-2.4
2023-06-25,17.6
2023-06-26,-3.4
2023-06-27,7.8
2023-06-28,8.7
2023-06-29,29.4
2023-06-30,26.3
2023-07-01,-4.2
2023-07-02,21.6
2023-07-03,15.0
2023-07-04,1.3
2023-07-05,27.3
2023-07-06,11.3
2023-07-07,-4.6
2023-07-08,22.9
2023-07-09,3.7
2023-07-10,5.1
2023-07-11,19.6
2023-07-12,-0.8
2023-07-13,-5.8
2023-07-14,-4.5
2023-07-15,12.4
2023-07-16,15.8
2023-07-17,23.2
2023-07-18,10.7
2023-07-19,1.4
2023-07-20,2.1
2023-07-21,-6.0
2023-07-22,22.5
2023-07-23,27.6
2023-07-24,-2.8
2023-07-25,9.5
2023-07-26,6.4
2023-07-27,4.8
2023-07-28,5.9
2023-07-29,-3.1
2023-07-30,-3.6
2023-07-31,-9.5
2023-08-01,-7.4
2023-08-02,-3.3
2023-08-03,2.2
2023-08-04,-5.1
2023-08-05,16.8
2023-08-06,29.9
2023-08-07,16.1
2023-08-08,20.5
2023-08-09,3.2
2023-08-10,-9.1
2023-08-11,1.5
2023-08-12,25.6
2023-08-13,-6.2
2023-08-14,27.9
2023-08-15,20.1
2023-08-16,1.6
2023-08-17,13.0
2023-08-18,-1.0
2023-08-19,-2.0
2023-08-20,29.4
2023-08-21,1.1
2023-08-22,21.4
2023-08-23,26.7
2023-08-24,0.7
2023-08-25,5.7
2023-08-26,28.8
2023-08-27,2.6
2023-08-28,22.7
2023-08-29,20.6
2023-08-30,6.2
2023-08-31,17.4
2023-09-01,16.1
2023-09-02,2.7
2023-09-03,23.8
2023-09-04,25.9
2023-09-05,9.2
2023-09-06,6.5
2023-09-07,10.6
2023-09-08,0.4
2023-09-09,6.3
2023-09-10,-1.4
2023-09-11,25.7
2023-09-12,27.9
2023-09-13,7.8
2023-09-14,-5.6
2023-09-15,16.8
2023-09-16,-4.3
2023-09-17,-8.9
2023-09-18,10.5
2023-09-19,-8.4
2023-09-20,21.4
2023-09-21,27.6
2023-09-22,-8.6
2023-09-23,-4.3
2023-09-24,-7.4
2023-09-25,-1.3
2023-09-26,24.9
2023-09-27,18.4
2023-09-28,16.7
2023-09-29,28.5
2023-09-30,22.4
2023-10-01,-8.4
2023-10-02,9.7
2023-10-03,14.9
2023-10-04,27.0
2023-10-05,1.7
2023-10-06,26.6
2023-10-07,14.1
2023-10-08,28.9
2023-10-09,4.2
2023-10-10,-3.5
2023-10-11,9.3
2023-10-12,10.4
2023-10-13,-7.3
2023-10-14,29.5
2023-10-15,9.5
2023-10-16,5.0
2023-10-17,1.6
2023-10-18,20.4
2023-10-19,29.7
2023-10-20,15.1
2023-10-21,-9.7
2023-10-22,10.4
2023-10-23,-8.3
2023-10-24,23.7
2023-10-25,8.4
2023-10-26,5.3
2023-10-27,26.2
2023-10-28,13.4
2023-10-29,13.0
2023-10-30,-1.3
2023-10-31,23.2
2023-11-01,26.7
2023-11-02,10.0
2023-11-03,-2.5
2023-11-04,9.7
2023-11-05,16.2
2023-11-06,21.3
2023-11-07,6.4
2023-11-08,25.0
2023-11-09,16.5
2023-11-10,26.0
2023-11-11,4.5
2023-11-12,16.6
2023-11-13,21.3
2023-11-14,-3.5
2023-11-15,11.7
2023-11-16,6.2
2023-11-17,15.2
2023-11-18,-5.1
2023-11-19,9.5
2023-11-20,10.3
2023-11-21,-9.4
2023-11-22,0.2
2023-11-23,24.5
2023-11-24,21.2
2023-11-25,22.9
2023-11-26,14.1
2023-11-27,8.0
2023-11-28,23.3
2023-11-29,3.5
2023-11-30,17.2
2023-12-01,27.2
2023-12-02,22.2
2023-12-03,13.4
2023-12-04,20.5
2023-12-05,3.9
2023-12-06,27.7
2023-12-07,-7.3
2023-12-08,-9.1
2023-12-09,20.2
2023-12-10,-0.6
2023-12-11,21.0
2023-12-12,23.0
2023-12-13,21.5
2023-12-14,-6.7
2023-12-15,22.9
2023-12-16,-0.2
2023-12-17,-7.2
2023-12-18,12.9
2023-12-19,-3.9
2023-12-20,-5.8
2023-12-21,21.5
2023-12-22,24.8
2023-12-23,11.7
2023-12-24,27.6
2023-12-25,5.9
2023-12-26,-9.5
2023-12-27,11.3
2023-12-28,-2.2
2023-12-29,5.4
2023-12-30,-8.0
2023-12-31,-1.9
2024-01-01,29.0
2024-01-02,10.7
2024-01-03,-0.4
2024-01-04,8.8
2024-01-05,0.5
2024-01-06,19.0
2024-01-07,9.7
2024-01-08,25.5
2024-01-09,-5.2
2024-01-10,10.3
2024-01-11,19.3
2024-01-12,-8.2
2024-01-13,-2.6
2024-01-14,-6.4
2024-01-15,20.5
2024-01-16,20.5
2024-01-17,18.3
2024-01-18,-4.7
2024-01-19,16.0
2024-01-20,13.2
2024-01-21,0.3
2024-01-22,-0.4
2024-01-23,8.3
2024-01-24,25.7
2024-01-25,5.3
2024-01-26,-8.3
2024-01-27,12.3
2024-01-28,-3.4
2024-01-29,10.8
2024-01-30,14.5
2024-01-31,-9.4
2024-02-01,14.0
2024-02-02,20.0
2024-02-03,-5.3
2024-02-04,-3.6
2024-02-05,-0.8
2024-02-06,-6.9
2024-02-07,21.9
2024-02-08,13.4
2024-02-09,-5.5
2024-02-10,18.0
2024-02-11,9.2
2024-02-12,23.9
2024-02-13,14.4
2024-02-14,26.1
2024-02-15,19.2
2024-02-16,11.5
2024-02-17,2.7
2024-02-18,5.3
2024-02-19,-8.0
2024-02-20,-7.8
2024-02-21,20.7
2024-02-22,19.3
2024-02-23,24.3
2024-02-24,29.9
2024-02-25,-1.0
2024-02-26,0.6
2024-02-27,10.3
2024-02-28,21.9
2024-02-29,-4.6
2024-03-01,14.2
2024-03-02,14.3
2024-03-03,3.9
2024-03-04,10.6
2024-03-05,6.6
2024-03-06,3.8
2024-03-07,-2.4
2024-03-08,21.0
2024-03-09,-8.8
2024-03-10,5.6
2024-03-11,19.6
2024-03-12,12.0
2024-03-13,26.2
2024-03-14,6.1
2024-03-15,26.6
2024-03-16,18.8
2024-03-17,16.0
2024-03-18,20.7
2024-03-19,15.2
2024-03-20,24.2
2024-03-21,19.3
2024-03-22,27.0
2024-03-23,-8.3
2024-03-24,0.2
2024-03-25,2.7
2024-03-26,21.7
2024-03-27,20.2
2024-03-28,29.6
2024-03-29,15.6
2024-03-30,1.3
2024-03-31,2.9
2024-04-01,1.0
2024-04-02,-1.5
2024-04-03,5.7
2024-04-04,-6.0
2024-04-05,1.0
2024-04-06,26.8
2024-04-07,22.9
2024-04-08,24.9
2024-04-09,23.8
2024-04-10,22.0
2024-04-11,22.6
2024-04-12,25.1
2024-04-13,2.5
2024-04-14,10.3
2024-04-15,24.5
2024-04-16,27.4
2024-04-17,29.2
2024-04-18,-5.9
2024-04-19,13.4
2024-04-20,-9.7
2024-04-21,0.7
2024-04-22,27.8
2024-04-23,26.1
2024-04-24,29.7
2024-04-25,9.2
2024-04-26,9.2
2024-04-27,11.3
2024-04-28,5.9
2024-04-29,30.0
2024-04-30,7.1
2024-05-01,25.3
2024-05-02,25.7
2024-05-03,25.7
2024-05-04,16.1
2024-05-05,-1.5
2024-05-06,-0.0
2024-05-07,-9.8
2024-05-08,27.7
2024-05-09,27.3
2024-05-10,7.6
2024-05-11,0.7
2024-05-12,10.5
2024-05-13,8.0
2024-05-14,23.9
2024-05-15,12.6
2024-05-16,22.7
2024-05-17,-8.1
2024-05-18,2.2
2024-05-19,9.5
2024-05-20,-2.3
2024-05-21,-0.3
2024-05-22,6.4
2024-05-23,8.6
2024-05-24,-4.1
2024-05-25,5.2
2024-05-26,15.9
2024-05-27,-1.2
2024-05-28,-7.5
2024-05-29,14.3
2024-05-30,-4.9
2024-05-31,-7.0
2024-06-01,9.2
2024-06-02,24.5
2024-06-03,10.1
2024-06-04,20.1
2024-06-05,14.4
2024-06-06,21.0
2024-06-07,22.1
2024-06-08,12.3
2024-06-09,29.5
2024-06-10,19.0
2024-06-11,9.1
2024-06-12,9.2
2024-06-13,-1.2
2024-06-14,-7.4
2024-06-15,21.5
2024-06-16,19.0
2024-06-17,-5.0
2024-06-18,-6.2
2024-06-19,22.2
2024-06-20,24.2
2024-06-21,11.9
2024-06-22,9.6
2024-06-23,24.2
2024-06-24,-1.0
2024-06-25,23.6
2024-06-26,27.1
2024-06-27,3.2
2024-06-28,23.9
2024-06-29,11.4
2024-06-30,6.6
2024-07-01,28.8
2024-07-02,7.3
2024-07-03,-8.0
2024-07-04,1.2
2024-07-05,-1.2
2024-07-06,-5.4
2024-07-07,11.9
