date,temperature
2023-06-10,22.7
2023-06-11,17.6
2023-06-12,18.9
2023-06-13,26.0
2023-06-14,23.6
2023-06-15,15.6
2023-06-16,12.4
2023-06-17,22.1
2023-06-18,26.6
2023-06-19,21.6
2023-06-20,16.0
2023-06-21,19.7
2023-06-22,21.0
2023-06-23,20.2
2023-06-24,17.0
2023-06-25,13.2
2023-06-26,13.3
2023-06-27,28.6
2023-06-28,24.1
2023-06-29,16.9
2023-06-30,10.3
2023-07-01,26.7
2023-07-02,22.2
2023-07-03,21.3
2023-07-04,16.5
2023-07-05,13.1
2023-07-06,18.3
2023-07-07,11.3
2023-07-08,29.3
2023-07-09,21.1
2023-07-10,19.9
2023-07-11,15.4
2023-07-12,18.9
2023-07-13,21.8
2023-07-14,22.9
2023-07-15,16.1
2023-07-16,23.5
2023-07-17,21.1
2023-07-18,29.7
2023-07-19,14.8
2023-07-20,14.0
2023-07-21,11.7
2023-07-22,14.3
2023-07-23,15.8
2023-07-24,28.6
2023-07-25,27.8
2023-07-26,15.3
2023-07-27,20.0
2023-07-28,25.7
2023-07-29,27.4
2023-07-30,12.5
2023-07-31,12.5
2023-08-01,25.5
2023-08-02,22.1
2023-08-03,24.3
2023-08-04,24.0
2023-08-05,20.3
2023-08-06,29.3
2023-08-07,17.6
2023-08-08,16.5
2023-08-09,26.6
2023-08-10,11.7
2023-08-11,20.2
2023-08-12,11.1
2023-08-13,12.6
2023-08-14,13.0
2023-08-15,15.0
2023-08-16,25.1
2023-08-17,17.8
2023-08-18,29.9
2023-08-19,15.0
2023-08-20,17.2
2023-08-21,10.2
2023-08-22,29.0
2023-08-23,23.2
2023-08-24,15.2
2023-08-25,22.3
2023-08-26,21.8
2023-08-27,17.1
2023-08-28,25.7
2023-08-29,24.0
2023-08-30,12.9
2023-08-31,11.6
2023-09-01,23.8
2023-09-02,24.7
2023-09-03,14.3
2023-09-04,22.4
2023-09-05,19.1
2023-09-06,22.2
2023-09-07,25.7
2023-09-08,30.0
2023-09-09,24.5
2023-09-10,25.2
2023-09-11,13.5
2023-09-12,15.9
2023-09-13,12.1
2023-09-14,24.0
2023-09-15,14.1
2023-09-16,18.3
2023-09-17,22.2
2023-09-18,18.3
2023-09-19,28.8
2023-09-20,23.7
2023-09-21,29.0
2023-09-22,26.8
2023-09-23,24.5
2023-09-24,28.5
2023-09-25,18.8
2023-09-26,29.8
2023-09-27,20.4
2023-09-28,27.4
2023-09-29,20.3
2023-09-30,10.9
2023-10-01,15.4
2023-10-02,24.2
2023-10-03,17.1
2023-10-04,22.0
2023-10-05,25.9
2023-10-06,13.0
2023-10-07,10.0
2023-10-08,22.5
2023-10-09,23.7
2023-10-10,28.2
2023-10-11,29.8
2023-10-12,17.4
2023-10-13,26.9
2023-10-14,16.1
2023-10-15,28.0
2023-10-16,19.7
2023-10-17,16.1
2023-10-18,10.6
2023-10-19,20.2
2023-10-20,29.1
2023-10-21,23.6
2023-10-22,16.0
2023-10-23,10.8
2023-10-24,12.4
2023-10-25,10.8
2023-10-26,16.6
2023-10-27,25.0
2023-10-28,25.9
2023-10-29,27.0
2023-10-30,26.8
2023-10-31,16.8
2023-11-01,14.8
2023-11-02,28.6
2023-11-03,20.6
2023-11-04,29.0
2023-11-05,21.4
2023-11-06,15.5
2023-11-07,19.4
2023-11-08,27.1
2023-11-09,20.3
2023-11-10,28.4
2023-11-11,17.8
2023-11-12,20.5
2023-11-13,27.5
2023-11-14,13.8
2023-11-15,12.7
2023-11-16,18.0
2023-11-17,18.8
2023-11-18,27.1
2023-11-19,29.9
2023-11-20,14.4
2023-11-21,12.2
2023-11-22,22.7
2023-11-23,24.4
2023-11-24,19.6
2023-11-25,12.8
2023-11-26,12.1
2023-11-27,21.2
2023-11-28,17.9
2023-11-29,20.1
2023-11-30,20.5
2023-12-01,19.2
2023-12-02,10.5
2023-12-03,25.1
2023-12-04,29.1
2023-12-05,19.1
2023-12-06,11.6
2023-12-07,26.1
2023-12-08,11.0
2023-12-09,20.6
2023-12-10,25.6
2023-12-11,18.7
2023-12-12,28.8
2023-12-13,28.5
2023-12-14,19.2
2023-12-15,24.4
2023-12-16,23.7
2023-12-17,14.2
2023-12-18,19.7
2023-12-19,11.1
2023-12-20,20.0
2023-12-21,22.5
2023-12-22,10.8
2023-12-23,19.7
2023-12-24,22.5
2023-12-25,28.4
2023-12-26,29.8
2023-12-27,29.4
2023-12-28,19.9
2023-12-29,20.8
2023-12-30,12.0
2023-12-31,12.6
2024-01-01,22.8
2024-01-02,27.9
2024-01-03,19.0
2024-01-04,23.3
2024-01-05,19.1
2024-01-06,25.6
2024-01-07,21.9
2024-01-08,21.4
2024-01-09,21.9
2024-01-10,23.0
2024-01-11,25.1
2024-01-12,24.3
2024-01-13,25.6
2024-01-14,21.1
2024-01-15,27.8
2024-01-16,29.2
2024-01-17,22.9
2024-01-18,27.8
2024-01-19,22.1
2024-01-20,21.7
2024-01-21,25.3
2024-01-22,23.5
2024-01-23,26.0
2024-01-24,14.3
2024-01-25,18.5
2024-01-26,15.7
2024-01-27,19.0
2024-01-28,29.8
2024-01-29,28.8
2024-01-30,11.0
2024-01-31,16.8
2024-02-01,18.6
2024-02-02,28.9
2024-02-03,20.7
2024-02-04,23.6
2024-02-05,22.0
2024-02-06,21.2
2024-02-07,19.6
2024-02-08,24.6
2024-02-09,13.0
2024-02-10,30.0
2024-02-11,22.5
2024-02-12,28.4
2024-02-13,28.9
2024-02-14,10.7
2024-02-15,24.0
2024-02-16,28.1
2024-02-17,29.7
2024-02-18,10.3
2024-02-19,13.4
2024-02-20,28.7
2024-02-21,24.4
2024-02-22,29.8
2024-02-23,27.4
2024-02-24,28.7
2024-02-25,18.6
2024-02-26,13.9
2024-02-27,26.0
2024-02-28,18.9
2024-02-29,26.1
2024-03-01,12.0
2024-03-02,25.5
2024-03-03,25.0
2024-03-04,16.5
2024-03-05,16.2
2024-03-06,25.7
2024-03-07,19.6
2024-03-08,14.5
2024-03-09,13.9
2024-03-10,14.0
2024-03-11,17.3
2024-03-12,28.9
2024-03-13,27.2
2024-03-14,19.3
2024-03-15,21.3
2024-03-16,24.3
2024-03-17,12.7
2024-03-18,28.9
2024-03-19,19.8
2024-03-20,14.2
2024-03-21,27.7
2024-03-22,24.8
2024-03-23,29.1
2024-03-24,21.3
2024-03-25,13.6
2024-03-26,23.7
2024-03-27,18.6
2024-03-28,18.9
2024-03-29,19.0
2024-03-30,19.5
2024-03-31,27.2
2024-04-01,24.4
2024-04-02,14.0
2024-04-03,11.2
2024-04-04,27.8
2024-04-05,28.6
2024-04-06,23.1
2024-04-07,14.2
2024-04-08,23.3
2024-04-09,16.5
2024-04-10,23.4
2024-04-11,27.0
2024-04-12,19.4
2024-04-13,26.7
2024-04-14,22.4
2024-04-15,14.8
2024-04-16,27.0
2024-04-17,27.4
2024-04-18,18.6
2024-04-19,10.5
2024-04-20,13.9
2024-04-21,14.9
2024-04-22,10.6
2024-04-23,25.1
2024-04-24,13.7
2024-04-25,21.0
2024-04-26,20.4
2024-04-27,15.4
2024-04-28,25.6
2024-04-29,25.2
2024-04-30,28.6
2024-05-01,10.6
2024-05-02,11.4
2024-05-03,18.7
2024-05-04,27.3
2024-05-05,21.7
2024-05-06,28.3
2024-05-07,26.7
2024-05-08,10.8
2024-05-09,17.8
2024-05-10,17.1
2024-05-11,26.9
2024-05-12,10.9
2024-05-13,27.5
2024-05-14,19.2
2024-05-15,23.7
2024-05-16,14.3
2024-05-17,22.0
2024-05-18,14.6
2024-05-19,23.7
2024-05-20,17.5
2024-05-21,19.2
2024-05-22,22.6
2024-05-23,25.7
2024-05-24,17.5
2024-05-25,28.5
2024-05-26,22.0
2024-05-27,15.0
2024-05-28,25.7
2024-05-29,20.7
2024-05-30,25.7
2024-05-31,17.7
2024-06-01,14.5
2024-06-02,21.8
2024-06-03,15.3
2024-06-04,16.7
2024-06-05,26.7
2024-06-06,21.7
2024-06-07,26.2
2024-06-08,18.5
2024-06-09,26.6
2024-06-10,20.5
2024-06-11,18.9
2024-06-12,24.9
2024-06-13,12.5
2024-06-14,22.5
2024-06-15,22.5
2024-06-16,12.5
2024-06-17,11.9
2024-06-18,18.8
2024-06-19,22.5
2024-06-20,17.3
2024-06-21,13.1
2024-06-22,19.2
2024-06-23,28.5
2024-06-24,29.8
2024-06-25,22.8
2024-06-26,22.0
2024-06-27,14.9
2024-06-28,25.1
2024-06-29,23.4
2024-06-30,23.8
2024-07-01,19.5
2024-07-02,25.2
2024-07-03,17.6
2024-07-04,10.1
2024-07-05,23.1
2024-07-06,20.6
2024-07-07,14.9
2024-07-08,17.0
2024-07-09,20.7
2024-07-10,18.5
2024-07-11,25.8
2024-07-12,17.8
2024-07-13,27.3
2024-07-14,28.9
2024-07-15,20.7
2024-07-16,10.5
2024-07-17,26.2
2024-07-18,15.2
2024-07-19,13.9
2024-07-20,24.6
2024-07-21,22.2
2024-07-22,19.2
2024-07-23,17.0
2024-07-24,28.9
2024-07-25,25.6
2024-07-26,22.5
2024-07-27,12.3
2024-07-28,10.6
2024-07-29,15.9
2024-07-30,18.9
2024-07-31,14.5
2024-08-01,24.7
2024-08-02,14.2
2024-08-03,20.0
2024-08-04,23.7
2024-08-05,23.2
2024-08-06,28.8
2024-08-07,20.4
2024-08-08,22.5
2024-08-09,13.9
2024-08-10,20.4
2024-08-11,24.5
2024-08-12,25.6
2024-08-13,16.2
2024-08-14,22.4
2024-08-15,27.9
2024-08-16,14.9
2024-08-17,22.4
2024-08-18,22.4
2024-08-19,26.1
2024-08-20,16.0
2024-08-21,21.9
2024-08-22,14.6
2024-08-23,24.4
2024-08-24,17.6
2024-08-25,13.7
2024-08-26,27.9
2024-08-27,11.6
2024-08-28,22.4
2024-08-29,11.5
2024-08-30,24.7
2024-08-31,12.1
2024-09-01,15.0
2024-09-02,19.1
2024-09-03,19.9
2024-09-04,27.7
2024-09-05,11.6
2024-09-06,18.8
2024-09-07,20.2
2024-09-08,14.2
2024-09-09,17.5
2024-09-10,25.0
2024-09-11,27.3
2024-09-12,26.8
2024-09-13,25.5
2024-09-14,16.7
2024-09-15,11.1
2024-09-16,28.1
2024-09-17,24.8
2024-09-18,11.2
2024-09-19,13.7
2024-09-20,21.7
2024-09-21,16.7
2024-09-22,10.2
2024-09-23,17.7
2024-09-24,16.9
2024-09-25,20.5
2024-09-26,24.6
2024-09-27,11.6
2024-09-28,21.5
2024-09-29,13.7
2024-09-30,24.5
2024-10-01,11.4
2024-10-02,27.6
2024-10-03,16.2
2024-10-04,21.1
2024-10-05,29.1
2024-10-06,24.1
2024-10-07,29.8
2024-10-08,23.5
2024-10-09,17.1
2024-10-10,21.2
2024-10-11,25.4
2024-10-12,15.8
2024-10-13,21.6
2024-10-14,19.5
2024-10-15,21.7
2024-10-16,19.1
2024-10-17,19.3
2024-10-18,23.4
2024-10-19,26.4
2024-10-20,17.9
2024-10-21,28.2
2024-10-22,16.4
2024-10-23,21.4
2024-10-24,27.8
2024-10-25,28.2
2024-10-26,26.0
2024-10-27,17.3
