date,temperature
2023-06-10,25.0
2023-06-11,27.8
2023-06-12,-4.5
2023-06-13,20.4
2023-06-14,16.5
2023-06-15,18.1
2023-06-16,27.6
2023-06-17,20.5
2023-06-18,15.7
2023-06-19,28.8
2023-06-20,-3.3
2023-06-21,13.9
2023-06-22,15.2
2023-06-23,28.3
2023-06-24,16.9
2023-06-25,21.0
2023-06-26,14.7
2023-06-27,25.5
2023-06-28,-0.2
2023-06-29,24.9
2023-06-30,3.2
2023-07-01,28.3
2023-07-02,5.5
2023-07-03,28.2
2023-07-04,20.4
2023-07-05,17.3
2023-07-06,20.9
2023-07-07,12.9
2023-07-08,24.8
2023-07-09,20.4
2023-07-10,14.8
2023-07-11,14.6
2023-07-12,11.4
2023-07-13,11.6
2023-07-14,25.3
2023-07-15,14.4
2023-07-16,22.6
2023-07-17,3.9
2023-07-18,27.7
2023-07-19,-3.7
2023-07-20,-3.4
2023-07-21,23.6
2023-07-22,19.4
2023-07-23,2.2
2023-07-24,29.5
2023-07-25,-4.6
2023-07-26,22.6
2023-07-27,11.4
2023-07-28,19.2
2023-07-29,12.0
2023-07-30,-4.2
2023-07-31,1.7
2023-08-01,29.1
2023-08-02,17.4
2023-08-03,10.4
2023-08-04,21.8
2023-08-05,21.8
2023-08-06,7.1
2023-08-07,15.6
2023-08-08,-2.5
2023-08-09,8.7
2023-08-10,4.1
2023-08-11,7.2
2023-08-12,4.1
2023-08-13,12.1
2023-08-14,22.6
2023-08-15,6.9
2023-08-16,0.8
2023-08-17,25.6
2023-08-18,4.6
2023-08-19,18.5
2023-08-20,20.8
2023-08-21,6.9
2023-08-22,1.8
2023-08-23,12.3
2023-08-24,21.3
2023-08-25,8.6
2023-08-26,22.4
2023-08-27,14.0
2023-08-28,21.7
2023-08-29,24.9
2023-08-30,17.5
2023-08-31,8.9
2023-09-01,25.9
2023-09-02,-4.4
2023-09-03,30.0
2023-09-04,15.3
2023-09-05,23.2
2023-09-06,-3.6
2023-09-07,25.2
2023-09-08,9.8
2023-09-09,2.7
2023-09-10,23.5
2023-09-11,-0.6
2023-09-12,20.7
2023-09-13,12.3
2023-09-14,2.6
2023-09-15,-4.4
2023-09-16,7.4
2023-09-17,2.4
2023-09-18,5.1
2023-09-19,8.2
2023-09-20,0.3
2023-09-21,7.5
2023-09-22,1.2
2023-09-23,-4.1
2023-09-24,4.5
2023-09-25,1.4
2023-09-26,19.5
2023-09-27,25.8
2023-09-28,20.2
2023-09-29,2.6
2023-09-30,-2.5
2023-10-01,3.7
2023-10-02,19.1
2023-10-03,26.6
2023-10-04,25.1
2023-10-05,7.5
2023-10-06,19.1
2023-10-07,20.2
2023-10-08,28.2
2023-10-09,-0.2
2023-10-10,2.5
2023-10-11,1.9
2023-10-12,25.9
2023-10-13,15.7
2023-10-14,4.4
2023-10-15,16.5
2023-10-16,-3.9
2023-10-17,1.8
2023-10-18,17.2
2023-10-19,-1.7
2023-10-20,5.4
2023-10-21,4.9
2023-10-22,13.1
2023-10-23,29.9
2023-10-24,22.9
2023-10-25,20.6
2023-10-26,18.9
2023-10-27,29.5
2023-10-28,0.0
2023-10-29,12.8
2023-10-30,10.6
2023-10-31,9.1
2023-11-01,2.3
2023-11-02,17.3
2023-11-03,9.7
2023-11-04,1.6
2023-11-05,4.9
2023-11-06,16.7
2023-11-07,0.9
2023-11-08,2.3
2023-11-09,3.2
2023-11-10,16.1
2023-11-11,14.8
2023-11-12,2.3
2023-11-13,-2.5
2023-11-14,6.4
2023-11-15,20.7
2023-11-16,16.2
2023-11-17,4.8
2023-11-18,29.8
2023-11-19,6.2
2023-11-20,10.1
2023-11-21,27.1
2023-11-22,21.7
2023-11-23,9.6
2023-11-24,14.5
2023-11-25,9.6
2023-11-26,25.6
2023-11-27,10.1
2023-11-28,19.8
2023-11-29,7.0
2023-11-30,-0.4
2023-12-01,29.0
2023-12-02,7.3
2023-12-03,28.2
2023-12-04,3.3
2023-12-05,19.0
2023-12-06,28.6
2023-12-07,26.2
2023-12-08,14.7
2023-12-09,29.8
2023-12-10,6.2
2023-12-11,4.9
2023-12-12,5.6
2023-12-13,11.3
2023-12-14,-2.3
2023-12-15,11.5
2023-12-16,28.5
2023-12-17,24.3
2023-12-18,7.0
2023-12-19,3.9
2023-12-20,19.0
2023-12-21,29.9
2023-12-22,12.7
2023-12-23,10.7
2023-12-24,1.2
2023-12-25,5.6
2023-12-26,17.0
2023-12-27,8.0
2023-12-28,1.3
2023-12-29,9.0
2023-12-30,4.0
2023-12-31,21.5
2024-01-01,13.7
2024-01-02,26.8
2024-01-03,15.7
2024-01-04,-2.9
2024-01-05,21.0
2024-01-06,19.6
2024-01-07,12.5
2024-01-08,6.3
2024-01-09,14.3
2024-01-10,23.6
2024-01-11,17.7
2024-01-12,19.4
2024-01-13,26.3
2024-01-14,0.7
2024-01-15,0.2
2024-01-16,4.7
2024-01-17,12.9
2024-01-18,5.4
2024-01-19,21.7
2024-01-20,15.8
2024-01-21,22.7
2024-01-22,9.4
2024-01-23,28.0
2024-01-24,11.9
2024-01-25,22.9
2024-01-26,0.8
2024-01-27,22.0
2024-01-28,21.6
2024-01-29,9.6
2024-01-30,14.6
2024-01-31,0.1
2024-02-01,28.1
2024-02-02,4.9
2024-02-03,18.1
2024-02-04,14.9
2024-02-05,23.0
2024-02-06,24.8
2024-02-07,-3.9
2024-02-08,2.1
2024-02-09,13.1
2024-02-10,21.7
2024-02-11,14.0
2024-02-12,19.8
2024-02-13,23.3
2024-02-14,-4.1
2024-02-15,6.8
2024-02-16,27.3
2024-02-17,19.2
2024-02-18,26.2
2024-02-19,9.0
2024-02-20,15.0
2024-02-21,2.6
2024-02-22,-3.4
2024-02-23,-3.9
2024-02-24,8.4
2024-02-25,21.4
2024-02-26,8.6
2024-02-27,25.7
2024-02-28,-2.1
2024-02-29,22.2
2024-03-01,1.5
2024-03-02,14.8
2024-03-03,23.1
2024-03-04,20.6
2024-03-05,20.5
2024-03-06,14.1
2024-03-07,-2.3
2024-03-08,15.7
2024-03-09,14.4
