date,temperature
2023-06-10,26.8
2023-06-11,14.9
2023-06-12,29.0
2023-06-13,2.5
2023-06-14,5.3
2023-06-15,15.9
2023-06-16,29.2
2023-06-17,18.7
2023-06-18,18.4
2023-06-19,23.7
2023-06-20,2.8
2023-06-21,10.1
2023-06-22,22.5
2023-06-23,26.2
2023-06-24,7.5
2023-06-25,12.6
2023-06-26,10.1
2023-06-27,15.8
2023-06-28,24.2
2023-06-29,9.1
2023-06-30,10.4
2023-07-01,10.6
2023-07-02,8.5
2023-07-03,24.6
2023-07-04,19.6
2023-07-05,25.7
2023-07-06,26.5
2023-07-07,8.3
2023-07-08,1.0
2023-07-09,18.3
2023-07-10,12.8
2023-07-11,7.9
2023-07-12,11.5
2023-07-13,25.2
2023-07-14,24.6
2023-07-15,23.4
2023-07-16,22.6
2023-07-17,22.1
2023-07-18,20.5
2023-07-19,11.0
2023-07-20,29.5
2023-07-21,9.1
2023-07-22,8.7
2023-07-23,15.6
2023-07-24,5.2
2023-07-25,28.3
2023-07-26,5.3
2023-07-27,1.9
2023-07-28,17.8
2023-07-29,14.5
2023-07-30,18.4
2023-07-31,6.3
2023-08-01,18.1
2023-08-02,29.6
2023-08-03,20.1
2023-08-04,25.1
2023-08-05,14.5
2023-08-06,23.7
2023-08-07,24.0
2023-08-08,16.9
2023-08-09,19.7
2023-08-10,5.8
2023-08-11,4.1
2023-08-12,25.3
2023-08-13,8.7
2023-08-14,3.2
2023-08-15,3.9
2023-08-16,11.2
2023-08-17,21.0
2023-08-18,5.1
2023-08-19,6.2
2023-08-20,10.1
2023-08-21,16.6
2023-08-22,25.5
2023-08-23,4.2
2023-08-24,23.9
2023-08-25,6.7
2023-08-26,24.0
2023-08-27,11.1
2023-08-28,12.7
2023-08-29,22.9
2023-08-30,22.7
2023-08-31,3.3
2023-09-01,4.8
2023-09-02,2.8
2023-09-03,10.5
2023-09-04,1.2
2023-09-05,24.4
2023-09-06,14.3
2023-09-07,3.4
2023-09-08,8.3
2023-09-09,19.0
2023-09-10,7.8
2023-09-11,20.9
2023-09-12,12.4
2023-09-13,11.6
2023-09-14,13.4
2023-09-15,14.8
2023-09-16,2.6
2023-09-17,7.0
2023-09-18,16.1
2023-09-19,23.6
2023-09-20,9.3
2023-09-21,27.9
2023-09-22,17.4
2023-09-23,25.8
2023-09-24,15.5
2023-09-25,13.2
2023-09-26,5.7
2023-09-27,25.3
2023-09-28,20.6
2023-09-29,27.4
2023-09-30,17.5
2023-10-01,0.4
2023-10-02,18.4
2023-10-03,18.1
2023-10-04,15.7
2023-10-05,4.1
2023-10-06,21.9
2023-10-07,10.8
2023-10-08,19.6
2023-10-09,13.0
2023-10-10,3.0
2023-10-11,25.5
2023-10-12,18.3
2023-10-13,1.6
2023-10-14,9.3
2023-10-15,21.9
2023-10-16,1.9
2023-10-17,6.4
2023-10-18,20.9
2023-10-19,26.2
2023-10-20,7.2
2023-10-21,27.3
2023-10-22,13.7
2023-10-23,26.7
2023-10-24,2.7
2023-10-25,4.8
2023-10-26,24.0
2023-10-27,25.0
2023-10-28,3.3
2023-10-29,4.9
2023-10-30,22.6
2023-10-31,17.3
2023-11-01,3.6
2023-11-02,9.5
2023-11-03,12.4
2023-11-04,25.3
2023-11-05,1.7
2023-11-06,14.2
2023-11-07,13.7
2023-11-08,21.7
2023-11-09,4.8
2023-11-10,25.5
2023-11-11,26.5
2023-11-12,2.7
2023-11-13,7.7
2023-11-14,11.4
2023-11-15,8.1
2023-11-16,1.6
2023-11-17,3.7
2023-11-18,28.1
2023-11-19,20.7
2023-11-20,2.7
2023-11-21,12.4
2023-11-22,28.1
2023-11-23,2.6
2023-11-24,12.2
2023-11-25,11.0
2023-11-26,11.5
2023-11-27,12.5
2023-11-28,7.8
2023-11-29,1.0
2023-11-30,26.3
2023-12-01,4.6
2023-12-02,15.6
2023-12-03,0.9
2023-12-04,3.6
2023-12-05,21.7
2023-12-06,0.6
2023-12-07,8.1
2023-12-08,20.5
2023-12-09,0.7
2023-12-10,3.4
2023-12-11,5.7
2023-12-12,17.1
2023-12-13,11.1
2023-12-14,26.5
2023-12-15,6.4
2023-12-16,0.5
2023-12-17,17.3
2023-12-18,6.8
2023-12-19,20.2
2023-12-20,26.6
2023-12-21,3.4
2023-12-22,19.7
2023-12-23,5.4
2023-12-24,5.8
2023-12-25,2.2
2023-12-26,14.2
2023-12-27,8.3
2023-12-28,7.8
2023-12-29,16.4
2023-12-30,3.3
2023-12-31,8.1
2024-01-01,14.4
2024-01-02,5.5
2024-01-03,15.8
2024-01-04,0.3
2024-01-05,10.9
2024-01-06,0.1
2024-01-07,8.7
2024-01-08,21.4
2024-01-09,19.2
2024-01-10,0.8
2024-01-11,8.3
2024-01-12,21.5
2024-01-13,22.6
2024-01-14,29.9
2024-01-15,26.4
2024-01-16,7.6
2024-01-17,3.2
2024-01-18,6.6
2024-01-19,9.6
2024-01-20,3.2
2024-01-21,5.7
2024-01-22,7.5
2024-01-23,16.8
2024-01-24,12.0
2024-01-25,17.3
2024-01-26,6.4
2024-01-27,6.0
2024-01-28,24.3
2024-01-29,8.2
2024-01-30,13.4
2024-01-31,6.3
2024-02-01,22.6
2024-02-02,16.6
2024-02-03,5.9
2024-02-04,9.8
2024-02-05,2.5
2024-02-06,7.4
2024-02-07,3.4
2024-02-08,26.0
2024-02-09,28.6
2024-02-10,0.8
2024-02-11,25.0
2024-02-12,17.0
2024-02-13,26.0
2024-02-14,19.6
2024-02-15,7.1
2024-02-16,4.7
2024-02-17,29.9
2024-02-18,29.0
2024-02-19,5.2
2024-02-20,18.5
2024-02-21,14.4
2024-02-22,7.0
2024-02-23,25.0
2024-02-24,26.4
2024-02-25,18.2
2024-02-26,6.9
2024-02-27,19.4
2024-02-28,1.0
2024-02-29,21.3
2024-03-01,5.8
2024-03-02,27.3
2024-03-03,24.9
2024-03-04,11.6
2024-03-05,8.2
2024-03-06,10.4
2024-03-07,17.8
2024-03-08,21.9
2024-03-09,8.4
2024-03-10,17.0
2024-03-11,2.9
2024-03-12,3.6
2024-03-13,5.2
2024-03-14,2.5
2024-03-15,20.5
2024-03-16,19.1
2024-03-17,21.5
2024-03-18,12.4
2024-03-19,20.2
2024-03-20,0.1
2024-03-21,11.3
2024-03-22,17.6
2024-03-23,13.3
2024-03-24,17.9
2024-03-25,2.1
2024-03-26,20.5
2024-03-27,23.4
2024-03-28,14.7
