date,temperature
2023-06-10,9.3
2023-06-11,16.4
2023-06-12,-4.6
2023-06-13,16.9
2023-06-14,0.6
2023-06-15,-8.8
2023-06-16,-13.4
2023-06-17,-10.4
2023-06-18,6.5
2023-06-19,12.6
2023-06-20,-5.5
2023-06-21,6.4
2023-06-22,12.3
2023-06-23,-8.9
2023-06-24,24.9
2023-06-25,14.0
2023-06-26,11.4
2023-06-27,-5.9
2023-06-28,3.1
2023-06-29,18.4
2023-06-30,6.4
2023-07-01,-7.0
2023-07-02,-2.2
2023-07-03,1.5
2023-07-04,6.9
2023-07-05,0.5
2023-07-06,-6.4
2023-07-07,-11.3
2023-07-08,6.7
2023-07-09,20.8
2023-07-10,-5.1
2023-07-11,-0.4
2023-07-12,4.9
2023-07-13,9.5
2023-07-14,-9.5
2023-07-15,-7.3
2023-07-16,-4.7
2023-07-17,-2.6
2023-07-18,19.6
2023-07-19,-1.1
2023-07-20,18.4
2023-07-21,4.2
2023-07-22,15.2
2023-07-23,-1.0
2023-07-24,-12.4
2023-07-25,3.0
2023-07-26,22.4
2023-07-27,-6.1
2023-07-28,-14.6
2023-07-29,-7.0
2023-07-30,1.2
2023-07-31,-6.4
2023-08-01,10.0
2023-08-02,0.9
2023-08-03,-2.8
2023-08-04,17.6
2023-08-05,-13.0
2023-08-06,-7.2
2023-08-07,10.2
2023-08-08,-13.5
2023-08-09,-6.5
2023-08-10,11.1
2023-08-11,-14.1
2023-08-12,18.7
2023-08-13,-4.2
2023-08-14,-3.8
2023-08-15,19.2
2023-08-16,-12.5
2023-08-17,-3.3
2023-08-18,-13.2
2023-08-19,9.9
2023-08-20,6.0
2023-08-21,2.5
2023-08-22,24.8
2023-08-23,-14.4
2023-08-24,21.5
2023-08-25,1.2
2023-08-26,24.2
2023-08-27,-0.2
2023-08-28,12.6
2023-08-29,18.7
2023-08-30,-4.0
2023-08-31,2.1
2023-09-01,-4.3
2023-09-02,-13.7
2023-09-03,-9.7
2023-09-04,10.4
2023-09-05,24.9
2023-09-06,11.1
2023-09-07,23.0
2023-09-08,17.6
2023-09-09,15.5
2023-09-10,7.8
2023-09-11,16.7
2023-09-12,-11.2
2023-09-13,-7.6
2023-09-14,21.5
2023-09-15,-12.9
2023-09-16,-2.3
2023-09-17,5.4
2023-09-18,-11.6
2023-09-19,-2.4
2023-09-20,-6.3
2023-09-21,20.3
2023-09-22,-8.9
2023-09-23,20.1
2023-09-24,2.7
2023-09-25,-13.7
2023-09-26,23.0
2023-09-27,19.2
2023-09-28,-1.6
2023-09-29,2.5
2023-09-30,22.1
2023-10-01,16.5
2023-10-02,3.9
2023-10-03,9.1
2023-10-04,22.8
2023-10-05,-9.2
2023-10-06,20.3
2023-10-07,-13.0
2023-10-08,1.8
2023-10-09,17.7
2023-10-10,-5.6
2023-10-11,1.7
2023-10-12,-4.9
2023-10-13,-13.9
2023-10-14,-13.9
2023-10-15,-14.9
2023-10-16,23.6
2023-10-17,19.6
2023-10-18,1.6
2023-10-19,19.4
2023-10-20,19.3
2023-10-21,11.8
2023-10-22,-4.9
2023-10-23,-13.1
2023-10-24,-7.7
2023-10-25,15.2
2023-10-26,7.0
2023-10-27,20.1
2023-10-28,-4.4
2023-10-29,6.5
2023-10-30,22.4
2023-10-31,4.2
2023-11-01,-0.7
2023-11-02,10.4
2023-11-03,9.6
2023-11-04,11.1
2023-11-05,13.3
2023-11-06,-10.3
