date,temperature
2023-06-10,-13.5
2023-06-11,4.1
2023-06-12,7.9
2023-06-13,4.1
2023-06-14,1.7
2023-06-15,2.8
2023-06-16,-14.0
2023-06-17,21.2
2023-06-18,8.0
2023-06-19,-13.2
2023-06-20,15.5
2023-06-21,17.6
2023-06-22,6.1
2023-06-23,-5.9
2023-06-24,14.7
2023-06-25,-5.1
2023-06-26,21.4
2023-06-27,9.1
2023-06-28,-7.5
2023-06-29,13.8
2023-06-30,-1.0
2023-07-01,10.3
2023-07-02,2.5
2023-07-03,0.2
2023-07-04,-3.9
2023-07-05,17.7
2023-07-06,-12.1
2023-07-07,-0.8
2023-07-08,7.0
2023-07-09,-4.7
2023-07-10,-8.7
2023-07-11,24.6
2023-07-12,24.7
2023-07-13,12.1
2023-07-14,11.8
2023-07-15,-14.0
2023-07-16,3.7
2023-07-17,-0.7
2023-07-18,19.1
2023-07-19,-7.6
2023-07-20,-12.0
2023-07-21,15.4
2023-07-22,-7.9
2023-07-23,20.5
2023-07-24,-5.2
2023-07-25,19.7
2023-07-26,-11.2
2023-07-27,3.2
2023-07-28,-14.4
2023-07-29,18.1
2023-07-30,0.8
2023-07-31,-8.6
2023-08-01,24.6
2023-08-02,13.3
2023-08-03,-12.6
2023-08-04,17.7
2023-08-05,2.1
2023-08-06,19.5
2023-08-07,14.6
2023-08-08,18.3
2023-08-09,-1.2
2023-08-10,22.1
2023-08-11,22.3
2023-08-12,-9.2
2023-08-13,13.6
2023-08-14,2.3
2023-08-15,-4.3
2023-08-16,-13.9
2023-08-17,20.9
2023-08-18,-11.6
2023-08-19,21.2
2023-08-20,8.8
2023-08-21,7.8
2023-08-22,-7.4
2023-08-23,15.6
2023-08-24,1.0
2023-08-25,15.5
2023-08-26,1.3
2023-08-27,8.6
2023-08-28,12.8
2023-08-29,-4.6
2023-08-30,10.7
2023-08-31,22.9
2023-09-01,7.3
2023-09-02,-12.3
2023-09-03,2.8
2023-09-04,-6.9
2023-09-05,1.8
2023-09-06,6.1
2023-09-07,0.4
2023-09-08,17.9
2023-09-09,8.0
2023-09-10,13.4
2023-09-11,8.4
2023-09-12,9.9
