date,temperature
2023-06-10,24.0
2023-06-11,26.4
2023-06-12,15.3
2023-06-13,30.1
2023-06-14,20.2
2023-06-15,26.0
2023-06-16,23.8
2023-06-17,28.6
2023-06-18,32.7
2023-06-19,21.0
2023-06-20,27.8
2023-06-21,17.6
2023-06-22,26.0
2023-06-23,25.0
2023-06-24,27.2
2023-06-25,15.8
2023-06-26,17.2
2023-06-27,19.5
2023-06-28,33.2
2023-06-29,26.3
2023-06-30,23.4
2023-07-01,21.4
2023-07-02,16.8
2023-07-03,19.8
2023-07-04,31.9
2023-07-05,17.5
2023-07-06,29.3
2023-07-07,22.8
2023-07-08,24.9
2023-07-09,17.2
2023-07-10,19.4
2023-07-11,20.6
2023-07-12,32.7
2023-07-13,16.4
2023-07-14,17.7
2023-07-15,20.0
2023-07-16,18.9
2023-07-17,29.3
2023-07-18,30.5
2023-07-19,26.3
2023-07-20,26.5
2023-07-21,27.0
2023-07-22,15.3
2023-07-23,24.6
2023-07-24,29.8
2023-07-25,23.4
2023-07-26,15.0
2023-07-27,25.7
2023-07-28,31.8
2023-07-29,15.8
2023-07-30,19.1
2023-07-31,27.5
2023-08-01,20.3
2023-08-02,24.4
2023-08-03,27.6
2023-08-04,29.7
2023-08-05,31.5
2023-08-06,32.2
2023-08-07,26.7
2023-08-08,21.8
2023-08-09,26.8
2023-08-10,27.9
2023-08-11,30.7
2023-08-12,19.5
2023-08-13,26.8
2023-08-14,18.8
2023-08-15,34.1
2023-08-16,32.8
2023-08-17,28.8
2023-08-18,15.0
2023-08-19,33.5
2023-08-20,30.8
2023-08-21,19.3
2023-08-22,18.7
2023-08-23,22.6
2023-08-24,15.9
2023-08-25,23.3
2023-08-26,25.0
2023-08-27,29.0
2023-08-28,32.0
2023-08-29,31.0
2023-08-30,24.9
2023-08-31,31.9
2023-09-01,27.2
2023-09-02,21.6
2023-09-03,16.9
2023-09-04,30.4
2023-09-05,31.2
2023-09-06,34.6
2023-09-07,20.3
2023-09-08,18.9
2023-09-09,26.7
2023-09-10,32.6
2023-09-11,29.4
