date,temperature
2023-06-10,20.7
2023-06-11,24.7
2023-06-12,20.9
2023-06-13,13.1
2023-06-14,24.8
2023-06-15,26.1
2023-06-16,16.4
2023-06-17,27.8
2023-06-18,10.4
2023-06-19,15.8
2023-06-20,22.6
2023-06-21,28.2
2023-06-22,25.7
2023-06-23,21.0
2023-06-24,25.3
2023-06-25,28.5
2023-06-26,10.9
2023-06-27,14.3
2023-06-28,12.3
2023-06-29,26.2
2023-06-30,11.2
2023-07-01,25.7
2023-07-02,14.5
2023-07-03,25.4
2023-07-04,20.8
2023-07-05,18.7
2023-07-06,14.9
2023-07-07,29.0
2023-07-08,15.5
2023-07-09,28.3
2023-07-10,22.3
2023-07-11,28.4
2023-07-12,22.6
2023-07-13,23.7
2023-07-14,27.5
2023-07-15,22.2
2023-07-16,23.7
2023-07-17,19.6
2023-07-18,12.1
2023-07-19,12.4
2023-07-20,11.0
2023-07-21,24.6
2023-07-22,25.0
2023-07-23,15.8
2023-07-24,25.8
2023-07-25,25.6
2023-07-26,23.0
2023-07-27,10.3
2023-07-28,26.7
2023-07-29,28.2
2023-07-30,18.4
2023-07-31,10.8
2023-08-01,19.1
2023-08-02,13.0
2023-08-03,10.7
2023-08-04,15.8
2023-08-05,11.6
2023-08-06,20.2
2023-08-07,10.6
2023-08-08,10.7
2023-08-09,25.0
2023-08-10,26.7
2023-08-11,17.8
2023-08-12,15.5
2023-08-13,24.2
2023-08-14,28.5
2023-08-15,20.9
2023-08-16,14.3
2023-08-17,18.2
2023-08-18,28.9
2023-08-19,14.8
2023-08-20,20.0
2023-08-21,25.8
2023-08-22,14.5
2023-08-23,10.1
2023-08-24,10.3
2023-08-25,29.5
2023-08-26,22.7
2023-08-27,27.3
2023-08-28,14.6
2023-08-29,28.2
2023-08-30,18.7
2023-08-31,28.6
2023-09-01,11.9
2023-09-02,29.6
2023-09-03,11.7
2023-09-04,15.4
2023-09-05,18.0
2023-09-06,28.8
2023-09-07,26.9
2023-09-08,18.3
2023-09-09,14.6
2023-09-10,25.6
2023-09-11,17.8
2023-09-12,15.6
2023-09-13,17.2
2023-09-14,22.6
2023-09-15,27.4
2023-09-16,28.2
2023-09-17,26.4
2023-09-18,27.3
2023-09-19,17.2
2023-09-20,15.2
2023-09-21,27.5
2023-09-22,14.5
2023-09-23,23.9
2023-09-24,14.0
2023-09-25,15.1
2023-09-26,16.4
2023-09-27,25.1
2023-09-28,24.6
2023-09-29,27.5
2023-09-30,20.6
2023-10-01,11.4
2023-10-02,15.9
2023-10-03,20.8
2023-10-04,12.4
2023-10-05,13.2
2023-10-06,17.6
2023-10-07,15.5
2023-10-08,23.5
2023-10-09,15.5
2023-10-10,14.2
2023-10-11,23.0
2023-10-12,26.1
2023-10-13,20.7
2023-10-14,18.8
2023-10-15,12.1
2023-10-16,16.6
2023-10-17,29.8
2023-10-18,25.4
2023-10-19,29.7
2023-10-20,29.7
2023-10-21,17.6
2023-10-22,14.2
2023-10-23,22.6
2023-10-24,16.1
2023-10-25,29.2
2023-10-26,22.7
2023-10-27,26.4
2023-10-28,24.7
2023-10-29,27.5
2023-10-30,14.5
2023-10-31,26.1
2023-11-01,26.5
2023-11-02,19.6
2023-11-03,21.2
2023-11-04,10.6
2023-11-05,21.3
2023-11-06,20.1
2023-11-07,24.4
2023-11-08,23.0
2023-11-09,23.8
2023-11-10,19.3
2023-11-11,26.4
2023-11-12,13.7
2023-11-13,10.4
2023-11-14,22.4
2023-11-15,29.4
2023-11-16,11.8
2023-11-17,14.6
2023-11-18,14.5
2023-11-19,21.7
2023-11-20,24.1
2023-11-21,14.3
2023-11-22,22.5
2023-11-23,18.6
2023-11-24,22.0
2023-11-25,24.6
