date,temperature
2023-06-10,15.3
2023-06-11,24.8
2023-06-12,23.5
2023-06-13,26.2
2023-06-14,31.4
2023-06-15,26.1
2023-06-16,25.1
2023-06-17,21.2
2023-06-18,32.8
2023-06-19,25.0
2023-06-20,16.1
2023-06-21,38.2
2023-06-22,40.0
2023-06-23,10.8
2023-06-24,16.1
2023-06-25,29.6
2023-06-26,29.3
2023-06-27,23.5
2023-06-28,21.2
2023-06-29,38.0
2023-06-30,15.1
2023-07-01,31.7
2023-07-02,21.8
2023-07-03,11.0
2023-07-04,10.9
2023-07-05,39.8
2023-07-06,25.7
2023-07-07,20.6
2023-07-08,21.7
2023-07-09,28.8
2023-07-10,28.9
2023-07-11,37.5
2023-07-12,19.5
2023-07-13,20.3
2023-07-14,37.8
2023-07-15,19.9
2023-07-16,36.7
2023-07-17,30.9
2023-07-18,30.3
2023-07-19,32.8
2023-07-20,12.9
2023-07-21,18.0
2023-07-22,23.0
2023-07-23,23.1
2023-07-24,35.4
2023-07-25,16.8
2023-07-26,26.8
2023-07-27,27.7
2023-07-28,39.3
2023-07-29,31.9
2023-07-30,30.4
2023-07-31,30.7
2023-08-01,29.0
2023-08-02,20.0
2023-08-03,30.1
2023-08-04,15.5
2023-08-05,33.9
2023-08-06,35.5
2023-08-07,12.4
2023-08-08,10.2
2023-08-09,38.6
2023-08-10,21.6
2023-08-11,39.8
2023-08-12,19.4
2023-08-13,31.6
2023-08-14,37.9
2023-08-15,34.8
2023-08-16,33.3
2023-08-17,20.3
2023-08-18,27.5
2023-08-19,19.0
2023-08-20,38.0
2023-08-21,11.6
2023-08-22,26.6
2023-08-23,34.8
2023-08-24,36.7
2023-08-25,14.6
2023-08-26,31.6
2023-08-27,16.4
2023-08-28,10.3
2023-08-29,17.3
2023-08-30,13.3
2023-08-31,26.5
2023-09-01,23.1
2023-09-02,22.7
2023-09-03,18.5
2023-09-04,20.0
2023-09-05,32.2
2023-09-06,33.2
2023-09-07,14.6
2023-09-08,10.2
2023-09-09,21.1
2023-09-10,24.4
2023-09-11,27.4
2023-09-12,24.9
2023-09-13,11.3
2023-09-14,28.2
2023-09-15,19.1
2023-09-16,36.6
2023-09-17,17.5
2023-09-18,17.4
2023-09-19,16.2
2023-09-20,22.0
2023-09-21,36.2
2023-09-22,22.3
2023-09-23,16.6
2023-09-24,33.3
2023-09-25,16.8
2023-09-26,34.5
2023-09-27,27.5
2023-09-28,22.5
2023-09-29,39.8
2023-09-30,31.8
2023-10-01,22.4
2023-10-02,32.7
2023-10-03,31.2
2023-10-04,21.5
2023-10-05,32.3
2023-10-06,29.1
2023-10-07,25.5
2023-10-08,38.5
2023-10-09,31.7
2023-10-10,37.8
2023-10-11,15.0
2023-10-12,19.6
2023-10-13,39.9
2023-10-14,18.8
2023-10-15,38.4
2023-10-16,19.8
2023-10-17,19.0
2023-10-18,20.3
2023-10-19,29.5
2023-10-20,38.7
2023-10-21,33.4
2023-10-22,19.6
2023-10-23,33.4
2023-10-24,32.0
2023-10-25,36.7
2023-10-26,15.3
2023-10-27,35.8
2023-10-28,10.0
2023-10-29,25.0
2023-10-30,32.8
2023-10-31,33.3
2023-11-01,17.8
2023-11-02,27.3
2023-11-03,39.7
2023-11-04,20.7
2023-11-05,38.4
2023-11-06,34.4
2023-11-07,36.8
2023-11-08,21.1
2023-11-09,12.6
2023-11-10,14.6
2023-11-11,38.9
2023-11-12,32.2
2023-11-13,29.5
2023-11-14,26.6
2023-11-15,16.7
2023-11-16,12.2
2023-11-17,32.1
2023-11-18,12.6
2023-11-19,34.4
2023-11-20,10.9
2023-11-21,22.5
2023-11-22,17.9
2023-11-23,14.9
2023-11-24,14.6
2023-11-25,37.0
2023-11-26,33.6
2023-11-27,33.7
2023-11-28,34.8
2023-11-29,22.1
2023-11-30,24.2
2023-12-01,27.1
2023-12-02,16.9
2023-12-03,31.8
2023-12-04,21.1
2023-12-05,22.7
2023-12-06,32.8
2023-12-07,20.8
2023-12-08,36.3
2023-12-09,18.9
2023-12-10,20.4
2023-12-11,24.5
2023-12-12,13.5
2023-12-13,31.8
2023-12-14,16.9
2023-12-15,34.9
2023-12-16,17.9
2023-12-17,10.6
2023-12-18,24.3
2023-12-19,17.1
2023-12-20,14.3
2023-12-21,32.8
2023-12-22,37.1
2023-12-23,28.2
2023-12-24,11.5
2023-12-25,32.5
2023-12-26,34.8
2023-12-27,37.4
2023-12-28,20.8
2023-12-29,37.6
2023-12-30,16.8
2023-12-31,39.6
2024-01-01,37.8
2024-01-02,15.5
2024-01-03,17.5
2024-01-04,12.2
2024-01-05,20.2
2024-01-06,28.9
2024-01-07,23.4
2024-01-08,30.2
2024-01-09,31.6
2024-01-10,36.2
2024-01-11,33.3
2024-01-12,23.1
2024-01-13,36.1
2024-01-14,17.7
2024-01-15,15.7
2024-01-16,12.9
2024-01-17,24.4
2024-01-18,17.8
2024-01-19,19.3
2024-01-20,26.6
2024-01-21,30.6
2024-01-22,28.6
2024-01-23,32.5
2024-01-24,15.6
2024-01-25,35.1
2024-01-26,17.9
2024-01-27,24.1
2024-01-28,32.2
2024-01-29,15.9
2024-01-30,21.9
2024-01-31,21.5
2024-02-01,16.2
2024-02-02,23.0
2024-02-03,36.6
2024-02-04,16.4
2024-02-05,15.2
2024-02-06,16.5
2024-02-07,14.1
2024-02-08,32.6
2024-02-09,38.8
2024-02-10,34.5
2024-02-11,22.0
2024-02-12,15.3
2024-02-13,17.2
2024-02-14,25.7
2024-02-15,15.0
2024-02-16,19.4
2024-02-17,31.9
2024-02-18,27.8
2024-02-19,14.3
2024-02-20,23.9
2024-02-21,30.4
2024-02-22,33.2
2024-02-23,14.5
2024-02-24,20.3
2024-02-25,23.1
2024-02-26,21.5
2024-02-27,12.5
2024-02-28,36.0
2024-02-29,16.4
2024-03-01,19.0
2024-03-02,33.6
2024-03-03,31.4
2024-03-04,28.4
2024-03-05,17.5
2024-03-06,34.5
2024-03-07,10.9
2024-03-08,28.6
2024-03-09,30.8
2024-03-10,36.9
2024-03-11,36.4
2024-03-12,21.2
2024-03-13,22.7
2024-03-14,28.4
2024-03-15,38.7
2024-03-16,37.1
2024-03-17,18.8
2024-03-18,15.4
2024-03-19,17.2
2024-03-20,18.8
2024-03-21,29.6
2024-03-22,31.0
2024-03-23,20.8
2024-03-24,35.9
2024-03-25,18.7
2024-03-26,25.4
2024-03-27,26.9
2024-03-28,22.5
2024-03-29,20.0
2024-03-30,23.9
2024-03-31,11.2
2024-04-01,10.2
2024-04-02,36.0
2024-04-03,20.6
2024-04-04,12.4
2024-04-05,38.1
2024-04-06,10.6
2024-04-07,21.1
2024-04-08,38.5
2024-04-09,28.2
2024-04-10,24.7
2024-04-11,15.7
2024-04-12,36.6
2024-04-13,31.6
2024-04-14,25.2
2024-04-15,23.7
2024-04-16,36.8
2024-04-17,34.0
2024-04-18,19.0
2024-04-19,24.0
2024-04-20,14.6
2024-04-21,24.0
2024-04-22,29.1
2024-04-23,39.0
2024-04-24,14.0
2024-04-25,36.4
2024-04-26,13.9
2024-04-27,22.5
2024-04-28,33.6
2024-04-29,36.9
2024-04-30,18.8
2024-05-01,20.0
2024-05-02,18.6
2024-05-03,10.8
2024-05-04,30.5
2024-05-05,38.6
2024-05-06,35.7
2024-05-07,14.6
2024-05-08,28.4
2024-05-09,26.6
2024-05-10,23.6
2024-05-11,28.0
2024-05-12,36.0
2024-05-13,17.4
2024-05-14,22.8
2024-05-15,32.5
2024-05-16,10.4
2024-05-17,34.0
2024-05-18,25.2
2024-05-19,19.0
2024-05-20,21.5
2024-05-21,25.2
2024-05-22,33.8
2024-05-23,19.6
2024-05-24,37.9
2024-05-25,31.3
2024-05-26,10.9
2024-05-27,23.1
2024-05-28,22.6
2024-05-29,37.1
2024-05-30,36.6
2024-05-31,33.2
2024-06-01,32.3
2024-06-02,30.4
2024-06-03,33.7
2024-06-04,14.9
2024-06-05,18.1
2024-06-06,22.3
2024-06-07,18.9
2024-06-08,26.0
2024-06-09,30.3
2024-06-10,26.6
2024-06-11,25.8
2024-06-12,14.2
2024-06-13,15.3
2024-06-14,34.2
2024-06-15,27.2
2024-06-16,19.9
2024-06-17,26.1
2024-06-18,19.6
2024-06-19,28.1
2024-06-20,20.1
2024-06-21,35.9
2024-06-22,12.6
2024-06-23,19.6
2024-06-24,36.2
2024-06-25,27.0
2024-06-26,20.4
2024-06-27,29.5
2024-06-28,31.9
2024-06-29,14.0
2024-06-30,30.5
2024-07-01,10.7
2024-07-02,15.7
2024-07-03,14.6
2024-07-04,17.7
2024-07-05,31.2
2024-07-06,38.0
2024-07-07,11.9
2024-07-08,17.1
2024-07-09,37.6
2024-07-10,22.2
2024-07-11,33.6
2024-07-12,22.1
2024-07-13,36.5
2024-07-14,28.2
2024-07-15,32.3
2024-07-16,17.2
2024-07-17,26.7
2024-07-18,10.4
2024-07-19,18.9
2024-07-20,39.3
2024-07-21,35.1
2024-07-22,28.3
2024-07-23,23.5
2024-07-24,36.9
2024-07-25,17.7
2024-07-26,22.9
2024-07-27,39.7
2024-07-28,36.2
2024-07-29,19.0
2024-07-30,24.1
2024-07-31,24.1
2024-08-01,23.0
2024-08-02,16.9
2024-08-03,19.8
2024-08-04,17.4
2024-08-05,28.2
2024-08-06,24.0
2024-08-07,24.5
2024-08-08,36.3
2024-08-09,32.7
2024-08-10,25.4
2024-08-11,32.9
2024-08-12,28.7
2024-08-13,18.1
2024-08-14,17.5
2024-08-15,22.1
2024-08-16,29.2
2024-08-17,21.1
2024-08-18,38.8
2024-08-19,17.5
2024-08-20,30.9
2024-08-21,35.2
2024-08-22,13.7
2024-08-23,24.0
2024-08-24,15.4
2024-08-25,37.1
2024-08-26,39.4
2024-08-27,31.7
2024-08-28,26.8
2024-08-29,22.5
2024-08-30,29.2
2024-08-31,31.0
2024-09-01,29.9
2024-09-02,32.3
2024-09-03,39.3
2024-09-04,32.1
2024-09-05,29.1
2024-09-06,23.5
2024-09-07,31.1
2024-09-08,23.2
2024-09-09,39.6
2024-09-10,29.7
2024-09-11,12.6
2024-09-12,22.6
2024-09-13,22.2
2024-09-14,17.9
2024-09-15,16.4
2024-09-16,33.3
2024-09-17,19.9
2024-09-18,15.9
2024-09-19,37.3
2024-09-20,24.8
2024-09-21,37.8
2024-09-22,20.8
2024-09-23,12.1
2024-09-24,20.5
2024-09-25,10.7
2024-09-26,16.1
2024-09-27,12.9
2024-09-28,34.1
2024-09-29,12.4
2024-09-30,20.7
