date,temperature
2023-06-10,8.0
2023-06-11,17.6
2023-06-12,13.0
2023-06-13,22.1
2023-06-14,14.2
2023-06-15,1.4
2023-06-16,28.1
2023-06-17,2.9
2023-06-18,5.4
2023-06-19,18.8
2023-06-20,7.6
2023-06-21,5.9
2023-06-22,29.2
2023-06-23,24.2
2023-06-24,15.7
2023-06-25,28.8
2023-06-26,14.7
2023-06-27,1.0
2023-06-28,4.8
2023-06-29,9.9
2023-06-30,1.0
2023-07-01,26.1
2023-07-02,13.5
2023-07-03,28.0
2023-07-04,10.2
2023-07-05,24.2
2023-07-06,19.4
2023-07-07,6.5
2023-07-08,15.6
2023-07-09,26.6
2023-07-10,26.1
2023-07-11,1.4
2023-07-12,21.2
2023-07-13,3.9
2023-07-14,6.8
2023-07-15,15.2
2023-07-16,10.0
2023-07-17,28.3
2023-07-18,24.7
2023-07-19,7.4
2023-07-20,26.0
2023-07-21,4.1
2023-07-22,23.2
2023-07-23,22.2
2023-07-24,3.1
2023-07-25,22.4
2023-07-26,12.5
2023-07-27,3.2
2023-07-28,5.7
2023-07-29,16.0
2023-07-30,13.1
2023-07-31,26.3
2023-08-01,5.9
2023-08-02,3.3
2023-08-03,13.1
2023-08-04,8.2
2023-08-05,29.0
2023-08-06,11.2
2023-08-07,22.7
2023-08-08,0.1
2023-08-09,19.0
2023-08-10,22.2
2023-08-11,5.2
2023-08-12,7.0
2023-08-13,14.4
2023-08-14,21.9
2023-08-15,26.8
2023-08-16,24.2
2023-08-17,21.8
2023-08-18,4.3
2023-08-19,8.6
2023-08-20,22.9
2023-08-21,24.7
2023-08-22,24.0
2023-08-23,15.0
2023-08-24,24.0
2023-08-25,27.7
2023-08-26,26.2
2023-08-27,20.6
2023-08-28,18.5
2023-08-29,4.0
2023-08-30,26.3
2023-08-31,20.7
2023-09-01,25.6
2023-09-02,28.8
2023-09-03,6.3
2023-09-04,0.5
2023-09-05,14.0
2023-09-06,24.9
2023-09-07,9.0
2023-09-08,11.4
2023-09-09,19.9
2023-09-10,5.2
2023-09-11,14.2
2023-09-12,6.3
2023-09-13,9.4
2023-09-14,27.5
2023-09-15,23.3
2023-09-16,7.3
2023-09-17,9.8
2023-09-18,20.8
2023-09-19,7.4
2023-09-20,17.9
2023-09-21,15.5
2023-09-22,14.5
2023-09-23,12.9
2023-09-24,24.9
2023-09-25,28.5
2023-09-26,16.8
2023-09-27,3.0
2023-09-28,22.6
2023-09-29,8.2
2023-09-30,14.5
2023-10-01,1.4
2023-10-02,9.4
2023-10-03,2.8
2023-10-04,11.2
2023-10-05,6.7
2023-10-06,18.7
2023-10-07,12.8
2023-10-08,16.2
2023-10-09,15.2
2023-10-10,11.3
2023-10-11,29.8
2023-10-12,16.5
2023-10-13,24.1
2023-10-14,7.9
2023-10-15,10.1
2023-10-16,16.4
2023-10-17,21.3
2023-10-18,7.9
2023-10-19,25.3
2023-10-20,23.9
2023-10-21,1.4
2023-10-22,6.2
2023-10-23,1.1
2023-10-24,19.1
2023-10-25,28.3
2023-10-26,27.8
2023-10-27,10.6
2023-10-28,25.5
2023-10-29,22.6
2023-10-30,23.9
2023-10-31,10.1
2023-11-01,6.8
2023-11-02,1.5
2023-11-03,12.3
2023-11-04,25.0
2023-11-05,23.2
2023-11-06,9.5
2023-11-07,9.5
2023-11-08,26.9
2023-11-09,7.5
2023-11-10,1.8
2023-11-11,23.6
2023-11-12,25.1
2023-11-13,11.8
2023-11-14,2.9
2023-11-15,8.7
2023-11-16,19.8
2023-11-17,5.2
2023-11-18,10.5
2023-11-19,18.2
2023-11-20,5.8
2023-11-21,19.7
2023-11-22,22.1
2023-11-23,4.0
2023-11-24,14.3
2023-11-25,20.5
2023-11-26,19.4
2023-11-27,6.4
2023-11-28,1.4
2023-11-29,16.5
2023-11-30,26.9
2023-12-01,20.2
2023-12-02,11.7
2023-12-03,9.5
2023-12-04,28.3
2023-12-05,5.7
2023-12-06,15.1
2023-12-07,4.4
2023-12-08,2.5
2023-12-09,8.9
2023-12-10,19.2
2023-12-11,3.1
2023-12-12,23.7
2023-12-13,10.6
2023-12-14,2.9
2023-12-15,8.7
2023-12-16,12.3
2023-12-17,19.5
2023-12-18,25.3
2023-12-19,3.6
2023-12-20,18.2
2023-12-21,26.3
2023-12-22,29.3
2023-12-23,11.7
2023-12-24,4.4
2023-12-25,5.5
2023-12-26,19.7
2023-12-27,14.1
2023-12-28,20.0
2023-12-29,9.8
2023-12-30,22.9
2023-12-31,13.5
2024-01-01,10.7
2024-01-02,15.2
2024-01-03,7.4
2024-01-04,14.9
2024-01-05,21.6
2024-01-06,2.0
2024-01-07,28.9
2024-01-08,8.4
2024-01-09,6.6
2024-01-10,17.7
2024-01-11,24.3
2024-01-12,6.7
2024-01-13,24.9
2024-01-14,12.2
2024-01-15,25.8
2024-01-16,22.0
2024-01-17,21.5
2024-01-18,22.0
2024-01-19,17.6
2024-01-20,12.6
2024-01-21,4.1
2024-01-22,3.5
2024-01-23,3.5
2024-01-24,28.0
2024-01-25,21.8
2024-01-26,20.6
2024-01-27,11.5
2024-01-28,4.0
2024-01-29,18.5
2024-01-30,21.2
2024-01-31,25.7
2024-02-01,2.4
2024-02-02,13.3
2024-02-03,22.2
2024-02-04,2.2
2024-02-05,8.7
2024-02-06,26.2
2024-02-07,25.8
2024-02-08,18.7
2024-02-09,4.6
2024-02-10,20.1
2024-02-11,29.8
2024-02-12,16.3
2024-02-13,10.1
2024-02-14,2.2
2024-02-15,10.0
2024-02-16,28.3
2024-02-17,24.9
2024-02-18,19.2
2024-02-19,2.4
2024-02-20,6.1
2024-02-21,25.9
2024-02-22,25.6
2024-02-23,4.8
2024-02-24,26.8
2024-02-25,24.8
2024-02-26,24.9
2024-02-27,13.1
2024-02-28,19.8
2024-02-29,14.0
2024-03-01,5.1
2024-03-02,27.5
2024-03-03,3.2
2024-03-04,10.1
2024-03-05,24.8
2024-03-06,3.8
2024-03-07,14.0
2024-03-08,0.6
2024-03-09,21.9
2024-03-10,20.9
2024-03-11,19.5
2024-03-12,2.2
2024-03-13,11.6
2024-03-14,23.6
2024-03-15,14.0
2024-03-16,11.1
2024-03-17,28.0
2024-03-18,16.4
2024-03-19,12.3
2024-03-20,22.6
2024-03-21,20.3
2024-03-22,15.7
2024-03-23,9.5
2024-03-24,25.2
2024-03-25,27.3
2024-03-26,24.0
2024-03-27,17.6
2024-03-28,20.4
2024-03-29,15.2
2024-03-30,10.3
2024-03-31,8.7
2024-04-01,26.5
2024-04-02,18.7
2024-04-03,1.0
2024-04-04,9.8
2024-04-05,14.1
2024-04-06,26.8
2024-04-07,5.6
2024-04-08,24.1
2024-04-09,22.1
2024-04-10,23.4
2024-04-11,4.7
2024-04-12,2.5
2024-04-13,11.8
2024-04-14,6.7
2024-04-15,2.7
2024-04-16,3.1
2024-04-17,19.9
2024-04-18,14.9
2024-04-19,29.0
2024-04-20,3.8
2024-04-21,15.2
2024-04-22,6.0
2024-04-23,21.8
2024-04-24,19.8
2024-04-25,23.2
2024-04-26,15.5
2024-04-27,5.7
2024-04-28,5.5
2024-04-29,14.2
2024-04-30,14.2
2024-05-01,24.0
2024-05-02,7.3
2024-05-03,17.0
2024-05-04,28.5
2024-05-05,2.0
2024-05-06,21.3
2024-05-07,29.2
2024-05-08,22.2
2024-05-09,28.8
2024-05-10,6.9
2024-05-11,17.6
2024-05-12,13.1
2024-05-13,20.0
2024-05-14,10.8
2024-05-15,29.6
2024-05-16,27.3
2024-05-17,21.5
2024-05-18,16.0
2024-05-19,1.9
2024-05-20,28.1
2024-05-21,26.9
2024-05-22,1.9
2024-05-23,16.2
2024-05-24,14.2
2024-05-25,29.5
2024-05-26,1.3
2024-05-27,4.8
2024-05-28,17.3
2024-05-29,7.9
2024-05-30,25.1
2024-05-31,23.6
2024-06-01,23.8
2024-06-02,23.3
2024-06-03,21.9
2024-06-04,25.6
2024-06-05,7.1
2024-06-06,27.3
2024-06-07,25.3
2024-06-08,19.0
2024-06-09,18.0
2024-06-10,6.9
2024-06-11,14.9
2024-06-12,27.3
2024-06-13,22.0
2024-06-14,2.1
2024-06-15,24.4
2024-06-16,25.1
2024-06-17,4.9
2024-06-18,0.9
2024-06-19,16.8
2024-06-20,2.8
2024-06-21,13.6
2024-06-22,25.8
2024-06-23,7.6
2024-06-24,11.7
2024-06-25,0.2
2024-06-26,25.0
2024-06-27,27.2
2024-06-28,15.7
2024-06-29,8.8
2024-06-30,27.4
2024-07-01,19.5
2024-07-02,4.3
2024-07-03,11.8
2024-07-04,25.0
2024-07-05,24.0
2024-07-06,0.6
2024-07-07,15.4
2024-07-08,23.8
2024-07-09,4.6
2024-07-10,10.1
2024-07-11,29.6
2024-07-12,17.1
2024-07-13,2.3
2024-07-14,20.6
2024-07-15,1.8
2024-07-16,21.5
2024-07-17,23.5
2024-07-18,16.3
2024-07-19,13.3
2024-07-20,29.0
2024-07-21,4.4
2024-07-22,12.1
2024-07-23,17.5
2024-07-24,15.5
2024-07-25,11.3
2024-07-26,21.2
2024-07-27,4.8
2024-07-28,1.7
2024-07-29,21.3
2024-07-30,3.7
2024-07-31,13.5
2024-08-01,24.8
2024-08-02,4.1
2024-08-03,3.1
2024-08-04,3.8
2024-08-05,1.7
2024-08-06,28.4
2024-08-07,28.2
2024-08-08,29.0
2024-08-09,8.8
2024-08-10,16.0
2024-08-11,17.3
2024-08-12,20.1
2024-08-13,28.9
2024-08-14,17.3
2024-08-15,13.4
2024-08-16,5.3
2024-08-17,12.8
2024-08-18,22.9
2024-08-19,7.7
2024-08-20,1.1
2024-08-21,26.4
2024-08-22,13.8
2024-08-23,18.2
2024-08-24,9.9
2024-08-25,23.3
2024-08-26,25.6
2024-08-27,7.8
2024-08-28,5.3
2024-08-29,19.1
2024-08-30,5.2
2024-08-31,12.0
2024-09-01,2.7
2024-09-02,12.3
2024-09-03,4.6
2024-09-04,1.4
2024-09-05,0.7
2024-09-06,17.8
2024-09-07,12.6
2024-09-08,11.6
2024-09-09,0.9
2024-09-10,0.0
2024-09-11,17.0
2024-09-12,6.3
2024-09-13,3.5
2024-09-14,11.1
2024-09-15,24.3
2024-09-16,14.5
2024-09-17,1.9
2024-09-18,25.1
2024-09-19,21.0
2024-09-20,1.3
2024-09-21,2.0
2024-09-22,29.0
2024-09-23,6.2
2024-09-24,24.6
2024-09-25,6.3
2024-09-26,16.4
2024-09-27,23.3
2024-09-28,8.2
2024-09-29,5.0
2024-09-30,20.1
2024-10-01,25.8
2024-10-02,5.2
2024-10-03,11.7
2024-10-04,8.9
2024-10-05,15.1
2024-10-06,26.8
2024-10-07,17.6
2024-10-08,10.2
2024-10-09,4.5
2024-10-10,12.1
2024-10-11,6.6
2024-10-12,17.6
2024-10-13,7.0
2024-10-14,29.7
2024-10-15,17.1
2024-10-16,14.7
2024-10-17,15.8
2024-10-18,24.0
2024-10-19,19.9
2024-10-20,13.4
2024-10-21,14.2
2024-10-22,23.2
2024-10-23,0.1
2024-10-24,10.7
2024-10-25,19.7
2024-10-26,20.0
2024-10-27,3.0
2024-10-28,8.2
2024-10-29,22.5
2024-10-30,18.3
2024-10-31,22.3
2024-11-01,2.6
2024-11-02,6.3
2024-11-03,28.7
2024-11-04,9.8
2024-11-05,6.0
2024-11-06,28.9
2024-11-07,13.0
2024-11-08,28.3
2024-11-09,27.9
2024-11-10,25.4
2024-11-11,0.2
2024-11-12,25.5
2024-11-13,9.3
2024-11-14,6.3
2024-11-15,17.0
2024-11-16,29.9
2024-11-17,2.0
2024-11-18,11.7
2024-11-19,2.3
2024-11-20,23.3
2024-11-21,19.1
2024-11-22,16.9
2024-11-23,16.7
2024-11-24,5.6
2024-11-25,7.4
2024-11-26,15.6
2024-11-27,7.3
2024-11-28,22.1
2024-11-29,10.5
2024-11-30,4.8
2024-12-01,15.4
2024-12-02,20.3
2024-12-03,5.2
2024-12-04,27.4
2024-12-05,3.0
2024-12-06,13.0
2024-12-07,6.9
2024-12-08,27.8
2024-12-09,24.7
2024-12-10,10.5
2024-12-11,20.0
2024-12-12,24.9
2024-12-13,14.9
2024-12-14,24.6
2024-12-15,13.9
2024-12-16,15.6
2024-12-17,19.3
2024-12-18,1.9
2024-12-19,25.8
2024-12-20,14.9
2024-12-21,2.9
2024-12-22,28.9
2024-12-23,28.3
2024-12-24,7.3
2024-12-25,29.1
2024-12-26,8.2
2024-12-27,11.5
2024-12-28,7.8
2024-12-29,4.6
2024-12-30,5.5
2024-12-31,3.6
2025-01-01,26.0
2025-01-02,19.9
2025-01-03,16.6
2025-01-04,21.5
2025-01-05,10.1
2025-01-06,19.0
2025-01-07,2.3
2025-01-08,23.1
2025-01-09,11.8
2025-01-10,12.3
2025-01-11,6.9
2025-01-12,9.0
2025-01-13,18.5
2025-01-14,14.2
2025-01-15,3.1
2025-01-16,27.3
2025-01-17,23.1
2025-01-18,8.9
2025-01-19,10.8
2025-01-20,13.8
2025-01-21,26.6
2025-01-22,1.3
2025-01-23,15.9
2025-01-24,17.6
2025-01-25,15.2
2025-01-26,23.7
2025-01-27,10.2
2025-01-28,26.3
2025-01-29,24.4
2025-01-30,3.3
2025-01-31,22.5
2025-02-01,4.3
2025-02-02,25.1
2025-02-03,7.9
2025-02-04,17.5
2025-02-05,21.0
2025-02-06,11.8
2025-02-07,25.0
2025-02-08,8.5
2025-02-09,17.7
2025-02-10,3.7
2025-02-11,25.1
2025-02-12,12.5
2025-02-13,11.9
2025-02-14,8.2
2025-02-15,16.8
2025-02-16,10.4
2025-02-17,29.8
2025-02-18,11.9
2025-02-19,12.0
2025-02-20,15.5
2025-02-21,2.0
2025-02-22,20.1
2025-02-23,4.9
2025-02-24,4.8
2025-02-25,4.8
2025-02-26,6.9
2025-02-27,25.5
2025-02-28,20.4
2025-03-01,3.7
2025-03-02,27.7
2025-03-03,24.4
2025-03-04,3.6
2025-03-05,1.9
2025-03-06,5.6
2025-03-07,2.4
2025-03-08,11.2
2025-03-09,13.6
2025-03-10,21.0
2025-03-11,6.5
2025-03-12,13.3
2025-03-13,12.0
2025-03-14,27.0
2025-03-15,9.6
2025-03-16,2.6
2025-03-17,6.2
2025-03-18,13.8
2025-03-19,21.4
2025-03-20,20.7
2025-03-21,10.1
2025-03-22,19.0
2025-03-23,24.2
2025-03-24,17.2
2025-03-25,28.9
2025-03-26,2.0
2025-03-27,17.7
2025-03-28,25.2
2025-03-29,18.1
2025-03-30,10.2
2025-03-31,11.6
2025-04-01,1.1
2025-04-02,20.7
2025-04-03,15.8
2025-04-04,2.6
2025-04-05,16.9
2025-04-06,17.1
2025-04-07,7.0
2025-04-08,7.1
2025-04-09,3.4
2025-04-10,21.8
2025-04-11,9.6
2025-04-12,19.9
2025-04-13,20.1
2025-04-14,15.3
2025-04-15,17.6
2025-04-16,8.5
2025-04-17,0.9
2025-04-18,11.2
2025-04-19,3.6
2025-04-20,5.5
2025-04-21,6.5
2025-04-22,15.0
2025-04-23,21.2
2025-04-24,13.8
2025-04-25,21.8
2025-04-26,1.7
2025-04-27,19.3
2025-04-28,24.3
2025-04-29,22.4
2025-04-30,25.6
2025-05-01,16.8
2025-05-02,10.9
2025-05-03,14.9
2025-05-04,0.6
2025-05-05,25.3
2025-05-06,26.9
2025-05-07,1.5
2025-05-08,23.1
2025-05-09,0.3
2025-05-10,23.1
2025-05-11,19.6
2025-05-12,24.6
2025-05-13,24.3
2025-05-14,1.4
2025-05-15,3.6
2025-05-16,17.1
2025-05-17,29.6
2025-05-18,22.2
2025-05-19,21.3
2025-05-20,22.5
2025-05-21,22.5
2025-05-22,11.1
2025-05-23,27.0
2025-05-24,5.2
2025-05-25,5.8
2025-05-26,27.4
2025-05-27,0.9
2025-05-28,24.5
2025-05-29,4.3
2025-05-30,29.8
2025-05-31,10.4
2025-06-01,27.3
2025-06-02,18.5
2025-06-03,25.3
2025-06-04,26.3
2025-06-05,14.9
2025-06-06,24.1
2025-06-07,6.8
2025-06-08,18.9
