date,temperature
2023-06-10,26.1
2023-06-11,11.4
2023-06-12,-9.3
2023-06-13,1.1
2023-06-14,18.8
2023-06-15,-3.7
2023-06-16,20.9
2023-06-17,-1.2
2023-06-18,11.9
2023-06-19,-3.0
2023-06-20,1.0
2023-06-21,-3.1
2023-06-22,20.8
2023-06-23,21.9
2023-06-24,-7.3
2023-06-25,-5.8
2023-06-26,-8.6
2023-06-27,9.3
2023-06-28,23.4
2023-06-29,23.3
2023-06-30,4.1
2023-07-01,16.8
2023-07-02,2.6
2023-07-03,19.4
2023-07-04,29.0
2023-07-05,-3.5
2023-07-06,8.8
2023-07-07,-0.5
2023-07-08,-2.2
2023-07-09,-7.5
2023-07-10,3.8
2023-07-11,26.7
2023-07-12,18.2
2023-07-13,10.6
2023-07-14,17.5
2023-07-15,-5.6
2023-07-16,11.4
2023-07-17,14.2
2023-07-18,7.0
2023-07-19,2.9
2023-07-20,3.6
2023-07-21,-5.2
2023-07-22,15.7
2023-07-23,-8.8
2023-07-24,4.8
2023-07-25,-0.4
2023-07-26,-0.0
2023-07-27,16.3
2023-07-28,28.1
2023-07-29,15.3
2023-07-30,-8.0
2023-07-31,5.3
2023-08-01,-1.1
2023-08-02,8.5
2023-08-03,-4.7
2023-08-04,25.6
2023-08-05,-4.2
2023-08-06,19.0
2023-08-07,-2.5
2023-08-08,3.3
2023-08-09,6.4
2023-08-10,-9.0
2023-08-11,-9.8
2023-08-12,25.6
2023-08-13,-6.8
2023-08-14,14.4
2023-08-15,24.8
2023-08-16,-6.2
2023-08-17,-6.9
2023-08-18,26.7
2023-08-19,-6.4
2023-08-20,2.6
2023-08-21,-6.4
2023-08-22,22.8
2023-08-23,16.3
2023-08-24,-2.5
2023-08-25,-9.9
2023-08-26,-1.4
2023-08-27,11.5
2023-08-28,21.5
2023-08-29,4.6
2023-08-30,14.5
2023-08-31,19.5
2023-09-01,15.2
2023-09-02,-7.8
2023-09-03,-8.8
2023-09-04,28.3
2023-09-05,22.0
2023-09-06,14.7
2023-09-07,22.0
2023-09-08,24.4
2023-09-09,27.0
2023-09-10,2.7
2023-09-11,8.0
2023-09-12,18.0
2023-09-13,-6.1
2023-09-14,-8.7
2023-09-15,28.7
2023-09-16,17.8
2023-09-17,27.9
2023-09-18,-3.5
2023-09-19,13.3
2023-09-20,-3.3
2023-09-21,17.6
2023-09-22,1.4
2023-09-23,29.1
2023-09-24,-2.4
2023-09-25,-3.0
2023-09-26,25.7
2023-09-27,29.7
2023-09-28,14.9
2023-09-29,14.4
2023-09-30,28.5
2023-10-01,-1.4
2023-10-02,29.5
2023-10-03,16.0
2023-10-04,-9.4
2023-10-05,21.3
2023-10-06,26.8
2023-10-07,27.6
2023-10-08,-7.2
2023-10-09,-1.7
2023-10-10,22.8
2023-10-11,-0.1
2023-10-12,20.5
2023-10-13,27.5
2023-10-14,8.6
2023-10-15,16.5
2023-10-16,17.3
2023-10-17,20.0
2023-10-18,-4.4
2023-10-19,-1.4
2023-10-20,10.6
2023-10-21,1.4
2023-10-22,8.6
2023-10-23,23.4
2023-10-24,-0.9
2023-10-25,2.9
2023-10-26,-9.2
2023-10-27,-9.6
2023-10-28,7.4
2023-10-29,21.9
2023-10-30,1.9
2023-10-31,8.2
2023-11-01,-7.8
2023-11-02,-6.4
2023-11-03,27.2
2023-11-04,21.5
2023-11-05,0.1
2023-11-06,19.7
2023-11-07,0.4
2023-11-08,6.4
2023-11-09,18.5
2023-11-10,25.9
2023-11-11,19.1
2023-11-12,28.8
2023-11-13,20.9
2023-11-14,12.8
2023-11-15,20.8
2023-11-16,27.0
2023-11-17,-5.6
2023-11-18,-5.8
2023-11-19,13.4
2023-11-20,29.9
2023-11-21,12.0
2023-11-22,-2.4
2023-11-23,-3.8
2023-11-24,-9.9
2023-11-25,-2.7
2023-11-26,24.4
2023-11-27,6.4
2023-11-28,22.3
2023-11-29,7.0
2023-11-30,29.9
2023-12-01,8.3
2023-12-02,21.8
2023-12-03,2.4
2023-12-04,-2.7
2023-12-05,23.9
2023-12-06,28.8
2023-12-07,16.7
2023-12-08,1.4
2023-12-09,6.5
2023-12-10,27.6
2023-12-11,6.6
2023-12-12,-7.5
2023-12-13,6.1
2023-12-14,27.0
2023-12-15,-1.8
2023-12-16,10.8
2023-12-17,-5.4
2023-12-18,5.5
2023-12-19,24.6
2023-12-20,24.6
2023-12-21,10.2
2023-12-22,28.9
2023-12-23,-5.0
2023-12-24,-0.5
2023-12-25,-9.8
2023-12-26,28.0
2023-12-27,-2.2
2023-12-28,15.0
2023-12-29,15.5
2023-12-30,0.9
2023-12-31,0.9
2024-01-01,19.2
2024-01-02,5.7
2024-01-03,29.8
2024-01-04,17.6
2024-01-05,-5.3
2024-01-06,20.9
2024-01-07,10.3
2024-01-08,24.4
2024-01-09,-2.8
2024-01-10,-2.3
2024-01-11,25.1
2024-01-12,-9.0
2024-01-13,3.6
2024-01-14,13.2
2024-01-15,22.9
2024-01-16,17.8
2024-01-17,11.6
2024-01-18,29.0
2024-01-19,-1.3
2024-01-20,1.7
2024-01-21,25.2
2024-01-22,25.8
2024-01-23,4.3
2024-01-24,21.3
2024-01-25,25.6
2024-01-26,20.5
2024-01-27,-5.8
2024-01-28,3.0
2024-01-29,-5.4
2024-01-30,13.8
2024-01-31,25.8
2024-02-01,8.8
2024-02-02,14.7
2024-02-03,5.8
2024-02-04,9.7
2024-02-05,2.0
2024-02-06,27.6
2024-02-07,29.0
2024-02-08,26.4
2024-02-09,17.9
2024-02-10,-5.3
2024-02-11,-4.6
2024-02-12,2.1
2024-02-13,19.2
2024-02-14,25.9
2024-02-15,29.5
2024-02-16,-2.7
2024-02-17,11.4
2024-02-18,5.7
2024-02-19,15.1
2024-02-20,23.3
2024-02-21,29.2
2024-02-22,25.6
2024-02-23,16.2
2024-02-24,23.2
2024-02-25,6.0
2024-02-26,23.3
2024-02-27,16.3
2024-02-28,14.1
2024-02-29,-8.6
2024-03-01,1.1
2024-03-02,16.2
2024-03-03,-4.8
2024-03-04,-2.6
2024-03-05,15.8
2024-03-06,26.9
2024-03-07,14.8
2024-03-08,1.6
2024-03-09,8.9
2024-03-10,-0.6
2024-03-11,-9.2
2024-03-12,2.0
2024-03-13,16.8
2024-03-14,10.3
2024-03-15,-5.1
2024-03-16,-5.3
2024-03-17,0.8
2024-03-18,22.0
2024-03-19,5.3
2024-03-20,0.1
2024-03-21,9.2
2024-03-22,5.5
2024-03-23,6.5
2024-03-24,28.8
2024-03-25,22.8
2024-03-26,4.0
2024-03-27,27.2
2024-03-28,-3.3
2024-03-29,8.2
2024-03-30,7.4
2024-03-31,8.8
2024-04-01,24.7
2024-04-02,-6.0
2024-04-03,3.5
2024-04-04,14.1
2024-04-05,24.1
2024-04-06,-3.8
2024-04-07,18.7
2024-04-08,-3.9
2024-04-09,17.7
2024-04-10,21.7
2024-04-11,28.2
2024-04-12,-5.4
2024-04-13,21.9
2024-04-14,22.7
2024-04-15,0.1
2024-04-16,9.8
2024-04-17,6.5
2024-04-18,27.2
2024-04-19,2.5
2024-04-20,29.7
2024-04-21,-9.0
2024-04-22,-3.6
2024-04-23,8.4
2024-04-24,-4.8
2024-04-25,-7.0
2024-04-26,23.3
2024-04-27,17.3
2024-04-28,25.3
2024-04-29,12.3
2024-04-30,27.9
2024-05-01,15.2
2024-05-02,29.9
2024-05-03,-6.7
2024-05-04,4.8
2024-05-05,3.3
2024-05-06,11.5
2024-05-07,-7.5
2024-05-08,-9.9
2024-05-09,1.0
2024-05-10,15.3
2024-05-11,11.5
2024-05-12,7.4
2024-05-13,4.9
2024-05-14,-7.2
2024-05-15,19.6
2024-05-16,24.4
2024-05-17,8.1
2024-05-18,16.8
2024-05-19,14.8
2024-05-20,13.6
2024-05-21,2.4
2024-05-22,9.5
2024-05-23,-0.2
2024-05-24,22.8
2024-05-25,13.9
2024-05-26,26.3
2024-05-27,17.5
2024-05-28,6.7
2024-05-29,0.0
2024-05-30,1.1
2024-05-31,-3.4
2024-06-01,9.8
2024-06-02,18.1
2024-06-03,-4.0
2024-06-04,4.8
2024-06-05,10.6
2024-06-06,9.7
2024-06-07,28.5
2024-06-08,18.7
2024-06-09,24.1
2024-06-10,26.8
2024-06-11,12.0
2024-06-12,11.2
2024-06-13,-9.0
2024-06-14,4.4
2024-06-15,-6.4
2024-06-16,27.1
2024-06-17,14.5
2024-06-18,16.0
2024-06-19,6.4
2024-06-20,9.1
2024-06-21,28.3
2024-06-22,-1.8
2024-06-23,12.6
2024-06-24,27.8
2024-06-25,-4.5
2024-06-26,4.4
2024-06-27,17.7
2024-06-28,12.7
2024-06-29,-1.0
2024-06-30,23.9
2024-07-01,20.5
2024-07-02,20.9
2024-07-03,-7.8
2024-07-04,19.4
2024-07-05,21.0
2024-07-06,14.8
2024-07-07,0.7
2024-07-08,25.6
2024-07-09,9.9
2024-07-10,27.8
2024-07-11,-7.2
2024-07-12,18.4
2024-07-13,-0.7
2024-07-14,28.1
2024-07-15,7.1
2024-07-16,-9.8
2024-07-17,4.6
2024-07-18,6.4
2024-07-19,-1.8
2024-07-20,-9.8
2024-07-21,28.6
2024-07-22,22.0
2024-07-23,7.1
2024-07-24,4.2
2024-07-25,13.4
2024-07-26,-0.8
2024-07-27,14.8
2024-07-28,-1.6
2024-07-29,27.4
2024-07-30,-7.2
2024-07-31,-2.4
2024-08-01,-9.8
2024-08-02,-7.4
2024-08-03,8.0
2024-08-04,-6.6
2024-08-05,16.4
2024-08-06,29.6
2024-08-07,1.9
2024-08-08,-6.5
2024-08-09,-1.9
2024-08-10,15.9
2024-08-11,-9.6
2024-08-12,2.9
2024-08-13,21.0
2024-08-14,19.3
2024-08-15,17.6
2024-08-16,-3.4
2024-08-17,-5.1
2024-08-18,-2.7
2024-08-19,5.4
2024-08-20,3.0
2024-08-21,-9.1
2024-08-22,27.0
2024-08-23,7.5
2024-08-24,8.9
2024-08-25,-2.9
2024-08-26,11.3
2024-08-27,13.9
2024-08-28,18.3
2024-08-29,-5.5
2024-08-30,17.1
2024-08-31,-7.8
2024-09-01,14.1
2024-09-02,9.6
2024-09-03,15.9
2024-09-04,-2.2
2024-09-05,20.0
2024-09-06,1.9
2024-09-07,5.4
2024-09-08,19.9
2024-09-09,29.5
2024-09-10,27.6
2024-09-11,0.3
2024-09-12,-5.5
2024-09-13,18.4
2024-09-14,7.4
2024-09-15,-1.1
2024-09-16,28.4
2024-09-17,16.8
2024-09-18,27.8
2024-09-19,1.9
2024-09-20,13.9
2024-09-21,2.2
2024-09-22,3.9
2024-09-23,10.5
2024-09-24,-0.4
2024-09-25,26.7
2024-09-26,21.2
2024-09-27,6.3
2024-09-28,5.5
2024-09-29,4.9
2024-09-30,10.4
2024-10-01,28.1
2024-10-02,23.4
2024-10-03,15.8
2024-10-04,14.3
2024-10-05,11.7
2024-10-06,-1.7
2024-10-07,27.6
2024-10-08,16.8
2024-10-09,-6.3
2024-10-10,19.8
2024-10-11,1.0
2024-10-12,25.1
2024-10-13,0.2
2024-10-14,15.1
2024-10-15,10.9
2024-10-16,10.7
2024-10-17,6.9
2024-10-18,23.0
2024-10-19,24.6
2024-10-20,4.4
2024-10-21,23.9
2024-10-22,24.3
2024-10-23,18.1
2024-10-24,1.6
2024-10-25,23.8
2024-10-26,11.9
2024-10-27,20.3
2024-10-28,-5.9
2024-10-29,-2.0
2024-10-30,5.5
2024-10-31,26.3
2024-11-01,-2.1
2024-11-02,12.0
2024-11-03,-5.0
2024-11-04,-6.1
2024-11-05,19.8
2024-11-06,19.6
2024-11-07,29.1
2024-11-08,8.5
2024-11-09,-4.1
2024-11-10,5.9
2024-11-11,19.7
2024-11-12,-9.0
2024-11-13,18.4
2024-11-14,18.8
2024-11-15,-5.5
2024-11-16,-1.1
2024-11-17,-5.8
2024-11-18,17.4
2024-11-19,4.3
2024-11-20,12.4
2024-11-21,-6.5
2024-11-22,5.3
2024-11-23,15.1
2024-11-24,1.1
2024-11-25,-8.5
2024-11-26,6.2
2024-11-27,8.3
2024-11-28,19.7
2024-11-29,23.3
2024-11-30,5.2
2024-12-01,28.1
2024-12-02,15.0
2024-12-03,27.1
2024-12-04,3.9
2024-12-05,-5.9
2024-12-06,28.8
2024-12-07,15.6
2024-12-08,29.0
2024-12-09,19.4
2024-12-10,14.6
2024-12-11,3.1
2024-12-12,-3.4
2024-12-13,3.2
2024-12-14,18.9
2024-12-15,-0.2
2024-12-16,22.2
2024-12-17,-6.3
2024-12-18,9.4
2024-12-19,26.5
2024-12-20,18.8
2024-12-21,22.0
2024-12-22,17.7
2024-12-23,-3.5
2024-12-24,21.0
2024-12-25,16.9
2024-12-26,-9.3
2024-12-27,26.3
2024-12-28,20.6
2024-12-29,19.7
2024-12-30,21.3
2024-12-31,25.4
2025-01-01,29.6
2025-01-02,-8.2
2025-01-03,-6.4
2025-01-04,0.9
2025-01-05,-9.6
2025-01-06,-7.1
2025-01-07,-5.9
2025-01-08,13.4
2025-01-09,18.5
2025-01-10,14.4
2025-01-11,-4.1
2025-01-12,2.3
2025-01-13,27.9
2025-01-14,26.5
2025-01-15,26.3
2025-01-16,16.2
2025-01-17,-0.0
2025-01-18,3.5
2025-01-19,14.2
2025-01-20,13.0
2025-01-21,3.5
2025-01-22,23.8
2025-01-23,2.5
2025-01-24,-2.9
2025-01-25,2.1
2025-01-26,26.4
2025-01-27,20.0
2025-01-28,26.6
2025-01-29,7.2
2025-01-30,19.4
2025-01-31,15.8
2025-02-01,19.3
2025-02-02,15.7
2025-02-03,7.8
2025-02-04,14.8
2025-02-05,11.8
2025-02-06,11.7
2025-02-07,19.7
2025-02-08,13.1
2025-02-09,-4.3
2025-02-10,14.0
2025-02-11,-1.0
2025-02-12,0.9
2025-02-13,7.5
2025-02-14,1.2
2025-02-15,24.2
2025-02-16,12.5
2025-02-17,19.0
2025-02-18,10.7
2025-02-19,-0.6
2025-02-20,6.5
2025-02-21,9.8
2025-02-22,12.7
2025-02-23,11.1
2025-02-24,14.0
2025-02-25,1.7
2025-02-26,-4.1
2025-02-27,-7.7
2025-02-28,15.5
2025-03-01,13.5
2025-03-02,9.3
2025-03-03,-7.4
2025-03-04,7.7
2025-03-05,11.0
2025-03-06,8.8
2025-03-07,23.7
2025-03-08,-9.1
2025-03-09,-4.2
2025-03-10,9.6
2025-03-11,0.4
2025-03-12,10.2
2025-03-13,-2.3
2025-03-14,20.4
2025-03-15,8.5
2025-03-16,-2.2
2025-03-17,25.4
2025-03-18,18.7
2025-03-19,-2.3
2025-03-20,22.2
2025-03-21,23.7
2025-03-22,16.5
2025-03-23,-2.3
2025-03-24,18.2
2025-03-25,6.5
2025-03-26,1.3
