date,temperature
2023-06-10,25.8
2023-06-11,32.9
2023-06-12,21.4
2023-06-13,31.9
2023-06-14,19.0
2023-06-15,26.1
2023-06-16,34.1
2023-06-17,15.3
2023-06-18,32.4
2023-06-19,23.7
2023-06-20,29.0
2023-06-21,19.6
2023-06-22,18.7
2023-06-23,33.1
2023-06-24,22.8
2023-06-25,15.2
2023-06-26,21.4
2023-06-27,24.5
2023-06-28,29.9
2023-06-29,24.3
2023-06-30,33.7
2023-07-01,16.1
2023-07-02,28.5
2023-07-03,33.1
2023-07-04,17.3
2023-07-05,29.1
2023-07-06,16.5
2023-07-07,29.7
2023-07-08,26.8
2023-07-09,30.6
2023-07-10,22.8
2023-07-11,25.7
2023-07-12,18.7
2023-07-13,32.8
2023-07-14,33.0
2023-07-15,20.8
2023-07-16,33.5
2023-07-17,16.7
2023-07-18,33.0
2023-07-19,27.5
2023-07-20,34.4
2023-07-21,18.5
2023-07-22,29.1
2023-07-23,32.8
2023-07-24,33.1
2023-07-25,25.8
2023-07-26,33.9
2023-07-27,26.7
2023-07-28,22.8
2023-07-29,17.9
2023-07-30,22.8
2023-07-31,29.4
2023-08-01,34.7
2023-08-02,18.9
2023-08-03,35.0
2023-08-04,21.7
2023-08-05,25.3
2023-08-06,24.5
2023-08-07,26.6
2023-08-08,32.7
2023-08-09,31.4
2023-08-10,22.9
2023-08-11,22.1
2023-08-12,28.8
2023-08-13,30.6
2023-08-14,31.6
2023-08-15,32.8
2023-08-16,21.5
2023-08-17,26.3
2023-08-18,20.7
2023-08-19,15.4
2023-08-20,32.1
2023-08-21,17.0
2023-08-22,27.1
2023-08-23,20.3
2023-08-24,28.1
2023-08-25,29.9
2023-08-26,23.3
2023-08-27,33.4
2023-08-28,23.6
2023-08-29,25.0
2023-08-30,27.1
2023-08-31,24.0
2023-09-01,19.7
2023-09-02,26.6
2023-09-03,16.4
2023-09-04,21.4
2023-09-05,24.1
2023-09-06,20.3
2023-09-07,19.8
2023-09-08,18.6
2023-09-09,17.1
2023-09-10,19.6
2023-09-11,19.5
2023-09-12,28.8
2023-09-13,15.6
2023-09-14,16.3
2023-09-15,23.5
2023-09-16,15.2
2023-09-17,33.4
2023-09-18,17.0
2023-09-19,15.6
2023-09-20,23.3
2023-09-21,16.7
2023-09-22,15.2
2023-09-23,31.5
2023-09-24,20.0
2023-09-25,28.4
2023-09-26,20.7
2023-09-27,29.8
2023-09-28,34.0
2023-09-29,25.3
2023-09-30,22.6
2023-10-01,24.2
2023-10-02,17.8
2023-10-03,20.5
2023-10-04,32.3
2023-10-05,25.4
2023-10-06,31.6
2023-10-07,28.2
2023-10-08,19.5
2023-10-09,24.5
2023-10-10,21.2
2023-10-11,26.2
2023-10-12,18.9
2023-10-13,20.6
2023-10-14,22.9
2023-10-15,27.5
2023-10-16,20.5
2023-10-17,18.4
2023-10-18,32.8
2023-10-19,25.5
2023-10-20,25.1
2023-10-21,20.4
2023-10-22,28.0
2023-10-23,28.4
2023-10-24,31.1
2023-10-25,19.0
2023-10-26,33.7
2023-10-27,33.2
2023-10-28,28.3
2023-10-29,17.0
2023-10-30,24.5
2023-10-31,17.5
2023-11-01,23.4
2023-11-02,32.2
2023-11-03,15.4
2023-11-04,26.1
2023-11-05,16.0
2023-11-06,23.8
2023-11-07,34.7
2023-11-08,29.8
2023-11-09,30.2
2023-11-10,31.8
2023-11-11,21.1
2023-11-12,20.2
2023-11-13,17.0
2023-11-14,18.0
2023-11-15,29.7
2023-11-16,28.9
2023-11-17,22.5
2023-11-18,27.5
2023-11-19,18.0
2023-11-20,15.9
2023-11-21,20.2
2023-11-22,16.3
2023-11-23,27.6
2023-11-24,28.0
2023-11-25,29.4
2023-11-26,15.2
2023-11-27,33.9
2023-11-28,26.7
2023-11-29,18.3
2023-11-30,28.0
2023-12-01,26.3
2023-12-02,19.0
2023-12-03,17.9
2023-12-04,26.4
2023-12-05,26.1
2023-12-06,23.2
2023-12-07,20.7
2023-12-08,22.9
2023-12-09,29.8
2023-12-10,18.9
2023-12-11,34.5
2023-12-12,34.8
2023-12-13,33.2
2023-12-14,25.6
2023-12-15,27.7
2023-12-16,26.2
2023-12-17,28.4
2023-12-18,20.5
2023-12-19,16.9
2023-12-20,24.1
2023-12-21,23.8
2023-12-22,21.9
2023-12-23,18.7
2023-12-24,22.4
2023-12-25,30.0
2023-12-26,31.6
2023-12-27,30.0
2023-12-28,27.2
2023-12-29,31.9
2023-12-30,33.8
2023-12-31,27.7
2024-01-01,20.1
2024-01-02,19.2
2024-01-03,33.5
2024-01-04,18.2
2024-01-05,26.3
2024-01-06,21.7
2024-01-07,21.7
2024-01-08,15.6
2024-01-09,33.2
2024-01-10,17.1
2024-01-11,28.5
2024-01-12,31.9
2024-01-13,28.7
2024-01-14,22.1
2024-01-15,17.8
2024-01-16,18.6
2024-01-17,32.3
2024-01-18,17.7
2024-01-19,32.1
2024-01-20,34.1
2024-01-21,32.6
2024-01-22,25.2
2024-01-23,18.7
2024-01-24,26.9
2024-01-25,21.1
2024-01-26,34.4
2024-01-27,22.5
2024-01-28,20.7
2024-01-29,34.8
2024-01-30,15.2
2024-01-31,18.0
2024-02-01,25.9
2024-02-02,20.4
2024-02-03,15.0
2024-02-04,34.5
2024-02-05,23.9
2024-02-06,22.0
2024-02-07,31.5
2024-02-08,34.9
2024-02-09,33.6
2024-02-10,33.9
2024-02-11,27.6
2024-02-12,23.2
2024-02-13,23.9
2024-02-14,31.1
2024-02-15,34.8
2024-02-16,17.5
2024-02-17,19.7
2024-02-18,30.9
2024-02-19,28.1
2024-02-20,33.5
2024-02-21,26.8
2024-02-22,30.6
2024-02-23,21.3
2024-02-24,29.5
2024-02-25,27.5
2024-02-26,31.5
2024-02-27,17.1
2024-02-28,34.8
2024-02-29,33.0
2024-03-01,23.3
2024-03-02,25.5
2024-03-03,34.1
2024-03-04,33.0
2024-03-05,15.4
2024-03-06,31.0
2024-03-07,34.3
2024-03-08,17.3
2024-03-09,19.2
2024-03-10,34.6
2024-03-11,31.6
2024-03-12,18.4
2024-03-13,30.4
2024-03-14,25.3
2024-03-15,18.5
2024-03-16,23.4
2024-03-17,21.8
2024-03-18,34.2
2024-03-19,18.2
2024-03-20,18.0
2024-03-21,15.3
2024-03-22,23.2
2024-03-23,28.1
2024-03-24,31.0
2024-03-25,34.5
2024-03-26,19.7
2024-03-27,26.1
2024-03-28,15.4
2024-03-29,22.7
2024-03-30,22.8
2024-03-31,25.7
2024-04-01,34.6
2024-04-02,23.9
2024-04-03,33.6
2024-04-04,24.6
2024-04-05,30.8
2024-04-06,22.4
2024-04-07,32.6
2024-04-08,25.3
2024-04-09,19.4
2024-04-10,18.8
2024-04-11,21.4
2024-04-12,30.8
2024-04-13,24.9
2024-04-14,33.1
2024-04-15,30.4
2024-04-16,19.9
2024-04-17,31.8
2024-04-18,33.5
2024-04-19,15.3
2024-04-20,34.7
2024-04-21,21.0
2024-04-22,16.0
2024-04-23,27.5
2024-04-24,19.4
2024-04-25,27.1
2024-04-26,33.9
2024-04-27,31.3
2024-04-28,25.3
2024-04-29,27.0
2024-04-30,28.0
2024-05-01,22.2
2024-05-02,21.4
2024-05-03,16.7
2024-05-04,20.1
2024-05-05,30.5
2024-05-06,17.6
2024-05-07,23.6
2024-05-08,26.8
2024-05-09,24.3
2024-05-10,26.6
2024-05-11,23.8
2024-05-12,30.2
2024-05-13,21.3
2024-05-14,17.5
2024-05-15,31.0
2024-05-16,25.5
2024-05-17,15.9
2024-05-18,17.4
2024-05-19,16.8
2024-05-20,16.5
2024-05-21,24.2
2024-05-22,20.0
2024-05-23,30.8
2024-05-24,28.1
2024-05-25,20.2
2024-05-26,32.1
2024-05-27,19.1
2024-05-28,34.8
2024-05-29,15.9
2024-05-30,34.3
2024-05-31,23.1
2024-06-01,22.8
2024-06-02,16.5
2024-06-03,22.3
2024-06-04,17.4
2024-06-05,33.7
2024-06-06,31.8
2024-06-07,23.6
2024-06-08,28.5
2024-06-09,30.3
2024-06-10,30.1
2024-06-11,21.8
2024-06-12,26.1
2024-06-13,17.3
2024-06-14,17.8
2024-06-15,26.7
2024-06-16,20.8
2024-06-17,26.3
2024-06-18,29.0
2024-06-19,23.2
2024-06-20,26.0
2024-06-21,16.8
2024-06-22,21.1
2024-06-23,27.1
2024-06-24,28.0
2024-06-25,18.8
2024-06-26,16.4
2024-06-27,18.3
2024-06-28,31.3
2024-06-29,17.4
2024-06-30,26.6
2024-07-01,29.4
2024-07-02,28.8
2024-07-03,26.9
2024-07-04,18.4
2024-07-05,26.3
2024-07-06,28.0
2024-07-07,27.2
2024-07-08,28.5
2024-07-09,32.0
2024-07-10,16.6
2024-07-11,16.6
2024-07-12,17.0
2024-07-13,19.7
2024-07-14,28.7
2024-07-15,33.8
2024-07-16,20.5
2024-07-17,19.4
2024-07-18,19.1
2024-07-19,34.8
2024-07-20,31.9
2024-07-21,30.1
2024-07-22,20.9
2024-07-23,18.9
2024-07-24,24.8
2024-07-25,19.0
2024-07-26,19.6
2024-07-27,15.4
2024-07-28,31.5
2024-07-29,16.0
2024-07-30,31.3
2024-07-31,25.2
2024-08-01,20.6
2024-08-02,20.5
2024-08-03,18.4
2024-08-04,21.8
2024-08-05,18.4
2024-08-06,25.6
2024-08-07,31.3
2024-08-08,30.2
2024-08-09,16.8
2024-08-10,21.7
2024-08-11,25.6
2024-08-12,31.9
2024-08-13,23.6
2024-08-14,19.0
2024-08-15,21.2
2024-08-16,33.3
2024-08-17,17.8
2024-08-18,27.5
2024-08-19,15.1
2024-08-20,21.2
2024-08-21,17.2
2024-08-22,16.8
2024-08-23,17.5
2024-08-24,23.1
2024-08-25,18.7
2024-08-26,19.7
2024-08-27,23.3
2024-08-28,17.1
2024-08-29,30.3
2024-08-30,16.2
2024-08-31,23.2
2024-09-01,22.2
2024-09-02,19.9
2024-09-03,22.3
2024-09-04,23.9
2024-09-05,29.3
2024-09-06,18.8
2024-09-07,19.3
2024-09-08,22.6
2024-09-09,23.9
2024-09-10,20.3
2024-09-11,27.7
2024-09-12,24.4
2024-09-13,33.9
2024-09-14,20.4
2024-09-15,16.0
2024-09-16,19.8
2024-09-17,32.6
2024-09-18,30.5
2024-09-19,29.9
2024-09-20,16.6
2024-09-21,15.3
2024-09-22,21.5
2024-09-23,16.5
2024-09-24,30.8
2024-09-25,33.0
2024-09-26,27.5
2024-09-27,23.7
2024-09-28,24.0
2024-09-29,34.6
2024-09-30,24.8
2024-10-01,29.9
2024-10-02,21.3
2024-10-03,24.6
2024-10-04,21.7
2024-10-05,29.5
2024-10-06,32.0
2024-10-07,17.2
2024-10-08,18.4
2024-10-09,18.0
2024-10-10,15.4
2024-10-11,17.9
2024-10-12,18.4
2024-10-13,30.8
2024-10-14,29.5
2024-10-15,20.5
2024-10-16,33.0
2024-10-17,29.3
2024-10-18,30.3
2024-10-19,30.6
2024-10-20,29.2
2024-10-21,20.7
2024-10-22,25.2
2024-10-23,22.8
2024-10-24,22.8
2024-10-25,28.3
2024-10-26,24.8
2024-10-27,32.5
2024-10-28,15.8
2024-10-29,17.5
2024-10-30,21.2
2024-10-31,16.3
2024-11-01,34.8
2024-11-02,29.0
2024-11-03,34.1
2024-11-04,21.7
2024-11-05,15.8
2024-11-06,29.0
2024-11-07,17.1
2024-11-08,30.7
2024-11-09,34.4
2024-11-10,19.0
2024-11-11,25.5
2024-11-12,27.9
2024-11-13,25.5
2024-11-14,16.4
2024-11-15,15.5
2024-11-16,24.3
2024-11-17,24.8
2024-11-18,29.0
2024-11-19,23.0
2024-11-20,20.8
2024-11-21,28.6
2024-11-22,23.4
2024-11-23,19.6
2024-11-24,32.1
2024-11-25,26.8
2024-11-26,16.7
2024-11-27,28.5
2024-11-28,30.4
2024-11-29,21.7
2024-11-30,34.8
2024-12-01,16.6
2024-12-02,21.2
2024-12-03,21.1
2024-12-04,22.6
2024-12-05,25.7
2024-12-06,20.3
2024-12-07,34.3
2024-12-08,15.6
2024-12-09,22.7
2024-12-10,21.5
2024-12-11,31.6
2024-12-12,23.9
2024-12-13,30.9
2024-12-14,24.8
2024-12-15,26.1
2024-12-16,29.0
2024-12-17,24.0
2024-12-18,19.7
2024-12-19,33.3
2024-12-20,33.1
2024-12-21,24.1
2024-12-22,20.2
2024-12-23,33.9
2024-12-24,22.5
2024-12-25,22.9
2024-12-26,27.9
2024-12-27,20.7
2024-12-28,21.4
2024-12-29,17.3
2024-12-30,35.0
2024-12-31,26.9
2025-01-01,18.2
2025-01-02,26.0
2025-01-03,19.7
2025-01-04,20.6
2025-01-05,22.1
2025-01-06,32.1
