date,temperature
2023-06-10,25.3
2023-06-11,10.8
2023-06-12,27.3
2023-06-13,26.3
2023-06-14,20.0
2023-06-15,7.2
2023-06-16,0.4
2023-06-17,16.5
2023-06-18,0.5
2023-06-19,27.7
2023-06-20,20.4
2023-06-21,14.8
2023-06-22,22.6
2023-06-23,14.8
2023-06-24,0.1
2023-06-25,10.1
2023-06-26,16.2
2023-06-27,23.5
2023-06-28,13.0
2023-06-29,14.1
2023-06-30,25.3
2023-07-01,0.3
2023-07-02,22.0
2023-07-03,6.1
2023-07-04,24.4
2023-07-05,27.2
2023-07-06,26.7
2023-07-07,23.5
2023-07-08,27.3
2023-07-09,8.5
2023-07-10,11.7
2023-07-11,0.8
2023-07-12,6.6
2023-07-13,26.9
2023-07-14,16.6
2023-07-15,18.3
2023-07-16,29.5
2023-07-17,6.9
2023-07-18,20.0
2023-07-19,11.6
2023-07-20,22.2
2023-07-21,2.1
2023-07-22,21.5
2023-07-23,18.3
2023-07-24,19.5
2023-07-25,27.7
2023-07-26,21.0
2023-07-27,2.0
2023-07-28,29.0
2023-07-29,3.1
2023-07-30,24.0
2023-07-31,18.4
2023-08-01,23.0
2023-08-02,26.5
2023-08-03,21.7
2023-08-04,16.7
2023-08-05,24.1
2023-08-06,8.7
2023-08-07,20.6
2023-08-08,11.0
2023-08-09,20.5
2023-08-10,5.6
2023-08-11,27.4
2023-08-12,26.1
2023-08-13,12.9
2023-08-14,14.6
2023-08-15,12.4
2023-08-16,18.8
2023-08-17,24.5
2023-08-18,11.2
2023-08-19,4.4
2023-08-20,1.7
2023-08-21,11.9
2023-08-22,3.7
2023-08-23,9.6
2023-08-24,20.2
2023-08-25,6.2
2023-08-26,6.5
2023-08-27,4.6
2023-08-28,26.5
2023-08-29,15.5
2023-08-30,9.3
2023-08-31,13.1
2023-09-01,13.4
2023-09-02,2.8
2023-09-03,1.0
2023-09-04,15.1
2023-09-05,22.7
2023-09-06,14.7
2023-09-07,16.0
2023-09-08,3.2
2023-09-09,25.1
2023-09-10,28.6
2023-09-11,12.0
2023-09-12,16.9
2023-09-13,26.5
2023-09-14,17.0
2023-09-15,2.9
2023-09-16,7.2
2023-09-17,0.5
2023-09-18,16.1
2023-09-19,23.4
2023-09-20,3.2
2023-09-21,13.6
2023-09-22,3.7
2023-09-23,0.5
2023-09-24,22.4
2023-09-25,27.5
2023-09-26,4.4
2023-09-27,25.9
2023-09-28,29.2
2023-09-29,14.0
2023-09-30,24.2
2023-10-01,16.8
2023-10-02,22.2
2023-10-03,13.7
2023-10-04,17.5
2023-10-05,16.4
2023-10-06,1.1
2023-10-07,16.8
2023-10-08,4.2
2023-10-09,12.7
2023-10-10,9.7
2023-10-11,15.3
2023-10-12,0.6
2023-10-13,12.0
2023-10-14,24.5
2023-10-15,10.1
2023-10-16,2.3
2023-10-17,22.6
2023-10-18,16.6
2023-10-19,2.4
2023-10-20,1.7
2023-10-21,25.7
2023-10-22,27.2
2023-10-23,4.4
2023-10-24,5.3
2023-10-25,15.4
2023-10-26,9.3
2023-10-27,21.4
2023-10-28,3.6
2023-10-29,11.4
2023-10-30,19.4
2023-10-31,15.1
2023-11-01,15.2
2023-11-02,28.5
2023-11-03,13.7
2023-11-04,28.9
2023-11-05,16.6
2023-11-06,15.8
2023-11-07,16.7
2023-11-08,20.1
2023-11-09,4.4
2023-11-10,28.4
2023-11-11,11.7
2023-11-12,2.1
2023-11-13,29.6
2023-11-14,27.3
2023-11-15,15.9
2023-11-16,22.7
2023-11-17,19.2
2023-11-18,8.7
2023-11-19,19.9
2023-11-20,19.7
2023-11-21,9.9
2023-11-22,4.9
2023-11-23,18.5
2023-11-24,29.3
2023-11-25,9.9
2023-11-26,18.0
2023-11-27,6.8
2023-11-28,13.2
2023-11-29,24.1
2023-11-30,28.7
2023-12-01,18.7
2023-12-02,11.1
2023-12-03,9.7
2023-12-04,0.2
2023-12-05,13.6
2023-12-06,4.1
2023-12-07,12.6
2023-12-08,27.2
2023-12-09,8.1
2023-12-10,17.7
2023-12-11,13.7
2023-12-12,21.8
2023-12-13,24.2
2023-12-14,18.2
2023-12-15,10.3
2023-12-16,9.5
2023-12-17,21.9
2023-12-18,19.1
2023-12-19,2.4
2023-12-20,15.2
2023-12-21,19.7
2023-12-22,19.7
2023-12-23,15.2
2023-12-24,12.3
2023-12-25,14.9
2023-12-26,3.1
2023-12-27,25.4
2023-12-28,22.1
2023-12-29,18.0
2023-12-30,13.4
2023-12-31,18.9
2024-01-01,28.7
2024-01-02,27.9
2024-01-03,6.0
2024-01-04,3.9
2024-01-05,1.7
2024-01-06,29.9
2024-01-07,23.8
2024-01-08,24.6
2024-01-09,24.1
2024-01-10,16.4
2024-01-11,6.2
2024-01-12,13.1
2024-01-13,14.2
2024-01-14,20.2
2024-01-15,8.7
2024-01-16,14.8
2024-01-17,18.2
2024-01-18,29.6
2024-01-19,23.0
2024-01-20,19.7
2024-01-21,22.4
2024-01-22,28.9
2024-01-23,0.5
2024-01-24,5.6
2024-01-25,18.8
2024-01-26,7.0
2024-01-27,20.3
2024-01-28,18.6
2024-01-29,25.8
2024-01-30,27.4
2024-01-31,14.1
2024-02-01,22.9
2024-02-02,12.0
2024-02-03,8.9
2024-02-04,7.8
2024-02-05,10.0
2024-02-06,25.6
2024-02-07,2.8
2024-02-08,17.9
2024-02-09,15.5
2024-02-10,10.6
2024-02-11,6.9
2024-02-12,26.9
2024-02-13,4.0
