date,temperature
2023-06-10,9.2
2023-06-11,24.2
2023-06-12,14.6
2023-06-13,7.5
2023-06-14,22.5
2023-06-15,3.8
2023-06-16,2.9
2023-06-17,22.1
2023-06-18,18.1
2023-06-19,11.7
2023-06-20,22.1
2023-06-21,23.2
2023-06-22,1.8
2023-06-23,17.4
2023-06-24,4.5
2023-06-25,6.8
2023-06-26,8.2
2023-06-27,3.4
2023-06-28,8.8
2023-06-29,17.3
2023-06-30,16.7
2023-07-01,24.0
2023-07-02,3.4
2023-07-03,5.4
2023-07-04,3.7
2023-07-05,4.6
2023-07-06,20.6
2023-07-07,15.0
2023-07-08,22.8
2023-07-09,2.5
2023-07-10,18.4
2023-07-11,3.5
2023-07-12,19.2
2023-07-13,9.8
2023-07-14,12.0
2023-07-15,22.0
2023-07-16,11.0
2023-07-17,4.1
2023-07-18,7.2
2023-07-19,16.5
2023-07-20,6.3
2023-07-21,18.4
2023-07-22,7.6
2023-07-23,0.5
2023-07-24,21.9
2023-07-25,24.9
2023-07-26,7.5
2023-07-27,0.6
2023-07-28,10.6
2023-07-29,0.2
2023-07-30,3.5
2023-07-31,7.2
2023-08-01,19.3
2023-08-02,10.1
2023-08-03,8.9
2023-08-04,11.7
2023-08-05,21.2
2023-08-06,21.3
2023-08-07,2.9
2023-08-08,8.9
2023-08-09,2.8
2023-08-10,8.5
2023-08-11,10.8
2023-08-12,16.1
2023-08-13,4.3
2023-08-14,20.1
2023-08-15,23.9
2023-08-16,9.8
2023-08-17,4.0
2023-08-18,17.9
2023-08-19,16.2
2023-08-20,19.2
2023-08-21,3.5
2023-08-22,21.6
2023-08-23,1.1
2023-08-24,16.7
2023-08-25,14.2
2023-08-26,2.3
2023-08-27,11.3
2023-08-28,1.3
2023-08-29,13.9
2023-08-30,21.2
2023-08-31,8.0
2023-09-01,4.4
2023-09-02,0.3
2023-09-03,0.6
2023-09-04,18.2
2023-09-05,21.6
2023-09-06,22.7
2023-09-07,3.3
2023-09-08,13.3
2023-09-09,15.1
2023-09-10,11.9
2023-09-11,3.9
2023-09-12,6.1
2023-09-13,20.1
2023-09-14,15.5
2023-09-15,3.0
2023-09-16,23.2
2023-09-17,20.6
2023-09-18,17.8
2023-09-19,24.2
2023-09-20,21.5
2023-09-21,6.7
2023-09-22,6.4
2023-09-23,6.0
2023-09-24,12.1
2023-09-25,1.0
2023-09-26,5.2
2023-09-27,4.6
2023-09-28,14.6
2023-09-29,2.9
2023-09-30,15.4
2023-10-01,10.9
2023-10-02,23.9
2023-10-03,13.2
2023-10-04,10.3
2023-10-05,23.6
2023-10-06,7.7
2023-10-07,3.5
2023-10-08,9.8
2023-10-09,16.3
2023-10-10,21.2
2023-10-11,20.7
2023-10-12,16.3
2023-10-13,7.9
2023-10-14,3.0
2023-10-15,18.5
2023-10-16,15.4
2023-10-17,24.1
2023-10-18,0.7
2023-10-19,1.6
2023-10-20,9.1
2023-10-21,17.2
2023-10-22,17.0
2023-10-23,19.5
2023-10-24,16.5
2023-10-25,0.1
2023-10-26,15.1
2023-10-27,6.5
2023-10-28,11.3
2023-10-29,7.8
2023-10-30,16.4
2023-10-31,15.7
2023-11-01,13.5
2023-11-02,7.3
2023-11-03,2.7
2023-11-04,5.5
2023-11-05,18.1
2023-11-06,11.7
2023-11-07,17.7
2023-11-08,22.5
2023-11-09,10.3
2023-11-10,18.6
2023-11-11,1.4
2023-11-12,10.3
2023-11-13,5.4
2023-11-14,21.1
2023-11-15,18.8
2023-11-16,7.1
2023-11-17,3.2
2023-11-18,7.1
2023-11-19,6.4
2023-11-20,9.6
2023-11-21,9.9
2023-11-22,17.8
2023-11-23,10.7
2023-11-24,4.3
2023-11-25,0.3
2023-11-26,20.2
2023-11-27,0.9
2023-11-28,2.9
2023-11-29,1.7
2023-11-30,16.5
2023-12-01,23.4
2023-12-02,6.8
2023-12-03,20.5
2023-12-04,15.7
2023-12-05,21.6
2023-12-06,3.7
2023-12-07,23.4
2023-12-08,3.8
2023-12-09,15.8
2023-12-10,3.6
2023-12-11,14.5
2023-12-12,10.2
2023-12-13,12.4
2023-12-14,13.5
2023-12-15,6.0
2023-12-16,6.8
2023-12-17,19.8
2023-12-18,2.9
2023-12-19,1.1
2023-12-20,9.7
2023-12-21,11.6
2023-12-22,20.1
2023-12-23,1.9
2023-12-24,7.6
2023-12-25,20.4
2023-12-26,11.1
2023-12-27,24.0
2023-12-28,0.2
2023-12-29,24.3
2023-12-30,17.0
2023-12-31,6.8
2024-01-01,16.8
2024-01-02,0.0
2024-01-03,9.9
2024-01-04,7.5
2024-01-05,15.6
2024-01-06,2.2
2024-01-07,23.0
2024-01-08,14.4
2024-01-09,17.2
2024-01-10,23.5
2024-01-11,2.2
2024-01-12,5.1
2024-01-13,17.3
2024-01-14,12.3
2024-01-15,14.7
2024-01-16,20.8
2024-01-17,2.4
2024-01-18,16.4
2024-01-19,5.1
2024-01-20,21.2
2024-01-21,13.4
2024-01-22,22.2
2024-01-23,13.1
2024-01-24,8.9
2024-01-25,5.7
2024-01-26,10.4
2024-01-27,24.8
2024-01-28,17.8
2024-01-29,17.5
2024-01-30,9.3
2024-01-31,0.2
2024-02-01,20.2
2024-02-02,18.3
2024-02-03,21.0
2024-02-04,4.0
2024-02-05,10.2
2024-02-06,12.3
2024-02-07,8.3
2024-02-08,12.2
2024-02-09,2.2
2024-02-10,21.8
2024-02-11,2.1
2024-02-12,6.2
2024-02-13,13.7
2024-02-14,5.4
2024-02-15,2.2
2024-02-16,11.7
2024-02-17,21.9
2024-02-18,22.5
2024-02-19,13.2
2024-02-20,5.9
2024-02-21,21.8
2024-02-22,15.7
