date,temperature
2023-06-10,22.8
2023-06-11,6.2
2023-06-12,12.4
2023-06-13,7.7
2023-06-14,14.9
2023-06-15,7.8
2023-06-16,33.3
2023-06-17,10.2
2023-06-18,31.9
2023-06-19,9.2
2023-06-20,15.3
2023-06-21,22.3
2023-06-22,6.3
2023-06-23,33.3
2023-06-24,23.5
2023-06-25,24.5
2023-06-26,21.9
2023-06-27,30.3
2023-06-28,21.7
2023-06-29,12.8
2023-06-30,23.3
2023-07-01,25.9
2023-07-02,11.3
2023-07-03,32.8
2023-07-04,19.0
2023-07-05,10.7
2023-07-06,22.0
2023-07-07,13.2
2023-07-08,25.3
2023-07-09,13.5
2023-07-10,26.3
2023-07-11,29.0
2023-07-12,15.2
2023-07-13,5.8
2023-07-14,5.4
2023-07-15,9.6
2023-07-16,19.6
2023-07-17,29.6
2023-07-18,20.6
2023-07-19,18.9
2023-07-20,8.2
2023-07-21,31.8
2023-07-22,27.3
2023-07-23,5.9
2023-07-24,7.8
2023-07-25,29.7
2023-07-26,21.8
2023-07-27,6.4
2023-07-28,17.9
2023-07-29,26.7
2023-07-30,5.4
2023-07-31,24.5
2023-08-01,9.3
2023-08-02,15.9
2023-08-03,34.7
2023-08-04,13.2
2023-08-05,18.1
2023-08-06,29.9
2023-08-07,32.5
2023-08-08,29.5
2023-08-09,34.4
2023-08-10,31.0
2023-08-11,20.7
2023-08-12,27.4
2023-08-13,35.0
2023-08-14,27.1
2023-08-15,21.6
2023-08-16,34.1
2023-08-17,27.6
2023-08-18,30.0
2023-08-19,24.5
2023-08-20,23.8
2023-08-21,25.4
2023-08-22,33.1
2023-08-23,34.6
2023-08-24,19.0
2023-08-25,26.1
2023-08-26,6.3
2023-08-27,16.7
2023-08-28,18.0
2023-08-29,23.1
2023-08-30,6.3
2023-08-31,20.9
2023-09-01,21.5
2023-09-02,25.9
2023-09-03,30.3
2023-09-04,21.4
2023-09-05,6.0
2023-09-06,7.8
2023-09-07,11.9
2023-09-08,22.0
2023-09-09,31.9
2023-09-10,17.2
2023-09-11,18.0
2023-09-12,6.1
2023-09-13,19.0
2023-09-14,5.2
2023-09-15,17.6
2023-09-16,11.1
2023-09-17,15.2
2023-09-18,34.3
2023-09-19,27.9
2023-09-20,12.7
2023-09-21,14.6
2023-09-22,19.7
2023-09-23,34.6
2023-09-24,28.6
2023-09-25,15.6
2023-09-26,16.7
2023-09-27,9.9
2023-09-28,10.4
2023-09-29,5.4
2023-09-30,14.8
2023-10-01,30.4
2023-10-02,10.5
2023-10-03,13.1
2023-10-04,15.4
2023-10-05,7.7
2023-10-06,20.0
2023-10-07,29.2
2023-10-08,29.7
2023-10-09,5.2
2023-10-10,33.3
2023-10-11,12.9
2023-10-12,6.8
2023-10-13,29.1
2023-10-14,31.7
2023-10-15,29.4
2023-10-16,15.3
2023-10-17,6.2
2023-10-18,11.5
2023-10-19,5.2
2023-10-20,33.5
2023-10-21,14.9
2023-10-22,28.0
2023-10-23,12.7
2023-10-24,26.2
2023-10-25,21.1
2023-10-26,23.4
2023-10-27,31.2
2023-10-28,22.5
2023-10-29,25.3
2023-10-30,15.7
2023-10-31,16.0
2023-11-01,30.9
2023-11-02,31.3
2023-11-03,18.5
2023-11-04,14.5
2023-11-05,31.9
2023-11-06,35.0
2023-11-07,17.0
2023-11-08,12.6
2023-11-09,32.2
2023-11-10,30.1
2023-11-11,19.9
2023-11-12,25.6
2023-11-13,29.8
2023-11-14,18.5
2023-11-15,13.5
2023-11-16,27.5
2023-11-17,34.5
2023-11-18,24.2
2023-11-19,10.1
2023-11-20,27.3
2023-11-21,32.0
2023-11-22,17.5
2023-11-23,25.4
2023-11-24,12.3
2023-11-25,21.5
2023-11-26,5.3
2023-11-27,19.9
2023-11-28,30.6
2023-11-29,33.8
2023-11-30,23.7
2023-12-01,25.2
2023-12-02,27.0
2023-12-03,5.1
2023-12-04,26.1
2023-12-05,34.7
2023-12-06,9.9
2023-12-07,31.8
2023-12-08,10.0
2023-12-09,33.3
2023-12-10,11.2
2023-12-11,21.4
2023-12-12,15.5
2023-12-13,14.3
2023-12-14,8.7
2023-12-15,12.9
2023-12-16,14.4
2023-12-17,34.0
2023-12-18,17.5
2023-12-19,11.6
2023-12-20,26.5
2023-12-21,7.3
2023-12-22,19.4
2023-12-23,35.0
2023-12-24,8.2
2023-12-25,12.1
2023-12-26,18.5
2023-12-27,29.3
2023-12-28,10.9
2023-12-29,24.8
2023-12-30,34.3
2023-12-31,17.5
2024-01-01,5.5
2024-01-02,9.8
2024-01-03,30.4
2024-01-04,19.7
2024-01-05,31.2
2024-01-06,17.1
2024-01-07,20.1
2024-01-08,12.8
2024-01-09,30.8
2024-01-10,33.4
2024-01-11,16.1
2024-01-12,5.9
2024-01-13,25.2
2024-01-14,7.6
2024-01-15,15.9
2024-01-16,31.8
2024-01-17,6.5
2024-01-18,29.8
2024-01-19,23.6
2024-01-20,33.6
2024-01-21,20.7
2024-01-22,9.7
2024-01-23,5.1
2024-01-24,25.9
2024-01-25,15.0
2024-01-26,12.1
2024-01-27,34.9
2024-01-28,25.8
2024-01-29,33.6
2024-01-30,11.7
2024-01-31,8.7
2024-02-01,31.5
2024-02-02,7.0
2024-02-03,31.5
2024-02-04,14.5
2024-02-05,9.0
2024-02-06,27.6
2024-02-07,5.7
2024-02-08,9.1
2024-02-09,13.2
2024-02-10,10.1
2024-02-11,16.8
2024-02-12,7.3
2024-02-13,23.1
2024-02-14,10.2
2024-02-15,30.3
2024-02-16,18.7
2024-02-17,25.0
2024-02-18,5.9
2024-02-19,15.3
2024-02-20,26.1
2024-02-21,33.8
2024-02-22,24.8
2024-02-23,21.8
2024-02-24,18.2
2024-02-25,28.1
2024-02-26,14.5
2024-02-27,18.1
2024-02-28,31.5
2024-02-29,12.3
2024-03-01,5.5
2024-03-02,7.4
2024-03-03,31.6
2024-03-04,5.8
2024-03-05,9.7
2024-03-06,23.4
2024-03-07,33.5
2024-03-08,31.0
2024-03-09,31.9
2024-03-10,9.6
2024-03-11,34.0
2024-03-12,34.3
2024-03-13,11.6
2024-03-14,13.1
2024-03-15,6.0
2024-03-16,7.6
2024-03-17,19.2
2024-03-18,9.4
2024-03-19,5.1
2024-03-20,18.9
2024-03-21,10.6
2024-03-22,34.1
2024-03-23,22.0
2024-03-24,26.8
2024-03-25,33.9
2024-03-26,26.8
2024-03-27,23.5
2024-03-28,33.7
2024-03-29,21.3
2024-03-30,9.2
2024-03-31,31.3
2024-04-01,18.8
2024-04-02,32.7
2024-04-03,29.1
2024-04-04,18.3
2024-04-05,16.4
2024-04-06,8.0
2024-04-07,26.4
2024-04-08,24.7
2024-04-09,19.6
2024-04-10,11.1
2024-04-11,28.6
2024-04-12,31.8
2024-04-13,27.4
2024-04-14,8.5
2024-04-15,34.7
2024-04-16,12.7
2024-04-17,7.5
2024-04-18,14.1
2024-04-19,12.3
2024-04-20,5.1
2024-04-21,19.5
2024-04-22,9.1
2024-04-23,24.0
2024-04-24,11.8
2024-04-25,27.7
2024-04-26,5.2
2024-04-27,26.1
2024-04-28,11.2
2024-04-29,13.0
2024-04-30,21.5
2024-05-01,31.0
2024-05-02,15.4
2024-05-03,16.4
2024-05-04,13.8
2024-05-05,27.6
2024-05-06,23.9
2024-05-07,15.0
2024-05-08,26.7
2024-05-09,16.9
2024-05-10,22.8
2024-05-11,7.4
2024-05-12,17.7
2024-05-13,6.0
2024-05-14,24.8
2024-05-15,33.9
2024-05-16,20.9
2024-05-17,33.0
2024-05-18,24.2
2024-05-19,21.6
2024-05-20,17.4
2024-05-21,13.8
2024-05-22,11.1
