date,temperature
2023-06-10,26.1
2023-06-11,29.3
2023-06-12,27.6
2023-06-13,27.5
2023-06-14,23.8
2023-06-15,29.2
2023-06-16,26.9
2023-06-17,28.1
2023-06-18,15.9
2023-06-19,28.7
2023-06-20,14.9
2023-06-21,17.8
2023-06-22,21.6
2023-06-23,27.6
2023-06-24,27.6
2023-06-25,11.2
2023-06-26,14.2
2023-06-27,21.7
2023-06-28,24.9
2023-06-29,25.0
2023-06-30,28.0
2023-07-01,20.9
2023-07-02,27.8
2023-07-03,27.5
2023-07-04,10.3
2023-07-05,11.7
2023-07-06,23.6
2023-07-07,24.6
2023-07-08,25.7
2023-07-09,25.9
2023-07-10,11.9
2023-07-11,10.7
2023-07-12,21.8
2023-07-13,29.5
2023-07-14,27.5
2023-07-15,26.1
2023-07-16,20.6
2023-07-17,19.1
2023-07-18,20.0
2023-07-19,29.6
2023-07-20,26.6
2023-07-21,13.9
2023-07-22,17.1
2023-07-23,24.5
2023-07-24,29.6
2023-07-25,13.1
2023-07-26,16.0
2023-07-27,28.7
2023-07-28,21.2
2023-07-29,22.1
2023-07-30,25.3
2023-07-31,16.9
2023-08-01,29.6
2023-08-02,26.6
2023-08-03,15.7
2023-08-04,24.7
2023-08-05,26.2
2023-08-06,27.8
2023-08-07,16.6
2023-08-08,15.9
2023-08-09,25.9
2023-08-10,23.0
2023-08-11,25.2
2023-08-12,25.4
2023-08-13,19.8
2023-08-14,25.9
2023-08-15,24.3
2023-08-16,16.6
2023-08-17,23.8
2023-08-18,27.6
2023-08-19,11.9
2023-08-20,17.0
2023-08-21,19.0
2023-08-22,10.2
2023-08-23,16.9
2023-08-24,19.6
2023-08-25,11.9
2023-08-26,12.5
2023-08-27,21.2
2023-08-28,24.9
2023-08-29,28.9
2023-08-30,26.6
2023-08-31,18.8
2023-09-01,24.3
2023-09-02,29.5
2023-09-03,29.7
2023-09-04,21.1
2023-09-05,23.7
2023-09-06,16.4
2023-09-07,22.4
2023-09-08,15.9
2023-09-09,29.3
2023-09-10,15.3
2023-09-11,10.8
2023-09-12,14.2
2023-09-13,19.7
2023-09-14,26.9
2023-09-15,29.9
2023-09-16,12.6
2023-09-17,25.1
2023-09-18,14.5
2023-09-19,10.5
2023-09-20,28.5
2023-09-21,12.7
2023-09-22,26.5
2023-09-23,23.6
2023-09-24,16.5
2023-09-25,29.1
2023-09-26,25.2
2023-09-27,22.9
2023-09-28,21.5
2023-09-29,19.6
2023-09-30,13.9
2023-10-01,19.1
2023-10-02,17.4
2023-10-03,12.3
2023-10-04,13.7
2023-10-05,29.6
2023-10-06,11.6
2023-10-07,16.5
2023-10-08,20.6
2023-10-09,27.8
2023-10-10,19.1
2023-10-11,24.4
2023-10-12,11.8
2023-10-13,27.6
2023-10-14,20.0
2023-10-15,10.9
2023-10-16,17.5
2023-10-17,20.4
2023-10-18,13.2
2023-10-19,10.5
2023-10-20,18.2
2023-10-21,29.7
2023-10-22,11.3
2023-10-23,14.0
2023-10-24,17.7
2023-10-25,15.5
2023-10-26,21.7
2023-10-27,26.9
2023-10-28,13.3
2023-10-29,27.6
2023-10-30,15.1
2023-10-31,29.9
2023-11-01,11.9
2023-11-02,24.0
2023-11-03,23.2
2023-11-04,10.9
2023-11-05,21.4
2023-11-06,12.1
2023-11-07,24.1
2023-11-08,27.4
2023-11-09,26.1
2023-11-10,14.0
2023-11-11,21.2
2023-11-12,21.2
2023-11-13,14.2
2023-11-14,29.0
2023-11-15,17.9
2023-11-16,12.4
2023-11-17,12.1
2023-11-18,22.6
2023-11-19,11.4
2023-11-20,13.3
2023-11-21,28.4
2023-11-22,28.7
2023-11-23,20.4
2023-11-24,25.1
2023-11-25,21.0
2023-11-26,23.7
2023-11-27,20.1
2023-11-28,20.5
2023-11-29,23.3
2023-11-30,28.6
2023-12-01,14.6
2023-12-02,15.8
2023-12-03,29.6
2023-12-04,19.0
2023-12-05,27.1
2023-12-06,14.7
2023-12-07,11.9
2023-12-08,22.5
2023-12-09,11.8
2023-12-10,19.0
2023-12-11,13.4
2023-12-12,16.4
2023-12-13,12.0
2023-12-14,27.9
2023-12-15,28.0
2023-12-16,27.7
2023-12-17,29.6
2023-12-18,13.0
2023-12-19,23.1
2023-12-20,27.4
2023-12-21,22.7
2023-12-22,15.0
2023-12-23,14.5
2023-12-24,12.0
2023-12-25,24.4
2023-12-26,19.0
2023-12-27,13.5
2023-12-28,24.2
2023-12-29,27.9
2023-12-30,23.7
2023-12-31,14.6
2024-01-01,20.0
2024-01-02,20.8
2024-01-03,16.7
2024-01-04,22.2
2024-01-05,22.2
2024-01-06,24.2
2024-01-07,17.3
2024-01-08,29.6
2024-01-09,14.7
2024-01-10,13.1
2024-01-11,28.3
2024-01-12,13.0
2024-01-13,12.3
2024-01-14,13.9
2024-01-15,21.4
2024-01-16,18.7
2024-01-17,16.4
2024-01-18,16.4
2024-01-19,24.0
2024-01-20,20.8
2024-01-21,11.7
2024-01-22,14.0
2024-01-23,24.2
2024-01-24,16.1
2024-01-25,21.9
2024-01-26,27.6
2024-01-27,12.5
2024-01-28,24.0
2024-01-29,27.0
2024-01-30,24.6
2024-01-31,12.3
2024-02-01,13.0
2024-02-02,26.3
2024-02-03,19.1
2024-02-04,15.8
2024-02-05,28.9
2024-02-06,14.7
2024-02-07,14.5
2024-02-08,11.1
2024-02-09,24.1
2024-02-10,26.9
2024-02-11,11.8
2024-02-12,14.9
2024-02-13,27.9
2024-02-14,16.0
2024-02-15,20.7
2024-02-16,20.2
2024-02-17,25.0
2024-02-18,14.6
2024-02-19,11.5
2024-02-20,10.9
2024-02-21,25.3
2024-02-22,29.4
2024-02-23,20.1
2024-02-24,23.1
2024-02-25,24.5
2024-02-26,14.9
2024-02-27,14.7
2024-02-28,11.5
2024-02-29,19.9
2024-03-01,25.6
2024-03-02,24.3
2024-03-03,11.4
2024-03-04,21.3
2024-03-05,29.9
2024-03-06,21.5
2024-03-07,20.1
2024-03-08,17.6
2024-03-09,11.2
2024-03-10,25.4
2024-03-11,14.9
2024-03-12,28.5
2024-03-13,19.7
2024-03-14,21.8
2024-03-15,21.5
2024-03-16,23.2
2024-03-17,18.7
2024-03-18,23.4
2024-03-19,17.1
2024-03-20,14.4
2024-03-21,22.5
2024-03-22,10.4
2024-03-23,26.3
2024-03-24,29.3
2024-03-25,14.8
2024-03-26,26.0
2024-03-27,21.3
2024-03-28,11.0
2024-03-29,10.6
2024-03-30,29.0
2024-03-31,29.3
2024-04-01,12.5
2024-04-02,22.5
