date,temperature
2023-06-10,12.4
2023-06-11,0.1
2023-06-12,22.4
2023-06-13,2.6
2023-06-14,10.9
2023-06-15,14.2
2023-06-16,20.1
2023-06-17,11.4
2023-06-18,11.5
2023-06-19,11.5
2023-06-20,13.5
2023-06-21,0.9
2023-06-22,24.0
2023-06-23,7.9
2023-06-24,2.8
2023-06-25,21.2
2023-06-26,15.4
2023-06-27,9.3
2023-06-28,3.2
2023-06-29,13.3
2023-06-30,18.9
2023-07-01,17.7
2023-07-02,20.4
2023-07-03,18.2
2023-07-04,19.9
2023-07-05,20.9
2023-07-06,17.6
2023-07-07,11.7
2023-07-08,15.4
2023-07-09,11.6
2023-07-10,16.1
2023-07-11,16.3
2023-07-12,6.3
2023-07-13,22.9
2023-07-14,7.6
2023-07-15,17.2
2023-07-16,15.4
2023-07-17,15.6
2023-07-18,4.7
2023-07-19,9.2
2023-07-20,19.2
2023-07-21,15.6
2023-07-22,12.5
2023-07-23,5.8
2023-07-24,12.4
2023-07-25,24.3
2023-07-26,19.4
2023-07-27,18.1
2023-07-28,3.7
2023-07-29,1.9
2023-07-30,7.6
2023-07-31,23.6
2023-08-01,8.5
2023-08-02,23.6
2023-08-03,20.0
2023-08-04,11.6
2023-08-05,12.5
2023-08-06,20.5
2023-08-07,17.2
2023-08-08,20.1
2023-08-09,10.5
2023-08-10,18.7
2023-08-11,12.3
2023-08-12,6.2
2023-08-13,0.4
2023-08-14,18.0
2023-08-15,21.5
2023-08-16,1.5
2023-08-17,2.8
2023-08-18,22.4
2023-08-19,9.1
2023-08-20,12.6
2023-08-21,8.8
2023-08-22,20.6
2023-08-23,4.1
2023-08-24,24.9
2023-08-25,12.4
2023-08-26,6.1
2023-08-27,14.8
2023-08-28,23.6
2023-08-29,6.7
2023-08-30,6.2
2023-08-31,14.6
2023-09-01,13.8
2023-09-02,0.3
2023-09-03,20.2
2023-09-04,12.6
2023-09-05,15.5
2023-09-06,14.4
2023-09-07,16.7
2023-09-08,10.7
2023-09-09,1.6
2023-09-10,1.2
2023-09-11,16.6
2023-09-12,7.4
2023-09-13,0.1
2023-09-14,2.7
2023-09-15,3.2
2023-09-16,14.6
2023-09-17,12.5
2023-09-18,19.1
2023-09-19,2.9
2023-09-20,9.6
2023-09-21,2.5
2023-09-22,15.2
2023-09-23,19.4
2023-09-24,24.0
2023-09-25,8.3
2023-09-26,2.6
2023-09-27,13.2
2023-09-28,16.9
2023-09-29,2.6
2023-09-30,5.5
2023-10-01,20.5
2023-10-02,6.3
2023-10-03,6.0
2023-10-04,16.9
2023-10-05,14.9
2023-10-06,10.3
2023-10-07,2.6
2023-10-08,24.7
2023-10-09,5.6
2023-10-10,3.0
2023-10-11,12.7
2023-10-12,11.9
2023-10-13,8.6
2023-10-14,21.8
2023-10-15,11.9
2023-10-16,11.5
2023-10-17,5.3
2023-10-18,24.5
2023-10-19,15.9
2023-10-20,18.4
2023-10-21,7.5
2023-10-22,18.2
2023-10-23,19.5
2023-10-24,5.8
2023-10-25,18.7
2023-10-26,7.2
2023-10-27,16.0
2023-10-28,0.3
2023-10-29,8.1
2023-10-30,12.9
2023-10-31,4.1
2023-11-01,20.5
2023-11-02,7.1
2023-11-03,4.8
2023-11-04,6.9
