date,temperature
2023-06-10,4.2
2023-06-11,9.8
2023-06-12,8.2
2023-06-13,5.3
2023-06-14,20.4
2023-06-15,7.9
2023-06-16,1.3
2023-06-17,6.2
2023-06-18,12.2
2023-06-19,8.0
2023-06-20,10.8
2023-06-21,16.0
2023-06-22,15.2
2023-06-23,18.5
2023-06-24,24.7
2023-06-25,2.9
2023-06-26,9.3
2023-06-27,22.4
2023-06-28,23.4
2023-06-29,19.6
2023-06-30,4.1
2023-07-01,0.8
2023-07-02,2.2
2023-07-03,12.4
2023-07-04,5.3
2023-07-05,2.1
2023-07-06,9.6
2023-07-07,19.6
2023-07-08,3.2
2023-07-09,17.1
2023-07-10,6.1
2023-07-11,16.8
2023-07-12,1.4
2023-07-13,15.1
2023-07-14,0.4
2023-07-15,19.7
2023-07-16,16.7
2023-07-17,22.5
2023-07-18,20.4
2023-07-19,22.7
2023-07-20,24.8
2023-07-21,3.7
2023-07-22,24.7
2023-07-23,23.0
2023-07-24,21.6
2023-07-25,1.0
2023-07-26,10.1
2023-07-27,3.8
2023-07-28,8.4
2023-07-29,13.4
2023-07-30,8.1
2023-07-31,21.3
2023-08-01,16.1
2023-08-02,19.7
2023-08-03,7.4
2023-08-04,20.5
2023-08-05,12.6
2023-08-06,0.7
2023-08-07,13.7
2023-08-08,8.5
2023-08-09,19.2
2023-08-10,17.0
2023-08-11,24.3
2023-08-12,19.2
2023-08-13,23.5
2023-08-14,1.8
2023-08-15,14.0
2023-08-16,21.7
2023-08-17,16.3
2023-08-18,16.0
2023-08-19,5.4
2023-08-20,7.7
2023-08-21,10.8
2023-08-22,11.0
2023-08-23,2.0
2023-08-24,12.6
2023-08-25,8.0
2023-08-26,0.1
2023-08-27,23.9
2023-08-28,8.1
2023-08-29,10.1
2023-08-30,1.0
2023-08-31,2.0
2023-09-01,9.9
2023-09-02,15.7
2023-09-03,5.4
2023-09-04,16.1
2023-09-05,16.6
2023-09-06,2.3
2023-09-07,19.9
2023-09-08,0.3
2023-09-09,6.2
2023-09-10,2.7
2023-09-11,5.0
2023-09-12,0.3
2023-09-13,8.1
2023-09-14,23.3
2023-09-15,12.9
2023-09-16,0.7
2023-09-17,18.1
2023-09-18,4.7
2023-09-19,3.6
2023-09-20,0.7
2023-09-21,3.2
2023-09-22,19.4
2023-09-23,2.0
2023-09-24,13.4
2023-09-25,19.7
2023-09-26,14.7
2023-09-27,13.0
2023-09-28,9.4
2023-09-29,9.7
2023-09-30,18.3
2023-10-01,3.4
2023-10-02,9.6
2023-10-03,19.4
2023-10-04,8.4
2023-10-05,8.7
2023-10-06,11.5
2023-10-07,1.9
2023-10-08,17.7
2023-10-09,5.4
2023-10-10,6.6
2023-10-11,10.6
2023-10-12,17.5
2023-10-13,24.9
2023-10-14,7.3
2023-10-15,5.6
2023-10-16,16.7
2023-10-17,0.6
2023-10-18,16.8
2023-10-19,2.7
2023-10-20,7.0
2023-10-21,6.7
2023-10-22,16.7
2023-10-23,21.1
2023-10-24,14.7
2023-10-25,0.3
2023-10-26,18.6
2023-10-27,14.7
2023-10-28,12.0
2023-10-29,4.2
2023-10-30,8.4
2023-10-31,21.3
2023-11-01,16.8
2023-11-02,9.8
2023-11-03,14.0
2023-11-04,9.2
2023-11-05,11.7
2023-11-06,3.6
2023-11-07,23.4
2023-11-08,10.0
2023-11-09,16.5
2023-11-10,16.9
2023-11-11,5.9
2023-11-12,12.3
2023-11-13,17.4
2023-11-14,16.5
2023-11-15,20.7
2023-11-16,20.1
2023-11-17,5.2
2023-11-18,0.1
2023-11-19,15.7
2023-11-20,11.4
2023-11-21,5.3
2023-11-22,22.5
2023-11-23,3.8
2023-11-24,11.0
2023-11-25,0.4
2023-11-26,8.3
2023-11-27,19.9
2023-11-28,12.7
2023-11-29,0.2
2023-11-30,4.8
2023-12-01,20.8
2023-12-02,3.9
2023-12-03,12.8
2023-12-04,15.4
2023-12-05,14.8
2023-12-06,17.4
2023-12-07,0.3
2023-12-08,9.2
2023-12-09,5.7
2023-12-10,15.4
2023-12-11,8.3
2023-12-12,18.6
2023-12-13,12.2
2023-12-14,0.7
2023-12-15,2.7
2023-12-16,10.7
2023-12-17,5.6
2023-12-18,13.6
2023-12-19,18.0
2023-12-20,2.6
2023-12-21,10.0
2023-12-22,9.5
2023-12-23,10.0
2023-12-24,21.4
2023-12-25,18.4
2023-12-26,6.5
2023-12-27,1.6
2023-12-28,16.6
2023-12-29,4.9
2023-12-30,12.3
2023-12-31,10.4
2024-01-01,24.2
2024-01-02,12.0
2024-01-03,19.4
2024-01-04,16.6
2024-01-05,23.3
2024-01-06,3.5
2024-01-07,2.6
2024-01-08,7.3
2024-01-09,12.4
2024-01-10,22.9
2024-01-11,0.5
2024-01-12,9.1
