date,temperature
2023-06-10,16.2
2023-06-11,34.6
2023-06-12,27.4
2023-06-13,27.2
2023-06-14,17.7
2023-06-15,17.5
2023-06-16,17.1
2023-06-17,16.3
2023-06-18,16.7
2023-06-19,32.8
2023-06-20,19.6
2023-06-21,28.5
2023-06-22,16.3
2023-06-23,16.9
2023-06-24,26.1
2023-06-25,32.7
2023-06-26,24.4
2023-06-27,17.6
2023-06-28,27.4
2023-06-29,30.5
2023-06-30,24.6
2023-07-01,29.3
2023-07-02,17.4
2023-07-03,24.9
2023-07-04,15.5
2023-07-05,17.5
2023-07-06,30.6
2023-07-07,19.1
2023-07-08,19.2
2023-07-09,24.6
2023-07-10,29.4
2023-07-11,26.5
2023-07-12,26.4
2023-07-13,28.9
2023-07-14,22.2
2023-07-15,24.3
2023-07-16,32.2
2023-07-17,29.0
2023-07-18,20.2
2023-07-19,18.8
2023-07-20,17.3
2023-07-21,33.8
2023-07-22,21.6
2023-07-23,21.7
2023-07-24,21.2
2023-07-25,33.1
2023-07-26,30.6
2023-07-27,20.7
2023-07-28,16.5
2023-07-29,21.2
2023-07-30,27.5
2023-07-31,19.4
2023-08-01,18.4
2023-08-02,31.0
2023-08-03,28.6
2023-08-04,32.5
2023-08-05,34.0
2023-08-06,26.2
2023-08-07,23.7
2023-08-08,34.0
2023-08-09,22.7
2023-08-10,17.8
2023-08-11,33.4
2023-08-12,15.1
2023-08-13,23.8
2023-08-14,19.6
2023-08-15,27.9
2023-08-16,32.4
2023-08-17,29.2
2023-08-18,20.7
2023-08-19,32.0
2023-08-20,23.9
2023-08-21,20.5
2023-08-22,18.8
2023-08-23,20.8
2023-08-24,20.8
2023-08-25,27.5
2023-08-26,20.6
2023-08-27,29.2
2023-08-28,15.1
2023-08-29,16.1
2023-08-30,33.0
2023-08-31,32.4
2023-09-01,19.2
2023-09-02,22.3
2023-09-03,16.2
2023-09-04,21.5
2023-09-05,17.4
2023-09-06,28.6
2023-09-07,20.4
2023-09-08,15.8
2023-09-09,20.4
2023-09-10,31.2
2023-09-11,18.5
2023-09-12,23.9
2023-09-13,16.5
2023-09-14,26.8
2023-09-15,31.8
2023-09-16,28.9
2023-09-17,24.6
2023-09-18,20.0
2023-09-19,33.5
2023-09-20,31.2
2023-09-21,18.6
2023-09-22,27.9
2023-09-23,30.3
2023-09-24,16.2
2023-09-25,17.0
2023-09-26,34.9
2023-09-27,24.6
2023-09-28,28.8
2023-09-29,33.0
2023-09-30,27.2
2023-10-01,22.7
2023-10-02,32.9
2023-10-03,33.2
2023-10-04,23.0
2023-10-05,33.1
2023-10-06,19.4
2023-10-07,33.2
2023-10-08,32.9
2023-10-09,30.8
2023-10-10,20.1
2023-10-11,22.8
2023-10-12,24.9
2023-10-13,22.4
2023-10-14,17.4
2023-10-15,30.0
2023-10-16,18.7
2023-10-17,25.8
2023-10-18,17.1
2023-10-19,16.9
2023-10-20,27.2
2023-10-21,23.8
2023-10-22,33.3
2023-10-23,15.1
2023-10-24,31.3
2023-10-25,31.0
2023-10-26,27.2
2023-10-27,33.3
2023-10-28,16.4
2023-10-29,15.2
2023-10-30,18.6
2023-10-31,28.5
2023-11-01,28.5
2023-11-02,16.2
2023-11-03,27.5
2023-11-04,32.9
2023-11-05,17.6
2023-11-06,34.7
2023-11-07,21.6
2023-11-08,19.1
2023-11-09,33.6
2023-11-10,29.1
2023-11-11,31.5
2023-11-12,21.4
2023-11-13,19.2
2023-11-14,35.0
2023-11-15,31.6
2023-11-16,32.1
2023-11-17,17.9
2023-11-18,15.1
2023-11-19,35.0
2023-11-20,17.0
2023-11-21,32.6
2023-11-22,31.7
2023-11-23,26.5
2023-11-24,25.2
2023-11-25,21.9
2023-11-26,24.1
2023-11-27,17.7
2023-11-28,33.6
2023-11-29,18.3
2023-11-30,15.3
2023-12-01,34.1
2023-12-02,18.9
2023-12-03,20.4
2023-12-04,23.9
2023-12-05,32.2
2023-12-06,22.6
2023-12-07,32.7
2023-12-08,17.7
2023-12-09,24.2
2023-12-10,24.6
2023-12-11,20.2
2023-12-12,15.9
2023-12-13,26.6
2023-12-14,33.8
2023-12-15,28.5
2023-12-16,30.3
2023-12-17,32.0
2023-12-18,23.2
2023-12-19,17.0
2023-12-20,29.9
2023-12-21,21.0
2023-12-22,22.7
2023-12-23,29.8
2023-12-24,30.5
2023-12-25,30.7
2023-12-26,18.9
2023-12-27,19.2
2023-12-28,31.4
2023-12-29,30.7
2023-12-30,27.1
2023-12-31,20.0
2024-01-01,24.2
2024-01-02,20.5
2024-01-03,33.7
2024-01-04,23.7
2024-01-05,24.4
2024-01-06,30.8
2024-01-07,15.3
2024-01-08,22.6
2024-01-09,26.4
2024-01-10,31.4
2024-01-11,15.2
2024-01-12,26.2
2024-01-13,29.8
2024-01-14,33.2
2024-01-15,26.9
2024-01-16,30.1
2024-01-17,26.8
2024-01-18,19.5
2024-01-19,17.6
2024-01-20,30.5
2024-01-21,25.3
2024-01-22,21.1
2024-01-23,28.5
2024-01-24,22.4
2024-01-25,29.6
2024-01-26,28.6
2024-01-27,21.0
2024-01-28,22.5
2024-01-29,32.6
2024-01-30,30.6
2024-01-31,26.9
2024-02-01,34.7
2024-02-02,18.6
2024-02-03,32.3
2024-02-04,25.7
2024-02-05,16.6
2024-02-06,17.8
2024-02-07,21.3
2024-02-08,28.9
2024-02-09,30.9
2024-02-10,29.4
2024-02-11,28.9
2024-02-12,23.3
2024-02-13,22.5
2024-02-14,16.4
2024-02-15,26.6
2024-02-16,21.0
2024-02-17,27.6
2024-02-18,20.8
2024-02-19,33.9
2024-02-20,23.3
2024-02-21,25.7
2024-02-22,20.0
2024-02-23,22.5
2024-02-24,19.3
2024-02-25,32.0
2024-02-26,16.0
2024-02-27,20.6
2024-02-28,28.4
2024-02-29,17.4
2024-03-01,22.3
2024-03-02,20.8
2024-03-03,23.2
2024-03-04,34.4
2024-03-05,21.1
2024-03-06,33.8
2024-03-07,27.0
2024-03-08,18.9
2024-03-09,27.8
2024-03-10,19.6
2024-03-11,32.4
2024-03-12,31.3
2024-03-13,25.9
2024-03-14,16.2
2024-03-15,32.6
2024-03-16,15.9
2024-03-17,17.8
2024-03-18,27.8
2024-03-19,33.2
2024-03-20,23.1
2024-03-21,24.5
2024-03-22,29.1
2024-03-23,21.0
2024-03-24,26.9
2024-03-25,22.9
2024-03-26,31.5
2024-03-27,29.1
2024-03-28,20.3
2024-03-29,27.5
2024-03-30,34.9
2024-03-31,29.3
2024-04-01,15.5
2024-04-02,20.9
2024-04-03,16.6
2024-04-04,22.6
2024-04-05,25.1
2024-04-06,18.9
2024-04-07,34.0
2024-04-08,20.2
2024-04-09,26.8
2024-04-10,17.1
2024-04-11,23.9
2024-04-12,29.1
2024-04-13,25.4
2024-04-14,34.3
2024-04-15,31.3
2024-04-16,16.6
2024-04-17,24.1
2024-04-18,29.3
2024-04-19,17.6
2024-04-20,26.4
2024-04-21,27.6
2024-04-22,32.4
2024-04-23,19.3
2024-04-24,15.2
2024-04-25,27.7
2024-04-26,32.3
2024-04-27,33.0
2024-04-28,28.1
2024-04-29,24.3
2024-04-30,30.8
2024-05-01,19.7
2024-05-02,27.0
2024-05-03,23.7
2024-05-04,15.3
2024-05-05,25.2
2024-05-06,15.8
2024-05-07,30.7
