date,temperature
2023-06-10,13.3
2023-06-11,17.4
2023-06-12,19.6
2023-06-13,11.6
2023-06-14,11.9
2023-06-15,28.6
2023-06-16,22.7
2023-06-17,16.5
2023-06-18,22.0
2023-06-19,26.2
2023-06-20,25.8
2023-06-21,23.7
2023-06-22,19.2
2023-06-23,29.7
2023-06-24,25.1
2023-06-25,25.6
2023-06-26,22.8
2023-06-27,11.2
2023-06-28,25.1
2023-06-29,17.8
2023-06-30,22.3
2023-07-01,29.0
2023-07-02,21.5
2023-07-03,28.1
2023-07-04,19.4
2023-07-05,15.6
2023-07-06,20.1
2023-07-07,24.4
2023-07-08,19.7
2023-07-09,11.5
2023-07-10,17.8
2023-07-11,27.2
2023-07-12,27.1
2023-07-13,12.3
2023-07-14,19.5
2023-07-15,17.9
2023-07-16,28.3
2023-07-17,26.8
2023-07-18,21.5
2023-07-19,11.4
2023-07-20,10.8
2023-07-21,13.9
2023-07-22,20.5
2023-07-23,18.4
2023-07-24,12.8
2023-07-25,18.2
2023-07-26,11.3
2023-07-27,25.6
2023-07-28,23.2
2023-07-29,26.0
2023-07-30,26.8
2023-07-31,29.3
2023-08-01,17.4
2023-08-02,28.3
2023-08-03,15.2
2023-08-04,26.1
2023-08-05,23.3
2023-08-06,13.1
2023-08-07,17.1
2023-08-08,22.8
2023-08-09,16.3
2023-08-10,24.0
2023-08-11,11.8
2023-08-12,12.0
2023-08-13,14.4
2023-08-14,10.7
2023-08-15,21.8
2023-08-16,17.8
2023-08-17,11.2
2023-08-18,19.8
2023-08-19,15.3
2023-08-20,29.9
2023-08-21,24.0
2023-08-22,22.7
2023-08-23,27.4
2023-08-24,20.3
2023-08-25,27.7
2023-08-26,29.4
2023-08-27,21.6
2023-08-28,26.5
2023-08-29,24.7
2023-08-30,17.2
2023-08-31,16.1
2023-09-01,28.0
2023-09-02,14.8
2023-09-03,22.8
2023-09-04,11.3
2023-09-05,19.9
2023-09-06,18.1
2023-09-07,10.5
2023-09-08,11.7
2023-09-09,16.2
2023-09-10,27.9
2023-09-11,11.9
2023-09-12,12.4
2023-09-13,20.3
2023-09-14,27.8
2023-09-15,19.0
2023-09-16,16.7
2023-09-17,20.3
2023-09-18,21.1
2023-09-19,26.3
2023-09-20,18.8
2023-09-21,12.5
2023-09-22,19.9
2023-09-23,28.6
2023-09-24,12.5
2023-09-25,14.4
2023-09-26,24.9
2023-09-27,16.6
2023-09-28,29.9
2023-09-29,23.5
2023-09-30,10.0
2023-10-01,11.0
2023-10-02,24.3
2023-10-03,15.4
2023-10-04,13.4
2023-10-05,17.4
2023-10-06,13.1
2023-10-07,16.9
2023-10-08,29.8
2023-10-09,20.8
2023-10-10,15.3
2023-10-11,13.2
2023-10-12,27.4
2023-10-13,13.3
2023-10-14,21.0
2023-10-15,18.3
2023-10-16,14.1
2023-10-17,24.5
2023-10-18,16.0
2023-10-19,23.5
2023-10-20,26.6
2023-10-21,23.4
2023-10-22,25.2
2023-10-23,17.5
2023-10-24,20.6
2023-10-25,22.9
2023-10-26,21.9
2023-10-27,15.6
2023-10-28,12.4
2023-10-29,21.7
2023-10-30,27.9
2023-10-31,10.9
2023-11-01,17.5
2023-11-02,29.1
2023-11-03,21.3
2023-11-04,14.9
2023-11-05,29.9
2023-11-06,28.1
2023-11-07,26.9
2023-11-08,21.4
2023-11-09,24.4
2023-11-10,29.3
2023-11-11,19.9
2023-11-12,18.6
2023-11-13,22.3
2023-11-14,12.3
2023-11-15,18.9
2023-11-16,21.6
2023-11-17,18.8
2023-11-18,15.9
2023-11-19,19.6
2023-11-20,12.1
2023-11-21,14.2
2023-11-22,19.2
2023-11-23,17.5
2023-11-24,20.0
2023-11-25,18.2
2023-11-26,24.3
2023-11-27,26.0
2023-11-28,25.4
2023-11-29,17.1
2023-11-30,18.9
2023-12-01,25.3
2023-12-02,29.5
2023-12-03,13.6
2023-12-04,10.6
2023-12-05,19.7
2023-12-06,23.5
2023-12-07,19.4
2023-12-08,21.6
2023-12-09,29.8
2023-12-10,15.4
2023-12-11,26.3
2023-12-12,22.6
2023-12-13,23.5
2023-12-14,29.9
2023-12-15,28.9
2023-12-16,19.1
2023-12-17,15.9
2023-12-18,14.6
2023-12-19,26.9
2023-12-20,18.6
2023-12-21,15.4
2023-12-22,16.7
2023-12-23,27.6
2023-12-24,21.1
2023-12-25,27.3
2023-12-26,20.4
2023-12-27,23.1
2023-12-28,16.5
2023-12-29,22.0
2023-12-30,23.2
2023-12-31,26.9
2024-01-01,10.9
2024-01-02,14.9
2024-01-03,15.6
2024-01-04,28.5
2024-01-05,15.5
2024-01-06,26.8
2024-01-07,15.1
2024-01-08,29.4
2024-01-09,20.7
2024-01-10,13.4
2024-01-11,19.7
2024-01-12,11.0
2024-01-13,13.9
2024-01-14,17.3
2024-01-15,16.0
2024-01-16,21.2
2024-01-17,13.6
2024-01-18,28.3
2024-01-19,15.1
2024-01-20,22.4
2024-01-21,15.9
2024-01-22,10.2
2024-01-23,18.2
2024-01-24,13.4
2024-01-25,14.0
2024-01-26,29.0
2024-01-27,20.2
2024-01-28,20.8
2024-01-29,17.0
2024-01-30,25.8
2024-01-31,25.3
2024-02-01,24.6
2024-02-02,26.3
2024-02-03,12.0
2024-02-04,13.0
2024-02-05,11.6
2024-02-06,19.3
2024-02-07,16.2
2024-02-08,27.6
2024-02-09,23.3
2024-02-10,27.7
2024-02-11,26.2
2024-02-12,25.0
2024-02-13,26.3
2024-02-14,18.1
2024-02-15,17.2
2024-02-16,17.8
2024-02-17,16.1
2024-02-18,20.1
2024-02-19,24.6
2024-02-20,25.6
2024-02-21,29.2
2024-02-22,24.4
2024-02-23,15.2
2024-02-24,19.7
2024-02-25,21.4
2024-02-26,14.0
2024-02-27,17.9
2024-02-28,27.0
2024-02-29,29.0
2024-03-01,15.3
2024-03-02,17.6
