date,temperature
2023-06-10,8.8
2023-06-11,20.0
2023-06-12,22.2
2023-06-13,10.7
2023-06-14,26.5
2023-06-15,16.9
2023-06-16,0.0
2023-06-17,19.8
2023-06-18,16.1
2023-06-19,12.2
2023-06-20,0.7
2023-06-21,21.0
2023-06-22,12.1
2023-06-23,29.5
2023-06-24,-3.4
2023-06-25,18.9
2023-06-26,5.8
2023-06-27,24.8
2023-06-28,17.2
2023-06-29,-2.2
2023-06-30,-4.1
2023-07-01,15.9
2023-07-02,7.6
2023-07-03,9.3
2023-07-04,9.2
2023-07-05,25.8
2023-07-06,4.0
2023-07-07,26.7
2023-07-08,-4.1
2023-07-09,27.1
2023-07-10,-1.5
2023-07-11,1.4
2023-07-12,5.5
2023-07-13,19.7
2023-07-14,20.6
2023-07-15,0.1
2023-07-16,24.9
2023-07-17,4.8
2023-07-18,19.7
2023-07-19,18.4
2023-07-20,6.8
2023-07-21,12.0
2023-07-22,28.2
2023-07-23,21.8
2023-07-24,4.0
2023-07-25,9.8
2023-07-26,2.6
2023-07-27,10.9
2023-07-28,10.7
2023-07-29,-0.3
2023-07-30,17.4
2023-07-31,-1.8
2023-08-01,11.7
2023-08-02,16.0
2023-08-03,8.4
2023-08-04,-3.0
2023-08-05,13.4
2023-08-06,-1.8
2023-08-07,10.3
2023-08-08,4.5
2023-08-09,23.8
2023-08-10,5.7
2023-08-11,3.1
2023-08-12,0.2
2023-08-13,-1.5
2023-08-14,4.5
2023-08-15,30.0
2023-08-16,25.4
2023-08-17,6.6
2023-08-18,11.2
2023-08-19,24.5
2023-08-20,4.9
2023-08-21,10.1
2023-08-22,21.2
2023-08-23,20.1
2023-08-24,-0.3
2023-08-25,24.5
2023-08-26,25.1
2023-08-27,-1.7
2023-08-28,17.0
2023-08-29,21.6
2023-08-30,22.3
2023-08-31,15.9
2023-09-01,14.2
2023-09-02,13.3
2023-09-03,-2.2
2023-09-04,28.4
2023-09-05,18.0
2023-09-06,13.4
2023-09-07,25.5
2023-09-08,27.8
2023-09-09,27.2
2023-09-10,14.2
2023-09-11,2.5
2023-09-12,13.4
2023-09-13,25.1
2023-09-14,23.8
2023-09-15,22.0
2023-09-16,-3.3
2023-09-17,29.5
2023-09-18,21.5
2023-09-19,27.9
2023-09-20,20.4
2023-09-21,4.1
2023-09-22,-2.1
2023-09-23,19.8
2023-09-24,-1.9
2023-09-25,9.1
2023-09-26,18.8
2023-09-27,6.9
2023-09-28,6.4
2023-09-29,27.6
2023-09-30,3.7
2023-10-01,-2.3
2023-10-02,16.3
2023-10-03,2.1
2023-10-04,10.2
2023-10-05,9.9
2023-10-06,0.0
2023-10-07,10.5
2023-10-08,0.4
2023-10-09,22.7
2023-10-10,0.7
2023-10-11,13.1
2023-10-12,16.6
2023-10-13,27.6
2023-10-14,28.7
2023-10-15,29.0
2023-10-16,27.8
2023-10-17,25.4
2023-10-18,24.5
2023-10-19,-4.2
2023-10-20,26.6
2023-10-21,-0.0
2023-10-22,19.1
2023-10-23,16.2
2023-10-24,9.2
2023-10-25,6.8
2023-10-26,-4.0
2023-10-27,28.2
2023-10-28,13.6
2023-10-29,-4.7
2023-10-30,18.8
2023-10-31,19.0
2023-11-01,24.3
2023-11-02,20.5
2023-11-03,7.2
2023-11-04,-3.9
2023-11-05,4.4
2023-11-06,12.1
2023-11-07,4.9
2023-11-08,15.9
2023-11-09,8.9
2023-11-10,-2.1
2023-11-11,24.8
2023-11-12,-4.4
2023-11-13,1.1
2023-11-14,29.9
2023-11-15,14.9
2023-11-16,5.1
2023-11-17,-4.9
2023-11-18,27.1
2023-11-19,6.7
2023-11-20,-0.1
2023-11-21,13.8
2023-11-22,20.6
2023-11-23,27.6
2023-11-24,19.9
2023-11-25,20.1
2023-11-26,13.2
2023-11-27,13.4
2023-11-28,29.8
2023-11-29,5.7
2023-11-30,-1.0
2023-12-01,19.2
2023-12-02,23.7
2023-12-03,29.9
2023-12-04,-0.8
2023-12-05,9.9
2023-12-06,8.5
2023-12-07,12.0
2023-12-08,0.8
2023-12-09,-4.1
2023-12-10,27.3
2023-12-11,3.8
2023-12-12,14.1
2023-12-13,29.1
2023-12-14,11.1
2023-12-15,27.8
2023-12-16,-1.0
2023-12-17,6.6
2023-12-18,14.6
2023-12-19,15.3
2023-12-20,27.4
2023-12-21,10.1
2023-12-22,5.0
2023-12-23,1.4
2023-12-24,27.8
2023-12-25,-4.7
2023-12-26,19.4
2023-12-27,26.3
2023-12-28,25.0
2023-12-29,23.2
2023-12-30,11.5
2023-12-31,23.8
2024-01-01,13.1
2024-01-02,-4.1
2024-01-03,19.6
2024-01-04,26.7
2024-01-05,-0.8
2024-01-06,7.3
2024-01-07,9.4
2024-01-08,4.0
2024-01-09,18.4
2024-01-10,19.3
2024-01-11,8.4
2024-01-12,21.5
2024-01-13,8.9
2024-01-14,2.8
2024-01-15,-2.2
2024-01-16,4.0
2024-01-17,21.7
2024-01-18,-0.7
2024-01-19,28.6
2024-01-20,12.1
2024-01-21,-2.4
2024-01-22,12.4
2024-01-23,21.2
2024-01-24,3.2
2024-01-25,6.9
2024-01-26,30.0
2024-01-27,11.1
2024-01-28,-3.4
2024-01-29,5.5
2024-01-30,28.5
2024-01-31,10.8
2024-02-01,8.4
2024-02-02,-2.2
2024-02-03,4.7
2024-02-04,25.5
2024-02-05,26.1
2024-02-06,-3.1
2024-02-07,21.1
2024-02-08,8.0
2024-02-09,7.5
2024-02-10,28.0
2024-02-11,-3.8
2024-02-12,6.7
2024-02-13,-3.0
2024-02-14,8.3
2024-02-15,23.7
2024-02-16,12.7
2024-02-17,1.3
2024-02-18,-3.9
2024-02-19,-1.1
2024-02-20,7.2
2024-02-21,23.6
2024-02-22,-0.6
2024-02-23,-4.6
2024-02-24,14.8
2024-02-25,13.9
2024-02-26,29.8
2024-02-27,0.4
2024-02-28,-0.6
2024-02-29,4.3
2024-03-01,6.6
2024-03-02,29.5
2024-03-03,14.0
2024-03-04,4.0
2024-03-05,11.9
2024-03-06,13.8
2024-03-07,-1.0
2024-03-08,21.8
2024-03-09,6.5
2024-03-10,28.5
2024-03-11,10.4
2024-03-12,22.7
2024-03-13,12.8
2024-03-14,16.6
2024-03-15,28.3
2024-03-16,-2.9
2024-03-17,27.6
2024-03-18,-3.0
2024-03-19,22.3
2024-03-20,23.3
2024-03-21,28.4
2024-03-22,15.5
2024-03-23,27.9
2024-03-24,25.9
2024-03-25,0.1
2024-03-26,5.3
2024-03-27,-1.8
2024-03-28,20.4
2024-03-29,20.2
2024-03-30,16.5
2024-03-31,0.4
2024-04-01,1.1
2024-04-02,26.2
2024-04-03,16.1
2024-04-04,18.2
2024-04-05,7.5
2024-04-06,29.3
2024-04-07,-2.2
2024-04-08,28.2
2024-04-09,18.3
2024-04-10,3.0
2024-04-11,4.8
2024-04-12,22.7
2024-04-13,2.0
2024-04-14,15.9
2024-04-15,20.7
2024-04-16,14.7
2024-04-17,6.3
2024-04-18,-3.1
2024-04-19,8.4
2024-04-20,-2.8
2024-04-21,17.8
2024-04-22,12.3
2024-04-23,10.1
2024-04-24,19.7
2024-04-25,-4.8
2024-04-26,27.6
2024-04-27,4.8
2024-04-28,-1.4
2024-04-29,8.2
2024-04-30,7.8
2024-05-01,2.4
2024-05-02,15.9
2024-05-03,2.2
2024-05-04,18.7
2024-05-05,-0.2
2024-05-06,5.8
2024-05-07,3.4
2024-05-08,17.2
2024-05-09,-4.1
2024-05-10,5.1
2024-05-11,16.6
2024-05-12,-1.0
2024-05-13,7.8
2024-05-14,6.5
2024-05-15,-1.4
2024-05-16,18.3
2024-05-17,11.7
2024-05-18,26.8
2024-05-19,29.4
2024-05-20,25.1
2024-05-21,-4.4
2024-05-22,13.8
2024-05-23,17.4
2024-05-24,-4.0
2024-05-25,-1.4
2024-05-26,22.0
2024-05-27,18.6
2024-05-28,2.7
2024-05-29,9.0
2024-05-30,26.3
2024-05-31,16.8
2024-06-01,17.7
2024-06-02,18.8
2024-06-03,22.9
2024-06-04,13.1
2024-06-05,2.6
2024-06-06,18.9
2024-06-07,17.1
2024-06-08,25.9
2024-06-09,25.5
2024-06-10,-4.0
2024-06-11,23.8
2024-06-12,-3.0
2024-06-13,11.1
2024-06-14,-4.8
2024-06-15,-3.9
2024-06-16,14.2
2024-06-17,4.0
2024-06-18,-0.3
2024-06-19,28.6
2024-06-20,29.3
2024-06-21,-0.3
2024-06-22,25.4
2024-06-23,23.6
2024-06-24,4.7
2024-06-25,6.2
2024-06-26,17.2
2024-06-27,20.0
2024-06-28,18.6
2024-06-29,4.8
2024-06-30,6.4
2024-07-01,-2.5
2024-07-02,10.7
2024-07-03,13.4
2024-07-04,21.2
2024-07-05,15.9
2024-07-06,17.4
2024-07-07,5.4
2024-07-08,21.2
2024-07-09,13.4
2024-07-10,9.3
2024-07-11,29.1
2024-07-12,17.5
2024-07-13,24.2
2024-07-14,23.7
2024-07-15,4.2
2024-07-16,-2.3
2024-07-17,22.8
2024-07-18,27.1
2024-07-19,9.3
2024-07-20,21.2
2024-07-21,12.5
2024-07-22,5.4
2024-07-23,16.2
2024-07-24,10.7
2024-07-25,17.3
2024-07-26,5.9
2024-07-27,23.5
2024-07-28,2.4
2024-07-29,24.1
2024-07-30,8.4
2024-07-31,12.1
2024-08-01,7.2
2024-08-02,2.9
2024-08-03,18.1
2024-08-04,16.2
2024-08-05,26.9
2024-08-06,19.2
2024-08-07,0.7
2024-08-08,29.5
2024-08-09,3.6
2024-08-10,-1.6
2024-08-11,21.2
2024-08-12,-4.1
2024-08-13,-2.3
2024-08-14,-4.4
2024-08-15,-4.1
2024-08-16,25.7
2024-08-17,3.3
2024-08-18,24.9
2024-08-19,24.4
2024-08-20,22.7
2024-08-21,11.5
2024-08-22,7.2
2024-08-23,21.6
2024-08-24,0.1
2024-08-25,22.8
2024-08-26,12.0
2024-08-27,7.9
2024-08-28,3.1
2024-08-29,20.9
2024-08-30,14.7
2024-08-31,-2.3
2024-09-01,7.2
2024-09-02,8.0
2024-09-03,10.8
2024-09-04,-3.3
2024-09-05,16.3
2024-09-06,5.8
2024-09-07,26.0
2024-09-08,9.7
2024-09-09,-1.6
2024-09-10,10.8
2024-09-11,-1.6
2024-09-12,2.2
2024-09-13,27.6
2024-09-14,-2.4
2024-09-15,9.2
2024-09-16,18.4
2024-09-17,0.3
2024-09-18,29.4
2024-09-19,28.1
2024-09-20,17.2
2024-09-21,6.6
2024-09-22,12.6
2024-09-23,-1.5
2024-09-24,14.8
2024-09-25,15.0
2024-09-26,7.3
2024-09-27,-4.9
2024-09-28,27.3
2024-09-29,25.6
2024-09-30,-2.6
