date,temperature
2023-06-10,27.7
2023-06-11,-8.8
2023-06-12,-3.5
2023-06-13,24.7
2023-06-14,27.9
2023-06-15,21.4
2023-06-16,-5.9
2023-06-17,7.6
2023-06-18,2.6
2023-06-19,2.0
2023-06-20,28.6
2023-06-21,7.6
2023-06-22,13.7
2023-06-23,-4.9
2023-06-24,13.8
2023-06-25,0.4
2023-06-26,19.7
2023-06-27,-1.3
2023-06-28,-2.3
2023-06-29,2.3
2023-06-30,2.0
2023-07-01,-0.8
2023-07-02,17.1
2023-07-03,-8.8
2023-07-04,11.6
2023-07-05,-9.1
2023-07-06,23.5
2023-07-07,-5.1
2023-07-08,3.6
2023-07-09,8.2
2023-07-10,21.3
2023-07-11,-1.1
2023-07-12,17.5
2023-07-13,-2.5
2023-07-14,-6.3
2023-07-15,-4.6
2023-07-16,6.6
2023-07-17,24.8
2023-07-18,21.2
2023-07-19,17.8
2023-07-20,-1.0
2023-07-21,16.6
2023-07-22,4.8
2023-07-23,15.1
2023-07-24,21.1
2023-07-25,14.8
2023-07-26,21.4
2023-07-27,18.1
2023-07-28,19.6
2023-07-29,27.0
2023-07-30,15.3
2023-07-31,1.2
2023-08-01,17.2
2023-08-02,19.7
2023-08-03,16.1
2023-08-04,14.4
2023-08-05,0.1
2023-08-06,-1.9
2023-08-07,15.9
2023-08-08,-4.2
2023-08-09,17.6
2023-08-10,25.5
2023-08-11,20.5
2023-08-12,-8.3
2023-08-13,11.5
2023-08-14,6.6
2023-08-15,23.1
2023-08-16,5.4
2023-08-17,29.1
2023-08-18,0.7
2023-08-19,15.6
2023-08-20,20.6
2023-08-21,-8.1
2023-08-22,-7.5
2023-08-23,-8.3
2023-08-24,-8.1
2023-08-25,13.2
2023-08-26,2.8
2023-08-27,11.5
2023-08-28,28.9
2023-08-29,-5.1
2023-08-30,28.9
2023-08-31,25.7
2023-09-01,14.9
2023-09-02,26.6
2023-09-03,-6.9
2023-09-04,26.2
2023-09-05,30.0
2023-09-06,15.8
2023-09-07,29.2
2023-09-08,11.8
2023-09-09,0.6
2023-09-10,27.9
2023-09-11,7.7
2023-09-12,-9.4
2023-09-13,15.4
2023-09-14,-0.6
2023-09-15,23.4
2023-09-16,19.9
2023-09-17,27.0
2023-09-18,-5.3
2023-09-19,5.0
2023-09-20,8.1
2023-09-21,-5.4
2023-09-22,18.4
2023-09-23,8.6
2023-09-24,24.5
2023-09-25,1.7
2023-09-26,28.6
2023-09-27,8.1
2023-09-28,26.5
2023-09-29,13.6
2023-09-30,14.2
2023-10-01,7.6
2023-10-02,-9.1
2023-10-03,14.2
2023-10-04,17.6
2023-10-05,26.7
2023-10-06,3.0
2023-10-07,24.6
2023-10-08,21.2
2023-10-09,9.6
2023-10-10,-8.3
2023-10-11,2.2
2023-10-12,23.2
2023-10-13,5.4
2023-10-14,1.9
2023-10-15,3.5
2023-10-16,-7.8
2023-10-17,-5.1
2023-10-18,0.8
2023-10-19,26.2
2023-10-20,5.7
2023-10-21,9.0
2023-10-22,1.9
2023-10-23,24.4
2023-10-24,11.1
2023-10-25,15.1
2023-10-26,-4.7
2023-10-27,21.7
2023-10-28,-2.0
2023-10-29,12.1
2023-10-30,18.7
2023-10-31,17.2
2023-11-01,8.1
2023-11-02,-4.9
2023-11-03,-3.1
2023-11-04,16.5
2023-11-05,19.4
2023-11-06,18.6
2023-11-07,8.9
2023-11-08,-1.0
2023-11-09,1.4
2023-11-10,24.2
2023-11-11,18.5
2023-11-12,12.5
2023-11-13,-1.4
2023-11-14,-1.9
2023-11-15,10.2
2023-11-16,13.8
2023-11-17,28.3
2023-11-18,29.2
2023-11-19,-4.3
2023-11-20,-3.9
2023-11-21,10.3
2023-11-22,13.7
2023-11-23,22.9
2023-11-24,-1.9
2023-11-25,26.0
2023-11-26,12.0
2023-11-27,17.4
2023-11-28,25.8
2023-11-29,8.0
2023-11-30,0.5
2023-12-01,13.6
2023-12-02,0.1
2023-12-03,6.8
2023-12-04,-3.3
2023-12-05,24.0
2023-12-06,18.5
2023-12-07,29.5
2023-12-08,12.4
2023-12-09,27.7
2023-12-10,24.2
2023-12-11,6.1
2023-12-12,25.1
2023-12-13,8.4
2023-12-14,27.2
2023-12-15,-1.0
2023-12-16,0.2
2023-12-17,29.4
2023-12-18,29.4
2023-12-19,-8.8
2023-12-20,11.8
2023-12-21,5.2
2023-12-22,1.3
2023-12-23,-5.6
2023-12-24,10.3
2023-12-25,-8.6
2023-12-26,-3.2
2023-12-27,23.8
2023-12-28,24.1
2023-12-29,4.1
2023-12-30,22.3
2023-12-31,-0.3
2024-01-01,25.2
2024-01-02,5.1
2024-01-03,25.1
2024-01-04,27.0
2024-01-05,10.8
2024-01-06,10.3
2024-01-07,10.7
2024-01-08,-9.8
2024-01-09,22.9
2024-01-10,-6.2
2024-01-11,19.5
2024-01-12,-4.1
2024-01-13,14.5
2024-01-14,1.8
2024-01-15,15.0
2024-01-16,-7.1
2024-01-17,5.5
2024-01-18,17.1
2024-01-19,7.1
2024-01-20,12.0
2024-01-21,-9.5
2024-01-22,2.4
2024-01-23,25.2
2024-01-24,5.2
2024-01-25,-1.2
2024-01-26,24.2
2024-01-27,-3.0
2024-01-28,6.6
2024-01-29,16.1
2024-01-30,-9.9
2024-01-31,28.2
2024-02-01,22.2
2024-02-02,13.2
2024-02-03,18.6
2024-02-04,12.9
2024-02-05,2.6
2024-02-06,21.7
2024-02-07,21.8
2024-02-08,27.6
2024-02-09,-7.8
2024-02-10,-1.7
2024-02-11,10.4
2024-02-12,-5.4
2024-02-13,0.8
2024-02-14,-2.5
2024-02-15,10.4
2024-02-16,27.1
2024-02-17,7.7
2024-02-18,-0.0
2024-02-19,17.4
2024-02-20,-8.2
2024-02-21,23.4
2024-02-22,27.3
2024-02-23,27.4
2024-02-24,8.8
2024-02-25,28.0
2024-02-26,2.7
2024-02-27,4.7
2024-02-28,-2.1
2024-02-29,13.7
2024-03-01,-1.7
2024-03-02,21.8
2024-03-03,-4.1
2024-03-04,6.8
2024-03-05,20.5
2024-03-06,11.0
2024-03-07,20.3
2024-03-08,22.0
2024-03-09,4.2
2024-03-10,2.7
2024-03-11,11.3
2024-03-12,17.6
2024-03-13,-6.1
2024-03-14,26.6
2024-03-15,-4.2
2024-03-16,9.7
2024-03-17,-1.7
2024-03-18,9.2
2024-03-19,-7.7
2024-03-20,-3.6
2024-03-21,2.2
2024-03-22,15.7
2024-03-23,3.8
2024-03-24,20.4
2024-03-25,-5.9
2024-03-26,-6.6
2024-03-27,0.0
2024-03-28,-2.2
2024-03-29,1.3
2024-03-30,22.5
2024-03-31,26.8
2024-04-01,-0.4
2024-04-02,-2.1
2024-04-03,14.2
2024-04-04,-0.4
2024-04-05,6.8
2024-04-06,23.0
2024-04-07,1.8
2024-04-08,24.4
2024-04-09,2.1
2024-04-10,1.1
2024-04-11,-7.4
2024-04-12,27.0
2024-04-13,24.2
2024-04-14,28.4
2024-04-15,8.3
2024-04-16,1.3
2024-04-17,-8.9
2024-04-18,21.5
2024-04-19,14.7
2024-04-20,25.7
2024-04-21,-6.5
2024-04-22,10.6
2024-04-23,20.6
2024-04-24,28.4
2024-04-25,10.8
2024-04-26,0.2
2024-04-27,25.2
2024-04-28,23.9
2024-04-29,-7.1
2024-04-30,-1.0
2024-05-01,-2.0
2024-05-02,-8.4
2024-05-03,19.6
2024-05-04,29.0
2024-05-05,-8.1
2024-05-06,-6.6
2024-05-07,-0.9
2024-05-08,28.7
2024-05-09,11.3
2024-05-10,2.8
2024-05-11,-8.6
2024-05-12,-9.4
2024-05-13,10.4
2024-05-14,-5.9
2024-05-15,18.5
2024-05-16,-0.5
2024-05-17,-4.4
2024-05-18,0.3
2024-05-19,16.6
2024-05-20,16.9
2024-05-21,19.5
2024-05-22,24.3
2024-05-23,7.1
2024-05-24,25.9
2024-05-25,19.6
2024-05-26,14.9
2024-05-27,3.3
2024-05-28,18.5
2024-05-29,12.2
2024-05-30,-2.1
2024-05-31,1.9
2024-06-01,27.1
2024-06-02,24.0
2024-06-03,6.8
2024-06-04,0.6
2024-06-05,24.9
2024-06-06,7.7
2024-06-07,1.8
2024-06-08,15.7
2024-06-09,6.6
2024-06-10,14.0
2024-06-11,16.5
2024-06-12,-2.3
2024-06-13,26.0
2024-06-14,-0.8
2024-06-15,23.0
2024-06-16,-3.0
2024-06-17,-9.9
2024-06-18,5.6
2024-06-19,-8.2
