date,temperature
2023-06-10,7.1
2023-06-11,3.1
2023-06-12,-8.0
2023-06-13,-3.0
2023-06-14,11.7
2023-06-15,-16.0
2023-06-16,-12.4
2023-06-17,-4.7
2023-06-18,8.8
2023-06-19,-4.2
2023-06-20,18.9
2023-06-21,6.1
2023-06-22,16.8
2023-06-23,-15.7
2023-06-24,16.4
2023-06-25,3.9
2023-06-26,-8.0
2023-06-27,-12.4
2023-06-28,18.0
2023-06-29,5.9
2023-06-30,-19.0
2023-07-01,11.2
2023-07-02,19.5
2023-07-03,-6.6
2023-07-04,-15.1
2023-07-05,7.1
2023-07-06,-11.1
2023-07-07,-8.6
2023-07-08,-15.1
2023-07-09,8.8
2023-07-10,-12.2
2023-07-11,10.8
2023-07-12,15.8
2023-07-13,2.2
2023-07-14,4.8
2023-07-15,-9.6
2023-07-16,2.7
2023-07-17,-10.4
2023-07-18,8.8
2023-07-19,-5.3
2023-07-20,13.0
2023-07-21,2.9
2023-07-22,14.8
2023-07-23,8.1
2023-07-24,-11.3
2023-07-25,1.0
2023-07-26,4.8
2023-07-27,-20.0
2023-07-28,-10.6
2023-07-29,-7.1
2023-07-30,-12.7
2023-07-31,-11.9
2023-08-01,-2.5
2023-08-02,-2.2
2023-08-03,-12.6
2023-08-04,19.4
2023-08-05,19.1
2023-08-06,2.4
2023-08-07,-3.8
2023-08-08,4.4
2023-08-09,-17.1
2023-08-10,-2.3
2023-08-11,-4.8
2023-08-12,-15.6
2023-08-13,2.9
2023-08-14,7.0
2023-08-15,3.9
2023-08-16,-4.4
2023-08-17,-14.0
2023-08-18,2.8
2023-08-19,-7.6
2023-08-20,-13.4
2023-08-21,14.6
2023-08-22,1.7
2023-08-23,-16.1
2023-08-24,-16.6
2023-08-25,-5.9
2023-08-26,-17.8
2023-08-27,4.6
2023-08-28,18.4
2023-08-29,-5.8
2023-08-30,-2.7
2023-08-31,-3.8
2023-09-01,3.0
2023-09-02,10.3
2023-09-03,10.0
2023-09-04,-15.0
2023-09-05,-16.4
2023-09-06,18.0
2023-09-07,15.1
2023-09-08,18.3
2023-09-09,-18.0
2023-09-10,17.3
2023-09-11,-14.0
2023-09-12,-18.4
2023-09-13,-7.2
2023-09-14,18.0
2023-09-15,-15.4
2023-09-16,2.1
2023-09-17,9.2
2023-09-18,-9.0
2023-09-19,12.1
2023-09-20,4.9
2023-09-21,-16.1
2023-09-22,5.2
2023-09-23,-15.8
2023-09-24,-10.2
2023-09-25,-1.0
2023-09-26,-13.2
2023-09-27,-11.5
2023-09-28,-4.0
2023-09-29,-19.3
2023-09-30,6.3
2023-10-01,9.9
2023-10-02,-5.1
2023-10-03,18.3
2023-10-04,-9.3
2023-10-05,-4.0
2023-10-06,-8.4
2023-10-07,-3.3
2023-10-08,-18.3
2023-10-09,13.9
2023-10-10,2.2
2023-10-11,15.2
2023-10-12,-6.1
2023-10-13,-8.5
2023-10-14,-8.4
2023-10-15,-0.0
2023-10-16,1.6
2023-10-17,15.5
2023-10-18,11.3
2023-10-19,4.9
2023-10-20,19.2
2023-10-21,13.6
2023-10-22,8.5
2023-10-23,17.7
2023-10-24,8.2
2023-10-25,-17.5
2023-10-26,-3.0
2023-10-27,7.1
2023-10-28,9.8
2023-10-29,-10.9
2023-10-30,1.4
2023-10-31,-3.0
2023-11-01,11.0
2023-11-02,6.9
2023-11-03,-19.3
2023-11-04,-7.6
2023-11-05,-5.6
2023-11-06,-19.5
2023-11-07,-5.1
2023-11-08,1.3
2023-11-09,8.7
2023-11-10,0.3
