date,temperature
2023-06-10,21.0
2023-06-11,33.7
2023-06-12,16.9
2023-06-13,17.3
2023-06-14,27.7
2023-06-15,21.8
2023-06-16,22.8
2023-06-17,20.4
2023-06-18,32.1
2023-06-19,15.2
2023-06-20,18.4
2023-06-21,25.4
2023-06-22,31.1
2023-06-23,20.8
2023-06-24,18.2
2023-06-25,28.8
2023-06-26,19.5
2023-06-27,20.2
2023-06-28,33.9
2023-06-29,32.8
2023-06-30,17.9
2023-07-01,17.7
2023-07-02,15.3
2023-07-03,20.1
2023-07-04,28.7
2023-07-05,15.2
2023-07-06,23.8
2023-07-07,28.6
2023-07-08,23.1
2023-07-09,33.3
2023-07-10,27.0
2023-07-11,21.1
2023-07-12,32.9
2023-07-13,17.2
2023-07-14,27.2
2023-07-15,24.5
2023-07-16,33.1
2023-07-17,15.2
2023-07-18,31.4
2023-07-19,16.2
2023-07-20,22.6
2023-07-21,33.1
2023-07-22,19.8
2023-07-23,31.2
2023-07-24,24.1
2023-07-25,32.5
2023-07-26,32.4
2023-07-27,18.1
2023-07-28,32.3
2023-07-29,34.4
2023-07-30,19.7
2023-07-31,31.1
2023-08-01,34.7
2023-08-02,28.6
2023-08-03,26.7
2023-08-04,26.1
2023-08-05,17.5
2023-08-06,31.1
2023-08-07,27.4
2023-08-08,34.0
2023-08-09,17.0
2023-08-10,25.1
2023-08-11,18.5
2023-08-12,31.8
2023-08-13,18.3
2023-08-14,22.6
2023-08-15,31.6
2023-08-16,22.6
2023-08-17,20.3
2023-08-18,25.6
2023-08-19,18.3
2023-08-20,24.2
2023-08-21,23.7
2023-08-22,17.9
2023-08-23,21.2
2023-08-24,22.9
2023-08-25,27.4
2023-08-26,20.7
2023-08-27,31.3
2023-08-28,19.6
2023-08-29,17.9
2023-08-30,21.7
2023-08-31,26.8
2023-09-01,29.5
2023-09-02,32.6
2023-09-03,33.2
2023-09-04,31.6
2023-09-05,21.7
2023-09-06,29.7
2023-09-07,25.4
2023-09-08,18.5
2023-09-09,32.6
2023-09-10,31.8
2023-09-11,33.6
2023-09-12,21.6
2023-09-13,22.4
2023-09-14,33.2
2023-09-15,28.6
2023-09-16,15.0
2023-09-17,15.8
2023-09-18,27.1
2023-09-19,20.9
2023-09-20,26.6
2023-09-21,24.7
2023-09-22,31.1
2023-09-23,17.1
2023-09-24,34.5
2023-09-25,30.2
2023-09-26,26.9
2023-09-27,25.7
2023-09-28,22.8
2023-09-29,29.9
2023-09-30,22.2
2023-10-01,22.9
2023-10-02,18.0
2023-10-03,20.3
2023-10-04,30.4
2023-10-05,19.9
2023-10-06,19.9
2023-10-07,28.5
2023-10-08,25.8
2023-10-09,24.9
2023-10-10,30.8
2023-10-11,33.3
2023-10-12,16.2
2023-10-13,27.6
2023-10-14,18.3
2023-10-15,21.6
2023-10-16,16.8
2023-10-17,30.1
2023-10-18,26.9
2023-10-19,26.3
2023-10-20,22.6
2023-10-21,26.4
2023-10-22,26.3
2023-10-23,29.2
2023-10-24,31.7
2023-10-25,31.9
2023-10-26,31.6
2023-10-27,26.3
2023-10-28,15.3
2023-10-29,21.5
2023-10-30,18.1
2023-10-31,34.1
2023-11-01,26.6
2023-11-02,32.0
2023-11-03,23.0
2023-11-04,23.9
2023-11-05,16.2
2023-11-06,33.7
2023-11-07,32.4
2023-11-08,29.1
2023-11-09,19.9
2023-11-10,26.1
2023-11-11,17.4
2023-11-12,34.5
2023-11-13,18.6
2023-11-14,19.8
2023-11-15,28.3
2023-11-16,29.1
2023-11-17,34.0
2023-11-18,16.0
2023-11-19,24.3
2023-11-20,32.5
2023-11-21,21.5
2023-11-22,16.2
2023-11-23,22.0
2023-11-24,17.8
2023-11-25,20.6
2023-11-26,19.6
2023-11-27,33.5
2023-11-28,16.1
2023-11-29,18.8
2023-11-30,22.5
2023-12-01,23.6
2023-12-02,33.4
2023-12-03,23.6
2023-12-04,25.8
2023-12-05,24.2
2023-12-06,20.5
2023-12-07,23.0
2023-12-08,18.4
2023-12-09,34.8
2023-12-10,31.2
2023-12-11,15.6
2023-12-12,17.9
2023-12-13,25.5
2023-12-14,34.9
2023-12-15,23.3
2023-12-16,27.6
2023-12-17,21.4
2023-12-18,33.7
2023-12-19,17.9
2023-12-20,20.6
2023-12-21,19.8
2023-12-22,16.8
2023-12-23,27.7
2023-12-24,18.4
2023-12-25,22.2
2023-12-26,32.5
2023-12-27,33.8
2023-12-28,19.7
2023-12-29,23.4
2023-12-30,17.8
2023-12-31,23.2
2024-01-01,22.8
2024-01-02,17.2
2024-01-03,33.2
2024-01-04,24.2
2024-01-05,30.7
2024-01-06,18.5
2024-01-07,18.9
