date,temperature
2023-06-10,16.2
2023-06-11,19.3
2023-06-12,13.9
2023-06-13,3.7
2023-06-14,24.4
2023-06-15,24.4
2023-06-16,18.8
2023-06-17,10.6
2023-06-18,8.8
2023-06-19,25.5
2023-06-20,28.2
2023-06-21,28.6
2023-06-22,12.3
2023-06-23,28.7
2023-06-24,25.3
2023-06-25,24.9
2023-06-26,18.3
2023-06-27,29.1
2023-06-28,28.8
2023-06-29,12.3
2023-06-30,20.0
2023-07-01,3.4
2023-07-02,26.1
2023-07-03,17.2
2023-07-04,15.2
2023-07-05,10.6
2023-07-06,22.3
2023-07-07,8.7
2023-07-08,21.4
2023-07-09,10.9
2023-07-10,3.5
2023-07-11,6.9
2023-07-12,11.3
2023-07-13,11.8
2023-07-14,1.2
2023-07-15,4.9
2023-07-16,19.6
2023-07-17,28.4
2023-07-18,28.1
2023-07-19,16.7
2023-07-20,12.5
2023-07-21,2.2
2023-07-22,16.3
2023-07-23,14.3
2023-07-24,10.8
2023-07-25,10.6
2023-07-26,2.0
2023-07-27,7.6
2023-07-28,28.7
2023-07-29,1.1
2023-07-30,6.3
2023-07-31,8.9
2023-08-01,20.9
2023-08-02,13.1
2023-08-03,17.6
2023-08-04,8.3
2023-08-05,17.3
2023-08-06,21.5
2023-08-07,29.0
2023-08-08,25.0
2023-08-09,5.4
2023-08-10,14.6
2023-08-11,13.6
2023-08-12,20.3
2023-08-13,10.0
2023-08-14,19.2
2023-08-15,21.5
2023-08-16,7.2
2023-08-17,25.6
2023-08-18,22.0
2023-08-19,27.4
2023-08-20,21.7
2023-08-21,0.1
2023-08-22,10.5
2023-08-23,5.8
2023-08-24,17.8
2023-08-25,5.8
2023-08-26,18.9
2023-08-27,11.7
2023-08-28,8.4
2023-08-29,24.4
2023-08-30,11.9
2023-08-31,29.6
2023-09-01,14.9
2023-09-02,3.9
2023-09-03,17.6
2023-09-04,3.5
2023-09-05,4.2
2023-09-06,8.4
2023-09-07,6.9
2023-09-08,12.7
2023-09-09,8.4
2023-09-10,22.5
2023-09-11,14.4
2023-09-12,8.4
2023-09-13,22.6
2023-09-14,10.2
2023-09-15,15.0
2023-09-16,17.8
2023-09-17,10.1
2023-09-18,11.6
2023-09-19,21.9
2023-09-20,22.4
2023-09-21,16.0
2023-09-22,22.9
2023-09-23,28.6
2023-09-24,18.2
2023-09-25,12.4
2023-09-26,9.4
2023-09-27,13.9
2023-09-28,22.1
2023-09-29,12.3
2023-09-30,7.8
2023-10-01,10.2
2023-10-02,0.5
2023-10-03,23.3
2023-10-04,20.3
2023-10-05,16.7
2023-10-06,10.7
2023-10-07,13.2
2023-10-08,22.6
2023-10-09,29.6
2023-10-10,22.9
2023-10-11,5.0
2023-10-12,20.3
2023-10-13,0.5
2023-10-14,6.7
2023-10-15,19.9
2023-10-16,6.6
2023-10-17,9.3
2023-10-18,5.5
2023-10-19,25.2
2023-10-20,8.9
2023-10-21,2.2
2023-10-22,29.4
2023-10-23,18.9
2023-10-24,8.5
2023-10-25,11.1
2023-10-26,28.0
2023-10-27,7.6
2023-10-28,7.1
2023-10-29,13.7
2023-10-30,13.0
2023-10-31,10.6
2023-11-01,7.2
2023-11-02,14.4
2023-11-03,7.2
2023-11-04,14.3
2023-11-05,11.6
2023-11-06,3.0
2023-11-07,24.6
2023-11-08,20.4
2023-11-09,11.8
2023-11-10,29.3
2023-11-11,21.2
2023-11-12,23.9
2023-11-13,20.6
2023-11-14,1.1
2023-11-15,3.7
2023-11-16,26.1
2023-11-17,5.3
2023-11-18,15.9
2023-11-19,11.5
2023-11-20,11.8
2023-11-21,29.9
2023-11-22,2.9
2023-11-23,4.0
2023-11-24,0.6
2023-11-25,25.3
2023-11-26,3.2
2023-11-27,25.8
2023-11-28,4.2
2023-11-29,4.0
2023-11-30,22.5
2023-12-01,9.3
2023-12-02,24.2
2023-12-03,13.5
2023-12-04,11.4
2023-12-05,22.4
2023-12-06,4.3
2023-12-07,16.0
2023-12-08,5.0
2023-12-09,16.0
2023-12-10,22.5
2023-12-11,7.7
2023-12-12,3.4
2023-12-13,7.0
2023-12-14,5.6
2023-12-15,20.6
2023-12-16,26.4
2023-12-17,9.8
2023-12-18,17.4
2023-12-19,25.3
2023-12-20,0.8
2023-12-21,15.2
2023-12-22,3.2
2023-12-23,15.2
2023-12-24,26.5
2023-12-25,15.2
2023-12-26,12.6
2023-12-27,10.8
2023-12-28,27.0
2023-12-29,28.0
2023-12-30,13.7
2023-12-31,25.6
2024-01-01,5.5
2024-01-02,26.4
2024-01-03,21.5
2024-01-04,7.0
2024-01-05,4.3
2024-01-06,11.3
2024-01-07,18.1
2024-01-08,18.5
2024-01-09,29.4
2024-01-10,1.8
2024-01-11,18.3
2024-01-12,7.3
2024-01-13,2.6
2024-01-14,3.4
2024-01-15,21.1
2024-01-16,5.6
2024-01-17,13.3
2024-01-18,28.5
2024-01-19,4.1
2024-01-20,22.6
2024-01-21,4.1
2024-01-22,3.7
2024-01-23,15.7
2024-01-24,8.4
2024-01-25,13.0
2024-01-26,0.9
2024-01-27,20.0
2024-01-28,9.7
2024-01-29,11.9
2024-01-30,18.3
2024-01-31,11.1
2024-02-01,1.0
2024-02-02,0.6
2024-02-03,20.9
2024-02-04,16.3
2024-02-05,8.9
2024-02-06,12.1
2024-02-07,15.1
2024-02-08,17.4
2024-02-09,4.0
2024-02-10,2.4
2024-02-11,0.5
2024-02-12,7.5
2024-02-13,19.8
2024-02-14,25.6
2024-02-15,27.5
2024-02-16,21.6
2024-02-17,11.1
2024-02-18,20.5
2024-02-19,24.3
2024-02-20,26.3
2024-02-21,2.3
2024-02-22,15.3
2024-02-23,11.7
2024-02-24,3.2
2024-02-25,14.8
2024-02-26,6.0
2024-02-27,23.8
2024-02-28,9.8
2024-02-29,28.8
2024-03-01,15.3
2024-03-02,20.5
2024-03-03,7.4
2024-03-04,11.4
2024-03-05,27.8
2024-03-06,17.8
2024-03-07,15.5
2024-03-08,8.0
2024-03-09,3.4
2024-03-10,2.5
2024-03-11,8.8
2024-03-12,24.7
2024-03-13,3.3
2024-03-14,29.9
2024-03-15,8.0
2024-03-16,6.9
2024-03-17,24.4
2024-03-18,4.4
2024-03-19,27.8
2024-03-20,13.3
2024-03-21,10.9
2024-03-22,3.8
2024-03-23,5.1
2024-03-24,9.9
2024-03-25,11.2
2024-03-26,28.8
2024-03-27,12.9
2024-03-28,24.6
2024-03-29,29.1
2024-03-30,28.8
2024-03-31,28.9
2024-04-01,17.3
2024-04-02,18.5
2024-04-03,20.0
2024-04-04,21.4
2024-04-05,2.3
2024-04-06,18.8
2024-04-07,21.5
2024-04-08,3.0
2024-04-09,9.0
2024-04-10,11.8
2024-04-11,1.4
2024-04-12,20.9
2024-04-13,26.3
2024-04-14,4.0
2024-04-15,17.6
2024-04-16,9.8
2024-04-17,7.7
2024-04-18,12.5
2024-04-19,28.5
2024-04-20,21.0
2024-04-21,22.1
2024-04-22,23.2
2024-04-23,18.1
2024-04-24,16.3
2024-04-25,18.2
2024-04-26,28.7
2024-04-27,26.9
2024-04-28,7.0
2024-04-29,3.9
2024-04-30,28.8
2024-05-01,20.2
2024-05-02,28.0
2024-05-03,16.3
2024-05-04,20.2
2024-05-05,15.7
2024-05-06,22.7
2024-05-07,27.7
2024-05-08,28.4
2024-05-09,21.3
2024-05-10,7.8
2024-05-11,11.2
2024-05-12,4.0
2024-05-13,13.7
2024-05-14,27.7
2024-05-15,11.9
2024-05-16,20.0
2024-05-17,1.3
2024-05-18,1.3
2024-05-19,21.2
2024-05-20,24.4
2024-05-21,15.1
2024-05-22,11.2
2024-05-23,19.0
2024-05-24,29.7
2024-05-25,2.8
2024-05-26,14.6
2024-05-27,9.4
2024-05-28,7.5
2024-05-29,11.4
2024-05-30,13.9
2024-05-31,14.9
2024-06-01,7.6
2024-06-02,15.0
2024-06-03,6.1
2024-06-04,28.0
2024-06-05,11.3
2024-06-06,2.7
2024-06-07,20.3
2024-06-08,29.2
2024-06-09,28.6
2024-06-10,18.1
2024-06-11,29.6
2024-06-12,29.8
2024-06-13,15.8
2024-06-14,4.4
2024-06-15,21.4
2024-06-16,2.0
2024-06-17,17.9
2024-06-18,27.6
2024-06-19,2.2
2024-06-20,4.1
2024-06-21,23.9
2024-06-22,0.5
2024-06-23,27.5
2024-06-24,15.8
2024-06-25,13.0
2024-06-26,24.7
2024-06-27,17.5
2024-06-28,29.0
2024-06-29,4.3
2024-06-30,20.6
2024-07-01,29.8
2024-07-02,10.6
2024-07-03,27.8
2024-07-04,6.8
2024-07-05,8.1
2024-07-06,23.0
2024-07-07,24.0
2024-07-08,1.6
2024-07-09,21.3
2024-07-10,21.4
2024-07-11,11.6
2024-07-12,0.7
2024-07-13,2.6
2024-07-14,1.9
2024-07-15,17.9
2024-07-16,14.5
2024-07-17,23.8
2024-07-18,18.5
2024-07-19,28.9
2024-07-20,6.1
2024-07-21,7.6
2024-07-22,15.5
2024-07-23,9.3
2024-07-24,6.9
2024-07-25,18.7
2024-07-26,20.1
2024-07-27,21.1
2024-07-28,14.5
2024-07-29,9.6
2024-07-30,10.3
2024-07-31,8.2
2024-08-01,10.7
2024-08-02,10.4
2024-08-03,21.1
2024-08-04,19.4
2024-08-05,5.3
2024-08-06,22.0
2024-08-07,5.5
2024-08-08,24.2
2024-08-09,22.9
2024-08-10,29.9
2024-08-11,28.6
2024-08-12,15.8
2024-08-13,20.2
2024-08-14,27.1
2024-08-15,14.8
2024-08-16,1.6
2024-08-17,25.3
2024-08-18,21.6
2024-08-19,7.5
2024-08-20,24.9
2024-08-21,2.7
2024-08-22,10.0
2024-08-23,30.0
2024-08-24,28.2
2024-08-25,21.9
2024-08-26,28.1
2024-08-27,10.6
2024-08-28,13.3
2024-08-29,2.3
2024-08-30,4.5
2024-08-31,4.1
2024-09-01,24.6
2024-09-02,6.8
2024-09-03,3.7
2024-09-04,28.5
2024-09-05,23.1
2024-09-06,2.9
2024-09-07,2.5
2024-09-08,17.6
2024-09-09,5.9
2024-09-10,2.7
2024-09-11,14.6
2024-09-12,3.5
2024-09-13,23.2
2024-09-14,7.8
2024-09-15,0.9
2024-09-16,29.0
2024-09-17,22.9
2024-09-18,7.7
2024-09-19,25.7
2024-09-20,14.6
2024-09-21,7.7
2024-09-22,22.0
2024-09-23,17.1
2024-09-24,27.7
2024-09-25,20.8
2024-09-26,1.4
2024-09-27,13.3
2024-09-28,9.9
2024-09-29,15.7
2024-09-30,18.8
2024-10-01,6.4
2024-10-02,9.1
2024-10-03,21.4
2024-10-04,6.6
2024-10-05,7.2
2024-10-06,25.9
2024-10-07,11.3
2024-10-08,8.3
2024-10-09,11.3
2024-10-10,6.9
2024-10-11,29.1
2024-10-12,0.7
2024-10-13,6.9
2024-10-14,0.3
2024-10-15,8.7
2024-10-16,8.5
2024-10-17,28.3
2024-10-18,6.3
2024-10-19,5.8
2024-10-20,12.5
2024-10-21,8.1
2024-10-22,10.1
2024-10-23,21.4
2024-10-24,2.1
2024-10-25,18.5
2024-10-26,17.0
2024-10-27,10.3
2024-10-28,13.4
2024-10-29,6.7
2024-10-30,17.5
2024-10-31,16.9
2024-11-01,5.2
2024-11-02,18.5
2024-11-03,1.8
2024-11-04,11.5
2024-11-05,20.7
2024-11-06,25.5
2024-11-07,12.4
2024-11-08,20.5
2024-11-09,19.8
2024-11-10,22.8
