date,temperature
2023-06-10,22.5
2023-06-11,15.6
2023-06-12,24.3
2023-06-13,34.2
2023-06-14,28.8
2023-06-15,25.5
2023-06-16,24.4
2023-06-17,12.9
2023-06-18,27.2
2023-06-19,26.6
2023-06-20,22.1
2023-06-21,15.5
2023-06-22,12.1
2023-06-23,10.8
2023-06-24,34.0
2023-06-25,38.1
2023-06-26,15.5
2023-06-27,33.0
2023-06-28,32.7
2023-06-29,16.1
2023-06-30,33.0
2023-07-01,13.9
2023-07-02,31.7
2023-07-03,15.2
2023-07-04,14.3
2023-07-05,19.8
2023-07-06,36.8
2023-07-07,19.0
2023-07-08,16.3
2023-07-09,37.3
2023-07-10,33.0
2023-07-11,22.4
2023-07-12,18.9
2023-07-13,31.4
2023-07-14,16.6
2023-07-15,29.1
2023-07-16,35.8
2023-07-17,17.0
2023-07-18,28.9
2023-07-19,17.8
2023-07-20,34.8
2023-07-21,37.3
2023-07-22,17.8
2023-07-23,27.6
2023-07-24,11.6
2023-07-25,15.0
2023-07-26,16.7
2023-07-27,24.5
2023-07-28,39.5
2023-07-29,15.3
2023-07-30,10.5
2023-07-31,15.9
2023-08-01,23.2
2023-08-02,18.1
2023-08-03,36.9
2023-08-04,22.1
2023-08-05,24.7
2023-08-06,23.1
2023-08-07,26.2
2023-08-08,28.1
2023-08-09,14.4
2023-08-10,38.8
2023-08-11,11.6
2023-08-12,39.6
2023-08-13,36.3
2023-08-14,17.2
2023-08-15,35.3
2023-08-16,32.9
2023-08-17,20.9
2023-08-18,38.5
2023-08-19,39.6
2023-08-20,14.1
2023-08-21,18.5
2023-08-22,33.9
2023-08-23,18.1
2023-08-24,38.4
2023-08-25,34.2
2023-08-26,23.2
2023-08-27,13.2
2023-08-28,38.8
2023-08-29,27.1
2023-08-30,15.3
2023-08-31,26.1
2023-09-01,35.1
2023-09-02,30.4
2023-09-03,13.9
2023-09-04,22.0
2023-09-05,30.1
2023-09-06,37.9
2023-09-07,21.6
2023-09-08,35.5
2023-09-09,20.4
2023-09-10,39.2
2023-09-11,38.7
2023-09-12,22.9
2023-09-13,19.6
2023-09-14,12.3
2023-09-15,30.0
2023-09-16,29.8
2023-09-17,14.3
2023-09-18,14.8
2023-09-19,34.7
2023-09-20,33.3
2023-09-21,12.8
