date,temperature
2023-06-10,10.8
2023-06-11,5.2
2023-06-12,20.8
2023-06-13,22.0
2023-06-14,34.6
2023-06-15,30.6
2023-06-16,6.8
2023-06-17,13.1
2023-06-18,28.7
2023-06-19,11.7
2023-06-20,22.6
2023-06-21,11.0
2023-06-22,20.7
2023-06-23,29.6
2023-06-24,9.8
2023-06-25,27.9
2023-06-26,10.7
2023-06-27,10.6
2023-06-28,14.2
2023-06-29,28.5
2023-06-30,11.9
2023-07-01,16.9
2023-07-02,23.5
2023-07-03,18.9
2023-07-04,23.0
2023-07-05,15.7
2023-07-06,10.7
2023-07-07,29.1
2023-07-08,34.9
2023-07-09,25.3
2023-07-10,9.3
2023-07-11,23.2
2023-07-12,30.7
2023-07-13,23.7
2023-07-14,25.9
2023-07-15,15.7
2023-07-16,8.8
2023-07-17,24.0
2023-07-18,19.0
2023-07-19,12.4
2023-07-20,24.4
2023-07-21,22.8
2023-07-22,26.0
2023-07-23,17.1
2023-07-24,9.0
2023-07-25,30.4
2023-07-26,32.8
2023-07-27,30.2
2023-07-28,15.3
2023-07-29,22.6
2023-07-30,10.7
2023-07-31,10.4
2023-08-01,10.9
2023-08-02,22.9
2023-08-03,12.0
2023-08-04,13.1
2023-08-05,31.5
2023-08-06,21.4
2023-08-07,20.1
2023-08-08,9.3
2023-08-09,23.0
2023-08-10,18.8
2023-08-11,24.4
2023-08-12,8.1
2023-08-13,14.7
2023-08-14,30.7
2023-08-15,15.4
2023-08-16,8.7
2023-08-17,29.3
2023-08-18,14.5
2023-08-19,31.0
2023-08-20,8.3
2023-08-21,15.1
2023-08-22,5.6
2023-08-23,30.6
2023-08-24,32.9
2023-08-25,10.2
2023-08-26,28.3
2023-08-27,10.9
2023-08-28,34.8
2023-08-29,7.5
2023-08-30,16.5
2023-08-31,24.7
2023-09-01,20.6
2023-09-02,10.4
2023-09-03,34.6
2023-09-04,11.2
2023-09-05,20.5
2023-09-06,19.3
2023-09-07,26.9
2023-09-08,18.3
2023-09-09,21.3
2023-09-10,6.9
2023-09-11,31.3
2023-09-12,21.8
2023-09-13,5.2
2023-09-14,15.9
2023-09-15,6.9
2023-09-16,33.0
2023-09-17,15.5
2023-09-18,20.4
2023-09-19,19.5
2023-09-20,31.5
2023-09-21,18.5
2023-09-22,23.7
2023-09-23,33.4
2023-09-24,15.4
2023-09-25,24.4
2023-09-26,17.6
2023-09-27,34.6
2023-09-28,28.3
2023-09-29,24.4
2023-09-30,32.8
2023-10-01,24.5
2023-10-02,5.5
2023-10-03,11.8
2023-10-04,8.2
2023-10-05,6.7
2023-10-06,29.9
2023-10-07,27.0
2023-10-08,15.0
2023-10-09,14.2
2023-10-10,28.4
2023-10-11,19.0
2023-10-12,5.3
2023-10-13,9.2
2023-10-14,6.8
2023-10-15,13.7
2023-10-16,14.7
2023-10-17,15.5
2023-10-18,25.8
2023-10-19,12.0
2023-10-20,27.8
2023-10-21,28.2
2023-10-22,33.6
2023-10-23,23.9
2023-10-24,24.5
2023-10-25,10.7
