date,temperature
2023-06-10,24.8
2023-06-11,28.8
2023-06-12,17.2
2023-06-13,21.2
2023-06-14,23.6
2023-06-15,31.2
2023-06-16,13.9
2023-06-17,32.0
2023-06-18,25.9
2023-06-19,11.3
2023-06-20,39.1
2023-06-21,38.8
2023-06-22,11.7
2023-06-23,17.5
2023-06-24,32.2
2023-06-25,16.8
2023-06-26,33.7
2023-06-27,17.6
2023-06-28,17.1
2023-06-29,16.6
2023-06-30,17.7
2023-07-01,24.9
2023-07-02,32.4
2023-07-03,12.9
2023-07-04,31.3
2023-07-05,31.4
2023-07-06,30.4
2023-07-07,16.0
2023-07-08,26.6
2023-07-09,34.7
2023-07-10,25.7
2023-07-11,17.1
2023-07-12,28.8
2023-07-13,39.0
2023-07-14,37.6
2023-07-15,19.7
2023-07-16,25.8
2023-07-17,24.6
2023-07-18,30.7
2023-07-19,21.0
2023-07-20,18.0
2023-07-21,38.0
2023-07-22,37.7
2023-07-23,14.3
2023-07-24,22.1
2023-07-25,27.6
2023-07-26,32.3
2023-07-27,31.5
2023-07-28,13.7
2023-07-29,32.6
2023-07-30,28.3
2023-07-31,14.6
2023-08-01,35.1
2023-08-02,16.4
2023-08-03,29.5
2023-08-04,17.8
2023-08-05,16.2
2023-08-06,15.4
2023-08-07,27.8
2023-08-08,15.6
2023-08-09,32.0
2023-08-10,31.4
2023-08-11,18.2
2023-08-12,26.5
2023-08-13,34.1
2023-08-14,13.8
2023-08-15,23.9
2023-08-16,20.8
2023-08-17,24.0
2023-08-18,32.6
2023-08-19,15.7
2023-08-20,20.6
2023-08-21,20.4
2023-08-22,37.4
2023-08-23,22.0
2023-08-24,32.5
2023-08-25,16.0
2023-08-26,36.0
2023-08-27,34.2
2023-08-28,25.3
2023-08-29,19.7
2023-08-30,33.3
2023-08-31,36.8
2023-09-01,33.8
2023-09-02,32.2
2023-09-03,23.7
2023-09-04,38.1
2023-09-05,39.3
2023-09-06,30.0
2023-09-07,16.9
2023-09-08,22.3
2023-09-09,28.2
2023-09-10,16.8
2023-09-11,19.6
2023-09-12,37.7
2023-09-13,37.9
2023-09-14,23.6
2023-09-15,36.4
2023-09-16,19.7
2023-09-17,39.3
2023-09-18,15.4
2023-09-19,32.8
2023-09-20,39.4
2023-09-21,25.3
2023-09-22,25.6
2023-09-23,18.2
2023-09-24,37.1
2023-09-25,10.0
2023-09-26,10.1
2023-09-27,39.0
2023-09-28,22.2
2023-09-29,33.6
2023-09-30,15.9
2023-10-01,23.1
2023-10-02,23.8
2023-10-03,34.4
2023-10-04,28.3
2023-10-05,15.1
2023-10-06,19.0
2023-10-07,39.1
2023-10-08,35.0
2023-10-09,24.3
2023-10-10,24.6
2023-10-11,34.6
2023-10-12,39.2
2023-10-13,30.5
2023-10-14,12.0
2023-10-15,10.9
2023-10-16,31.2
2023-10-17,17.4
2023-10-18,13.9
2023-10-19,38.1
2023-10-20,13.4
2023-10-21,29.1
2023-10-22,32.0
2023-10-23,28.3
2023-10-24,23.4
2023-10-25,13.1
2023-10-26,36.0
2023-10-27,25.3
2023-10-28,39.1
2023-10-29,16.9
2023-10-30,19.6
2023-10-31,28.6
2023-11-01,16.0
2023-11-02,23.2
2023-11-03,34.7
2023-11-04,38.5
2023-11-05,29.2
2023-11-06,28.3
2023-11-07,10.5
2023-11-08,21.2
2023-11-09,22.4
2023-11-10,27.4
2023-11-11,35.8
2023-11-12,30.3
2023-11-13,21.6
2023-11-14,33.8
2023-11-15,37.1
2023-11-16,12.1
2023-11-17,24.3
2023-11-18,27.6
2023-11-19,16.6
2023-11-20,25.9
2023-11-21,12.9
2023-11-22,24.3
2023-11-23,31.1
2023-11-24,39.7
2023-11-25,21.8
2023-11-26,39.9
2023-11-27,30.4
2023-11-28,27.8
2023-11-29,16.1
2023-11-30,24.8
2023-12-01,36.8
2023-12-02,38.6
2023-12-03,10.1
2023-12-04,25.8
2023-12-05,38.5
2023-12-06,32.7
2023-12-07,26.1
2023-12-08,28.0
2023-12-09,34.0
2023-12-10,34.3
2023-12-11,29.5
2023-12-12,26.1
2023-12-13,13.8
2023-12-14,34.5
2023-12-15,12.2
2023-12-16,24.7
2023-12-17,30.8
2023-12-18,16.2
2023-12-19,12.9
2023-12-20,32.2
2023-12-21,33.5
2023-12-22,32.3
2023-12-23,39.5
2023-12-24,30.2
2023-12-25,14.3
2023-12-26,25.3
2023-12-27,19.6
2023-12-28,27.9
2023-12-29,32.7
2023-12-30,36.2
2023-12-31,16.7
2024-01-01,16.1
2024-01-02,12.5
2024-01-03,36.9
2024-01-04,39.1
2024-01-05,16.1
2024-01-06,20.3
2024-01-07,15.4
2024-01-08,11.6
2024-01-09,17.6
2024-01-10,16.1
2024-01-11,17.0
2024-01-12,33.9
2024-01-13,14.2
2024-01-14,24.1
2024-01-15,37.8
2024-01-16,31.8
2024-01-17,16.7
2024-01-18,10.7
2024-01-19,23.9
2024-01-20,21.8
2024-01-21,15.3
2024-01-22,11.3
2024-01-23,30.9
2024-01-24,33.5
2024-01-25,35.8
2024-01-26,34.3
2024-01-27,21.9
2024-01-28,16.1
2024-01-29,16.5
2024-01-30,32.6
2024-01-31,14.4
2024-02-01,28.7
2024-02-02,22.0
2024-02-03,23.5
2024-02-04,27.4
2024-02-05,14.7
2024-02-06,11.6
2024-02-07,17.2
2024-02-08,13.3
2024-02-09,33.8
2024-02-10,14.0
2024-02-11,31.5
2024-02-12,25.1
2024-02-13,26.7
2024-02-14,13.8
2024-02-15,16.3
2024-02-16,23.0
2024-02-17,37.9
2024-02-18,16.5
2024-02-19,37.6
2024-02-20,37.7
2024-02-21,19.0
2024-02-22,21.1
2024-02-23,18.4
2024-02-24,34.0
2024-02-25,21.3
2024-02-26,26.7
2024-02-27,11.5
2024-02-28,38.5
2024-02-29,21.5
2024-03-01,37.0
2024-03-02,38.4
2024-03-03,38.7
2024-03-04,39.9
2024-03-05,23.4
2024-03-06,15.1
2024-03-07,12.5
2024-03-08,15.5
2024-03-09,19.9
2024-03-10,30.4
2024-03-11,22.4
2024-03-12,31.0
2024-03-13,22.3
2024-03-14,30.1
2024-03-15,29.0
2024-03-16,13.0
2024-03-17,24.4
2024-03-18,13.0
2024-03-19,38.8
2024-03-20,25.4
2024-03-21,16.0
2024-03-22,31.7
2024-03-23,31.7
2024-03-24,35.9
2024-03-25,22.4
2024-03-26,37.2
2024-03-27,37.1
2024-03-28,30.6
2024-03-29,21.9
2024-03-30,16.5
2024-03-31,31.6
2024-04-01,26.1
2024-04-02,26.5
2024-04-03,24.0
2024-04-04,21.0
2024-04-05,37.3
2024-04-06,32.6
2024-04-07,35.0
2024-04-08,11.6
2024-04-09,16.7
2024-04-10,29.2
2024-04-11,32.6
2024-04-12,18.9
2024-04-13,13.4
2024-04-14,15.6
2024-04-15,36.6
2024-04-16,10.5
2024-04-17,19.6
2024-04-18,12.1
2024-04-19,22.9
2024-04-20,13.4
2024-04-21,22.7
2024-04-22,18.6
2024-04-23,22.1
2024-04-24,34.5
2024-04-25,28.9
2024-04-26,37.5
2024-04-27,28.2
2024-04-28,28.6
2024-04-29,25.2
2024-04-30,34.6
2024-05-01,28.9
2024-05-02,10.6
2024-05-03,20.0
2024-05-04,38.8
2024-05-05,17.4
2024-05-06,17.1
2024-05-07,20.7
2024-05-08,10.9
2024-05-09,11.9
2024-05-10,19.0
2024-05-11,22.4
2024-05-12,33.6
2024-05-13,35.5
2024-05-14,21.4
2024-05-15,32.2
2024-05-16,29.4
2024-05-17,10.0
2024-05-18,12.9
2024-05-19,40.0
2024-05-20,24.0
2024-05-21,28.0
2024-05-22,24.3
2024-05-23,18.4
2024-05-24,36.0
2024-05-25,37.4
2024-05-26,17.7
2024-05-27,14.6
2024-05-28,29.8
2024-05-29,16.6
2024-05-30,35.9
2024-05-31,39.8
2024-06-01,18.3
2024-06-02,10.1
2024-06-03,19.5
2024-06-04,35.6
2024-06-05,16.0
2024-06-06,38.9
2024-06-07,30.9
2024-06-08,14.7
2024-06-09,19.3
2024-06-10,30.3
2024-06-11,20.6
2024-06-12,25.9
2024-06-13,31.1
2024-06-14,25.1
2024-06-15,14.1
2024-06-16,13.6
2024-06-17,25.5
2024-06-18,25.0
2024-06-19,39.0
2024-06-20,31.8
2024-06-21,18.7
2024-06-22,38.6
2024-06-23,29.7
2024-06-24,34.9
2024-06-25,15.7
2024-06-26,15.3
2024-06-27,33.9
2024-06-28,31.4
2024-06-29,19.4
2024-06-30,35.3
2024-07-01,33.1
2024-07-02,28.4
2024-07-03,28.3
2024-07-04,35.1
2024-07-05,14.2
2024-07-06,39.1
2024-07-07,14.2
2024-07-08,39.1
2024-07-09,13.8
2024-07-10,30.0
2024-07-11,19.6
2024-07-12,14.9
2024-07-13,33.3
2024-07-14,17.3
2024-07-15,16.9
2024-07-16,38.9
2024-07-17,28.2
2024-07-18,17.4
2024-07-19,23.3
2024-07-20,22.0
2024-07-21,20.8
2024-07-22,27.3
2024-07-23,34.4
2024-07-24,13.7
2024-07-25,10.2
2024-07-26,27.8
2024-07-27,29.9
2024-07-28,13.7
2024-07-29,25.3
2024-07-30,29.9
2024-07-31,11.3
2024-08-01,18.6
2024-08-02,10.8
2024-08-03,13.5
2024-08-04,11.2
2024-08-05,10.1
2024-08-06,29.0
2024-08-07,16.2
2024-08-08,13.4
2024-08-09,17.6
2024-08-10,20.9
2024-08-11,11.0
2024-08-12,19.0
2024-08-13,38.3
2024-08-14,33.0
2024-08-15,16.9
2024-08-16,13.1
2024-08-17,39.3
2024-08-18,35.6
2024-08-19,34.9
2024-08-20,26.4
2024-08-21,37.1
2024-08-22,24.4
2024-08-23,39.7
2024-08-24,22.2
2024-08-25,13.2
2024-08-26,19.9
2024-08-27,11.1
2024-08-28,17.4
2024-08-29,21.7
2024-08-30,38.0
2024-08-31,19.9
2024-09-01,15.5
2024-09-02,34.9
2024-09-03,16.9
2024-09-04,14.9
2024-09-05,14.6
2024-09-06,31.4
2024-09-07,33.9
2024-09-08,29.2
2024-09-09,38.0
2024-09-10,23.8
2024-09-11,35.8
2024-09-12,31.6
2024-09-13,15.8
2024-09-14,16.5
2024-09-15,27.8
2024-09-16,16.9
2024-09-17,17.6
2024-09-18,16.8
2024-09-19,30.6
2024-09-20,10.7
2024-09-21,35.0
2024-09-22,15.6
2024-09-23,13.4
2024-09-24,15.5
2024-09-25,24.1
2024-09-26,36.7
2024-09-27,21.9
2024-09-28,32.2
2024-09-29,13.3
2024-09-30,36.4
2024-10-01,34.6
2024-10-02,36.0
2024-10-03,29.2
2024-10-04,26.3
2024-10-05,22.0
2024-10-06,17.4
2024-10-07,31.9
2024-10-08,14.3
2024-10-09,38.1
2024-10-10,25.4
2024-10-11,26.9
2024-10-12,29.5
2024-10-13,14.5
2024-10-14,28.6
2024-10-15,20.1
2024-10-16,26.4
2024-10-17,15.8
2024-10-18,21.9
2024-10-19,24.6
2024-10-20,32.7
2024-10-21,32.6
2024-10-22,26.6
2024-10-23,39.7
2024-10-24,23.9
2024-10-25,35.0
2024-10-26,28.0
2024-10-27,31.8
2024-10-28,28.8
2024-10-29,32.3
2024-10-30,12.1
2024-10-31,14.0
2024-11-01,29.8
2024-11-02,24.9
2024-11-03,15.0
2024-11-04,19.3
2024-11-05,17.6
2024-11-06,26.4
2024-11-07,33.5
2024-11-08,17.8
2024-11-09,33.3
2024-11-10,29.6
2024-11-11,33.0
2024-11-12,23.4
2024-11-13,38.5
2024-11-14,16.4
2024-11-15,30.8
2024-11-16,13.7
2024-11-17,11.0
2024-11-18,24.5
2024-11-19,15.0
2024-11-20,26.5
2024-11-21,10.9
2024-11-22,26.7
2024-11-23,29.0
2024-11-24,20.7
2024-11-25,17.7
2024-11-26,25.7
2024-11-27,24.0
2024-11-28,20.7
2024-11-29,29.9
