date,temperature
2023-06-10,28.9
2023-06-11,11.4
2023-06-12,20.2
2023-06-13,22.7
2023-06-14,21.2
2023-06-15,10.8
2023-06-16,25.4
2023-06-17,26.0
2023-06-18,11.8
2023-06-19,19.8
2023-06-20,27.0
2023-06-21,11.8
2023-06-22,10.9
2023-06-23,22.8
2023-06-24,11.2
2023-06-25,21.1
2023-06-26,19.9
2023-06-27,26.5
2023-06-28,29.5
2023-06-29,21.4
2023-06-30,23.6
2023-07-01,11.2
2023-07-02,14.2
2023-07-03,15.2
2023-07-04,13.4
2023-07-05,28.0
2023-07-06,25.9
2023-07-07,11.9
2023-07-08,11.3
2023-07-09,28.9
2023-07-10,25.1
2023-07-11,11.6
2023-07-12,14.4
2023-07-13,27.5
2023-07-14,11.9
2023-07-15,11.3
2023-07-16,21.1
2023-07-17,24.9
2023-07-18,25.8
2023-07-19,10.2
2023-07-20,28.0
2023-07-21,28.0
2023-07-22,15.0
2023-07-23,10.0
2023-07-24,13.6
2023-07-25,28.6
2023-07-26,22.6
2023-07-27,24.9
2023-07-28,17.2
2023-07-29,22.6
2023-07-30,17.1
2023-07-31,16.7
2023-08-01,15.7
2023-08-02,15.2
2023-08-03,18.3
2023-08-04,27.8
2023-08-05,11.8
2023-08-06,29.2
2023-08-07,22.7
2023-08-08,28.4
2023-08-09,10.1
2023-08-10,23.4
2023-08-11,26.0
2023-08-12,21.9
2023-08-13,20.5
2023-08-14,16.7
2023-08-15,19.8
2023-08-16,24.3
2023-08-17,25.8
2023-08-18,18.3
2023-08-19,16.3
2023-08-20,19.0
2023-08-21,20.0
2023-08-22,26.3
2023-08-23,11.5
2023-08-24,24.2
2023-08-25,17.0
2023-08-26,19.8
2023-08-27,17.8
2023-08-28,27.0
2023-08-29,22.1
2023-08-30,21.1
2023-08-31,17.7
2023-09-01,14.6
2023-09-02,16.7
2023-09-03,27.2
2023-09-04,10.7
2023-09-05,12.6
2023-09-06,12.6
2023-09-07,20.8
2023-09-08,11.0
2023-09-09,15.7
2023-09-10,19.3
2023-09-11,28.8
2023-09-12,23.1
2023-09-13,13.0
2023-09-14,24.9
2023-09-15,25.0
2023-09-16,13.7
2023-09-17,24.3
2023-09-18,27.9
2023-09-19,19.6
2023-09-20,19.5
2023-09-21,17.0
2023-09-22,21.7
2023-09-23,18.8
2023-09-24,27.3
2023-09-25,23.9
2023-09-26,24.4
2023-09-27,11.4
2023-09-28,11.3
2023-09-29,23.0
2023-09-30,29.7
2023-10-01,20.6
2023-10-02,29.2
2023-10-03,11.2
2023-10-04,13.6
2023-10-05,23.4
2023-10-06,10.5
2023-10-07,18.8
2023-10-08,11.2
2023-10-09,15.3
2023-10-10,26.5
2023-10-11,13.1
2023-10-12,26.6
2023-10-13,21.3
2023-10-14,25.2
2023-10-15,22.5
2023-10-16,24.2
2023-10-17,18.0
2023-10-18,28.2
2023-10-19,29.4
2023-10-20,26.7
2023-10-21,24.0
2023-10-22,29.6
2023-10-23,28.1
2023-10-24,26.7
2023-10-25,19.6
2023-10-26,27.6
2023-10-27,20.7
2023-10-28,15.4
2023-10-29,23.3
2023-10-30,15.9
2023-10-31,27.0
2023-11-01,29.2
2023-11-02,17.2
2023-11-03,24.7
2023-11-04,26.7
2023-11-05,15.6
2023-11-06,14.7
2023-11-07,14.1
2023-11-08,26.4
2023-11-09,24.5
2023-11-10,25.3
2023-11-11,13.8
2023-11-12,26.4
2023-11-13,16.0
2023-11-14,29.0
2023-11-15,21.1
2023-11-16,19.3
2023-11-17,24.8
2023-11-18,21.9
2023-11-19,15.8
2023-11-20,17.6
2023-11-21,20.3
2023-11-22,27.9
2023-11-23,13.0
2023-11-24,20.7
2023-11-25,26.1
2023-11-26,16.4
