date,temperature
2023-06-10,26.0
2023-06-11,10.6
2023-06-12,6.3
2023-06-13,28.1
2023-06-14,8.4
2023-06-15,17.1
2023-06-16,9.3
2023-06-17,10.6
2023-06-18,22.6
2023-06-19,11.9
2023-06-20,8.2
2023-06-21,17.7
2023-06-22,11.9
2023-06-23,23.3
2023-06-24,28.9
2023-06-25,3.4
2023-06-26,12.3
2023-06-27,28.0
2023-06-28,6.5
2023-06-29,14.3
2023-06-30,24.5
2023-07-01,29.9
2023-07-02,1.3
2023-07-03,0.2
2023-07-04,17.9
2023-07-05,13.1
2023-07-06,15.5
2023-07-07,18.5
2023-07-08,18.6
2023-07-09,12.2
2023-07-10,6.3
2023-07-11,28.3
2023-07-12,17.2
2023-07-13,15.7
2023-07-14,25.1
2023-07-15,7.0
2023-07-16,8.1
2023-07-17,3.0
2023-07-18,17.7
2023-07-19,21.7
2023-07-20,13.6
2023-07-21,0.2
2023-07-22,8.8
2023-07-23,5.1
2023-07-24,25.1
2023-07-25,9.4
2023-07-26,14.7
2023-07-27,20.3
2023-07-28,9.3
2023-07-29,12.5
2023-07-30,25.0
2023-07-31,26.2
2023-08-01,25.0
2023-08-02,26.3
2023-08-03,2.1
2023-08-04,14.4
2023-08-05,28.6
2023-08-06,24.4
2023-08-07,26.2
2023-08-08,9.0
2023-08-09,4.0
2023-08-10,13.5
2023-08-11,28.4
2023-08-12,22.7
2023-08-13,24.5
2023-08-14,3.1
2023-08-15,17.1
2023-08-16,9.8
2023-08-17,18.2
2023-08-18,28.9
2023-08-19,15.9
2023-08-20,22.0
2023-08-21,26.6
2023-08-22,27.9
2023-08-23,11.8
2023-08-24,19.8
2023-08-25,2.6
2023-08-26,18.9
2023-08-27,1.8
2023-08-28,1.0
2023-08-29,29.9
2023-08-30,0.4
2023-08-31,28.0
2023-09-01,19.8
2023-09-02,5.2
2023-09-03,13.6
2023-09-04,28.4
2023-09-05,20.0
2023-09-06,23.3
2023-09-07,0.7
2023-09-08,19.0
2023-09-09,14.1
2023-09-10,7.2
2023-09-11,30.0
2023-09-12,18.3
2023-09-13,29.3
2023-09-14,19.4
2023-09-15,27.2
2023-09-16,14.5
2023-09-17,2.4
2023-09-18,23.3
2023-09-19,7.8
2023-09-20,5.9
2023-09-21,11.6
2023-09-22,26.4
2023-09-23,16.1
2023-09-24,8.9
2023-09-25,28.6
2023-09-26,26.5
2023-09-27,22.7
2023-09-28,21.2
2023-09-29,10.5
2023-09-30,14.3
2023-10-01,22.4
2023-10-02,9.3
2023-10-03,24.0
2023-10-04,16.7
2023-10-05,27.4
2023-10-06,14.5
2023-10-07,0.7
2023-10-08,27.0
2023-10-09,30.0
2023-10-10,15.1
2023-10-11,26.3
2023-10-12,12.7
2023-10-13,19.4
2023-10-14,11.0
2023-10-15,9.1
2023-10-16,27.0
2023-10-17,9.1
2023-10-18,15.4
2023-10-19,3.5
2023-10-20,5.3
2023-10-21,15.0
2023-10-22,26.0
2023-10-23,26.3
2023-10-24,16.9
2023-10-25,1.3
2023-10-26,25.6
2023-10-27,25.3
2023-10-28,1.6
2023-10-29,9.9
2023-10-30,7.3
2023-10-31,25.3
2023-11-01,18.4
2023-11-02,8.7
2023-11-03,23.0
2023-11-04,7.6
2023-11-05,17.1
2023-11-06,18.9
2023-11-07,28.0
2023-11-08,0.8
2023-11-09,5.9
2023-11-10,24.9
2023-11-11,0.4
2023-11-12,8.0
2023-11-13,12.4
2023-11-14,26.3
2023-11-15,29.7
2023-11-16,6.7
2023-11-17,12.2
2023-11-18,8.1
2023-11-19,22.9
2023-11-20,20.9
2023-11-21,6.9
2023-11-22,1.7
2023-11-23,29.0
2023-11-24,29.4
2023-11-25,8.3
2023-11-26,15.8
2023-11-27,16.0
2023-11-28,22.8
2023-11-29,25.0
2023-11-30,23.8
2023-12-01,22.2
2023-12-02,24.8
2023-12-03,10.5
2023-12-04,21.5
2023-12-05,28.2
2023-12-06,2.7
2023-12-07,1.0
2023-12-08,24.2
2023-12-09,24.9
2023-12-10,8.7
2023-12-11,3.7
2023-12-12,3.7
2023-12-13,15.1
2023-12-14,8.6
2023-12-15,13.6
2023-12-16,10.9
2023-12-17,16.4
2023-12-18,14.8
2023-12-19,22.6
2023-12-20,1.0
2023-12-21,8.5
2023-12-22,17.0
2023-12-23,16.0
2023-12-24,11.9
2023-12-25,20.7
2023-12-26,14.2
2023-12-27,12.7
2023-12-28,28.1
2023-12-29,9.3
2023-12-30,22.6
2023-12-31,16.6
2024-01-01,11.5
2024-01-02,3.1
2024-01-03,25.9
2024-01-04,13.9
2024-01-05,24.3
2024-01-06,18.2
2024-01-07,3.8
2024-01-08,22.8
2024-01-09,21.7
2024-01-10,10.4
2024-01-11,11.2
2024-01-12,28.2
2024-01-13,6.7
2024-01-14,3.7
2024-01-15,2.2
2024-01-16,10.0
2024-01-17,0.0
2024-01-18,10.5
2024-01-19,8.2
2024-01-20,26.1
2024-01-21,18.4
2024-01-22,14.2
2024-01-23,15.2
2024-01-24,26.1
2024-01-25,12.7
2024-01-26,13.9
2024-01-27,20.7
2024-01-28,22.6
2024-01-29,29.8
2024-01-30,18.8
2024-01-31,21.3
2024-02-01,26.7
2024-02-02,4.2
2024-02-03,24.7
2024-02-04,20.2
2024-02-05,15.9
2024-02-06,6.4
2024-02-07,22.5
2024-02-08,26.6
2024-02-09,17.4
2024-02-10,10.7
2024-02-11,16.4
2024-02-12,21.2
2024-02-13,19.3
2024-02-14,28.0
2024-02-15,1.6
2024-02-16,15.9
2024-02-17,20.5
2024-02-18,10.9
2024-02-19,3.5
2024-02-20,16.7
2024-02-21,16.0
2024-02-22,0.5
2024-02-23,23.3
2024-02-24,27.0
2024-02-25,3.6
2024-02-26,23.7
2024-02-27,11.1
2024-02-28,22.3
2024-02-29,11.1
2024-03-01,14.7
2024-03-02,6.1
2024-03-03,14.5
2024-03-04,26.6
2024-03-05,5.3
2024-03-06,9.7
2024-03-07,4.6
2024-03-08,18.1
2024-03-09,0.3
2024-03-10,12.0
2024-03-11,1.7
2024-03-12,5.2
2024-03-13,11.6
2024-03-14,12.3
2024-03-15,11.7
2024-03-16,29.9
2024-03-17,10.2
2024-03-18,9.7
2024-03-19,19.2
2024-03-20,6.8
2024-03-21,17.9
2024-03-22,9.4
2024-03-23,19.4
2024-03-24,14.7
2024-03-25,4.9
2024-03-26,5.4
2024-03-27,13.9
2024-03-28,17.2
2024-03-29,23.3
2024-03-30,2.4
2024-03-31,3.1
2024-04-01,28.6
2024-04-02,1.1
2024-04-03,19.0
2024-04-04,3.6
2024-04-05,5.6
2024-04-06,12.1
2024-04-07,6.0
2024-04-08,17.8
2024-04-09,5.4
2024-04-10,27.3
2024-04-11,1.9
2024-04-12,20.2
2024-04-13,5.3
2024-04-14,20.3
2024-04-15,0.8
2024-04-16,25.6
2024-04-17,17.0
2024-04-18,5.2
2024-04-19,2.0
2024-04-20,4.1
2024-04-21,11.4
2024-04-22,7.5
2024-04-23,21.3
2024-04-24,1.1
2024-04-25,7.2
2024-04-26,11.2
2024-04-27,13.8
2024-04-28,16.7
2024-04-29,27.0
2024-04-30,4.4
2024-05-01,26.8
2024-05-02,27.0
2024-05-03,2.7
2024-05-04,10.0
2024-05-05,27.2
2024-05-06,25.9
2024-05-07,13.7
2024-05-08,17.8
2024-05-09,12.9
2024-05-10,1.9
2024-05-11,25.8
2024-05-12,21.5
2024-05-13,23.2
2024-05-14,15.3
2024-05-15,22.6
2024-05-16,4.6
2024-05-17,14.5
2024-05-18,5.4
2024-05-19,1.8
2024-05-20,28.4
2024-05-21,0.5
2024-05-22,10.5
2024-05-23,25.3
2024-05-24,28.3
2024-05-25,29.1
2024-05-26,5.5
2024-05-27,29.1
2024-05-28,28.4
2024-05-29,26.6
2024-05-30,3.6
2024-05-31,25.5
2024-06-01,1.8
2024-06-02,25.9
2024-06-03,5.1
2024-06-04,7.1
2024-06-05,10.2
2024-06-06,22.3
2024-06-07,15.5
2024-06-08,20.7
2024-06-09,15.6
2024-06-10,27.9
2024-06-11,4.6
2024-06-12,28.1
2024-06-13,2.6
2024-06-14,6.1
2024-06-15,28.1
2024-06-16,10.3
2024-06-17,23.0
2024-06-18,2.2
2024-06-19,25.6
2024-06-20,7.5
2024-06-21,6.3
2024-06-22,2.9
2024-06-23,16.7
2024-06-24,2.3
2024-06-25,6.5
2024-06-26,0.4
2024-06-27,7.1
2024-06-28,23.5
2024-06-29,12.2
2024-06-30,22.2
2024-07-01,0.7
2024-07-02,5.7
2024-07-03,4.4
2024-07-04,12.6
2024-07-05,25.1
2024-07-06,6.8
2024-07-07,2.0
2024-07-08,13.2
2024-07-09,12.8
2024-07-10,16.7
2024-07-11,10.0
2024-07-12,8.4
2024-07-13,27.4
2024-07-14,21.1
2024-07-15,25.4
2024-07-16,10.1
2024-07-17,13.4
2024-07-18,23.0
2024-07-19,3.0
2024-07-20,16.3
2024-07-21,1.4
2024-07-22,21.9
2024-07-23,17.3
2024-07-24,6.2
2024-07-25,4.1
2024-07-26,17.0
2024-07-27,9.7
2024-07-28,25.0
2024-07-29,26.7
2024-07-30,20.0
2024-07-31,9.6
2024-08-01,16.9
2024-08-02,21.5
2024-08-03,12.6
2024-08-04,28.6
2024-08-05,21.2
2024-08-06,4.9
2024-08-07,4.5
2024-08-08,1.9
2024-08-09,10.1
2024-08-10,28.3
2024-08-11,7.8
2024-08-12,15.0
2024-08-13,28.7
2024-08-14,12.5
2024-08-15,0.2
2024-08-16,23.7
2024-08-17,0.1
2024-08-18,17.2
2024-08-19,18.2
2024-08-20,17.9
2024-08-21,17.9
2024-08-22,1.1
2024-08-23,27.4
2024-08-24,8.0
2024-08-25,14.4
2024-08-26,28.6
