date,temperature
2023-06-10,30.5
2023-06-11,16.1
2023-06-12,23.0
2023-06-13,16.9
2023-06-14,18.9
2023-06-15,29.1
2023-06-16,26.4
2023-06-17,27.7
2023-06-18,19.9
2023-06-19,19.7
2023-06-20,33.9
2023-06-21,19.5
2023-06-22,32.5
2023-06-23,15.4
2023-06-24,25.6
2023-06-25,27.6
2023-06-26,17.1
2023-06-27,24.3
2023-06-28,15.1
2023-06-29,29.7
2023-06-30,30.6
2023-07-01,25.3
2023-07-02,34.4
2023-07-03,33.4
2023-07-04,30.7
2023-07-05,16.7
2023-07-06,19.5
2023-07-07,30.6
2023-07-08,33.9
2023-07-09,31.7
2023-07-10,26.3
2023-07-11,24.3
2023-07-12,26.0
2023-07-13,31.3
2023-07-14,31.4
2023-07-15,24.3
2023-07-16,15.9
2023-07-17,26.4
2023-07-18,28.8
2023-07-19,27.2
2023-07-20,21.1
2023-07-21,23.6
2023-07-22,18.9
2023-07-23,20.5
2023-07-24,32.5
2023-07-25,18.5
2023-07-26,25.3
2023-07-27,29.0
2023-07-28,27.7
2023-07-29,25.0
2023-07-30,27.2
2023-07-31,20.5
2023-08-01,26.6
2023-08-02,16.9
2023-08-03,17.1
2023-08-04,16.6
2023-08-05,19.6
2023-08-06,34.1
2023-08-07,29.2
2023-08-08,20.3
2023-08-09,23.3
2023-08-10,29.7
2023-08-11,21.8
2023-08-12,34.8
2023-08-13,18.8
2023-08-14,20.8
2023-08-15,19.6
2023-08-16,30.4
2023-08-17,34.2
2023-08-18,20.4
2023-08-19,32.0
2023-08-20,16.5
2023-08-21,33.6
2023-08-22,25.0
2023-08-23,20.1
2023-08-24,17.5
2023-08-25,19.6
2023-08-26,27.2
2023-08-27,18.4
2023-08-28,32.6
2023-08-29,34.5
2023-08-30,20.0
2023-08-31,33.7
2023-09-01,29.1
2023-09-02,22.6
2023-09-03,15.8
2023-09-04,19.7
2023-09-05,17.2
2023-09-06,25.9
2023-09-07,32.8
2023-09-08,33.5
2023-09-09,20.4
2023-09-10,22.4
2023-09-11,33.1
2023-09-12,21.8
2023-09-13,23.6
2023-09-14,32.6
2023-09-15,29.5
2023-09-16,25.5
2023-09-17,28.4
2023-09-18,28.5
2023-09-19,21.6
2023-09-20,20.9
2023-09-21,33.6
2023-09-22,19.8
2023-09-23,30.2
2023-09-24,24.8
2023-09-25,19.6
2023-09-26,21.6
2023-09-27,25.7
2023-09-28,21.4
2023-09-29,30.8
2023-09-30,24.5
2023-10-01,34.5
2023-10-02,29.5
2023-10-03,19.5
2023-10-04,29.6
2023-10-05,22.0
2023-10-06,28.2
2023-10-07,29.6
2023-10-08,21.0
2023-10-09,18.0
2023-10-10,26.2
2023-10-11,21.6
2023-10-12,32.2
2023-10-13,28.1
2023-10-14,18.5
2023-10-15,21.3
2023-10-16,30.3
2023-10-17,23.5
2023-10-18,24.4
2023-10-19,31.5
2023-10-20,25.6
2023-10-21,19.3
2023-10-22,26.4
2023-10-23,23.5
2023-10-24,33.2
2023-10-25,26.7
2023-10-26,17.9
2023-10-27,21.0
2023-10-28,29.1
2023-10-29,24.5
2023-10-30,34.2
2023-10-31,27.2
2023-11-01,15.7
2023-11-02,20.4
2023-11-03,34.0
2023-11-04,20.1
2023-11-05,19.6
2023-11-06,27.2
2023-11-07,26.6
2023-11-08,31.5
2023-11-09,20.8
2023-11-10,25.5
2023-11-11,15.1
2023-11-12,26.1
2023-11-13,15.5
2023-11-14,15.5
2023-11-15,20.1
2023-11-16,22.9
2023-11-17,17.8
2023-11-18,26.7
2023-11-19,30.0
2023-11-20,21.8
2023-11-21,22.0
2023-11-22,30.1
2023-11-23,27.7
2023-11-24,24.8
2023-11-25,20.0
2023-11-26,31.1
2023-11-27,29.8
2023-11-28,29.2
2023-11-29,18.9
2023-11-30,31.6
2023-12-01,23.6
2023-12-02,34.2
2023-12-03,31.6
2023-12-04,33.0
2023-12-05,33.4
2023-12-06,26.0
2023-12-07,18.0
2023-12-08,20.4
2023-12-09,32.0
2023-12-10,21.2
2023-12-11,26.3
2023-12-12,32.8
2023-12-13,24.2
2023-12-14,34.8
2023-12-15,30.8
2023-12-16,21.3
2023-12-17,34.4
2023-12-18,24.3
2023-12-19,22.9
2023-12-20,33.8
2023-12-21,17.5
2023-12-22,25.0
2023-12-23,21.8
2023-12-24,22.6
2023-12-25,34.8
2023-12-26,22.8
2023-12-27,25.1
2023-12-28,32.5
2023-12-29,16.4
2023-12-30,29.7
2023-12-31,22.5
2024-01-01,17.1
2024-01-02,24.9
2024-01-03,24.2
2024-01-04,16.0
2024-01-05,25.6
2024-01-06,19.6
2024-01-07,32.2
2024-01-08,31.2
2024-01-09,23.3
2024-01-10,23.3
2024-01-11,27.4
2024-01-12,33.3
2024-01-13,19.7
2024-01-14,18.2
2024-01-15,29.5
2024-01-16,16.3
2024-01-17,33.8
2024-01-18,22.5
2024-01-19,32.6
2024-01-20,31.2
2024-01-21,26.2
2024-01-22,29.4
2024-01-23,25.7
2024-01-24,16.8
2024-01-25,16.5
2024-01-26,26.5
2024-01-27,16.8
2024-01-28,25.3
2024-01-29,19.7
2024-01-30,20.1
2024-01-31,26.6
2024-02-01,16.7
2024-02-02,30.5
2024-02-03,23.2
2024-02-04,23.5
2024-02-05,21.2
2024-02-06,20.1
2024-02-07,16.7
2024-02-08,34.9
2024-02-09,22.9
2024-02-10,29.9
2024-02-11,21.8
2024-02-12,15.1
2024-02-13,22.5
2024-02-14,26.4
2024-02-15,21.5
2024-02-16,34.1
2024-02-17,17.4
2024-02-18,21.8
2024-02-19,18.6
2024-02-20,19.2
2024-02-21,30.5
2024-02-22,21.6
2024-02-23,30.1
2024-02-24,26.8
2024-02-25,27.0
2024-02-26,29.9
2024-02-27,15.6
2024-02-28,24.8
2024-02-29,17.6
2024-03-01,15.8
2024-03-02,19.9
2024-03-03,19.0
2024-03-04,25.7
2024-03-05,30.8
2024-03-06,32.3
2024-03-07,29.9
2024-03-08,29.3
2024-03-09,25.3
2024-03-10,34.4
2024-03-11,21.6
2024-03-12,30.5
2024-03-13,25.6
2024-03-14,25.1
2024-03-15,33.3
2024-03-16,22.5
2024-03-17,26.3
2024-03-18,27.1
2024-03-19,20.8
2024-03-20,21.2
2024-03-21,20.2
2024-03-22,26.1
2024-03-23,25.2
2024-03-24,20.7
2024-03-25,29.6
2024-03-26,22.5
2024-03-27,25.0
2024-03-28,32.5
2024-03-29,34.7
2024-03-30,18.3
2024-03-31,34.2
2024-04-01,34.6
2024-04-02,23.4
2024-04-03,25.7
2024-04-04,15.0
2024-04-05,18.9
2024-04-06,25.9
2024-04-07,17.9
2024-04-08,32.5
2024-04-09,24.8
2024-04-10,25.2
2024-04-11,23.1
2024-04-12,26.4
2024-04-13,27.2
2024-04-14,26.3
2024-04-15,32.4
2024-04-16,20.7
