date,temperature
2023-06-10,2.3
2023-06-11,-1.6
2023-06-12,2.9
2023-06-13,24.5
2023-06-14,16.4
2023-06-15,1.5
2023-06-16,-3.8
2023-06-17,-4.6
2023-06-18,21.8
2023-06-19,29.9
2023-06-20,14.8
2023-06-21,7.6
2023-06-22,20.2
2023-06-23,6.9
2023-06-24,13.7
2023-06-25,4.3
2023-06-26,22.2
2023-06-27,-2.3
2023-06-28,29.2
2023-06-29,13.1
2023-06-30,2.3
2023-07-01,19.5
2023-07-02,6.3
2023-07-03,-2.5
2023-07-04,-2.5
2023-07-05,0.4
2023-07-06,8.8
2023-07-07,16.4
2023-07-08,16.4
2023-07-09,4.7
2023-07-10,17.0
2023-07-11,13.6
2023-07-12,22.4
2023-07-13,16.7
2023-07-14,15.8
2023-07-15,8.5
2023-07-16,9.7
2023-07-17,26.1
2023-07-18,17.4
2023-07-19,25.4
2023-07-20,23.7
2023-07-21,19.5
2023-07-22,-1.9
2023-07-23,7.0
2023-07-24,19.9
2023-07-25,16.4
2023-07-26,23.4
2023-07-27,12.2
2023-07-28,6.9
2023-07-29,12.5
2023-07-30,12.2
2023-07-31,29.6
2023-08-01,-3.3
2023-08-02,11.6
2023-08-03,-2.4
2023-08-04,5.7
2023-08-05,6.6
2023-08-06,-0.3
2023-08-07,-0.1
2023-08-08,8.2
2023-08-09,3.7
2023-08-10,18.2
2023-08-11,25.6
2023-08-12,10.0
2023-08-13,19.3
2023-08-14,2.9
2023-08-15,18.0
2023-08-16,13.4
2023-08-17,20.4
2023-08-18,-4.5
2023-08-19,23.0
2023-08-20,20.2
2023-08-21,20.4
2023-08-22,24.4
2023-08-23,6.7
2023-08-24,12.6
2023-08-25,27.3
2023-08-26,3.1
2023-08-27,2.2
2023-08-28,0.6
2023-08-29,18.8
2023-08-30,9.8
2023-08-31,29.5
2023-09-01,9.3
2023-09-02,4.1
2023-09-03,9.5
2023-09-04,25.5
2023-09-05,8.0
2023-09-06,22.6
2023-09-07,-1.4
2023-09-08,-4.0
2023-09-09,20.5
2023-09-10,23.5
2023-09-11,3.9
2023-09-12,-3.1
2023-09-13,23.8
2023-09-14,0.8
2023-09-15,4.3
2023-09-16,22.5
2023-09-17,3.7
2023-09-18,24.7
2023-09-19,18.2
2023-09-20,2.6
2023-09-21,8.2
2023-09-22,7.4
2023-09-23,28.9
2023-09-24,23.0
2023-09-25,26.6
2023-09-26,10.7
2023-09-27,12.9
2023-09-28,21.7
2023-09-29,4.3
2023-09-30,-0.8
2023-10-01,3.9
2023-10-02,25.4
2023-10-03,20.7
2023-10-04,9.0
2023-10-05,22.6
2023-10-06,15.8
2023-10-07,-3.8
2023-10-08,-4.9
2023-10-09,24.4
2023-10-10,15.5
2023-10-11,20.1
2023-10-12,6.6
2023-10-13,5.9
2023-10-14,0.0
2023-10-15,27.3
2023-10-16,3.2
2023-10-17,19.7
2023-10-18,24.6
2023-10-19,22.2
2023-10-20,10.2
2023-10-21,23.0
2023-10-22,29.7
2023-10-23,8.3
2023-10-24,23.8
2023-10-25,6.0
2023-10-26,2.8
2023-10-27,1.9
2023-10-28,2.7
2023-10-29,6.0
2023-10-30,-5.0
2023-10-31,14.0
2023-11-01,13.4
2023-11-02,-4.1
2023-11-03,-2.1
2023-11-04,15.2
2023-11-05,6.8
2023-11-06,13.2
2023-11-07,2.3
2023-11-08,-1.1
2023-11-09,17.7
2023-11-10,29.6
2023-11-11,8.3
2023-11-12,-1.4
2023-11-13,26.2
2023-11-14,1.8
2023-11-15,2.2
2023-11-16,5.3
2023-11-17,2.7
2023-11-18,11.4
2023-11-19,-2.1
2023-11-20,20.7
2023-11-21,18.3
2023-11-22,22.5
2023-11-23,5.5
2023-11-24,-1.5
2023-11-25,-4.3
2023-11-26,22.9
2023-11-27,17.5
2023-11-28,-4.4
2023-11-29,20.3
2023-11-30,27.7
2023-12-01,16.8
2023-12-02,-4.1
2023-12-03,8.2
2023-12-04,4.9
2023-12-05,29.0
2023-12-06,11.2
2023-12-07,5.4
2023-12-08,18.3
2023-12-09,9.2
2023-12-10,-4.5
2023-12-11,28.9
2023-12-12,27.9
2023-12-13,20.9
2023-12-14,23.7
2023-12-15,26.6
2023-12-16,-1.7
2023-12-17,-2.9
2023-12-18,29.7
2023-12-19,13.7
2023-12-20,28.3
2023-12-21,5.6
2023-12-22,2.5
2023-12-23,25.2
2023-12-24,26.2
2023-12-25,-1.3
2023-12-26,5.6
2023-12-27,24.7
2023-12-28,7.6
2023-12-29,3.9
2023-12-30,5.4
2023-12-31,-3.2
2024-01-01,29.2
