date,temperature
2023-06-10,27.7
2023-06-11,32.5
2023-06-12,27.2
2023-06-13,25.3
2023-06-14,20.9
2023-06-15,32.6
2023-06-16,18.1
2023-06-17,21.0
2023-06-18,22.1
2023-06-19,24.4
2023-06-20,29.7
2023-06-21,23.4
2023-06-22,27.4
2023-06-23,30.3
2023-06-24,15.4
2023-06-25,32.3
2023-06-26,32.0
2023-06-27,29.8
2023-06-28,17.5
2023-06-29,23.1
2023-06-30,16.0
2023-07-01,26.3
2023-07-02,15.4
2023-07-03,21.7
2023-07-04,28.8
2023-07-05,20.9
2023-07-06,27.6
2023-07-07,32.8
2023-07-08,28.4
2023-07-09,19.3
2023-07-10,30.9
2023-07-11,24.3
2023-07-12,28.1
2023-07-13,16.6
2023-07-14,31.7
2023-07-15,15.8
2023-07-16,19.5
2023-07-17,19.2
2023-07-18,18.7
2023-07-19,32.6
2023-07-20,17.3
2023-07-21,25.0
2023-07-22,24.1
2023-07-23,20.2
2023-07-24,17.5
2023-07-25,22.3
2023-07-26,18.4
2023-07-27,18.5
2023-07-28,20.2
2023-07-29,16.7
2023-07-30,28.1
2023-07-31,15.8
2023-08-01,15.9
2023-08-02,26.6
2023-08-03,24.2
2023-08-04,20.5
2023-08-05,33.3
2023-08-06,16.4
2023-08-07,26.5
2023-08-08,32.9
2023-08-09,28.9
2023-08-10,30.5
2023-08-11,22.5
2023-08-12,19.7
2023-08-13,16.1
2023-08-14,19.1
2023-08-15,19.5
2023-08-16,32.3
2023-08-17,31.1
2023-08-18,34.4
2023-08-19,18.7
2023-08-20,27.6
2023-08-21,22.9
2023-08-22,24.3
2023-08-23,29.0
2023-08-24,28.5
2023-08-25,29.7
2023-08-26,18.1
2023-08-27,26.2
2023-08-28,20.5
2023-08-29,30.6
2023-08-30,17.5
2023-08-31,21.6
2023-09-01,21.1
2023-09-02,30.8
2023-09-03,21.9
2023-09-04,18.4
2023-09-05,34.0
2023-09-06,15.2
2023-09-07,26.4
2023-09-08,29.6
2023-09-09,25.7
2023-09-10,18.1
2023-09-11,32.3
2023-09-12,19.0
2023-09-13,27.7
2023-09-14,25.5
2023-09-15,28.8
2023-09-16,19.0
2023-09-17,18.7
2023-09-18,15.2
2023-09-19,21.9
2023-09-20,21.7
2023-09-21,29.6
2023-09-22,28.2
2023-09-23,18.7
2023-09-24,22.4
2023-09-25,18.2
2023-09-26,34.6
2023-09-27,24.3
2023-09-28,33.2
2023-09-29,18.5
2023-09-30,18.7
2023-10-01,18.6
2023-10-02,23.6
2023-10-03,19.4
2023-10-04,18.2
2023-10-05,29.1
