date,temperature
2023-06-10,18.1
2023-06-11,32.6
2023-06-12,16.0
2023-06-13,31.0
2023-06-14,15.5
2023-06-15,14.6
2023-06-16,19.3
2023-06-17,36.5
2023-06-18,15.0
2023-06-19,14.4
2023-06-20,12.8
2023-06-21,23.1
2023-06-22,18.5
2023-06-23,15.8
2023-06-24,17.8
2023-06-25,35.8
2023-06-26,31.7
2023-06-27,19.2
2023-06-28,28.8
2023-06-29,16.7
2023-06-30,15.4
2023-07-01,24.7
2023-07-02,38.5
2023-07-03,32.4
2023-07-04,24.1
2023-07-05,38.1
2023-07-06,13.3
2023-07-07,32.0
2023-07-08,30.8
2023-07-09,37.8
2023-07-10,18.6
2023-07-11,31.0
2023-07-12,11.6
2023-07-13,13.9
2023-07-14,31.0
2023-07-15,29.5
2023-07-16,37.0
2023-07-17,18.2
2023-07-18,22.0
2023-07-19,32.6
2023-07-20,15.6
2023-07-21,26.2
2023-07-22,10.3
2023-07-23,20.5
2023-07-24,27.3
2023-07-25,18.8
2023-07-26,10.9
2023-07-27,17.0
2023-07-28,16.7
2023-07-29,35.7
2023-07-30,31.0
2023-07-31,12.4
2023-08-01,20.8
2023-08-02,34.7
2023-08-03,17.3
2023-08-04,32.3
2023-08-05,19.9
2023-08-06,38.2
2023-08-07,15.6
2023-08-08,39.2
2023-08-09,27.3
2023-08-10,31.2
2023-08-11,38.2
2023-08-12,11.3
2023-08-13,24.7
2023-08-14,20.1
2023-08-15,28.2
2023-08-16,37.0
2023-08-17,24.1
2023-08-18,18.1
2023-08-19,11.6
2023-08-20,23.1
2023-08-21,36.3
2023-08-22,11.5
2023-08-23,15.9
2023-08-24,13.3
2023-08-25,14.6
2023-08-26,22.8
2023-08-27,10.3
2023-08-28,17.0
2023-08-29,15.3
2023-08-30,16.6
2023-08-31,39.0
2023-09-01,30.0
2023-09-02,36.6
2023-09-03,14.3
2023-09-04,20.3
2023-09-05,11.2
2023-09-06,25.9
2023-09-07,23.5
2023-09-08,12.9
2023-09-09,35.2
2023-09-10,29.3
2023-09-11,21.0
2023-09-12,24.3
2023-09-13,23.5
2023-09-14,36.9
2023-09-15,32.6
2023-09-16,19.8
2023-09-17,39.1
2023-09-18,35.2
2023-09-19,10.9
2023-09-20,33.2
2023-09-21,37.4
2023-09-22,27.7
2023-09-23,11.4
2023-09-24,25.0
2023-09-25,33.5
2023-09-26,38.0
2023-09-27,38.9
2023-09-28,36.0
2023-09-29,39.9
2023-09-30,29.9
2023-10-01,36.5
2023-10-02,26.8
2023-10-03,22.7
2023-10-04,29.4
2023-10-05,21.5
2023-10-06,34.1
2023-10-07,20.0
2023-10-08,29.6
2023-10-09,25.3
2023-10-10,32.0
2023-10-11,28.5
2023-10-12,21.4
2023-10-13,11.3
2023-10-14,24.5
2023-10-15,12.1
2023-10-16,31.7
2023-10-17,29.0
2023-10-18,25.8
2023-10-19,31.3
2023-10-20,36.2
2023-10-21,26.8
2023-10-22,22.0
2023-10-23,22.0
2023-10-24,25.0
2023-10-25,21.4
2023-10-26,10.2
2023-10-27,32.9
2023-10-28,33.4
2023-10-29,39.0
2023-10-30,27.8
2023-10-31,22.8
2023-11-01,13.2
2023-11-02,10.0
2023-11-03,33.1
2023-11-04,14.1
2023-11-05,16.5
2023-11-06,24.3
2023-11-07,25.2
2023-11-08,38.5
2023-11-09,29.5
2023-11-10,27.8
2023-11-11,28.5
2023-11-12,25.7
2023-11-13,37.1
2023-11-14,17.8
2023-11-15,34.3
2023-11-16,36.3
2023-11-17,32.6
2023-11-18,33.8
2023-11-19,24.1
2023-11-20,19.1
2023-11-21,39.8
2023-11-22,36.4
2023-11-23,28.9
2023-11-24,35.7
2023-11-25,13.3
2023-11-26,32.7
2023-11-27,34.3
2023-11-28,35.0
2023-11-29,30.2
2023-11-30,34.9
2023-12-01,21.4
2023-12-02,35.0
2023-12-03,25.2
2023-12-04,39.9
2023-12-05,37.4
2023-12-06,24.4
2023-12-07,10.4
2023-12-08,29.5
2023-12-09,29.4
2023-12-10,25.5
2023-12-11,33.5
2023-12-12,39.0
2023-12-13,22.1
2023-12-14,17.3
2023-12-15,23.0
2023-12-16,31.2
2023-12-17,34.8
2023-12-18,17.7
2023-12-19,28.1
2023-12-20,12.0
2023-12-21,18.9
2023-12-22,18.6
2023-12-23,30.4
2023-12-24,25.1
2023-12-25,36.0
2023-12-26,31.7
2023-12-27,26.5
2023-12-28,10.2
2023-12-29,36.6
2023-12-30,35.6
2023-12-31,32.6
2024-01-01,22.1
2024-01-02,33.0
2024-01-03,26.8
2024-01-04,25.3
2024-01-05,19.8
2024-01-06,27.6
2024-01-07,34.2
2024-01-08,21.8
2024-01-09,32.2
2024-01-10,39.6
2024-01-11,18.3
2024-01-12,12.4
2024-01-13,32.5
2024-01-14,20.7
2024-01-15,38.7
2024-01-16,19.6
2024-01-17,19.9
2024-01-18,25.7
2024-01-19,18.8
2024-01-20,32.5
2024-01-21,33.3
2024-01-22,34.9
2024-01-23,37.6
2024-01-24,12.7
2024-01-25,35.1
2024-01-26,34.4
2024-01-27,11.0
2024-01-28,16.0
2024-01-29,32.0
2024-01-30,25.6
2024-01-31,14.2
2024-02-01,22.8
2024-02-02,34.8
2024-02-03,20.0
2024-02-04,23.9
2024-02-05,22.1
2024-02-06,11.1
2024-02-07,38.5
2024-02-08,16.9
2024-02-09,36.2
2024-02-10,21.8
2024-02-11,22.5
2024-02-12,32.5
2024-02-13,13.9
2024-02-14,37.6
2024-02-15,20.4
2024-02-16,37.5
2024-02-17,20.1
2024-02-18,37.7
2024-02-19,24.4
2024-02-20,10.3
2024-02-21,17.1
2024-02-22,13.9
2024-02-23,32.7
2024-02-24,35.0
2024-02-25,34.6
2024-02-26,31.9
2024-02-27,30.4
2024-02-28,39.1
2024-02-29,15.7
2024-03-01,26.3
2024-03-02,20.7
2024-03-03,18.1
2024-03-04,13.0
2024-03-05,27.1
2024-03-06,23.4
2024-03-07,37.0
2024-03-08,13.8
2024-03-09,34.0
2024-03-10,31.6
2024-03-11,39.3
2024-03-12,23.3
2024-03-13,16.8
2024-03-14,11.0
2024-03-15,14.6
2024-03-16,26.5
2024-03-17,25.6
2024-03-18,24.3
2024-03-19,22.5
2024-03-20,35.3
2024-03-21,24.8
2024-03-22,26.1
2024-03-23,38.9
2024-03-24,31.7
2024-03-25,27.8
2024-03-26,17.8
2024-03-27,28.5
2024-03-28,22.3
2024-03-29,23.2
2024-03-30,35.0
2024-03-31,10.0
2024-04-01,27.9
2024-04-02,36.8
2024-04-03,22.3
2024-04-04,19.9
2024-04-05,25.2
2024-04-06,24.8
2024-04-07,17.1
2024-04-08,14.0
2024-04-09,20.9
2024-04-10,29.7
2024-04-11,33.1
2024-04-12,36.2
2024-04-13,31.5
2024-04-14,27.8
2024-04-15,11.6
2024-04-16,10.7
2024-04-17,21.0
2024-04-18,21.5
2024-04-19,15.9
2024-04-20,36.6
2024-04-21,26.2
2024-04-22,36.0
2024-04-23,16.5
2024-04-24,21.9
2024-04-25,11.8
2024-04-26,24.0
2024-04-27,12.8
2024-04-28,38.3
2024-04-29,13.4
2024-04-30,25.0
2024-05-01,10.7
2024-05-02,14.5
2024-05-03,21.6
2024-05-04,38.0
2024-05-05,33.1
2024-05-06,13.7
2024-05-07,15.1
2024-05-08,12.2
2024-05-09,15.9
2024-05-10,21.4
2024-05-11,39.7
2024-05-12,31.0
2024-05-13,37.1
2024-05-14,19.0
2024-05-15,10.7
2024-05-16,37.8
2024-05-17,37.7
2024-05-18,36.7
2024-05-19,28.0
2024-05-20,37.6
2024-05-21,19.8
2024-05-22,31.3
2024-05-23,29.6
2024-05-24,16.2
2024-05-25,33.8
2024-05-26,32.5
2024-05-27,35.5
2024-05-28,37.0
2024-05-29,20.4
2024-05-30,15.1
2024-05-31,24.1
2024-06-01,14.2
2024-06-02,23.9
2024-06-03,16.2
2024-06-04,22.9
2024-06-05,31.3
2024-06-06,25.1
2024-06-07,23.0
2024-06-08,38.9
2024-06-09,10.2
2024-06-10,24.4
2024-06-11,17.0
2024-06-12,35.7
2024-06-13,14.8
2024-06-14,31.9
2024-06-15,32.6
2024-06-16,24.2
2024-06-17,32.4
2024-06-18,16.8
2024-06-19,29.1
2024-06-20,29.9
2024-06-21,11.9
2024-06-22,38.6
2024-06-23,27.4
2024-06-24,24.1
2024-06-25,16.1
2024-06-26,31.2
2024-06-27,15.3
2024-06-28,13.4
2024-06-29,30.7
2024-06-30,23.6
2024-07-01,35.8
2024-07-02,32.7
2024-07-03,20.9
2024-07-04,20.3
2024-07-05,14.0
2024-07-06,24.1
2024-07-07,24.5
2024-07-08,37.7
2024-07-09,15.1
2024-07-10,30.8
2024-07-11,14.8
2024-07-12,37.4
2024-07-13,10.1
2024-07-14,33.2
2024-07-15,30.8
2024-07-16,20.5
2024-07-17,21.6
2024-07-18,25.2
2024-07-19,11.4
2024-07-20,21.4
2024-07-21,28.5
2024-07-22,29.1
2024-07-23,23.0
2024-07-24,39.8
2024-07-25,38.6
2024-07-26,39.3
2024-07-27,35.0
2024-07-28,16.6
2024-07-29,28.7
2024-07-30,24.1
2024-07-31,38.0
2024-08-01,15.4
2024-08-02,25.2
2024-08-03,33.2
2024-08-04,14.8
2024-08-05,34.6
2024-08-06,17.2
2024-08-07,14.7
2024-08-08,35.4
2024-08-09,36.2
2024-08-10,30.2
2024-08-11,12.4
2024-08-12,34.3
2024-08-13,29.0
2024-08-14,28.6
2024-08-15,17.9
2024-08-16,39.3
2024-08-17,26.5
2024-08-18,14.2
2024-08-19,22.7
2024-08-20,38.9
2024-08-21,24.5
2024-08-22,28.9
2024-08-23,14.9
2024-08-24,26.3
2024-08-25,26.7
2024-08-26,36.3
2024-08-27,13.6
2024-08-28,39.8
2024-08-29,13.0
2024-08-30,33.9
2024-08-31,34.9
2024-09-01,36.1
2024-09-02,24.2
2024-09-03,24.5
2024-09-04,12.2
2024-09-05,13.3
2024-09-06,17.0
2024-09-07,14.4
2024-09-08,15.1
2024-09-09,35.3
2024-09-10,29.1
2024-09-11,36.1
2024-09-12,30.7
2024-09-13,18.5
2024-09-14,39.8
2024-09-15,18.7
2024-09-16,17.3
2024-09-17,28.4
2024-09-18,22.8
2024-09-19,17.9
2024-09-20,38.4
2024-09-21,34.6
2024-09-22,24.4
2024-09-23,30.4
2024-09-24,27.8
2024-09-25,18.3
2024-09-26,39.9
2024-09-27,13.6
2024-09-28,14.0
2024-09-29,24.5
2024-09-30,11.4
2024-10-01,26.2
2024-10-02,14.2
2024-10-03,23.6
2024-10-04,14.4
2024-10-05,30.7
2024-10-06,28.9
2024-10-07,22.9
2024-10-08,12.7
2024-10-09,37.5
2024-10-10,14.2
2024-10-11,31.3
2024-10-12,30.2
2024-10-13,28.9
2024-10-14,27.8
2024-10-15,33.0
2024-10-16,12.1
2024-10-17,11.7
2024-10-18,17.3
2024-10-19,18.8
2024-10-20,10.5
2024-10-21,14.4
2024-10-22,10.5
2024-10-23,32.3
2024-10-24,12.3
2024-10-25,37.9
2024-10-26,37.3
2024-10-27,25.1
2024-10-28,22.8
2024-10-29,26.8
2024-10-30,24.9
2024-10-31,38.3
2024-11-01,12.7
2024-11-02,12.8
2024-11-03,24.6
2024-11-04,24.4
2024-11-05,38.8
2024-11-06,29.8
2024-11-07,32.6
2024-11-08,35.1
2024-11-09,15.0
2024-11-10,39.5
2024-11-11,22.3
2024-11-12,13.4
2024-11-13,35.2
2024-11-14,19.1
2024-11-15,16.5
2024-11-16,27.0
2024-11-17,37.1
2024-11-18,36.6
2024-11-19,20.7
2024-11-20,38.1
2024-11-21,34.1
2024-11-22,33.1
2024-11-23,31.3
2024-11-24,24.5
2024-11-25,19.9
2024-11-26,23.6
2024-11-27,28.5
2024-11-28,31.2
2024-11-29,10.7
2024-11-30,28.5
2024-12-01,28.1
2024-12-02,18.5
2024-12-03,36.3
2024-12-04,40.0
2024-12-05,36.1
2024-12-06,30.1
2024-12-07,24.6
2024-12-08,21.9
2024-12-09,21.9
2024-12-10,38.3
2024-12-11,11.8
2024-12-12,34.8
2024-12-13,28.7
2024-12-14,13.8
2024-12-15,19.5
2024-12-16,29.2
2024-12-17,30.4
2024-12-18,37.9
2024-12-19,11.4
2024-12-20,39.2
2024-12-21,25.0
2024-12-22,30.8
2024-12-23,18.7
2024-12-24,34.7
2024-12-25,10.3
2024-12-26,38.2
2024-12-27,13.7
2024-12-28,36.9
2024-12-29,36.0
2024-12-30,24.7
2024-12-31,37.9
2025-01-01,29.5
2025-01-02,12.5
2025-01-03,28.7
2025-01-04,18.9
2025-01-05,30.8
2025-01-06,33.3
