date,temperature
2023-06-10,31.3
2023-06-11,13.2
2023-06-12,25.2
2023-06-13,27.0
2023-06-14,12.5
2023-06-15,14.8
2023-06-16,10.7
2023-06-17,11.0
2023-06-18,17.3
2023-06-19,19.3
2023-06-20,14.0
2023-06-21,7.7
2023-06-22,9.1
2023-06-23,12.4
2023-06-24,21.8
2023-06-25,30.7
2023-06-26,29.7
2023-06-27,28.4
2023-06-28,12.8
2023-06-29,27.5
2023-06-30,21.0
2023-07-01,22.5
2023-07-02,5.7
2023-07-03,16.6
2023-07-04,15.9
2023-07-05,8.0
2023-07-06,21.3
2023-07-07,7.3
2023-07-08,17.2
2023-07-09,18.7
2023-07-10,22.6
2023-07-11,21.8
2023-07-12,16.9
2023-07-13,29.4
2023-07-14,16.4
2023-07-15,26.3
2023-07-16,22.5
2023-07-17,26.6
2023-07-18,11.6
2023-07-19,31.0
2023-07-20,15.2
2023-07-21,15.6
2023-07-22,32.1
2023-07-23,6.6
2023-07-24,11.3
2023-07-25,13.7
2023-07-26,21.2
2023-07-27,29.6
2023-07-28,16.4
2023-07-29,8.1
2023-07-30,29.3
2023-07-31,34.5
2023-08-01,26.0
2023-08-02,23.1
2023-08-03,9.2
2023-08-04,28.1
2023-08-05,16.6
2023-08-06,18.5
2023-08-07,5.6
2023-08-08,31.5
2023-08-09,20.0
2023-08-10,7.6
2023-08-11,24.8
2023-08-12,28.4
2023-08-13,13.4
2023-08-14,18.7
2023-08-15,14.3
2023-08-16,17.1
2023-08-17,8.8
2023-08-18,26.1
2023-08-19,27.2
2023-08-20,28.4
2023-08-21,23.5
2023-08-22,29.8
2023-08-23,17.1
2023-08-24,15.6
2023-08-25,6.3
2023-08-26,26.6
2023-08-27,27.5
2023-08-28,6.7
2023-08-29,27.0
2023-08-30,30.2
2023-08-31,5.1
2023-09-01,24.8
2023-09-02,34.7
2023-09-03,31.3
2023-09-04,26.2
2023-09-05,33.5
2023-09-06,34.4
2023-09-07,10.7
2023-09-08,33.2
2023-09-09,13.5
2023-09-10,5.8
2023-09-11,24.8
2023-09-12,20.4
2023-09-13,18.9
2023-09-14,18.6
2023-09-15,26.0
2023-09-16,22.5
2023-09-17,33.5
2023-09-18,17.8
2023-09-19,21.8
2023-09-20,9.2
2023-09-21,8.3
2023-09-22,17.3
2023-09-23,8.8
2023-09-24,26.2
2023-09-25,30.9
2023-09-26,5.3
2023-09-27,16.7
2023-09-28,28.7
2023-09-29,21.3
2023-09-30,11.6
2023-10-01,22.6
2023-10-02,16.9
2023-10-03,13.6
2023-10-04,20.3
