date,temperature
2023-06-10,6.2
2023-06-11,19.1
2023-06-12,20.0
2023-06-13,15.8
2023-06-14,31.3
2023-06-15,17.3
2023-06-16,28.5
2023-06-17,31.9
2023-06-18,17.2
2023-06-19,17.3
2023-06-20,17.8
2023-06-21,16.7
2023-06-22,14.9
2023-06-23,18.1
2023-06-24,7.2
2023-06-25,19.0
2023-06-26,19.5
2023-06-27,20.9
2023-06-28,17.1
2023-06-29,15.7
2023-06-30,33.7
2023-07-01,16.8
2023-07-02,31.0
2023-07-03,34.5
2023-07-04,34.7
2023-07-05,20.8
2023-07-06,13.4
2023-07-07,7.3
2023-07-08,11.8
2023-07-09,26.7
2023-07-10,27.2
2023-07-11,29.4
2023-07-12,26.6
2023-07-13,8.0
2023-07-14,33.5
2023-07-15,20.1
2023-07-16,17.5
2023-07-17,10.4
2023-07-18,21.4
2023-07-19,13.9
2023-07-20,34.0
2023-07-21,16.9
2023-07-22,8.4
2023-07-23,15.7
2023-07-24,25.9
2023-07-25,7.8
2023-07-26,5.3
2023-07-27,19.4
2023-07-28,26.2
2023-07-29,10.3
2023-07-30,21.6
2023-07-31,31.5
2023-08-01,28.2
2023-08-02,9.8
2023-08-03,9.7
2023-08-04,11.2
2023-08-05,30.0
2023-08-06,9.5
2023-08-07,8.8
2023-08-08,5.5
2023-08-09,25.0
2023-08-10,28.7
2023-08-11,34.9
2023-08-12,14.4
2023-08-13,20.9
2023-08-14,26.8
2023-08-15,17.6
2023-08-16,28.6
2023-08-17,7.1
2023-08-18,30.6
2023-08-19,19.5
2023-08-20,13.3
2023-08-21,33.4
2023-08-22,17.7
2023-08-23,12.1
2023-08-24,33.2
2023-08-25,27.2
2023-08-26,34.3
2023-08-27,29.7
2023-08-28,19.1
2023-08-29,14.9
2023-08-30,18.7
2023-08-31,12.8
2023-09-01,21.5
2023-09-02,34.7
2023-09-03,29.0
2023-09-04,17.8
2023-09-05,12.0
2023-09-06,19.3
2023-09-07,7.3
2023-09-08,27.9
2023-09-09,23.2
2023-09-10,15.6
2023-09-11,7.1
2023-09-12,14.5
2023-09-13,13.7
2023-09-14,12.9
2023-09-15,26.4
2023-09-16,33.0
2023-09-17,13.0
2023-09-18,31.2
2023-09-19,11.3
2023-09-20,21.9
2023-09-21,19.7
2023-09-22,22.3
2023-09-23,30.8
2023-09-24,17.0
2023-09-25,30.7
2023-09-26,31.2
2023-09-27,26.6
2023-09-28,16.1
2023-09-29,30.9
2023-09-30,30.7
2023-10-01,15.2
2023-10-02,21.0
2023-10-03,17.7
2023-10-04,11.7
2023-10-05,19.1
2023-10-06,28.4
2023-10-07,31.7
2023-10-08,21.8
2023-10-09,30.9
2023-10-10,21.6
2023-10-11,8.5
2023-10-12,9.6
2023-10-13,8.9
2023-10-14,29.4
2023-10-15,22.5
2023-10-16,33.4
2023-10-17,28.1
2023-10-18,5.1
2023-10-19,14.0
2023-10-20,6.4
2023-10-21,28.1
2023-10-22,13.9
2023-10-23,15.6
2023-10-24,35.0
2023-10-25,14.9
2023-10-26,16.8
2023-10-27,22.6
2023-10-28,19.9
2023-10-29,21.4
2023-10-30,22.6
2023-10-31,17.8
2023-11-01,26.9
2023-11-02,24.5
2023-11-03,29.6
2023-11-04,6.6
