date,temperature
2023-06-10,5.8
2023-06-11,24.8
2023-06-12,24.0
2023-06-13,8.7
2023-06-14,2.1
2023-06-15,23.3
2023-06-16,10.2
2023-06-17,-2.3
2023-06-18,21.0
2023-06-19,18.3
2023-06-20,7.1
2023-06-21,20.3
2023-06-22,23.9
2023-06-23,11.9
2023-06-24,-3.3
2023-06-25,25.8
2023-06-26,2.0
2023-06-27,-2.0
2023-06-28,8.0
2023-06-29,2.7
2023-06-30,25.8
2023-07-01,18.5
2023-07-02,24.4
2023-07-03,23.6
2023-07-04,1.6
2023-07-05,24.5
2023-07-06,15.1
2023-07-07,1.2
2023-07-08,-1.3
2023-07-09,6.9
2023-07-10,2.2
2023-07-11,23.7
2023-07-12,22.3
2023-07-13,0.9
2023-07-14,29.8
2023-07-15,24.3
2023-07-16,4.2
2023-07-17,3.3
2023-07-18,5.4
2023-07-19,18.5
2023-07-20,11.5
2023-07-21,2.8
2023-07-22,21.9
2023-07-23,-2.1
2023-07-24,2.9
2023-07-25,17.1
2023-07-26,22.3
2023-07-27,0.1
2023-07-28,20.9
2023-07-29,-2.7
2023-07-30,12.7
2023-07-31,2.5
2023-08-01,13.4
2023-08-02,25.3
2023-08-03,10.8
2023-08-04,5.7
2023-08-05,5.8
2023-08-06,7.9
2023-08-07,11.2
2023-08-08,27.4
2023-08-09,8.9
2023-08-10,20.0
2023-08-11,22.8
2023-08-12,-4.3
2023-08-13,2.6
2023-08-14,23.2
2023-08-15,24.9
2023-08-16,3.3
2023-08-17,19.7
2023-08-18,27.5
2023-08-19,9.7
2023-08-20,21.4
2023-08-21,24.2
2023-08-22,25.9
2023-08-23,12.0
2023-08-24,4.6
2023-08-25,14.4
2023-08-26,0.4
2023-08-27,-3.9
2023-08-28,24.1
2023-08-29,16.3
2023-08-30,0.2
2023-08-31,18.4
2023-09-01,15.3
2023-09-02,20.1
2023-09-03,3.8
2023-09-04,14.7
2023-09-05,5.4
2023-09-06,28.8
2023-09-07,-3.5
2023-09-08,6.5
2023-09-09,-0.7
2023-09-10,5.9
2023-09-11,9.4
2023-09-12,16.5
2023-09-13,4.8
2023-09-14,14.3
2023-09-15,16.9
2023-09-16,13.9
2023-09-17,7.1
2023-09-18,-1.4
2023-09-19,19.0
2023-09-20,21.9
2023-09-21,20.9
2023-09-22,19.0
2023-09-23,11.8
2023-09-24,-0.4
2023-09-25,11.8
2023-09-26,17.2
2023-09-27,29.3
2023-09-28,25.7
2023-09-29,18.1
2023-09-30,22.7
2023-10-01,7.0
2023-10-02,24.6
2023-10-03,16.6
2023-10-04,0.7
2023-10-05,11.1
2023-10-06,16.9
2023-10-07,1.6
2023-10-08,29.9
2023-10-09,3.0
2023-10-10,12.5
2023-10-11,29.5
2023-10-12,9.5
2023-10-13,8.8
2023-10-14,26.6
2023-10-15,18.5
2023-10-16,29.6
2023-10-17,10.1
2023-10-18,22.8
2023-10-19,8.8
2023-10-20,28.6
2023-10-21,25.1
2023-10-22,-2.7
2023-10-23,2.4
2023-10-24,-4.7
2023-10-25,3.9
2023-10-26,19.2
2023-10-27,-3.2
2023-10-28,18.1
2023-10-29,11.5
2023-10-30,22.8
2023-10-31,27.3
2023-11-01,25.9
2023-11-02,-1.0
2023-11-03,28.3
2023-11-04,26.6
2023-11-05,29.8
2023-11-06,14.0
2023-11-07,5.6
2023-11-08,-1.9
2023-11-09,23.6
2023-11-10,7.5
2023-11-11,13.2
2023-11-12,27.8
2023-11-13,17.6
2023-11-14,27.2
2023-11-15,15.1
2023-11-16,-2.8
2023-11-17,-3.4
2023-11-18,26.1
2023-11-19,27.4
2023-11-20,12.2
2023-11-21,21.0
2023-11-22,28.6
2023-11-23,-1.7
2023-11-24,15.2
2023-11-25,23.5
2023-11-26,7.3
2023-11-27,7.4
2023-11-28,-3.9
2023-11-29,9.4
2023-11-30,4.2
2023-12-01,29.8
2023-12-02,18.9
2023-12-03,20.6
2023-12-04,8.7
2023-12-05,6.9
2023-12-06,27.6
2023-12-07,25.5
2023-12-08,27.8
2023-12-09,4.8
2023-12-10,4.6
2023-12-11,28.2
2023-12-12,25.3
2023-12-13,5.8
2023-12-14,25.4
2023-12-15,9.4
2023-12-16,28.0
2023-12-17,-4.8
2023-12-18,21.8
2023-12-19,10.8
2023-12-20,10.7
2023-12-21,2.5
2023-12-22,5.4
2023-12-23,13.0
2023-12-24,23.7
2023-12-25,3.8
2023-12-26,5.9
2023-12-27,-4.9
2023-12-28,3.7
2023-12-29,20.0
2023-12-30,13.6
2023-12-31,1.9
2024-01-01,7.9
2024-01-02,-3.2
2024-01-03,-1.1
2024-01-04,23.0
2024-01-05,14.8
2024-01-06,-2.2
2024-01-07,15.2
2024-01-08,-0.4
2024-01-09,20.7
2024-01-10,4.5
2024-01-11,1.3
2024-01-12,9.1
2024-01-13,4.7
2024-01-14,1.8
2024-01-15,17.8
2024-01-16,9.1
2024-01-17,-3.6
2024-01-18,15.8
2024-01-19,18.5
2024-01-20,-0.9
2024-01-21,12.4
2024-01-22,24.1
2024-01-23,-4.7
2024-01-24,10.4
2024-01-25,3.4
2024-01-26,21.3
2024-01-27,-0.1
2024-01-28,14.7
2024-01-29,11.1
2024-01-30,18.8
2024-01-31,2.1
2024-02-01,18.6
2024-02-02,-3.2
2024-02-03,10.4
2024-02-04,5.0
2024-02-05,13.3
2024-02-06,26.5
2024-02-07,-4.7
2024-02-08,13.4
2024-02-09,18.2
2024-02-10,22.4
2024-02-11,1.8
2024-02-12,-4.7
