date,temperature
2023-06-10,22.0
2023-06-11,17.4
2023-06-12,4.8
2023-06-13,20.0
2023-06-14,16.7
2023-06-15,2.7
2023-06-16,19.8
2023-06-17,20.7
2023-06-18,10.7
2023-06-19,16.5
2023-06-20,21.7
2023-06-21,11.1
2023-06-22,16.9
2023-06-23,18.7
2023-06-24,6.1
2023-06-25,13.3
2023-06-26,2.2
2023-06-27,23.2
2023-06-28,16.5
2023-06-29,3.7
2023-06-30,8.8
2023-07-01,0.9
2023-07-02,16.6
2023-07-03,5.4
2023-07-04,18.0
2023-07-05,3.3
2023-07-06,22.4
2023-07-07,12.1
2023-07-08,21.1
2023-07-09,24.1
2023-07-10,4.0
2023-07-11,20.3
2023-07-12,1.0
2023-07-13,21.0
2023-07-14,3.0
2023-07-15,22.6
2023-07-16,24.7
2023-07-17,9.3
2023-07-18,9.4
2023-07-19,18.4
2023-07-20,1.8
2023-07-21,12.4
2023-07-22,2.8
2023-07-23,8.7
2023-07-24,17.9
2023-07-25,18.9
2023-07-26,8.9
2023-07-27,14.1
2023-07-28,2.6
2023-07-29,11.2
2023-07-30,21.3
2023-07-31,6.8
2023-08-01,3.4
2023-08-02,0.3
2023-08-03,14.1
2023-08-04,4.7
2023-08-05,8.5
2023-08-06,2.8
2023-08-07,11.6
2023-08-08,21.0
2023-08-09,10.2
2023-08-10,17.3
2023-08-11,15.8
2023-08-12,12.7
2023-08-13,19.3
2023-08-14,4.6
2023-08-15,20.4
2023-08-16,23.6
2023-08-17,24.1
2023-08-18,14.7
2023-08-19,11.8
2023-08-20,8.5
2023-08-21,6.0
2023-08-22,15.3
2023-08-23,4.7
2023-08-24,20.8
2023-08-25,17.2
2023-08-26,9.2
2023-08-27,3.1
2023-08-28,23.1
2023-08-29,1.6
2023-08-30,3.4
2023-08-31,0.6
2023-09-01,4.4
2023-09-02,19.2
2023-09-03,20.6
2023-09-04,13.0
2023-09-05,12.9
2023-09-06,18.2
2023-09-07,18.2
2023-09-08,21.8
2023-09-09,3.5
2023-09-10,12.3
2023-09-11,12.0
2023-09-12,14.7
2023-09-13,6.4
2023-09-14,24.3
2023-09-15,20.3
2023-09-16,7.0
2023-09-17,15.8
2023-09-18,3.7
2023-09-19,20.9
2023-09-20,16.3
2023-09-21,17.6
2023-09-22,21.3
2023-09-23,16.1
2023-09-24,2.7
2023-09-25,15.6
2023-09-26,11.0
2023-09-27,21.5
2023-09-28,19.6
2023-09-29,20.7
2023-09-30,0.5
2023-10-01,24.6
2023-10-02,19.6
2023-10-03,11.6
2023-10-04,5.7
2023-10-05,21.2
2023-10-06,8.1
2023-10-07,5.3
2023-10-08,15.9
2023-10-09,19.1
2023-10-10,14.1
2023-10-11,17.0
2023-10-12,11.6
2023-10-13,0.8
2023-10-14,4.6
2023-10-15,21.6
2023-10-16,16.0
2023-10-17,22.4
2023-10-18,14.3
2023-10-19,5.9
2023-10-20,23.2
2023-10-21,2.6
2023-10-22,16.1
2023-10-23,13.1
2023-10-24,2.7
2023-10-25,7.3
2023-10-26,18.3
2023-10-27,23.6
2023-10-28,9.6
2023-10-29,12.8
2023-10-30,20.6
2023-10-31,11.9
2023-11-01,3.3
2023-11-02,16.7
2023-11-03,3.7
2023-11-04,21.6
2023-11-05,4.8
2023-11-06,17.8
2023-11-07,10.5
2023-11-08,15.6
2023-11-09,9.7
2023-11-10,9.7
2023-11-11,20.5
2023-11-12,8.9
2023-11-13,3.8
2023-11-14,22.6
2023-11-15,20.4
2023-11-16,21.7
2023-11-17,5.6
2023-11-18,21.5
2023-11-19,17.1
2023-11-20,15.8
2023-11-21,3.9
2023-11-22,17.2
2023-11-23,8.5
2023-11-24,1.9
2023-11-25,1.9
2023-11-26,5.8
2023-11-27,24.6
2023-11-28,5.9
2023-11-29,14.6
2023-11-30,15.3
2023-12-01,15.6
2023-12-02,7.5
2023-12-03,24.9
2023-12-04,0.4
2023-12-05,15.9
2023-12-06,16.4
2023-12-07,25.0
2023-12-08,2.4
2023-12-09,1.3
2023-12-10,18.7
2023-12-11,17.1
2023-12-12,15.3
2023-12-13,22.7
2023-12-14,3.6
2023-12-15,18.1
2023-12-16,4.4
2023-12-17,17.2
2023-12-18,17.6
2023-12-19,1.8
2023-12-20,14.0
2023-12-21,10.2
2023-12-22,20.2
2023-12-23,24.9
2023-12-24,14.2
2023-12-25,4.2
2023-12-26,1.9
2023-12-27,18.3
2023-12-28,14.1
2023-12-29,20.4
2023-12-30,19.6
2023-12-31,7.3
2024-01-01,11.7
2024-01-02,21.0
2024-01-03,0.3
2024-01-04,23.0
2024-01-05,3.6
2024-01-06,2.2
2024-01-07,18.8
2024-01-08,16.4
2024-01-09,6.0
2024-01-10,8.7
2024-01-11,8.9
2024-01-12,14.7
2024-01-13,16.3
2024-01-14,23.4
2024-01-15,15.0
2024-01-16,18.9
2024-01-17,13.6
2024-01-18,11.9
2024-01-19,10.2
2024-01-20,1.7
2024-01-21,17.1
2024-01-22,1.3
2024-01-23,1.3
2024-01-24,8.5
2024-01-25,3.5
2024-01-26,18.9
2024-01-27,9.4
2024-01-28,6.3
2024-01-29,15.1
2024-01-30,16.5
2024-01-31,1.7
2024-02-01,19.9
2024-02-02,24.6
2024-02-03,23.0
2024-02-04,23.7
2024-02-05,20.1
2024-02-06,4.0
2024-02-07,0.1
2024-02-08,2.6
2024-02-09,20.5
2024-02-10,6.5
2024-02-11,8.7
2024-02-12,8.5
2024-02-13,24.9
2024-02-14,20.2
2024-02-15,9.2
2024-02-16,3.9
2024-02-17,12.0
2024-02-18,22.0
2024-02-19,4.5
2024-02-20,12.7
2024-02-21,2.0
2024-02-22,11.0
2024-02-23,23.1
2024-02-24,7.5
2024-02-25,12.5
2024-02-26,3.7
2024-02-27,12.4
2024-02-28,20.8
2024-02-29,12.9
2024-03-01,14.4
2024-03-02,2.2
2024-03-03,3.1
2024-03-04,15.4
2024-03-05,12.9
2024-03-06,8.6
2024-03-07,7.0
2024-03-08,3.2
2024-03-09,18.5
2024-03-10,22.5
2024-03-11,18.4
2024-03-12,18.3
2024-03-13,17.3
2024-03-14,16.5
2024-03-15,11.9
2024-03-16,16.5
2024-03-17,17.6
2024-03-18,9.4
2024-03-19,3.0
2024-03-20,3.6
2024-03-21,7.4
2024-03-22,17.8
2024-03-23,17.0
2024-03-24,8.6
2024-03-25,12.7
2024-03-26,17.8
2024-03-27,11.5
2024-03-28,8.7
2024-03-29,2.0
2024-03-30,22.8
2024-03-31,14.3
2024-04-01,2.3
2024-04-02,20.6
2024-04-03,17.2
2024-04-04,16.4
2024-04-05,1.2
2024-04-06,10.9
2024-04-07,12.4
2024-04-08,5.6
2024-04-09,2.3
2024-04-10,5.6
2024-04-11,21.6
2024-04-12,2.2
2024-04-13,8.6
2024-04-14,22.3
2024-04-15,4.2
2024-04-16,10.0
2024-04-17,5.2
2024-04-18,21.7
2024-04-19,20.6
2024-04-20,23.1
2024-04-21,4.5
2024-04-22,8.2
2024-04-23,1.7
2024-04-24,8.9
2024-04-25,19.7
2024-04-26,21.6
2024-04-27,0.1
2024-04-28,13.1
2024-04-29,12.6
2024-04-30,23.0
2024-05-01,19.3
2024-05-02,24.6
2024-05-03,3.2
2024-05-04,6.0
2024-05-05,11.6
2024-05-06,19.3
2024-05-07,0.9
2024-05-08,8.6
2024-05-09,21.6
2024-05-10,13.7
2024-05-11,3.5
2024-05-12,3.2
2024-05-13,10.4
2024-05-14,5.2
2024-05-15,16.9
2024-05-16,16.6
2024-05-17,2.9
2024-05-18,16.3
2024-05-19,4.3
2024-05-20,24.2
2024-05-21,4.3
2024-05-22,13.1
2024-05-23,3.0
2024-05-24,7.8
2024-05-25,5.2
2024-05-26,12.3
2024-05-27,7.6
2024-05-28,2.8
2024-05-29,19.9
2024-05-30,20.2
2024-05-31,6.4
2024-06-01,18.5
2024-06-02,23.5
2024-06-03,19.9
2024-06-04,10.7
2024-06-05,17.5
2024-06-06,23.0
2024-06-07,10.5
2024-06-08,12.2
2024-06-09,24.5
2024-06-10,22.8
2024-06-11,0.7
2024-06-12,8.6
2024-06-13,18.8
2024-06-14,2.4
2024-06-15,9.2
2024-06-16,14.1
2024-06-17,10.5
2024-06-18,17.8
2024-06-19,17.7
2024-06-20,0.0
2024-06-21,10.0
2024-06-22,10.4
2024-06-23,6.2
2024-06-24,9.8
2024-06-25,4.2
2024-06-26,9.0
2024-06-27,14.2
2024-06-28,8.9
