date,temperature
2023-06-10,31.9
2023-06-11,24.7
2023-06-12,18.5
2023-06-13,16.9
2023-06-14,10.3
2023-06-15,32.9
2023-06-16,13.7
2023-06-17,16.5
2023-06-18,21.7
2023-06-19,11.5
2023-06-20,12.6
2023-06-21,11.4
2023-06-22,19.3
2023-06-23,24.0
2023-06-24,7.7
2023-06-25,19.1
2023-06-26,15.9
2023-06-27,19.3
2023-06-28,9.5
2023-06-29,24.2
2023-06-30,19.6
2023-07-01,9.4
2023-07-02,29.9
2023-07-03,21.5
2023-07-04,24.5
2023-07-05,20.9
2023-07-06,27.7
2023-07-07,26.0
2023-07-08,31.3
2023-07-09,10.3
2023-07-10,14.3
2023-07-11,14.5
2023-07-12,17.9
2023-07-13,31.4
2023-07-14,19.6
2023-07-15,17.0
2023-07-16,9.4
2023-07-17,25.3
2023-07-18,22.0
2023-07-19,11.8
2023-07-20,26.8
2023-07-21,13.4
2023-07-22,6.0
2023-07-23,30.4
2023-07-24,18.8
2023-07-25,13.8
2023-07-26,33.0
2023-07-27,21.2
2023-07-28,10.8
2023-07-29,7.6
2023-07-30,12.2
2023-07-31,33.8
2023-08-01,26.4
2023-08-02,29.0
2023-08-03,8.3
2023-08-04,5.3
2023-08-05,10.4
2023-08-06,25.6
2023-08-07,23.3
2023-08-08,23.9
2023-08-09,24.4
2023-08-10,6.8
2023-08-11,21.5
2023-08-12,25.4
2023-08-13,25.2
2023-08-14,17.7
2023-08-15,7.9
2023-08-16,25.5
2023-08-17,14.9
2023-08-18,16.3
2023-08-19,33.2
2023-08-20,22.5
2023-08-21,25.0
2023-08-22,11.3
2023-08-23,15.7
2023-08-24,20.9
2023-08-25,28.3
2023-08-26,13.0
2023-08-27,8.3
2023-08-28,6.3
2023-08-29,34.0
2023-08-30,21.8
2023-08-31,21.6
2023-09-01,31.9
2023-09-02,16.6
2023-09-03,14.0
2023-09-04,8.9
2023-09-05,14.3
2023-09-06,8.8
2023-09-07,27.6
2023-09-08,7.9
2023-09-09,31.5
2023-09-10,17.7
2023-09-11,24.9
2023-09-12,14.3
2023-09-13,13.8
2023-09-14,12.5
2023-09-15,19.7
2023-09-16,12.4
2023-09-17,33.4
2023-09-18,16.8
2023-09-19,24.8
2023-09-20,25.8
2023-09-21,21.5
2023-09-22,26.4
2023-09-23,8.7
2023-09-24,17.5
2023-09-25,11.4
2023-09-26,32.3
2023-09-27,32.6
2023-09-28,20.8
2023-09-29,27.6
2023-09-30,5.6
2023-10-01,23.3
2023-10-02,23.0
2023-10-03,6.1
2023-10-04,30.1
2023-10-05,32.6
2023-10-06,10.5
2023-10-07,22.5
2023-10-08,30.8
2023-10-09,14.6
2023-10-10,10.6
2023-10-11,20.4
2023-10-12,34.0
2023-10-13,16.1
2023-10-14,29.4
2023-10-15,5.6
2023-10-16,20.7
2023-10-17,26.6
2023-10-18,8.0
2023-10-19,19.5
2023-10-20,29.8
2023-10-21,22.5
2023-10-22,27.1
2023-10-23,20.2
2023-10-24,14.5
2023-10-25,30.6
2023-10-26,18.1
2023-10-27,13.2
2023-10-28,17.6
2023-10-29,22.5
2023-10-30,26.6
2023-10-31,29.2
2023-11-01,7.9
2023-11-02,20.8
2023-11-03,15.4
2023-11-04,5.5
2023-11-05,33.3
2023-11-06,17.9
2023-11-07,11.8
2023-11-08,9.0
2023-11-09,21.4
