date,temperature
2023-06-10,17.2
2023-06-11,18.4
2023-06-12,6.5
2023-06-13,17.1
2023-06-14,15.9
2023-06-15,11.0
2023-06-16,6.7
2023-06-17,20.6
2023-06-18,9.7
2023-06-19,24.5
2023-06-20,8.0
2023-06-21,11.5
2023-06-22,-1.4
2023-06-23,21.4
2023-06-24,10.2
2023-06-25,21.7
2023-06-26,-7.6
2023-06-27,10.4
2023-06-28,10.3
2023-06-29,-0.8
2023-06-30,19.9
2023-07-01,-1.7
2023-07-02,19.5
2023-07-03,1.6
2023-07-04,17.7
2023-07-05,-0.3
2023-07-06,26.4
2023-07-07,-4.0
2023-07-08,-4.0
2023-07-09,-5.0
2023-07-10,26.9
2023-07-11,-6.1
2023-07-12,-0.8
2023-07-13,7.0
2023-07-14,-5.4
2023-07-15,-0.5
2023-07-16,18.1
2023-07-17,-3.2
2023-07-18,0.6
2023-07-19,15.0
2023-07-20,-0.2
2023-07-21,0.6
2023-07-22,15.3
2023-07-23,3.8
2023-07-24,5.4
2023-07-25,1.2
2023-07-26,25.0
2023-07-27,7.7
2023-07-28,1.5
2023-07-29,-0.6
2023-07-30,1.6
2023-07-31,1.3
2023-08-01,5.7
2023-08-02,14.6
2023-08-03,11.9
2023-08-04,10.7
2023-08-05,25.5
2023-08-06,23.5
2023-08-07,17.3
2023-08-08,2.6
2023-08-09,20.3
2023-08-10,28.6
2023-08-11,26.3
2023-08-12,13.8
2023-08-13,16.9
2023-08-14,-8.8
2023-08-15,-6.6
2023-08-16,13.1
2023-08-17,24.7
2023-08-18,-5.4
2023-08-19,26.1
2023-08-20,20.2
2023-08-21,1.7
2023-08-22,-5.4
2023-08-23,11.7
2023-08-24,22.6
2023-08-25,-1.0
2023-08-26,3.1
2023-08-27,1.2
2023-08-28,0.4
2023-08-29,-1.7
2023-08-30,7.3
2023-08-31,5.8
2023-09-01,8.0
2023-09-02,22.9
2023-09-03,19.0
2023-09-04,-5.6
2023-09-05,6.7
2023-09-06,2.6
2023-09-07,5.3
2023-09-08,14.7
2023-09-09,5.9
2023-09-10,23.2
2023-09-11,7.8
2023-09-12,16.6
2023-09-13,6.0
2023-09-14,27.4
2023-09-15,-0.6
2023-09-16,-2.5
2023-09-17,29.7
2023-09-18,30.0
2023-09-19,29.5
2023-09-20,15.3
2023-09-21,20.9
2023-09-22,24.3
2023-09-23,28.5
2023-09-24,24.2
2023-09-25,7.0
2023-09-26,17.9
2023-09-27,-5.6
2023-09-28,17.9
2023-09-29,-3.8
2023-09-30,20.3
2023-10-01,22.2
2023-10-02,27.8
2023-10-03,2.7
2023-10-04,4.5
2023-10-05,21.0
2023-10-06,5.0
2023-10-07,4.9
2023-10-08,-4.9
2023-10-09,21.2
2023-10-10,2.7
2023-10-11,1.2
2023-10-12,20.0
2023-10-13,30.0
2023-10-14,18.0
2023-10-15,-5.2
2023-10-16,16.9
2023-10-17,14.0
2023-10-18,29.5
2023-10-19,-4.6
2023-10-20,-4.0
2023-10-21,28.7
2023-10-22,-2.4
2023-10-23,-4.4
2023-10-24,3.6
2023-10-25,-6.4
2023-10-26,-3.5
2023-10-27,29.0
2023-10-28,8.2
2023-10-29,-7.2
2023-10-30,18.8
2023-10-31,-2.4
2023-11-01,28.2
2023-11-02,1.2
2023-11-03,17.4
2023-11-04,16.8
2023-11-05,16.7
2023-11-06,25.0
2023-11-07,6.4
2023-11-08,4.8
2023-11-09,20.6
2023-11-10,10.6
2023-11-11,-9.1
2023-11-12,-5.5
2023-11-13,22.7
2023-11-14,28.1
2023-11-15,-1.5
2023-11-16,23.9
2023-11-17,13.6
2023-11-18,17.2
2023-11-19,23.7
2023-11-20,-10.0
2023-11-21,23.6
2023-11-22,23.5
2023-11-23,2.6
2023-11-24,21.6
2023-11-25,6.2
2023-11-26,2.8
2023-11-27,14.3
2023-11-28,-0.0
2023-11-29,1.6
2023-11-30,8.0
2023-12-01,-5.7
2023-12-02,6.6
2023-12-03,20.5
2023-12-04,14.8
2023-12-05,-4.3
2023-12-06,28.6
2023-12-07,-1.7
2023-12-08,7.4
2023-12-09,14.6
2023-12-10,-5.7
2023-12-11,24.2
2023-12-12,-6.6
2023-12-13,-0.1
2023-12-14,26.9
2023-12-15,12.3
2023-12-16,-3.4
2023-12-17,-7.5
2023-12-18,6.3
2023-12-19,16.6
2023-12-20,-8.1
2023-12-21,27.6
2023-12-22,7.0
2023-12-23,26.1
2023-12-24,9.4
2023-12-25,1.2
2023-12-26,-9.4
2023-12-27,-6.9
2023-12-28,18.8
2023-12-29,22.7
2023-12-30,22.7
2023-12-31,-3.9
2024-01-01,-9.2
2024-01-02,9.3
2024-01-03,14.2
2024-01-04,3.0
2024-01-05,19.3
2024-01-06,-9.5
2024-01-07,-6.4
2024-01-08,7.0
2024-01-09,-1.7
2024-01-10,1.3
2024-01-11,23.7
2024-01-12,24.1
2024-01-13,24.0
2024-01-14,7.3
2024-01-15,20.7
2024-01-16,24.9
2024-01-17,10.0
2024-01-18,21.6
2024-01-19,24.9
2024-01-20,27.8
2024-01-21,-8.4
2024-01-22,19.7
2024-01-23,3.3
2024-01-24,-7.8
2024-01-25,13.8
2024-01-26,-1.5
2024-01-27,-8.8
2024-01-28,26.1
2024-01-29,7.5
2024-01-30,12.6
2024-01-31,17.8
2024-02-01,1.8
2024-02-02,28.7
2024-02-03,9.8
2024-02-04,-3.7
2024-02-05,29.4
2024-02-06,1.3
2024-02-07,-4.7
2024-02-08,20.8
2024-02-09,16.2
2024-02-10,-0.9
2024-02-11,0.2
2024-02-12,13.5
2024-02-13,18.0
2024-02-14,-2.0
2024-02-15,-6.8
2024-02-16,-8.6
2024-02-17,-6.7
2024-02-18,13.6
2024-02-19,23.3
2024-02-20,28.5
2024-02-21,22.8
2024-02-22,10.0
2024-02-23,9.3
2024-02-24,17.7
2024-02-25,5.9
2024-02-26,-3.7
2024-02-27,29.2
2024-02-28,-2.3
2024-02-29,-9.6
2024-03-01,23.5
2024-03-02,12.7
2024-03-03,-6.4
2024-03-04,19.1
2024-03-05,26.8
2024-03-06,21.1
2024-03-07,8.4
2024-03-08,25.4
2024-03-09,-5.5
2024-03-10,29.4
2024-03-11,6.9
2024-03-12,5.5
2024-03-13,15.5
2024-03-14,16.4
