date,temperature
2023-06-10,-10.0
2023-06-11,-6.4
2023-06-12,-4.2
2023-06-13,10.3
2023-06-14,-4.2
2023-06-15,22.9
2023-06-16,-3.5
2023-06-17,6.4
2023-06-18,9.1
2023-06-19,-13.1
2023-06-20,20.8
2023-06-21,14.3
2023-06-22,-14.4
2023-06-23,16.1
2023-06-24,1.5
2023-06-25,-12.2
2023-06-26,10.2
2023-06-27,-4.8
2023-06-28,22.2
2023-06-29,-4.3
2023-06-30,14.5
2023-07-01,10.0
2023-07-02,-3.1
2023-07-03,13.8
2023-07-04,-5.3
2023-07-05,2.6
2023-07-06,12.2
2023-07-07,11.4
2023-07-08,-8.4
2023-07-09,24.9
2023-07-10,16.7
2023-07-11,5.6
2023-07-12,-6.1
2023-07-13,18.3
2023-07-14,21.4
2023-07-15,7.2
2023-07-16,6.2
2023-07-17,-12.2
2023-07-18,15.3
2023-07-19,24.8
2023-07-20,24.2
2023-07-21,-7.9
2023-07-22,-3.8
2023-07-23,19.2
2023-07-24,-7.7
2023-07-25,-11.8
2023-07-26,22.3
2023-07-27,14.8
2023-07-28,-3.8
2023-07-29,10.3
2023-07-30,-10.9
2023-07-31,-12.4
2023-08-01,18.6
2023-08-02,-8.9
2023-08-03,24.0
2023-08-04,-9.1
2023-08-05,-13.4
2023-08-06,23.5
2023-08-07,-4.4
2023-08-08,-13.2
2023-08-09,17.3
2023-08-10,-7.6
2023-08-11,-4.5
2023-08-12,-12.3
2023-08-13,18.6
2023-08-14,1.4
2023-08-15,10.4
2023-08-16,3.9
2023-08-17,-11.4
2023-08-18,-8.0
2023-08-19,22.6
2023-08-20,1.9
2023-08-21,4.5
2023-08-22,11.2
2023-08-23,3.6
2023-08-24,10.8
2023-08-25,3.9
2023-08-26,16.0
2023-08-27,-9.9
2023-08-28,12.6
2023-08-29,11.4
2023-08-30,7.8
2023-08-31,-1.4
2023-09-01,-8.8
2023-09-02,23.3
2023-09-03,-7.8
2023-09-04,3.5
2023-09-05,-9.0
2023-09-06,7.9
2023-09-07,1.6
2023-09-08,-13.8
2023-09-09,24.4
2023-09-10,10.5
2023-09-11,3.4
2023-09-12,21.7
2023-09-13,-4.0
2023-09-14,9.6
2023-09-15,10.1
2023-09-16,-11.2
2023-09-17,21.2
2023-09-18,8.2
2023-09-19,24.2
2023-09-20,-12.1
2023-09-21,-0.4
2023-09-22,24.1
2023-09-23,-13.9
2023-09-24,14.8
2023-09-25,3.2
2023-09-26,8.5
2023-09-27,-2.5
2023-09-28,-1.5
2023-09-29,9.8
2023-09-30,-4.0
2023-10-01,-5.3
2023-10-02,6.1
2023-10-03,18.8
2023-10-04,6.4
2023-10-05,18.2
2023-10-06,-10.3
2023-10-07,16.4
2023-10-08,-0.5
2023-10-09,3.1
2023-10-10,21.5
2023-10-11,16.7
2023-10-12,-9.6
2023-10-13,6.3
2023-10-14,20.2
2023-10-15,6.6
2023-10-16,-14.5
2023-10-17,-10.9
2023-10-18,14.7
2023-10-19,20.6
2023-10-20,10.2
2023-10-21,17.6
2023-10-22,6.5
2023-10-23,3.6
2023-10-24,6.0
2023-10-25,-11.1
2023-10-26,-3.1
2023-10-27,15.8
2023-10-28,6.5
2023-10-29,7.6
2023-10-30,14.3
2023-10-31,-14.1
2023-11-01,6.1
2023-11-02,14.2
2023-11-03,20.1
2023-11-04,20.3
2023-11-05,-13.4
2023-11-06,2.2
2023-11-07,13.1
2023-11-08,14.0
2023-11-09,23.4
2023-11-10,15.4
2023-11-11,19.6
2023-11-12,-4.2
2023-11-13,6.2
2023-11-14,3.8
2023-11-15,15.1
2023-11-16,24.3
2023-11-17,-12.1
2023-11-18,-1.7
2023-11-19,-1.5
2023-11-20,18.4
2023-11-21,7.0
2023-11-22,24.3
2023-11-23,-9.3
2023-11-24,0.9
2023-11-25,4.9
2023-11-26,8.3
2023-11-27,7.6
2023-11-28,-13.0
2023-11-29,19.4
2023-11-30,-13.5
2023-12-01,-7.8
2023-12-02,17.4
2023-12-03,6.1
2023-12-04,12.0
2023-12-05,8.0
2023-12-06,8.7
2023-12-07,-12.5
2023-12-08,8.7
2023-12-09,-9.4
2023-12-10,-3.8
2023-12-11,-1.4
2023-12-12,-6.0
2023-12-13,-10.8
2023-12-14,10.2
2023-12-15,-7.1
2023-12-16,-7.5
2023-12-17,5.1
2023-12-18,-2.8
2023-12-19,-7.0
2023-12-20,-9.7
2023-12-21,16.4
2023-12-22,-10.8
2023-12-23,14.7
2023-12-24,1.2
2023-12-25,19.0
2023-12-26,-11.1
2023-12-27,10.1
2023-12-28,20.5
2023-12-29,9.0
2023-12-30,17.9
2023-12-31,4.9
2024-01-01,23.1
2024-01-02,-6.0
2024-01-03,-4.5
2024-01-04,-7.9
2024-01-05,8.2
2024-01-06,7.6
2024-01-07,-3.8
2024-01-08,-1.3
2024-01-09,-9.6
2024-01-10,3.9
2024-01-11,-8.6
2024-01-12,-5.8
2024-01-13,-4.2
2024-01-14,24.2
2024-01-15,23.5
2024-01-16,9.2
2024-01-17,12.4
2024-01-18,3.4
2024-01-19,16.8
2024-01-20,2.5
2024-01-21,-0.7
2024-01-22,22.3
2024-01-23,8.1
2024-01-24,13.9
2024-01-25,17.4
2024-01-26,-9.7
2024-01-27,9.7
2024-01-28,-14.4
2024-01-29,0.9
2024-01-30,19.5
2024-01-31,9.1
2024-02-01,-3.0
2024-02-02,3.8
2024-02-03,25.0
2024-02-04,20.4
2024-02-05,-14.5
2024-02-06,-9.0
2024-02-07,8.0
2024-02-08,16.1
2024-02-09,10.8
2024-02-10,23.8
2024-02-11,17.1
2024-02-12,3.9
2024-02-13,2.5
2024-02-14,14.3
2024-02-15,19.0
2024-02-16,-8.5
2024-02-17,-7.7
2024-02-18,2.0
2024-02-19,-1.6
2024-02-20,-11.9
2024-02-21,23.4
2024-02-22,11.4
2024-02-23,13.0
2024-02-24,16.9
2024-02-25,-10.2
2024-02-26,-1.1
2024-02-27,-8.3
2024-02-28,3.3
2024-02-29,22.7
2024-03-01,-1.4
2024-03-02,19.5
2024-03-03,-6.4
2024-03-04,10.8
2024-03-05,6.3
2024-03-06,12.8
2024-03-07,10.3
2024-03-08,-13.5
2024-03-09,18.9
2024-03-10,-0.3
2024-03-11,-1.0
2024-03-12,5.0
2024-03-13,3.3
2024-03-14,11.0
2024-03-15,-13.4
2024-03-16,8.0
2024-03-17,-6.4
2024-03-18,17.6
2024-03-19,13.8
2024-03-20,-0.4
2024-03-21,21.1
2024-03-22,22.2
2024-03-23,-11.5
2024-03-24,4.1
2024-03-25,12.4
2024-03-26,-10.8
2024-03-27,19.9
2024-03-28,23.3
