date,temperature
2023-06-10,16.5
2023-06-11,23.3
2023-06-12,39.8
2023-06-13,36.3
2023-06-14,28.8
2023-06-15,15.5
2023-06-16,32.2
2023-06-17,12.9
2023-06-18,23.3
2023-06-19,36.6
2023-06-20,13.6
2023-06-21,39.6
2023-06-22,25.0
2023-06-23,30.7
2023-06-24,26.4
2023-06-25,30.7
2023-06-26,31.0
2023-06-27,38.3
2023-06-28,32.5
2023-06-29,13.8
2023-06-30,19.7
2023-07-01,30.7
2023-07-02,33.1
2023-07-03,12.5
2023-07-04,17.6
2023-07-05,13.1
2023-07-06,33.4
2023-07-07,14.5
2023-07-08,30.0
2023-07-09,14.9
2023-07-10,21.8
2023-07-11,24.8
2023-07-12,26.9
2023-07-13,32.2
2023-07-14,27.6
2023-07-15,32.0
2023-07-16,15.9
2023-07-17,19.1
2023-07-18,12.7
2023-07-19,13.6
2023-07-20,33.8
2023-07-21,14.8
2023-07-22,23.0
2023-07-23,34.3
2023-07-24,31.8
2023-07-25,32.6
2023-07-26,35.9
2023-07-27,20.8
2023-07-28,16.2
2023-07-29,31.6
2023-07-30,35.1
2023-07-31,16.4
2023-08-01,29.2
2023-08-02,13.5
2023-08-03,28.0
2023-08-04,30.7
2023-08-05,10.3
2023-08-06,18.0
2023-08-07,27.3
2023-08-08,36.7
2023-08-09,34.2
2023-08-10,34.4
2023-08-11,34.1
2023-08-12,27.1
2023-08-13,33.0
2023-08-14,19.7
2023-08-15,40.0
2023-08-16,34.7
2023-08-17,11.2
2023-08-18,23.9
2023-08-19,12.9
2023-08-20,38.7
2023-08-21,27.3
2023-08-22,21.8
2023-08-23,38.7
2023-08-24,34.7
2023-08-25,13.5
2023-08-26,35.4
2023-08-27,28.3
2023-08-28,20.3
2023-08-29,32.1
2023-08-30,20.5
2023-08-31,23.5
2023-09-01,16.7
2023-09-02,30.8
2023-09-03,32.1
2023-09-04,26.7
2023-09-05,19.4
2023-09-06,35.7
2023-09-07,31.9
2023-09-08,34.6
2023-09-09,18.5
2023-09-10,21.0
2023-09-11,38.7
2023-09-12,35.8
2023-09-13,16.1
2023-09-14,35.6
2023-09-15,28.0
2023-09-16,32.6
2023-09-17,23.8
