date,temperature
2023-06-10,-1.7
2023-06-11,16.6
2023-06-12,13.3
2023-06-13,3.6
2023-06-14,-3.4
2023-06-15,19.8
2023-06-16,26.9
2023-06-17,25.6
2023-06-18,21.3
2023-06-19,3.5
2023-06-20,20.4
2023-06-21,1.9
2023-06-22,15.4
2023-06-23,2.9
2023-06-24,9.9
2023-06-25,19.4
2023-06-26,23.6
2023-06-27,29.0
2023-06-28,11.5
2023-06-29,19.5
2023-06-30,27.0
2023-07-01,22.9
2023-07-02,15.7
2023-07-03,5.6
2023-07-04,2.3
2023-07-05,27.0
2023-07-06,17.2
2023-07-07,-0.3
2023-07-08,15.0
2023-07-09,-3.5
2023-07-10,11.4
2023-07-11,1.2
2023-07-12,0.4
2023-07-13,13.5
2023-07-14,21.9
2023-07-15,6.6
2023-07-16,16.3
2023-07-17,-0.9
2023-07-18,23.2
2023-07-19,-4.7
2023-07-20,6.1
2023-07-21,24.5
2023-07-22,29.0
2023-07-23,28.2
2023-07-24,12.9
2023-07-25,23.6
2023-07-26,26.8
2023-07-27,4.9
2023-07-28,2.4
2023-07-29,3.4
2023-07-30,5.8
2023-07-31,3.4
2023-08-01,9.0
2023-08-02,28.3
2023-08-03,24.7
2023-08-04,-3.3
2023-08-05,10.0
2023-08-06,-3.2
2023-08-07,-0.1
2023-08-08,22.6
2023-08-09,3.4
2023-08-10,2.6
2023-08-11,19.7
2023-08-12,16.2
2023-08-13,10.4
2023-08-14,18.6
2023-08-15,4.9
2023-08-16,-0.8
2023-08-17,-1.4
2023-08-18,23.1
2023-08-19,27.8
2023-08-20,19.7
2023-08-21,22.7
2023-08-22,10.7
2023-08-23,25.3
2023-08-24,22.6
2023-08-25,29.0
2023-08-26,21.4
2023-08-27,18.0
2023-08-28,4.1
2023-08-29,-0.7
2023-08-30,22.3
2023-08-31,-4.3
2023-09-01,-2.6
2023-09-02,-0.7
2023-09-03,17.1
2023-09-04,27.5
2023-09-05,14.4
2023-09-06,2.6
2023-09-07,15.1
2023-09-08,24.1
2023-09-09,14.7
2023-09-10,27.5
2023-09-11,9.6
2023-09-12,4.4
2023-09-13,4.5
2023-09-14,9.8
2023-09-15,9.7
2023-09-16,17.4
2023-09-17,17.7
2023-09-18,5.3
2023-09-19,8.3
2023-09-20,10.6
2023-09-21,1.8
2023-09-22,15.6
2023-09-23,8.4
2023-09-24,15.8
2023-09-25,-3.7
2023-09-26,20.6
2023-09-27,15.0
2023-09-28,9.8
2023-09-29,29.3
2023-09-30,12.6
2023-10-01,6.7
2023-10-02,26.3
2023-10-03,19.0
2023-10-04,5.6
2023-10-05,15.5
2023-10-06,25.3
2023-10-07,-5.0
2023-10-08,18.5
2023-10-09,28.5
2023-10-10,3.6
2023-10-11,0.6
2023-10-12,24.8
2023-10-13,4.8
2023-10-14,2.0
2023-10-15,9.2
2023-10-16,-2.2
2023-10-17,8.8
2023-10-18,1.4
2023-10-19,27.8
2023-10-20,27.1
2023-10-21,-2.6
2023-10-22,-2.6
2023-10-23,12.7
2023-10-24,16.4
2023-10-25,24.4
2023-10-26,28.5
2023-10-27,10.7
2023-10-28,11.3
2023-10-29,19.7
2023-10-30,11.6
2023-10-31,24.8
2023-11-01,18.4
2023-11-02,13.6
2023-11-03,5.8
2023-11-04,2.9
2023-11-05,18.3
2023-11-06,19.4
2023-11-07,5.4
2023-11-08,10.6
2023-11-09,28.0
2023-11-10,6.0
2023-11-11,22.0
2023-11-12,10.4
2023-11-13,18.3
2023-11-14,13.8
2023-11-15,23.4
2023-11-16,21.2
2023-11-17,1.0
2023-11-18,20.7
2023-11-19,18.1
2023-11-20,17.3
2023-11-21,22.0
2023-11-22,8.7
2023-11-23,2.2
2023-11-24,22.6
2023-11-25,21.2
2023-11-26,-3.1
2023-11-27,-0.0
2023-11-28,26.6
2023-11-29,5.3
2023-11-30,8.7
2023-12-01,14.2
2023-12-02,20.6
2023-12-03,15.3
2023-12-04,-3.5
2023-12-05,-4.5
2023-12-06,20.4
2023-12-07,5.3
2023-12-08,19.1
2023-12-09,17.2
