date,temperature
2023-06-10,22.6
2023-06-11,2.0
2023-06-12,8.7
2023-06-13,9.5
2023-06-14,0.9
2023-06-15,6.3
2023-06-16,2.2
2023-06-17,3.2
2023-06-18,6.3
2023-06-19,1.7
2023-06-20,5.4
2023-06-21,0.7
2023-06-22,19.2
2023-06-23,7.1
2023-06-24,2.1
2023-06-25,13.0
2023-06-26,10.9
2023-06-27,19.4
2023-06-28,0.5
2023-06-29,4.9
2023-06-30,17.1
2023-07-01,2.6
2023-07-02,23.7
2023-07-03,27.8
2023-07-04,9.5
2023-07-05,4.2
2023-07-06,11.9
2023-07-07,28.3
2023-07-08,12.8
2023-07-09,11.2
2023-07-10,18.3
2023-07-11,29.9
2023-07-12,20.1
2023-07-13,23.6
2023-07-14,2.3
2023-07-15,22.0
2023-07-16,18.8
2023-07-17,8.5
2023-07-18,25.6
2023-07-19,0.9
2023-07-20,25.9
2023-07-21,22.9
2023-07-22,26.9
2023-07-23,29.0
2023-07-24,22.5
2023-07-25,11.3
2023-07-26,9.6
2023-07-27,21.0
2023-07-28,1.6
2023-07-29,5.4
2023-07-30,8.4
2023-07-31,23.8
2023-08-01,6.4
2023-08-02,28.5
2023-08-03,14.9
2023-08-04,28.4
2023-08-05,6.5
2023-08-06,6.1
2023-08-07,16.5
2023-08-08,3.3
2023-08-09,19.2
2023-08-10,12.3
2023-08-11,22.1
2023-08-12,13.2
2023-08-13,12.7
2023-08-14,25.4
2023-08-15,2.7
2023-08-16,5.8
2023-08-17,1.4
2023-08-18,7.6
2023-08-19,1.7
2023-08-20,21.8
2023-08-21,27.2
2023-08-22,18.5
2023-08-23,22.3
2023-08-24,8.8
2023-08-25,0.2
2023-08-26,14.4
2023-08-27,21.5
2023-08-28,27.0
2023-08-29,16.9
2023-08-30,6.5
2023-08-31,15.6
2023-09-01,29.5
2023-09-02,4.2
2023-09-03,11.4
2023-09-04,1.7
2023-09-05,19.8
2023-09-06,26.2
2023-09-07,25.1
2023-09-08,7.9
2023-09-09,4.2
2023-09-10,24.7
2023-09-11,18.6
2023-09-12,7.8
2023-09-13,8.8
2023-09-14,1.4
2023-09-15,19.8
2023-09-16,25.1
2023-09-17,26.3
2023-09-18,16.6
2023-09-19,2.9
2023-09-20,1.8
2023-09-21,27.2
2023-09-22,17.0
2023-09-23,25.6
2023-09-24,29.4
2023-09-25,16.1
2023-09-26,21.1
2023-09-27,24.7
2023-09-28,27.5
2023-09-29,13.7
2023-09-30,4.6
2023-10-01,5.6
2023-10-02,25.0
2023-10-03,10.6
2023-10-04,24.3
2023-10-05,22.2
2023-10-06,26.2
2023-10-07,26.1
2023-10-08,1.5
2023-10-09,20.4
2023-10-10,18.1
2023-10-11,16.6
2023-10-12,3.3
2023-10-13,4.1
2023-10-14,14.6
2023-10-15,15.4
2023-10-16,12.9
2023-10-17,15.9
2023-10-18,20.0
2023-10-19,9.6
2023-10-20,4.9
2023-10-21,25.8
2023-10-22,20.2
2023-10-23,10.8
2023-10-24,12.1
2023-10-25,18.4
2023-10-26,17.0
2023-10-27,11.6
2023-10-28,11.7
2023-10-29,13.5
2023-10-30,22.9
2023-10-31,12.4
2023-11-01,10.9
2023-11-02,3.4
2023-11-03,25.6
2023-11-04,21.6
2023-11-05,2.6
2023-11-06,24.7
2023-11-07,25.3
2023-11-08,23.0
2023-11-09,5.5
2023-11-10,6.7
2023-11-11,9.0
2023-11-12,5.0
2023-11-13,24.7
2023-11-14,29.4
2023-11-15,26.0
2023-11-16,18.6
2023-11-17,17.3
2023-11-18,22.1
2023-11-19,5.9
2023-11-20,13.4
2023-11-21,6.6
2023-11-22,28.2
2023-11-23,3.3
2023-11-24,24.1
2023-11-25,0.9
2023-11-26,20.7
2023-11-27,25.7
2023-11-28,18.8
2023-11-29,19.8
2023-11-30,25.2
2023-12-01,12.4
2023-12-02,6.5
2023-12-03,23.2
2023-12-04,6.4
2023-12-05,25.2
2023-12-06,11.4
2023-12-07,3.0
2023-12-08,1.5
2023-12-09,1.2
2023-12-10,11.0
2023-12-11,11.5
2023-12-12,17.9
2023-12-13,9.8
2023-12-14,0.4
2023-12-15,26.3
2023-12-16,27.9
2023-12-17,20.7
2023-12-18,27.0
2023-12-19,5.8
2023-12-20,15.5
2023-12-21,6.9
2023-12-22,16.4
2023-12-23,7.7
2023-12-24,1.6
2023-12-25,13.9
2023-12-26,25.0
2023-12-27,15.9
2023-12-28,23.5
2023-12-29,11.0
2023-12-30,2.4
2023-12-31,11.7
2024-01-01,23.2
2024-01-02,25.8
2024-01-03,1.7
2024-01-04,4.3
2024-01-05,26.9
2024-01-06,25.6
2024-01-07,19.7
2024-01-08,12.9
2024-01-09,14.3
2024-01-10,14.3
2024-01-11,16.3
2024-01-12,16.3
2024-01-13,14.5
2024-01-14,25.8
2024-01-15,7.8
2024-01-16,24.0
2024-01-17,25.3
2024-01-18,25.5
2024-01-19,10.6
2024-01-20,6.7
2024-01-21,14.1
2024-01-22,16.4
2024-01-23,20.6
2024-01-24,22.4
2024-01-25,7.9
2024-01-26,0.1
2024-01-27,25.2
2024-01-28,9.5
2024-01-29,9.6
2024-01-30,3.3
2024-01-31,29.3
2024-02-01,28.9
2024-02-02,1.3
2024-02-03,18.3
2024-02-04,9.3
2024-02-05,1.4
2024-02-06,22.3
2024-02-07,11.4
2024-02-08,2.7
2024-02-09,5.8
2024-02-10,2.6
2024-02-11,15.7
2024-02-12,5.8
2024-02-13,15.0
2024-02-14,28.4
2024-02-15,17.0
2024-02-16,24.9
2024-02-17,16.2
2024-02-18,9.9
2024-02-19,28.9
2024-02-20,16.4
2024-02-21,1.5
2024-02-22,0.4
2024-02-23,27.1
2024-02-24,0.8
2024-02-25,29.9
2024-02-26,27.4
2024-02-27,15.8
2024-02-28,23.6
2024-02-29,4.6
2024-03-01,25.9
2024-03-02,21.6
2024-03-03,25.1
2024-03-04,23.7
2024-03-05,10.1
2024-03-06,27.1
2024-03-07,13.0
2024-03-08,18.0
2024-03-09,7.0
2024-03-10,29.5
2024-03-11,20.0
2024-03-12,22.0
2024-03-13,26.6
2024-03-14,7.2
2024-03-15,18.3
2024-03-16,3.6
2024-03-17,20.4
2024-03-18,7.3
2024-03-19,17.9
2024-03-20,18.8
2024-03-21,18.8
2024-03-22,3.3
2024-03-23,11.8
2024-03-24,3.3
2024-03-25,0.8
2024-03-26,21.1
2024-03-27,13.3
2024-03-28,16.5
2024-03-29,5.1
2024-03-30,10.1
2024-03-31,24.8
2024-04-01,18.9
2024-04-02,5.1
2024-04-03,18.5
2024-04-04,15.2
2024-04-05,22.5
2024-04-06,17.5
2024-04-07,18.2
2024-04-08,16.2
2024-04-09,13.7
2024-04-10,16.6
2024-04-11,8.7
2024-04-12,8.7
2024-04-13,12.5
2024-04-14,3.6
2024-04-15,27.8
2024-04-16,3.1
2024-04-17,12.5
2024-04-18,24.4
2024-04-19,14.4
2024-04-20,10.4
2024-04-21,8.8
2024-04-22,15.0
2024-04-23,13.1
2024-04-24,15.6
2024-04-25,27.5
2024-04-26,11.8
2024-04-27,21.5
2024-04-28,4.3
2024-04-29,0.9
2024-04-30,20.5
2024-05-01,28.3
2024-05-02,11.3
2024-05-03,19.1
2024-05-04,29.5
2024-05-05,16.6
2024-05-06,2.4
2024-05-07,5.4
2024-05-08,23.6
2024-05-09,24.8
2024-05-10,13.5
2024-05-11,6.0
2024-05-12,15.9
2024-05-13,29.7
2024-05-14,8.4
2024-05-15,20.5
2024-05-16,18.8
2024-05-17,6.9
2024-05-18,25.2
2024-05-19,16.0
2024-05-20,29.4
2024-05-21,8.8
2024-05-22,15.5
2024-05-23,2.6
2024-05-24,13.2
2024-05-25,25.8
2024-05-26,13.1
2024-05-27,1.9
2024-05-28,26.1
2024-05-29,5.2
2024-05-30,26.3
2024-05-31,19.4
2024-06-01,14.4
2024-06-02,10.1
2024-06-03,19.0
2024-06-04,2.5
2024-06-05,23.1
2024-06-06,13.7
2024-06-07,16.2
2024-06-08,16.9
2024-06-09,20.3
2024-06-10,26.8
2024-06-11,2.3
2024-06-12,21.2
2024-06-13,27.6
2024-06-14,26.5
2024-06-15,26.0
2024-06-16,24.4
2024-06-17,6.5
2024-06-18,25.7
2024-06-19,21.0
2024-06-20,13.3
2024-06-21,26.3
2024-06-22,22.3
2024-06-23,6.0
2024-06-24,29.2
2024-06-25,13.1
2024-06-26,20.8
2024-06-27,1.2
2024-06-28,16.7
2024-06-29,2.6
2024-06-30,8.7
2024-07-01,26.2
2024-07-02,0.9
2024-07-03,29.1
2024-07-04,24.3
2024-07-05,8.8
2024-07-06,19.2
2024-07-07,8.4
2024-07-08,12.0
2024-07-09,5.2
2024-07-10,24.1
2024-07-11,2.7
2024-07-12,3.7
2024-07-13,4.9
2024-07-14,14.0
2024-07-15,12.9
2024-07-16,14.3
2024-07-17,7.0
2024-07-18,12.8
2024-07-19,4.7
2024-07-20,26.9
2024-07-21,5.7
2024-07-22,15.3
2024-07-23,17.3
2024-07-24,6.1
2024-07-25,7.2
2024-07-26,7.2
2024-07-27,7.2
2024-07-28,13.9
2024-07-29,2.7
2024-07-30,14.5
2024-07-31,16.6
2024-08-01,5.9
2024-08-02,13.8
2024-08-03,0.2
2024-08-04,0.6
2024-08-05,15.2
2024-08-06,15.5
2024-08-07,9.6
2024-08-08,6.8
2024-08-09,20.7
2024-08-10,24.0
2024-08-11,21.5
2024-08-12,4.9
2024-08-13,24.5
2024-08-14,29.2
2024-08-15,18.3
2024-08-16,17.9
2024-08-17,26.5
2024-08-18,18.7
2024-08-19,3.5
2024-08-20,28.7
2024-08-21,5.2
2024-08-22,5.1
2024-08-23,11.1
2024-08-24,20.1
2024-08-25,5.6
2024-08-26,7.4
2024-08-27,19.3
2024-08-28,2.7
2024-08-29,2.7
2024-08-30,24.0
2024-08-31,11.1
2024-09-01,19.2
2024-09-02,16.6
2024-09-03,11.1
2024-09-04,13.0
2024-09-05,13.4
2024-09-06,7.1
2024-09-07,26.7
2024-09-08,29.4
2024-09-09,24.6
2024-09-10,25.3
2024-09-11,14.5
2024-09-12,8.5
2024-09-13,11.7
2024-09-14,16.9
2024-09-15,26.6
2024-09-16,5.1
2024-09-17,28.4
2024-09-18,22.0
2024-09-19,22.6
2024-09-20,19.1
2024-09-21,26.1
2024-09-22,12.9
2024-09-23,3.9
2024-09-24,14.3
2024-09-25,26.9
2024-09-26,23.3
2024-09-27,20.4
2024-09-28,29.6
2024-09-29,3.3
2024-09-30,26.0
2024-10-01,6.8
2024-10-02,5.3
2024-10-03,13.6
2024-10-04,4.8
2024-10-05,26.2
2024-10-06,26.0
2024-10-07,0.5
2024-10-08,10.0
2024-10-09,10.7
2024-10-10,23.3
2024-10-11,20.2
2024-10-12,0.3
2024-10-13,29.9
2024-10-14,29.2
2024-10-15,2.7
2024-10-16,28.9
2024-10-17,15.8
2024-10-18,8.2
2024-10-19,17.2
2024-10-20,0.7
2024-10-21,28.6
2024-10-22,6.8
2024-10-23,11.3
2024-10-24,16.6
2024-10-25,26.4
2024-10-26,13.8
2024-10-27,24.7
2024-10-28,4.4
2024-10-29,9.9
2024-10-30,0.7
2024-10-31,24.0
2024-11-01,17.8
2024-11-02,10.7
2024-11-03,28.2
2024-11-04,19.1
2024-11-05,13.7
2024-11-06,19.2
2024-11-07,11.1
2024-11-08,26.5
2024-11-09,18.5
2024-11-10,9.4
2024-11-11,26.7
2024-11-12,10.3
2024-11-13,1.2
2024-11-14,14.2
2024-11-15,22.4
2024-11-16,4.0
2024-11-17,12.9
2024-11-18,17.2
2024-11-19,20.7
2024-11-20,12.6
2024-11-21,8.1
2024-11-22,25.7
2024-11-23,14.7
2024-11-24,6.9
2024-11-25,13.3
2024-11-26,13.0
2024-11-27,14.4
2024-11-28,22.5
2024-11-29,20.2
2024-11-30,20.8
2024-12-01,19.6
2024-12-02,24.9
2024-12-03,20.3
2024-12-04,1.5
2024-12-05,26.6
2024-12-06,0.6
2024-12-07,11.5
2024-12-08,19.5
2024-12-09,12.5
2024-12-10,2.7
2024-12-11,12.1
2024-12-12,18.1
2024-12-13,20.1
2024-12-14,13.8
2024-12-15,4.5
2024-12-16,26.0
2024-12-17,19.0
2024-12-18,2.7
2024-12-19,19.5
2024-12-20,26.0
2024-12-21,7.9
2024-12-22,22.4
2024-12-23,10.5
2024-12-24,13.4
2024-12-25,20.1
2024-12-26,23.2
2024-12-27,11.6
2024-12-28,25.9
2024-12-29,15.3
2024-12-30,3.0
2024-12-31,24.9
2025-01-01,27.6
2025-01-02,1.8
2025-01-03,24.5
2025-01-04,25.2
2025-01-05,24.7
2025-01-06,6.9
2025-01-07,8.5
2025-01-08,1.2
2025-01-09,4.6
2025-01-10,20.8
2025-01-11,21.0
2025-01-12,28.6
2025-01-13,17.7
2025-01-14,23.8
2025-01-15,4.2
2025-01-16,21.4
2025-01-17,26.9
2025-01-18,11.6
2025-01-19,18.4
2025-01-20,7.9
2025-01-21,25.5
2025-01-22,14.6
2025-01-23,6.9
2025-01-24,13.4
2025-01-25,14.2
2025-01-26,16.2
2025-01-27,12.5
2025-01-28,22.9
2025-01-29,22.8
2025-01-30,17.9
2025-01-31,15.1
2025-02-01,11.9
2025-02-02,22.0
2025-02-03,19.6
2025-02-04,7.9
2025-02-05,20.4
2025-02-06,13.8
2025-02-07,19.8
2025-02-08,9.9
2025-02-09,6.7
2025-02-10,0.8
2025-02-11,21.4
2025-02-12,6.3
2025-02-13,3.1
2025-02-14,6.8
2025-02-15,11.7
2025-02-16,25.3
2025-02-17,24.9
2025-02-18,23.6
2025-02-19,20.8
2025-02-20,22.8
2025-02-21,18.5
2025-02-22,6.1
2025-02-23,9.7
2025-02-24,14.0
2025-02-25,10.5
2025-02-26,2.8
2025-02-27,3.0
2025-02-28,3.9
2025-03-01,8.7
2025-03-02,2.9
2025-03-03,13.6
2025-03-04,27.2
2025-03-05,25.9
2025-03-06,21.4
2025-03-07,29.9
2025-03-08,2.3
2025-03-09,1.8
2025-03-10,19.1
2025-03-11,10.4
2025-03-12,24.1
2025-03-13,8.1
2025-03-14,19.0
2025-03-15,23.2
2025-03-16,3.7
2025-03-17,13.6
2025-03-18,25.9
2025-03-19,29.8
2025-03-20,8.8
2025-03-21,6.2
2025-03-22,26.4
2025-03-23,27.6
2025-03-24,2.8
2025-03-25,29.4
2025-03-26,21.5
2025-03-27,3.7
2025-03-28,17.6
2025-03-29,13.4
2025-03-30,23.9
2025-03-31,7.0
2025-04-01,28.1
2025-04-02,4.0
2025-04-03,9.2
2025-04-04,4.4
2025-04-05,4.0
2025-04-06,9.8
2025-04-07,3.9
2025-04-08,19.7
2025-04-09,20.5
2025-04-10,19.3
2025-04-11,10.0
2025-04-12,10.9
2025-04-13,22.3
2025-04-14,27.8
2025-04-15,5.1
2025-04-16,29.0
2025-04-17,19.4
2025-04-18,23.4
2025-04-19,27.5
2025-04-20,16.7
2025-04-21,3.9
2025-04-22,3.2
2025-04-23,23.2
2025-04-24,13.2
2025-04-25,7.3
2025-04-26,24.0
2025-04-27,12.9
2025-04-28,27.0
2025-04-29,25.4
2025-04-30,2.3
2025-05-01,18.7
2025-05-02,10.0
2025-05-03,28.9
2025-05-04,0.8
2025-05-05,29.8
2025-05-06,23.2
2025-05-07,27.7
2025-05-08,9.5
2025-05-09,3.9
2025-05-10,1.8
2025-05-11,20.0
2025-05-12,4.4
2025-05-13,14.8
2025-05-14,6.6
2025-05-15,4.7
2025-05-16,26.1
2025-05-17,5.6
2025-05-18,1.8
2025-05-19,9.2
2025-05-20,28.1
2025-05-21,7.6
2025-05-22,9.6
2025-05-23,2.6
2025-05-24,21.8
2025-05-25,29.8
2025-05-26,14.1
2025-05-27,28.2
2025-05-28,28.3
2025-05-29,15.6
2025-05-30,22.1
2025-05-31,3.9
2025-06-01,17.2
2025-06-02,14.4
2025-06-03,27.6
2025-06-04,14.2
2025-06-05,5.1
2025-06-06,10.2
2025-06-07,4.2
2025-06-08,18.9
