date,temperature
2023-06-10,21.2
2023-06-11,18.0
2023-06-12,-2.5
2023-06-13,-3.8
2023-06-14,8.8
2023-06-15,10.7
2023-06-16,0.3
2023-06-17,17.5
2023-06-18,11.1
2023-06-19,9.7
2023-06-20,22.4
2023-06-21,18.8
2023-06-22,5.6
2023-06-23,26.0
2023-06-24,-3.3
2023-06-25,20.8
2023-06-26,8.7
2023-06-27,11.6
2023-06-28,-3.4
2023-06-29,15.6
2023-06-30,-2.4
2023-07-01,7.2
2023-07-02,15.4
2023-07-03,-0.8
2023-07-04,25.9
2023-07-05,10.2
2023-07-06,10.5
2023-07-07,3.8
2023-07-08,20.1
2023-07-09,3.9
2023-07-10,23.4
2023-07-11,-2.7
2023-07-12,21.6
2023-07-13,4.8
2023-07-14,11.6
2023-07-15,18.8
2023-07-16,11.2
2023-07-17,9.3
2023-07-18,-3.4
2023-07-19,9.7
2023-07-20,18.0
2023-07-21,10.4
2023-07-22,6.2
2023-07-23,14.6
2023-07-24,16.0
2023-07-25,20.0
2023-07-26,5.5
2023-07-27,9.6
2023-07-28,-3.9
2023-07-29,13.0
2023-07-30,28.9
2023-07-31,14.3
2023-08-01,12.7
2023-08-02,5.3
2023-08-03,23.5
2023-08-04,-5.0
2023-08-05,10.7
2023-08-06,4.2
2023-08-07,25.8
2023-08-08,23.0
2023-08-09,9.2
2023-08-10,17.1
2023-08-11,15.7
2023-08-12,-1.3
2023-08-13,19.9
2023-08-14,-1.5
2023-08-15,20.3
2023-08-16,-1.1
2023-08-17,13.8
2023-08-18,-4.6
2023-08-19,18.0
2023-08-20,6.6
2023-08-21,14.2
2023-08-22,24.6
2023-08-23,24.8
2023-08-24,-2.0
2023-08-25,4.7
2023-08-26,22.1
2023-08-27,14.2
2023-08-28,1.0
2023-08-29,6.3
2023-08-30,-3.1
2023-08-31,12.3
2023-09-01,19.7
2023-09-02,10.5
2023-09-03,25.8
2023-09-04,10.7
2023-09-05,19.2
2023-09-06,18.3
2023-09-07,28.2
2023-09-08,29.9
2023-09-09,14.2
2023-09-10,2.4
2023-09-11,-3.7
2023-09-12,12.6
2023-09-13,3.5
2023-09-14,24.6
2023-09-15,9.5
2023-09-16,1.4
2023-09-17,20.4
2023-09-18,13.8
2023-09-19,1.9
2023-09-20,21.8
2023-09-21,5.3
2023-09-22,29.2
2023-09-23,18.2
2023-09-24,5.6
2023-09-25,6.6
2023-09-26,5.7
2023-09-27,28.3
2023-09-28,4.1
2023-09-29,7.5
2023-09-30,14.8
2023-10-01,6.8
2023-10-02,6.1
2023-10-03,28.5
2023-10-04,24.4
2023-10-05,8.7
2023-10-06,23.5
2023-10-07,22.0
2023-10-08,7.3
2023-10-09,24.0
2023-10-10,14.2
2023-10-11,1.5
2023-10-12,18.2
2023-10-13,23.1
2023-10-14,-1.9
2023-10-15,21.4
2023-10-16,1.4
2023-10-17,0.6
2023-10-18,23.6
2023-10-19,13.5
2023-10-20,4.9
2023-10-21,13.1
2023-10-22,-2.4
2023-10-23,17.2
2023-10-24,13.2
2023-10-25,10.2
2023-10-26,7.5
2023-10-27,16.1
2023-10-28,-3.5
2023-10-29,-4.5
2023-10-30,-0.5
2023-10-31,4.4
2023-11-01,18.9
2023-11-02,20.3
2023-11-03,2.8
2023-11-04,20.6
2023-11-05,25.4
2023-11-06,21.5
2023-11-07,26.4
2023-11-08,-4.6
2023-11-09,8.3
2023-11-10,29.9
2023-11-11,26.6
2023-11-12,-1.9
2023-11-13,-0.8
2023-11-14,27.0
2023-11-15,17.9
2023-11-16,14.0
2023-11-17,-3.9
2023-11-18,28.5
2023-11-19,-4.2
2023-11-20,6.6
2023-11-21,1.7
2023-11-22,3.9
2023-11-23,27.3
2023-11-24,10.9
2023-11-25,24.5
2023-11-26,23.9
2023-11-27,-4.7
2023-11-28,-1.5
2023-11-29,0.4
2023-11-30,21.4
2023-12-01,23.3
2023-12-02,16.5
2023-12-03,-4.0
2023-12-04,13.2
2023-12-05,21.9
2023-12-06,-3.2
2023-12-07,11.7
2023-12-08,14.8
2023-12-09,-1.4
2023-12-10,-3.2
