date,temperature
2023-06-10,14.0
2023-06-11,11.7
2023-06-12,10.0
2023-06-13,23.6
2023-06-14,13.9
2023-06-15,19.5
2023-06-16,18.5
2023-06-17,23.8
2023-06-18,12.7
2023-06-19,14.0
2023-06-20,7.6
2023-06-21,0.5
2023-06-22,17.3
2023-06-23,20.0
2023-06-24,8.3
2023-06-25,3.7
2023-06-26,10.2
2023-06-27,20.2
2023-06-28,26.4
2023-06-29,18.9
2023-06-30,23.9
2023-07-01,22.9
2023-07-02,22.8
2023-07-03,14.8
2023-07-04,1.6
2023-07-05,6.7
2023-07-06,3.0
2023-07-07,3.2
2023-07-08,28.3
2023-07-09,21.2
2023-07-10,7.2
2023-07-11,21.4
2023-07-12,21.9
2023-07-13,10.2
2023-07-14,17.0
2023-07-15,28.4
2023-07-16,10.7
2023-07-17,15.5
2023-07-18,9.6
2023-07-19,15.5
2023-07-20,22.6
2023-07-21,3.7
2023-07-22,23.8
2023-07-23,22.1
2023-07-24,3.8
2023-07-25,2.8
2023-07-26,18.5
2023-07-27,19.8
2023-07-28,12.2
2023-07-29,28.3
2023-07-30,11.3
2023-07-31,21.3
2023-08-01,7.1
2023-08-02,27.6
2023-08-03,12.1
2023-08-04,14.1
2023-08-05,3.0
2023-08-06,3.3
2023-08-07,14.1
2023-08-08,23.1
2023-08-09,8.8
2023-08-10,23.1
2023-08-11,6.9
2023-08-12,21.7
2023-08-13,16.8
2023-08-14,14.0
2023-08-15,27.8
2023-08-16,18.9
2023-08-17,28.9
2023-08-18,14.0
2023-08-19,6.7
2023-08-20,16.9
2023-08-21,7.3
2023-08-22,23.2
2023-08-23,2.9
2023-08-24,1.7
2023-08-25,1.5
2023-08-26,16.3
2023-08-27,12.0
2023-08-28,14.8
2023-08-29,10.8
2023-08-30,18.3
2023-08-31,28.9
2023-09-01,17.0
2023-09-02,15.6
2023-09-03,2.8
2023-09-04,16.7
2023-09-05,28.1
2023-09-06,29.3
2023-09-07,24.8
2023-09-08,3.6
2023-09-09,27.9
2023-09-10,26.5
2023-09-11,9.0
