date,temperature
2023-06-10,0.0
2023-06-11,4.0
2023-06-12,2.6
2023-06-13,27.6
2023-06-14,9.8
2023-06-15,13.4
2023-06-16,-0.4
2023-06-17,4.2
2023-06-18,15.2
2023-06-19,4.7
2023-06-20,-6.3
2023-06-21,-5.3
2023-06-22,-7.8
2023-06-23,-5.7
2023-06-24,15.8
2023-06-25,6.6
2023-06-26,23.0
2023-06-27,14.5
2023-06-28,24.1
2023-06-29,24.2
2023-06-30,23.7
2023-07-01,19.8
2023-07-02,-0.7
2023-07-03,9.9
2023-07-04,-0.9
2023-07-05,11.1
2023-07-06,8.6
2023-07-07,27.3
2023-07-08,-9.8
2023-07-09,5.7
2023-07-10,21.1
2023-07-11,-7.8
2023-07-12,-3.8
2023-07-13,2.1
2023-07-14,10.3
2023-07-15,17.9
2023-07-16,26.0
2023-07-17,-4.2
2023-07-18,27.6
2023-07-19,-9.8
2023-07-20,8.5
2023-07-21,18.1
2023-07-22,-8.7
2023-07-23,14.4
2023-07-24,21.1
2023-07-25,0.9
2023-07-26,18.9
2023-07-27,22.0
2023-07-28,16.6
2023-07-29,1.2
2023-07-30,8.3
2023-07-31,10.0
2023-08-01,20.4
2023-08-02,19.9
2023-08-03,12.5
2023-08-04,14.1
2023-08-05,24.6
2023-08-06,21.7
2023-08-07,28.6
2023-08-08,20.2
2023-08-09,-4.6
2023-08-10,16.5
2023-08-11,13.6
2023-08-12,8.9
2023-08-13,23.6
2023-08-14,26.4
2023-08-15,11.9
2023-08-16,13.8
2023-08-17,7.8
2023-08-18,13.2
2023-08-19,20.9
2023-08-20,6.3
2023-08-21,23.4
2023-08-22,3.2
2023-08-23,25.6
2023-08-24,29.3
2023-08-25,-2.6
2023-08-26,-3.5
2023-08-27,23.0
2023-08-28,-5.9
2023-08-29,28.0
2023-08-30,29.4
2023-08-31,-7.6
2023-09-01,-5.6
2023-09-02,6.0
2023-09-03,-1.4
2023-09-04,5.6
2023-09-05,15.8
2023-09-06,27.0
2023-09-07,16.5
2023-09-08,-0.8
2023-09-09,23.8
2023-09-10,19.5
2023-09-11,5.7
2023-09-12,6.3
2023-09-13,28.3
2023-09-14,15.0
2023-09-15,-9.3
2023-09-16,13.7
2023-09-17,10.3
2023-09-18,-9.7
2023-09-19,-9.3
2023-09-20,12.0
2023-09-21,14.1
2023-09-22,-9.4
2023-09-23,25.6
2023-09-24,18.6
2023-09-25,26.8
2023-09-26,-2.8
2023-09-27,-3.3
2023-09-28,2.4
2023-09-29,7.2
2023-09-30,17.7
2023-10-01,15.6
2023-10-02,0.9
2023-10-03,26.9
2023-10-04,-9.0
2023-10-05,4.6
2023-10-06,15.7
2023-10-07,25.8
2023-10-08,16.3
2023-10-09,5.7
2023-10-10,1.0
2023-10-11,5.7
2023-10-12,3.1
2023-10-13,10.1
2023-10-14,18.7
2023-10-15,-2.3
2023-10-16,4.6
2023-10-17,7.1
2023-10-18,8.1
2023-10-19,5.4
2023-10-20,20.2
2023-10-21,7.4
2023-10-22,-9.0
2023-10-23,1.0
2023-10-24,10.4
2023-10-25,6.2
2023-10-26,-3.1
2023-10-27,1.4
2023-10-28,15.7
2023-10-29,-2.1
2023-10-30,20.7
2023-10-31,9.1
2023-11-01,15.2
2023-11-02,2.0
2023-11-03,25.7
2023-11-04,22.0
2023-11-05,-8.1
2023-11-06,21.9
2023-11-07,7.2
2023-11-08,12.9
2023-11-09,14.9
2023-11-10,-7.3
2023-11-11,22.1
2023-11-12,-4.3
2023-11-13,-3.3
2023-11-14,13.9
2023-11-15,-0.1
2023-11-16,-5.2
2023-11-17,18.7
2023-11-18,3.6
2023-11-19,8.2
2023-11-20,10.4
2023-11-21,27.5
2023-11-22,19.5
2023-11-23,-6.9
2023-11-24,-3.6
2023-11-25,4.7
2023-11-26,29.8
2023-11-27,23.8
2023-11-28,26.2
2023-11-29,26.8
2023-11-30,7.4
2023-12-01,29.6
2023-12-02,11.9
2023-12-03,-4.8
2023-12-04,18.9
2023-12-05,3.8
2023-12-06,14.8
2023-12-07,22.7
2023-12-08,21.3
2023-12-09,-9.4
2023-12-10,2.9
2023-12-11,13.1
2023-12-12,22.9
2023-12-13,29.6
2023-12-14,15.9
2023-12-15,-7.3
2023-12-16,5.2
2023-12-17,0.1
2023-12-18,-0.9
2023-12-19,-3.0
2023-12-20,3.2
2023-12-21,-9.2
2023-12-22,-4.1
2023-12-23,0.8
2023-12-24,-0.9
2023-12-25,-3.0
2023-12-26,14.2
2023-12-27,-2.6
2023-12-28,-5.2
2023-12-29,15.7
2023-12-30,10.8
2023-12-31,7.3
2024-01-01,14.4
2024-01-02,10.2
2024-01-03,0.1
2024-01-04,24.0
2024-01-05,0.5
2024-01-06,25.8
2024-01-07,22.4
2024-01-08,11.5
2024-01-09,10.0
2024-01-10,-8.9
2024-01-11,8.0
2024-01-12,28.1
2024-01-13,25.1
2024-01-14,-2.3
2024-01-15,-1.1
2024-01-16,15.5
2024-01-17,2.4
2024-01-18,6.0
2024-01-19,-2.2
2024-01-20,24.8
2024-01-21,19.1
2024-01-22,24.1
