date,temperature
2023-06-10,10.2
2023-06-11,10.6
2023-06-12,11.7
2023-06-13,12.5
2023-06-14,31.0
2023-06-15,38.3
2023-06-16,10.9
2023-06-17,25.9
2023-06-18,31.7
2023-06-19,36.0
2023-06-20,30.4
2023-06-21,11.3
2023-06-22,20.3
2023-06-23,15.0
2023-06-24,10.7
2023-06-25,38.3
2023-06-26,32.1
2023-06-27,23.4
2023-06-28,19.6
2023-06-29,19.7
2023-06-30,38.2
2023-07-01,11.9
2023-07-02,11.6
2023-07-03,31.8
2023-07-04,12.2
2023-07-05,39.8
2023-07-06,23.0
2023-07-07,29.8
2023-07-08,38.6
2023-07-09,35.7
2023-07-10,11.0
2023-07-11,12.5
2023-07-12,25.5
2023-07-13,18.6
2023-07-14,23.1
2023-07-15,11.1
2023-07-16,11.1
2023-07-17,38.7
2023-07-18,33.7
2023-07-19,22.9
2023-07-20,28.4
2023-07-21,17.3
2023-07-22,25.7
2023-07-23,13.4
2023-07-24,29.9
2023-07-25,13.4
2023-07-26,34.3
2023-07-27,37.1
2023-07-28,32.7
2023-07-29,15.7
2023-07-30,16.1
2023-07-31,23.9
2023-08-01,16.3
2023-08-02,39.8
2023-08-03,12.1
2023-08-04,32.4
2023-08-05,19.6
2023-08-06,20.1
2023-08-07,38.7
2023-08-08,15.1
2023-08-09,32.4
2023-08-10,26.5
2023-08-11,13.8
2023-08-12,18.9
2023-08-13,18.1
2023-08-14,21.7
2023-08-15,26.0
2023-08-16,21.8
2023-08-17,38.2
2023-08-18,35.1
2023-08-19,15.3
2023-08-20,31.9
2023-08-21,33.6
2023-08-22,27.9
2023-08-23,34.5
2023-08-24,39.5
2023-08-25,16.6
2023-08-26,11.9
2023-08-27,29.1
2023-08-28,34.5
2023-08-29,33.7
2023-08-30,28.0
2023-08-31,12.8
2023-09-01,20.8
2023-09-02,26.1
2023-09-03,25.7
2023-09-04,17.4
2023-09-05,16.6
2023-09-06,36.0
2023-09-07,12.7
2023-09-08,14.9
2023-09-09,18.6
2023-09-10,38.3
2023-09-11,33.6
2023-09-12,12.2
2023-09-13,21.8
2023-09-14,12.8
2023-09-15,23.1
2023-09-16,29.8
2023-09-17,21.8
2023-09-18,22.2
2023-09-19,27.8
2023-09-20,33.9
2023-09-21,19.0
2023-09-22,15.8
2023-09-23,34.9
2023-09-24,14.0
2023-09-25,30.0
2023-09-26,32.4
2023-09-27,15.3
2023-09-28,19.6
2023-09-29,31.3
2023-09-30,38.4
2023-10-01,26.5
2023-10-02,13.3
2023-10-03,28.5
2023-10-04,20.0
2023-10-05,28.0
2023-10-06,25.5
2023-10-07,34.7
2023-10-08,28.7
2023-10-09,13.3
2023-10-10,19.7
2023-10-11,39.9
2023-10-12,24.4
2023-10-13,18.7
2023-10-14,28.5
2023-10-15,18.2
2023-10-16,25.9
2023-10-17,28.4
2023-10-18,39.9
2023-10-19,17.6
2023-10-20,38.8
2023-10-21,35.8
2023-10-22,22.1
2023-10-23,27.7
2023-10-24,29.2
2023-10-25,22.8
2023-10-26,29.2
2023-10-27,29.9
2023-10-28,35.0
2023-10-29,35.9
2023-10-30,17.8
2023-10-31,32.5
2023-11-01,17.8
2023-11-02,11.8
2023-11-03,18.2
2023-11-04,11.2
2023-11-05,19.9
2023-11-06,28.0
2023-11-07,19.1
2023-11-08,13.6
2023-11-09,14.3
2023-11-10,27.8
2023-11-11,14.6
2023-11-12,28.2
2023-11-13,27.0
2023-11-14,33.0
2023-11-15,39.3
2023-11-16,24.9
2023-11-17,26.1
2023-11-18,32.6
2023-11-19,35.6
2023-11-20,14.6
2023-11-21,21.9
2023-11-22,35.2
2023-11-23,25.7
2023-11-24,35.8
2023-11-25,37.4
2023-11-26,37.1
2023-11-27,22.4
2023-11-28,25.1
2023-11-29,12.9
2023-11-30,38.3
2023-12-01,39.3
2023-12-02,27.3
2023-12-03,39.0
2023-12-04,38.3
2023-12-05,20.3
2023-12-06,38.2
2023-12-07,26.9
2023-12-08,12.0
2023-12-09,13.7
2023-12-10,38.6
2023-12-11,19.7
2023-12-12,35.4
2023-12-13,26.2
2023-12-14,21.8
2023-12-15,32.3
2023-12-16,32.5
2023-12-17,27.4
2023-12-18,29.4
2023-12-19,35.2
2023-12-20,10.1
2023-12-21,18.4
2023-12-22,14.2
2023-12-23,10.3
2023-12-24,36.8
2023-12-25,18.3
2023-12-26,15.8
2023-12-27,22.2
2023-12-28,36.3
2023-12-29,27.9
2023-12-30,13.0
2023-12-31,11.5
2024-01-01,14.9
2024-01-02,37.7
2024-01-03,20.9
2024-01-04,19.5
2024-01-05,16.5
2024-01-06,12.1
2024-01-07,33.6
2024-01-08,31.0
2024-01-09,17.1
2024-01-10,30.0
2024-01-11,37.4
2024-01-12,37.5
2024-01-13,38.0
2024-01-14,15.2
2024-01-15,28.3
2024-01-16,37.4
2024-01-17,13.1
2024-01-18,10.7
2024-01-19,32.3
2024-01-20,13.0
2024-01-21,31.6
2024-01-22,10.3
2024-01-23,32.1
2024-01-24,10.2
2024-01-25,13.7
2024-01-26,14.8
2024-01-27,23.7
2024-01-28,27.3
2024-01-29,39.3
2024-01-30,34.7
2024-01-31,28.9
2024-02-01,12.1
2024-02-02,23.2
2024-02-03,30.8
2024-02-04,13.9
2024-02-05,29.0
2024-02-06,39.9
2024-02-07,12.8
2024-02-08,29.1
2024-02-09,38.3
2024-02-10,19.4
2024-02-11,21.8
2024-02-12,30.3
2024-02-13,36.0
2024-02-14,15.2
2024-02-15,34.1
2024-02-16,38.7
2024-02-17,20.2
2024-02-18,10.5
2024-02-19,29.3
2024-02-20,24.8
2024-02-21,18.8
2024-02-22,10.3
2024-02-23,17.1
2024-02-24,36.0
2024-02-25,37.4
2024-02-26,35.5
2024-02-27,19.7
2024-02-28,27.5
2024-02-29,15.3
2024-03-01,26.6
2024-03-02,25.6
2024-03-03,24.5
2024-03-04,22.7
2024-03-05,22.5
2024-03-06,35.5
2024-03-07,21.5
2024-03-08,20.4
2024-03-09,18.2
2024-03-10,22.1
2024-03-11,12.3
2024-03-12,30.5
2024-03-13,34.6
2024-03-14,27.5
2024-03-15,15.6
2024-03-16,35.4
2024-03-17,33.8
2024-03-18,16.8
2024-03-19,32.1
2024-03-20,16.6
2024-03-21,36.7
2024-03-22,24.6
2024-03-23,26.7
2024-03-24,33.2
2024-03-25,35.3
2024-03-26,21.8
2024-03-27,10.4
2024-03-28,19.4
2024-03-29,19.5
2024-03-30,18.5
2024-03-31,33.2
2024-04-01,28.0
2024-04-02,29.9
2024-04-03,14.0
2024-04-04,12.9
2024-04-05,13.2
2024-04-06,12.7
2024-04-07,39.9
2024-04-08,27.2
2024-04-09,26.1
2024-04-10,21.5
2024-04-11,39.0
2024-04-12,20.6
2024-04-13,19.5
2024-04-14,39.5
2024-04-15,28.8
2024-04-16,21.0
2024-04-17,39.5
2024-04-18,17.2
2024-04-19,26.5
2024-04-20,36.0
2024-04-21,10.3
2024-04-22,18.1
2024-04-23,18.9
2024-04-24,34.6
2024-04-25,24.5
2024-04-26,13.2
2024-04-27,19.4
2024-04-28,15.4
2024-04-29,25.8
2024-04-30,11.8
2024-05-01,29.0
2024-05-02,30.7
2024-05-03,37.9
2024-05-04,14.9
2024-05-05,21.0
2024-05-06,38.7
2024-05-07,15.3
2024-05-08,29.2
2024-05-09,15.5
2024-05-10,19.7
2024-05-11,31.7
2024-05-12,34.3
2024-05-13,15.1
2024-05-14,34.5
2024-05-15,11.0
2024-05-16,17.1
2024-05-17,33.1
2024-05-18,19.6
2024-05-19,30.3
2024-05-20,22.9
2024-05-21,20.4
2024-05-22,26.1
2024-05-23,29.8
2024-05-24,31.2
2024-05-25,18.0
2024-05-26,34.6
2024-05-27,21.1
2024-05-28,16.4
2024-05-29,33.3
2024-05-30,23.9
2024-05-31,29.1
2024-06-01,26.1
2024-06-02,15.2
2024-06-03,18.8
2024-06-04,18.6
2024-06-05,22.3
2024-06-06,39.2
2024-06-07,38.1
2024-06-08,12.7
2024-06-09,31.6
2024-06-10,22.4
2024-06-11,10.4
2024-06-12,34.0
2024-06-13,17.0
2024-06-14,25.6
2024-06-15,16.5
2024-06-16,30.4
2024-06-17,31.4
2024-06-18,28.5
2024-06-19,13.7
2024-06-20,12.2
2024-06-21,25.3
2024-06-22,13.4
2024-06-23,34.2
2024-06-24,11.5
2024-06-25,33.4
2024-06-26,12.6
2024-06-27,20.7
2024-06-28,26.2
2024-06-29,16.3
2024-06-30,36.2
2024-07-01,32.0
2024-07-02,26.9
2024-07-03,37.7
2024-07-04,18.8
2024-07-05,23.3
2024-07-06,26.1
2024-07-07,15.5
2024-07-08,13.6
2024-07-09,16.2
2024-07-10,39.0
2024-07-11,25.5
2024-07-12,28.5
2024-07-13,34.7
2024-07-14,35.0
2024-07-15,18.6
2024-07-16,18.1
2024-07-17,32.9
2024-07-18,10.0
2024-07-19,11.3
2024-07-20,22.7
2024-07-21,22.6
2024-07-22,26.1
2024-07-23,26.5
2024-07-24,38.3
2024-07-25,36.3
2024-07-26,19.8
2024-07-27,33.9
2024-07-28,33.1
2024-07-29,26.7
2024-07-30,14.0
2024-07-31,37.9
2024-08-01,38.4
2024-08-02,30.0
2024-08-03,24.7
2024-08-04,33.3
2024-08-05,15.6
2024-08-06,13.9
2024-08-07,13.5
2024-08-08,37.8
2024-08-09,32.5
2024-08-10,32.1
2024-08-11,23.9
2024-08-12,22.5
2024-08-13,38.2
2024-08-14,34.7
2024-08-15,15.9
2024-08-16,18.2
2024-08-17,28.9
2024-08-18,29.0
2024-08-19,35.8
2024-08-20,24.7
2024-08-21,21.2
2024-08-22,13.2
2024-08-23,15.8
2024-08-24,24.4
