date,temperature
2023-06-10,31.8
2023-06-11,18.0
2023-06-12,34.8
2023-06-13,29.2
2023-06-14,27.0
2023-06-15,32.9
2023-06-16,24.5
2023-06-17,26.5
2023-06-18,15.0
2023-06-19,26.6
2023-06-20,22.6
2023-06-21,18.2
2023-06-22,17.7
2023-06-23,17.5
2023-06-24,33.1
2023-06-25,26.9
2023-06-26,27.7
2023-06-27,21.5
2023-06-28,24.2
2023-06-29,33.8
2023-06-30,17.1
2023-07-01,17.9
2023-07-02,30.8
2023-07-03,19.8
2023-07-04,21.8
2023-07-05,20.7
2023-07-06,24.6
2023-07-07,15.6
2023-07-08,29.8
2023-07-09,32.6
2023-07-10,17.4
2023-07-11,21.7
2023-07-12,30.9
2023-07-13,33.9
2023-07-14,15.3
2023-07-15,15.8
2023-07-16,20.9
2023-07-17,34.5
2023-07-18,21.6
2023-07-19,29.3
2023-07-20,31.8
2023-07-21,30.6
2023-07-22,33.4
2023-07-23,26.2
2023-07-24,19.5
2023-07-25,21.3
2023-07-26,15.7
2023-07-27,21.0
2023-07-28,31.4
2023-07-29,33.4
2023-07-30,34.5
2023-07-31,32.0
2023-08-01,25.4
2023-08-02,22.5
2023-08-03,26.2
2023-08-04,16.3
2023-08-05,27.1
2023-08-06,23.7
2023-08-07,23.5
2023-08-08,15.5
2023-08-09,33.0
2023-08-10,21.5
2023-08-11,34.7
2023-08-12,18.0
2023-08-13,29.0
2023-08-14,29.0
2023-08-15,23.8
2023-08-16,21.9
2023-08-17,29.2
2023-08-18,33.7
2023-08-19,27.5
2023-08-20,24.2
2023-08-21,23.0
2023-08-22,26.2
2023-08-23,26.9
2023-08-24,24.0
2023-08-25,19.6
2023-08-26,24.1
2023-08-27,29.4
2023-08-28,17.1
2023-08-29,16.5
2023-08-30,17.0
2023-08-31,26.1
2023-09-01,23.7
2023-09-02,25.3
2023-09-03,17.6
2023-09-04,20.2
2023-09-05,31.8
2023-09-06,21.3
2023-09-07,21.5
2023-09-08,17.8
2023-09-09,16.1
2023-09-10,19.2
2023-09-11,33.0
2023-09-12,16.9
2023-09-13,16.3
2023-09-14,30.3
2023-09-15,17.1
2023-09-16,33.2
2023-09-17,34.7
2023-09-18,27.4
2023-09-19,33.7
