date,temperature
2023-06-10,27.7
2023-06-11,25.1
2023-06-12,14.0
2023-06-13,12.5
2023-06-14,1.6
2023-06-15,23.3
2023-06-16,21.3
2023-06-17,28.8
2023-06-18,24.2
2023-06-19,8.4
2023-06-20,16.0
2023-06-21,11.0
2023-06-22,10.6
2023-06-23,6.8
2023-06-24,28.6
2023-06-25,7.3
2023-06-26,2.6
2023-06-27,18.6
2023-06-28,23.6
2023-06-29,13.0
2023-06-30,25.6
2023-07-01,12.0
2023-07-02,26.1
2023-07-03,27.6
2023-07-04,15.3
2023-07-05,18.1
2023-07-06,7.0
2023-07-07,1.0
2023-07-08,28.7
2023-07-09,2.8
2023-07-10,2.1
2023-07-11,6.4
2023-07-12,3.2
2023-07-13,11.5
2023-07-14,3.4
2023-07-15,26.9
2023-07-16,25.9
2023-07-17,5.9
2023-07-18,13.5
2023-07-19,9.3
2023-07-20,13.7
2023-07-21,1.2
2023-07-22,28.7
2023-07-23,24.4
2023-07-24,18.9
2023-07-25,27.7
2023-07-26,18.0
2023-07-27,25.2
2023-07-28,2.2
2023-07-29,9.1
2023-07-30,8.1
2023-07-31,22.5
2023-08-01,3.8
2023-08-02,17.1
2023-08-03,8.0
2023-08-04,3.6
2023-08-05,13.0
2023-08-06,9.2
2023-08-07,29.4
2023-08-08,14.0
2023-08-09,29.6
2023-08-10,12.5
2023-08-11,8.3
2023-08-12,20.9
2023-08-13,8.5
2023-08-14,26.1
2023-08-15,5.2
2023-08-16,24.8
2023-08-17,29.5
2023-08-18,14.1
2023-08-19,1.7
2023-08-20,5.6
2023-08-21,16.2
2023-08-22,19.6
2023-08-23,10.3
2023-08-24,2.3
2023-08-25,10.4
2023-08-26,13.6
2023-08-27,24.2
2023-08-28,18.7
2023-08-29,12.0
2023-08-30,23.0
2023-08-31,4.1
2023-09-01,6.6
2023-09-02,21.2
2023-09-03,3.8
2023-09-04,14.4
2023-09-05,28.6
2023-09-06,5.8
2023-09-07,2.9
2023-09-08,8.1
2023-09-09,11.9
2023-09-10,24.3
2023-09-11,20.3
2023-09-12,25.0
2023-09-13,21.3
2023-09-14,23.2
2023-09-15,5.2
2023-09-16,0.3
2023-09-17,15.4
2023-09-18,9.8
2023-09-19,7.4
2023-09-20,3.9
2023-09-21,15.8
2023-09-22,11.8
2023-09-23,0.2
2023-09-24,3.4
2023-09-25,24.2
2023-09-26,24.4
2023-09-27,23.0
2023-09-28,21.7
2023-09-29,7.9
2023-09-30,23.2
2023-10-01,23.7
2023-10-02,13.4
2023-10-03,4.9
2023-10-04,16.4
2023-10-05,18.9
2023-10-06,14.1
2023-10-07,11.4
2023-10-08,14.2
2023-10-09,9.6
2023-10-10,18.1
2023-10-11,3.5
2023-10-12,29.1
2023-10-13,7.5
2023-10-14,12.9
2023-10-15,14.0
2023-10-16,25.5
2023-10-17,6.9
2023-10-18,25.3
2023-10-19,14.8
2023-10-20,28.5
2023-10-21,18.8
2023-10-22,7.9
2023-10-23,25.3
2023-10-24,22.0
2023-10-25,26.2
2023-10-26,3.3
2023-10-27,3.1
2023-10-28,5.0
2023-10-29,23.2
2023-10-30,29.7
2023-10-31,26.0
2023-11-01,19.5
2023-11-02,28.7
2023-11-03,18.3
2023-11-04,5.1
2023-11-05,7.4
2023-11-06,21.6
2023-11-07,24.6
2023-11-08,28.1
2023-11-09,24.3
2023-11-10,23.0
2023-11-11,7.6
2023-11-12,16.3
2023-11-13,14.0
2023-11-14,9.3
2023-11-15,26.7
2023-11-16,13.7
2023-11-17,16.5
2023-11-18,13.8
2023-11-19,27.0
2023-11-20,4.5
2023-11-21,12.8
2023-11-22,22.9
2023-11-23,25.6
2023-11-24,11.1
2023-11-25,5.7
2023-11-26,8.9
2023-11-27,1.1
2023-11-28,18.8
2023-11-29,14.3
2023-11-30,8.7
2023-12-01,13.3
2023-12-02,18.8
2023-12-03,22.1
2023-12-04,0.1
2023-12-05,2.1
2023-12-06,26.4
2023-12-07,8.5
2023-12-08,1.5
2023-12-09,9.8
2023-12-10,22.3
2023-12-11,17.5
2023-12-12,26.8
2023-12-13,4.2
2023-12-14,0.1
2023-12-15,13.4
2023-12-16,1.0
2023-12-17,12.7
2023-12-18,8.8
2023-12-19,1.5
2023-12-20,12.8
2023-12-21,18.1
2023-12-22,8.2
2023-12-23,9.8
2023-12-24,1.8
2023-12-25,17.6
2023-12-26,20.3
2023-12-27,1.3
2023-12-28,0.8
2023-12-29,7.5
2023-12-30,7.1
2023-12-31,29.1
2024-01-01,8.4
2024-01-02,17.7
2024-01-03,15.2
2024-01-04,17.0
2024-01-05,4.0
2024-01-06,19.2
2024-01-07,5.0
2024-01-08,24.7
2024-01-09,23.4
2024-01-10,11.6
2024-01-11,22.4
2024-01-12,1.2
2024-01-13,15.9
2024-01-14,25.3
2024-01-15,24.4
2024-01-16,12.6
2024-01-17,2.7
2024-01-18,28.6
2024-01-19,7.6
2024-01-20,21.6
2024-01-21,10.6
2024-01-22,13.9
2024-01-23,21.2
2024-01-24,16.2
2024-01-25,9.1
2024-01-26,24.7
2024-01-27,9.1
2024-01-28,17.5
2024-01-29,0.9
2024-01-30,29.4
2024-01-31,19.3
2024-02-01,13.2
2024-02-02,14.6
2024-02-03,23.7
2024-02-04,9.5
2024-02-05,1.0
2024-02-06,24.2
2024-02-07,24.1
2024-02-08,2.9
2024-02-09,22.7
2024-02-10,5.7
2024-02-11,25.6
2024-02-12,15.1
2024-02-13,7.2
2024-02-14,29.9
2024-02-15,5.3
2024-02-16,13.6
2024-02-17,15.2
2024-02-18,20.3
2024-02-19,24.7
2024-02-20,22.0
2024-02-21,12.8
2024-02-22,22.9
2024-02-23,4.3
2024-02-24,2.2
2024-02-25,22.9
2024-02-26,1.4
2024-02-27,3.7
2024-02-28,9.8
2024-02-29,24.9
2024-03-01,0.0
2024-03-02,16.4
2024-03-03,10.5
2024-03-04,27.5
2024-03-05,15.6
2024-03-06,4.7
2024-03-07,19.5
2024-03-08,21.7
2024-03-09,20.4
2024-03-10,17.7
2024-03-11,8.9
2024-03-12,0.5
2024-03-13,1.0
2024-03-14,13.2
2024-03-15,12.9
2024-03-16,0.5
2024-03-17,9.4
2024-03-18,4.3
2024-03-19,29.3
2024-03-20,19.7
2024-03-21,4.5
2024-03-22,8.5
2024-03-23,21.8
2024-03-24,6.5
2024-03-25,8.3
2024-03-26,0.8
2024-03-27,22.9
2024-03-28,10.8
2024-03-29,12.7
2024-03-30,14.9
2024-03-31,15.0
2024-04-01,9.1
2024-04-02,24.5
2024-04-03,8.5
2024-04-04,24.7
2024-04-05,0.2
2024-04-06,26.8
2024-04-07,14.3
2024-04-08,14.1
2024-04-09,14.7
2024-04-10,14.6
2024-04-11,23.5
2024-04-12,16.1
2024-04-13,0.1
2024-04-14,27.3
2024-04-15,25.0
2024-04-16,21.8
2024-04-17,18.8
2024-04-18,19.7
2024-04-19,25.7
2024-04-20,8.8
2024-04-21,9.4
2024-04-22,15.0
2024-04-23,27.6
2024-04-24,29.0
2024-04-25,21.1
2024-04-26,15.8
2024-04-27,16.1
2024-04-28,14.9
2024-04-29,1.0
2024-04-30,12.4
2024-05-01,26.1
2024-05-02,14.3
2024-05-03,27.1
2024-05-04,18.5
2024-05-05,14.3
2024-05-06,14.1
2024-05-07,27.3
2024-05-08,8.7
2024-05-09,15.0
2024-05-10,22.7
2024-05-11,1.8
2024-05-12,9.3
2024-05-13,26.2
2024-05-14,23.8
2024-05-15,24.4
2024-05-16,11.2
2024-05-17,10.8
2024-05-18,9.0
2024-05-19,23.0
2024-05-20,15.1
2024-05-21,18.3
2024-05-22,13.9
2024-05-23,16.3
2024-05-24,2.7
2024-05-25,26.1
2024-05-26,27.2
2024-05-27,5.3
2024-05-28,11.3
2024-05-29,27.1
2024-05-30,16.8
2024-05-31,19.2
2024-06-01,5.1
