date,temperature
2023-06-10,21.1
2023-06-11,26.5
2023-06-12,19.9
2023-06-13,17.6
2023-06-14,5.6
2023-06-15,5.6
2023-06-16,16.7
2023-06-17,8.9
2023-06-18,34.0
2023-06-19,29.7
2023-06-20,24.2
2023-06-21,18.9
2023-06-22,29.0
2023-06-23,25.7
2023-06-24,31.7
2023-06-25,24.4
2023-06-26,7.5
2023-06-27,12.9
2023-06-28,34.0
2023-06-29,27.3
2023-06-30,34.3
2023-07-01,9.3
2023-07-02,29.0
2023-07-03,31.4
2023-07-04,20.6
2023-07-05,10.4
2023-07-06,6.2
2023-07-07,17.5
2023-07-08,13.6
2023-07-09,20.1
2023-07-10,32.5
2023-07-11,17.9
2023-07-12,29.2
2023-07-13,6.0
2023-07-14,30.9
2023-07-15,25.8
2023-07-16,13.7
2023-07-17,27.6
2023-07-18,9.7
2023-07-19,7.7
2023-07-20,12.1
2023-07-21,34.7
2023-07-22,12.9
2023-07-23,11.6
2023-07-24,20.6
2023-07-25,30.9
2023-07-26,5.3
2023-07-27,33.3
2023-07-28,11.8
2023-07-29,11.4
2023-07-30,30.7
2023-07-31,14.4
2023-08-01,28.1
2023-08-02,18.5
2023-08-03,16.6
2023-08-04,20.6
2023-08-05,33.2
2023-08-06,25.8
2023-08-07,23.4
2023-08-08,29.5
2023-08-09,6.6
2023-08-10,16.4
2023-08-11,5.2
2023-08-12,17.5
2023-08-13,5.0
2023-08-14,14.1
2023-08-15,29.1
2023-08-16,23.7
2023-08-17,5.5
2023-08-18,6.1
2023-08-19,21.4
2023-08-20,9.6
2023-08-21,23.9
2023-08-22,14.8
2023-08-23,27.4
2023-08-24,16.3
2023-08-25,5.3
2023-08-26,23.5
2023-08-27,21.9
2023-08-28,25.2
2023-08-29,32.3
2023-08-30,18.4
2023-08-31,20.2
2023-09-01,9.5
2023-09-02,22.2
2023-09-03,21.0
2023-09-04,34.9
2023-09-05,13.9
2023-09-06,8.9
2023-09-07,5.5
2023-09-08,30.2
2023-09-09,19.0
2023-09-10,14.9
2023-09-11,26.5
2023-09-12,26.7
2023-09-13,5.7
2023-09-14,9.1
2023-09-15,23.3
2023-09-16,11.6
2023-09-17,22.8
2023-09-18,31.8
2023-09-19,25.7
2023-09-20,23.5
2023-09-21,34.5
2023-09-22,21.5
2023-09-23,30.6
2023-09-24,5.9
2023-09-25,22.1
2023-09-26,25.1
2023-09-27,15.8
2023-09-28,24.1
2023-09-29,34.1
2023-09-30,31.8
2023-10-01,18.3
2023-10-02,27.8
2023-10-03,22.9
2023-10-04,24.4
2023-10-05,28.7
2023-10-06,12.2
2023-10-07,29.4
2023-10-08,6.5
2023-10-09,20.4
2023-10-10,5.6
2023-10-11,24.3
2023-10-12,12.9
2023-10-13,11.1
2023-10-14,21.3
2023-10-15,13.3
2023-10-16,20.7
2023-10-17,27.5
2023-10-18,9.3
2023-10-19,5.5
2023-10-20,28.9
2023-10-21,7.4
2023-10-22,12.1
2023-10-23,31.1
2023-10-24,10.5
2023-10-25,27.9
2023-10-26,9.6
2023-10-27,24.7
2023-10-28,19.6
2023-10-29,27.5
2023-10-30,14.3
2023-10-31,31.0
2023-11-01,16.8
2023-11-02,21.8
2023-11-03,6.8
2023-11-04,30.4
2023-11-05,7.6
2023-11-06,26.7
2023-11-07,10.1
2023-11-08,33.4
2023-11-09,17.8
2023-11-10,31.2
2023-11-11,6.2
2023-11-12,24.5
2023-11-13,30.2
2023-11-14,6.5
2023-11-15,31.6
2023-11-16,30.3
2023-11-17,28.8
2023-11-18,25.1
2023-11-19,7.8
2023-11-20,25.4
2023-11-21,17.1
2023-11-22,33.5
2023-11-23,7.7
2023-11-24,28.2
2023-11-25,20.0
2023-11-26,31.7
2023-11-27,32.1
2023-11-28,25.3
2023-11-29,9.9
2023-11-30,30.9
2023-12-01,18.0
2023-12-02,12.3
2023-12-03,10.4
2023-12-04,20.9
2023-12-05,6.3
2023-12-06,14.0
2023-12-07,27.6
2023-12-08,9.4
2023-12-09,9.8
2023-12-10,23.4
2023-12-11,6.9
2023-12-12,18.6
2023-12-13,25.9
2023-12-14,32.5
2023-12-15,12.8
2023-12-16,20.4
2023-12-17,21.0
2023-12-18,32.3
2023-12-19,33.4
2023-12-20,33.4
2023-12-21,16.5
2023-12-22,13.7
2023-12-23,32.6
2023-12-24,8.1
2023-12-25,20.0
2023-12-26,24.2
2023-12-27,7.5
2023-12-28,9.0
2023-12-29,24.7
2023-12-30,33.6
2023-12-31,21.2
2024-01-01,22.0
2024-01-02,21.0
2024-01-03,18.4
2024-01-04,19.8
2024-01-05,33.5
2024-01-06,19.8
2024-01-07,24.2
2024-01-08,5.9
2024-01-09,6.6
2024-01-10,10.3
2024-01-11,30.3
2024-01-12,30.9
2024-01-13,15.9
2024-01-14,25.2
2024-01-15,25.9
2024-01-16,14.2
2024-01-17,23.4
2024-01-18,32.2
2024-01-19,35.0
2024-01-20,24.9
2024-01-21,15.4
2024-01-22,12.7
2024-01-23,11.8
2024-01-24,16.2
2024-01-25,17.6
2024-01-26,10.3
2024-01-27,29.5
2024-01-28,33.8
2024-01-29,33.6
2024-01-30,28.2
2024-01-31,33.3
2024-02-01,22.6
2024-02-02,7.1
2024-02-03,20.9
2024-02-04,23.8
2024-02-05,9.8
2024-02-06,12.2
2024-02-07,12.1
2024-02-08,29.1
2024-02-09,22.6
2024-02-10,6.9
2024-02-11,9.8
2024-02-12,20.9
2024-02-13,18.7
2024-02-14,19.3
2024-02-15,9.6
2024-02-16,29.1
2024-02-17,12.9
2024-02-18,21.3
2024-02-19,6.6
2024-02-20,34.7
2024-02-21,33.8
2024-02-22,15.6
2024-02-23,23.8
2024-02-24,28.6
2024-02-25,19.4
2024-02-26,12.6
2024-02-27,22.3
2024-02-28,27.9
2024-02-29,32.3
2024-03-01,16.3
2024-03-02,29.8
2024-03-03,27.4
2024-03-04,25.3
2024-03-05,8.6
2024-03-06,10.8
2024-03-07,24.1
2024-03-08,7.6
2024-03-09,28.6
2024-03-10,7.6
2024-03-11,28.8
2024-03-12,31.7
2024-03-13,34.3
2024-03-14,7.3
2024-03-15,19.4
2024-03-16,8.2
2024-03-17,26.7
2024-03-18,20.3
2024-03-19,33.4
2024-03-20,23.3
2024-03-21,31.3
2024-03-22,24.5
2024-03-23,14.5
2024-03-24,24.5
2024-03-25,13.6
2024-03-26,18.7
2024-03-27,15.7
2024-03-28,19.1
2024-03-29,12.6
2024-03-30,12.8
2024-03-31,24.1
2024-04-01,24.8
2024-04-02,29.1
2024-04-03,18.0
2024-04-04,32.9
2024-04-05,33.5
2024-04-06,34.1
2024-04-07,20.6
2024-04-08,9.6
2024-04-09,9.6
2024-04-10,17.9
2024-04-11,7.2
2024-04-12,17.1
2024-04-13,30.6
2024-04-14,17.5
2024-04-15,11.5
2024-04-16,27.8
2024-04-17,32.7
2024-04-18,21.4
2024-04-19,10.9
2024-04-20,9.8
2024-04-21,10.5
2024-04-22,32.1
2024-04-23,24.7
2024-04-24,33.5
2024-04-25,18.9
2024-04-26,17.8
2024-04-27,22.3
2024-04-28,30.3
2024-04-29,5.4
2024-04-30,23.6
2024-05-01,28.3
2024-05-02,21.6
2024-05-03,34.1
2024-05-04,11.9
2024-05-05,19.2
2024-05-06,8.4
2024-05-07,19.2
2024-05-08,7.7
2024-05-09,26.2
2024-05-10,17.5
2024-05-11,13.0
2024-05-12,26.5
2024-05-13,21.8
2024-05-14,27.9
2024-05-15,25.7
2024-05-16,12.0
2024-05-17,11.7
2024-05-18,8.5
2024-05-19,34.2
2024-05-20,35.0
2024-05-21,5.3
2024-05-22,21.7
2024-05-23,29.2
2024-05-24,31.5
2024-05-25,11.8
2024-05-26,18.3
2024-05-27,23.9
2024-05-28,17.6
2024-05-29,29.6
2024-05-30,18.5
2024-05-31,23.0
2024-06-01,10.8
2024-06-02,8.8
2024-06-03,11.6
2024-06-04,13.7
2024-06-05,15.0
2024-06-06,10.8
2024-06-07,28.4
2024-06-08,30.6
2024-06-09,12.2
2024-06-10,19.1
2024-06-11,19.9
2024-06-12,12.5
2024-06-13,24.6
2024-06-14,20.8
2024-06-15,23.0
2024-06-16,29.3
2024-06-17,13.3
2024-06-18,13.4
2024-06-19,27.8
2024-06-20,17.1
2024-06-21,7.5
2024-06-22,34.2
2024-06-23,9.6
2024-06-24,25.9
2024-06-25,17.9
2024-06-26,25.5
2024-06-27,18.7
2024-06-28,5.3
2024-06-29,16.8
2024-06-30,24.8
2024-07-01,9.7
2024-07-02,10.3
2024-07-03,7.4
2024-07-04,26.4
2024-07-05,30.3
2024-07-06,7.2
2024-07-07,19.7
2024-07-08,17.5
2024-07-09,30.8
2024-07-10,11.2
2024-07-11,9.1
2024-07-12,26.7
2024-07-13,28.6
2024-07-14,21.9
2024-07-15,5.9
2024-07-16,20.7
2024-07-17,26.1
2024-07-18,14.7
2024-07-19,31.4
2024-07-20,29.3
2024-07-21,18.6
2024-07-22,23.8
2024-07-23,11.3
2024-07-24,31.7
2024-07-25,22.6
2024-07-26,31.6
2024-07-27,28.7
2024-07-28,27.4
2024-07-29,22.1
2024-07-30,14.4
2024-07-31,13.3
2024-08-01,32.3
2024-08-02,29.0
2024-08-03,17.4
2024-08-04,10.9
2024-08-05,32.2
2024-08-06,28.8
2024-08-07,34.7
2024-08-08,28.8
2024-08-09,11.0
2024-08-10,31.1
2024-08-11,12.6
2024-08-12,34.0
2024-08-13,6.1
2024-08-14,23.6
2024-08-15,32.3
2024-08-16,18.9
2024-08-17,19.9
2024-08-18,19.1
2024-08-19,22.5
2024-08-20,27.3
2024-08-21,22.3
2024-08-22,29.0
2024-08-23,15.0
2024-08-24,15.8
2024-08-25,34.7
2024-08-26,9.6
2024-08-27,32.2
2024-08-28,10.2
2024-08-29,33.9
2024-08-30,30.8
2024-08-31,5.0
2024-09-01,31.9
2024-09-02,7.5
2024-09-03,9.0
2024-09-04,14.8
2024-09-05,30.7
2024-09-06,17.7
2024-09-07,32.5
2024-09-08,34.1
2024-09-09,32.6
2024-09-10,24.2
2024-09-11,14.1
2024-09-12,24.7
2024-09-13,22.2
2024-09-14,25.2
2024-09-15,21.3
2024-09-16,18.0
2024-09-17,28.7
2024-09-18,18.5
2024-09-19,18.8
2024-09-20,33.6
2024-09-21,28.8
2024-09-22,6.5
2024-09-23,28.6
2024-09-24,34.2
2024-09-25,17.8
2024-09-26,27.5
2024-09-27,10.4
2024-09-28,22.1
2024-09-29,16.3
2024-09-30,15.3
2024-10-01,13.3
2024-10-02,27.9
2024-10-03,34.3
2024-10-04,10.2
2024-10-05,26.5
2024-10-06,23.8
2024-10-07,28.6
2024-10-08,30.0
2024-10-09,16.3
2024-10-10,10.6
2024-10-11,29.7
2024-10-12,11.1
2024-10-13,13.4
2024-10-14,5.1
2024-10-15,19.8
2024-10-16,9.3
2024-10-17,21.6
2024-10-18,24.6
2024-10-19,11.6
2024-10-20,22.7
2024-10-21,24.9
2024-10-22,23.3
2024-10-23,24.7
2024-10-24,30.3
2024-10-25,17.6
2024-10-26,10.3
2024-10-27,32.0
2024-10-28,15.9
2024-10-29,23.8
2024-10-30,21.0
2024-10-31,14.2
2024-11-01,7.8
2024-11-02,21.9
2024-11-03,29.3
2024-11-04,19.8
2024-11-05,17.5
2024-11-06,9.5
2024-11-07,26.3
2024-11-08,25.9
2024-11-09,12.0
2024-11-10,22.4
2024-11-11,8.2
2024-11-12,14.7
2024-11-13,23.4
2024-11-14,28.1
2024-11-15,28.6
2024-11-16,20.6
2024-11-17,20.5
2024-11-18,24.5
2024-11-19,34.3
2024-11-20,25.4
2024-11-21,21.4
2024-11-22,19.6
2024-11-23,13.9
2024-11-24,14.8
2024-11-25,26.6
2024-11-26,28.1
2024-11-27,30.2
2024-11-28,6.3
2024-11-29,34.7
2024-11-30,19.3
2024-12-01,5.6
2024-12-02,12.0
2024-12-03,5.1
2024-12-04,6.6
2024-12-05,11.4
2024-12-06,8.6
2024-12-07,25.8
2024-12-08,29.9
2024-12-09,7.4
2024-12-10,33.2
2024-12-11,20.2
2024-12-12,10.2
