date,temperature
2023-06-10,3.7
2023-06-11,-6.4
2023-06-12,-8.0
2023-06-13,16.5
2023-06-14,28.9
2023-06-15,12.2
2023-06-16,-4.6
2023-06-17,27.3
2023-06-18,22.0
2023-06-19,12.4
2023-06-20,29.7
2023-06-21,4.4
2023-06-22,11.0
2023-06-23,14.4
2023-06-24,-8.0
2023-06-25,15.7
2023-06-26,-8.1
2023-06-27,16.4
2023-06-28,28.0
2023-06-29,27.6
2023-06-30,19.9
2023-07-01,24.2
2023-07-02,20.1
2023-07-03,6.9
2023-07-04,-0.9
2023-07-05,-8.5
2023-07-06,23.6
2023-07-07,-9.8
2023-07-08,10.8
2023-07-09,24.9
2023-07-10,21.7
2023-07-11,-7.0
2023-07-12,1.1
2023-07-13,10.9
2023-07-14,28.6
2023-07-15,14.2
2023-07-16,21.0
2023-07-17,-9.0
2023-07-18,3.3
2023-07-19,-0.6
2023-07-20,25.5
2023-07-21,23.8
2023-07-22,7.1
2023-07-23,-0.6
2023-07-24,24.4
2023-07-25,-0.2
2023-07-26,3.1
2023-07-27,7.2
2023-07-28,1.8
2023-07-29,16.5
2023-07-30,28.6
2023-07-31,-8.7
2023-08-01,-8.4
2023-08-02,18.0
2023-08-03,5.3
2023-08-04,1.0
2023-08-05,-8.2
2023-08-06,14.4
2023-08-07,-6.2
2023-08-08,12.6
2023-08-09,24.1
2023-08-10,-6.0
2023-08-11,22.2
2023-08-12,12.6
2023-08-13,29.5
2023-08-14,3.5
2023-08-15,-8.9
2023-08-16,17.0
2023-08-17,29.1
2023-08-18,16.1
2023-08-19,16.9
2023-08-20,6.8
2023-08-21,23.0
2023-08-22,7.1
2023-08-23,28.1
2023-08-24,12.8
2023-08-25,-0.1
2023-08-26,23.5
2023-08-27,20.6
2023-08-28,22.6
2023-08-29,13.5
2023-08-30,1.7
2023-08-31,14.2
2023-09-01,19.2
2023-09-02,16.1
2023-09-03,13.6
2023-09-04,-7.8
2023-09-05,25.2
2023-09-06,28.8
2023-09-07,1.1
2023-09-08,-2.5
2023-09-09,6.2
2023-09-10,3.2
2023-09-11,22.5
2023-09-12,15.7
2023-09-13,-4.4
2023-09-14,-3.4
2023-09-15,27.5
2023-09-16,8.4
2023-09-17,22.0
2023-09-18,14.0
2023-09-19,0.0
2023-09-20,21.6
2023-09-21,2.2
2023-09-22,27.2
2023-09-23,-4.2
2023-09-24,26.3
2023-09-25,14.2
2023-09-26,15.5
2023-09-27,-9.3
2023-09-28,-3.6
2023-09-29,21.8
2023-09-30,-5.6
2023-10-01,15.7
2023-10-02,-5.7
2023-10-03,0.7
2023-10-04,-5.0
2023-10-05,4.5
2023-10-06,13.4
2023-10-07,12.9
2023-10-08,-6.0
2023-10-09,18.5
2023-10-10,7.0
2023-10-11,-7.6
2023-10-12,-9.6
2023-10-13,-0.4
2023-10-14,12.5
2023-10-15,24.9
2023-10-16,16.4
2023-10-17,23.6
2023-10-18,27.3
2023-10-19,15.4
2023-10-20,-1.0
2023-10-21,24.4
2023-10-22,29.7
2023-10-23,17.1
2023-10-24,-1.6
2023-10-25,13.9
2023-10-26,-5.0
2023-10-27,-8.0
2023-10-28,16.5
2023-10-29,1.5
2023-10-30,27.2
2023-10-31,5.0
2023-11-01,18.0
2023-11-02,11.5
2023-11-03,16.6
2023-11-04,4.8
2023-11-05,14.1
2023-11-06,21.6
2023-11-07,15.4
2023-11-08,14.1
2023-11-09,5.3
2023-11-10,-9.9
2023-11-11,22.5
2023-11-12,23.8
2023-11-13,14.1
2023-11-14,14.1
2023-11-15,14.8
2023-11-16,23.9
2023-11-17,13.3
2023-11-18,12.3
2023-11-19,-7.5
2023-11-20,15.7
2023-11-21,20.6
2023-11-22,7.5
2023-11-23,22.0
2023-11-24,-6.3
2023-11-25,13.9
2023-11-26,25.3
2023-11-27,24.1
2023-11-28,5.0
2023-11-29,-5.5
2023-11-30,15.8
2023-12-01,8.2
2023-12-02,13.3
2023-12-03,-2.2
2023-12-04,8.3
2023-12-05,24.9
2023-12-06,-6.7
2023-12-07,14.0
2023-12-08,27.3
2023-12-09,15.6
2023-12-10,0.7
2023-12-11,16.3
2023-12-12,20.1
2023-12-13,14.0
2023-12-14,5.5
2023-12-15,2.4
2023-12-16,21.8
2023-12-17,27.7
2023-12-18,23.0
2023-12-19,5.4
2023-12-20,14.2
2023-12-21,29.7
2023-12-22,21.6
2023-12-23,14.4
2023-12-24,5.6
2023-12-25,4.8
2023-12-26,-9.0
2023-12-27,19.8
2023-12-28,15.2
2023-12-29,-4.6
2023-12-30,-8.7
2023-12-31,23.9
2024-01-01,-2.7
2024-01-02,9.1
2024-01-03,4.7
2024-01-04,9.4
2024-01-05,-1.6
2024-01-06,29.6
2024-01-07,3.8
2024-01-08,5.1
2024-01-09,26.8
2024-01-10,5.6
2024-01-11,27.7
2024-01-12,26.4
2024-01-13,24.1
2024-01-14,20.8
2024-01-15,22.0
2024-01-16,-2.3
2024-01-17,11.7
2024-01-18,-5.5
2024-01-19,11.3
2024-01-20,17.2
2024-01-21,14.3
2024-01-22,29.2
2024-01-23,6.7
2024-01-24,24.5
2024-01-25,23.8
2024-01-26,5.5
2024-01-27,23.0
2024-01-28,7.1
2024-01-29,12.6
2024-01-30,-0.3
2024-01-31,5.3
2024-02-01,17.5
2024-02-02,2.2
2024-02-03,2.0
2024-02-04,15.6
2024-02-05,-2.1
2024-02-06,-0.6
2024-02-07,1.6
2024-02-08,25.1
2024-02-09,16.7
2024-02-10,-7.2
2024-02-11,20.2
2024-02-12,-0.2
2024-02-13,7.1
2024-02-14,-0.4
2024-02-15,6.6
2024-02-16,19.3
2024-02-17,18.5
2024-02-18,18.2
2024-02-19,-5.9
2024-02-20,-9.7
2024-02-21,-0.6
2024-02-22,25.2
2024-02-23,6.9
2024-02-24,1.9
2024-02-25,17.9
2024-02-26,17.8
2024-02-27,24.0
2024-02-28,30.0
2024-02-29,-7.4
2024-03-01,19.1
2024-03-02,5.1
2024-03-03,-4.6
2024-03-04,12.1
2024-03-05,1.0
2024-03-06,1.3
2024-03-07,28.0
2024-03-08,11.1
2024-03-09,4.6
2024-03-10,16.2
2024-03-11,29.4
2024-03-12,7.4
2024-03-13,5.6
2024-03-14,9.9
2024-03-15,13.4
2024-03-16,-1.3
2024-03-17,14.6
2024-03-18,24.9
2024-03-19,-8.4
2024-03-20,29.9
2024-03-21,28.0
2024-03-22,7.8
2024-03-23,12.3
2024-03-24,26.9
2024-03-25,-5.7
2024-03-26,-4.2
2024-03-27,12.0
2024-03-28,2.0
2024-03-29,13.3
2024-03-30,27.7
2024-03-31,10.6
2024-04-01,25.1
2024-04-02,3.4
2024-04-03,-7.8
2024-04-04,-1.0
2024-04-05,24.3
2024-04-06,19.5
2024-04-07,19.0
2024-04-08,14.9
2024-04-09,2.9
2024-04-10,13.7
2024-04-11,5.4
2024-04-12,19.3
2024-04-13,-0.5
2024-04-14,13.1
2024-04-15,17.0
2024-04-16,-0.0
2024-04-17,-1.7
2024-04-18,4.9
2024-04-19,17.8
2024-04-20,22.3
2024-04-21,-6.8
2024-04-22,19.1
2024-04-23,-5.5
2024-04-24,-8.1
2024-04-25,22.9
2024-04-26,5.4
2024-04-27,-1.6
2024-04-28,6.6
2024-04-29,29.9
2024-04-30,11.8
2024-05-01,-8.5
2024-05-02,1.0
2024-05-03,11.3
2024-05-04,-4.7
2024-05-05,16.7
2024-05-06,-7.6
2024-05-07,29.3
2024-05-08,29.5
2024-05-09,3.0
2024-05-10,-7.4
2024-05-11,21.9
2024-05-12,-7.3
2024-05-13,25.7
2024-05-14,14.2
2024-05-15,20.2
2024-05-16,14.1
2024-05-17,10.6
2024-05-18,-1.1
2024-05-19,-8.8
2024-05-20,24.3
2024-05-21,2.4
2024-05-22,13.4
2024-05-23,14.6
2024-05-24,10.7
2024-05-25,20.5
2024-05-26,-0.3
2024-05-27,-3.0
2024-05-28,-2.6
2024-05-29,14.3
2024-05-30,24.3
2024-05-31,13.7
2024-06-01,28.6
2024-06-02,17.8
2024-06-03,25.6
2024-06-04,22.2
2024-06-05,29.2
2024-06-06,-3.3
2024-06-07,5.2
2024-06-08,15.9
2024-06-09,5.4
2024-06-10,13.4
2024-06-11,11.1
2024-06-12,27.8
2024-06-13,20.8
2024-06-14,-0.7
2024-06-15,27.7
2024-06-16,12.0
2024-06-17,18.6
2024-06-18,0.9
2024-06-19,18.1
2024-06-20,0.5
2024-06-21,-0.8
2024-06-22,20.7
2024-06-23,-0.2
2024-06-24,0.1
2024-06-25,2.4
2024-06-26,11.5
2024-06-27,-8.5
2024-06-28,12.0
2024-06-29,9.2
2024-06-30,25.8
2024-07-01,3.8
2024-07-02,14.3
2024-07-03,-0.3
2024-07-04,1.8
2024-07-05,-3.9
2024-07-06,5.1
2024-07-07,25.7
2024-07-08,-3.8
2024-07-09,21.3
2024-07-10,6.0
2024-07-11,21.4
2024-07-12,-6.6
2024-07-13,15.8
2024-07-14,12.3
2024-07-15,30.0
2024-07-16,22.5
2024-07-17,-7.5
2024-07-18,19.5
2024-07-19,9.9
2024-07-20,-4.6
2024-07-21,-6.8
2024-07-22,1.7
2024-07-23,-5.8
2024-07-24,14.2
2024-07-25,13.7
2024-07-26,17.2
2024-07-27,29.7
2024-07-28,16.3
2024-07-29,8.0
2024-07-30,18.2
2024-07-31,20.5
2024-08-01,-8.6
2024-08-02,27.0
2024-08-03,2.2
2024-08-04,-6.7
2024-08-05,9.8
2024-08-06,3.7
2024-08-07,11.1
2024-08-08,11.3
2024-08-09,13.8
2024-08-10,28.3
2024-08-11,27.4
2024-08-12,20.7
2024-08-13,22.5
2024-08-14,25.9
2024-08-15,-0.7
2024-08-16,11.1
2024-08-17,7.4
2024-08-18,7.7
2024-08-19,-6.8
2024-08-20,-7.9
2024-08-21,1.2
2024-08-22,-7.7
2024-08-23,0.1
2024-08-24,-1.6
2024-08-25,21.7
2024-08-26,17.4
2024-08-27,5.2
2024-08-28,25.2
2024-08-29,24.9
2024-08-30,-4.8
2024-08-31,-7.2
2024-09-01,0.4
2024-09-02,-0.1
2024-09-03,14.5
2024-09-04,19.4
2024-09-05,14.0
2024-09-06,17.7
2024-09-07,19.8
2024-09-08,23.2
2024-09-09,16.5
2024-09-10,23.7
2024-09-11,6.7
