date,temperature
2023-06-10,19.7
2023-06-11,15.2
2023-06-12,7.9
2023-06-13,17.8
2023-06-14,22.5
2023-06-15,5.4
2023-06-16,12.2
2023-06-17,20.1
2023-06-18,0.1
2023-06-19,19.4
2023-06-20,24.9
2023-06-21,23.8
2023-06-22,4.3
2023-06-23,15.1
2023-06-24,19.6
2023-06-25,15.6
2023-06-26,13.6
2023-06-27,23.2
2023-06-28,11.2
2023-06-29,22.0
2023-06-30,12.1
2023-07-01,12.0
2023-07-02,11.4
2023-07-03,17.0
2023-07-04,0.6
2023-07-05,8.2
2023-07-06,23.7
2023-07-07,4.3
2023-07-08,24.6
2023-07-09,21.2
2023-07-10,23.0
2023-07-11,23.2
2023-07-12,7.3
2023-07-13,17.3
2023-07-14,4.7
2023-07-15,8.3
2023-07-16,10.0
2023-07-17,13.6
2023-07-18,12.5
2023-07-19,11.8
2023-07-20,19.1
2023-07-21,14.7
2023-07-22,1.3
2023-07-23,12.4
2023-07-24,14.1
2023-07-25,19.4
2023-07-26,21.8
2023-07-27,17.7
2023-07-28,22.6
2023-07-29,15.9
2023-07-30,23.3
2023-07-31,16.7
2023-08-01,19.4
2023-08-02,8.6
2023-08-03,4.4
2023-08-04,14.1
2023-08-05,11.3
2023-08-06,24.1
2023-08-07,24.7
2023-08-08,21.2
2023-08-09,22.2
2023-08-10,21.1
2023-08-11,23.2
2023-08-12,16.3
2023-08-13,9.1
2023-08-14,21.1
2023-08-15,5.1
2023-08-16,4.2
2023-08-17,10.7
2023-08-18,19.7
2023-08-19,18.6
2023-08-20,14.1
2023-08-21,3.0
2023-08-22,0.5
2023-08-23,7.3
2023-08-24,8.4
2023-08-25,8.0
2023-08-26,5.0
2023-08-27,13.5
2023-08-28,3.5
2023-08-29,20.8
2023-08-30,1.8
2023-08-31,10.9
2023-09-01,15.8
2023-09-02,6.6
2023-09-03,0.2
2023-09-04,11.9
2023-09-05,13.9
2023-09-06,7.6
2023-09-07,17.3
2023-09-08,13.2
2023-09-09,6.2
2023-09-10,9.1
2023-09-11,0.2
2023-09-12,7.3
2023-09-13,17.6
2023-09-14,14.8
2023-09-15,12.5
2023-09-16,1.3
2023-09-17,15.0
2023-09-18,21.3
2023-09-19,18.6
2023-09-20,12.3
2023-09-21,16.3
2023-09-22,22.7
2023-09-23,23.9
2023-09-24,18.7
2023-09-25,6.3
2023-09-26,6.9
2023-09-27,19.4
2023-09-28,13.4
2023-09-29,10.9
2023-09-30,1.1
2023-10-01,10.4
2023-10-02,11.7
2023-10-03,24.0
2023-10-04,7.8
2023-10-05,18.6
2023-10-06,8.6
2023-10-07,22.1
2023-10-08,4.6
2023-10-09,24.6
2023-10-10,14.4
2023-10-11,15.5
2023-10-12,2.1
2023-10-13,18.7
2023-10-14,23.4
2023-10-15,16.3
2023-10-16,2.2
2023-10-17,22.1
2023-10-18,3.8
2023-10-19,23.8
2023-10-20,0.8
2023-10-21,0.4
2023-10-22,13.6
2023-10-23,4.0
2023-10-24,15.2
2023-10-25,16.9
2023-10-26,12.5
2023-10-27,2.6
2023-10-28,8.8
2023-10-29,5.2
2023-10-30,19.1
2023-10-31,10.8
2023-11-01,21.9
2023-11-02,8.4
2023-11-03,18.2
2023-11-04,13.6
2023-11-05,2.4
2023-11-06,7.7
2023-11-07,18.7
2023-11-08,21.4
2023-11-09,12.2
2023-11-10,13.3
2023-11-11,7.7
2023-11-12,22.1
2023-11-13,9.0
2023-11-14,2.0
2023-11-15,22.6
2023-11-16,20.3
2023-11-17,10.2
2023-11-18,0.5
2023-11-19,2.0
2023-11-20,24.4
2023-11-21,18.9
2023-11-22,23.9
2023-11-23,3.8
2023-11-24,17.7
2023-11-25,10.5
2023-11-26,18.0
2023-11-27,24.8
2023-11-28,7.1
2023-11-29,3.4
2023-11-30,19.6
2023-12-01,13.1
2023-12-02,16.2
2023-12-03,12.9
2023-12-04,5.0
2023-12-05,3.9
2023-12-06,17.7
2023-12-07,8.0
2023-12-08,0.4
2023-12-09,2.8
2023-12-10,24.2
2023-12-11,12.6
2023-12-12,17.3
2023-12-13,19.0
2023-12-14,3.0
2023-12-15,11.9
2023-12-16,11.9
2023-12-17,16.5
2023-12-18,6.8
2023-12-19,15.1
