date,temperature
2023-06-10,36.2
2023-06-11,17.3
2023-06-12,20.3
2023-06-13,16.8
2023-06-14,26.7
2023-06-15,19.6
2023-06-16,32.5
2023-06-17,13.4
2023-06-18,34.2
2023-06-19,15.5
2023-06-20,24.7
2023-06-21,31.4
2023-06-22,28.5
2023-06-23,14.7
2023-06-24,36.4
2023-06-25,15.2
2023-06-26,29.9
2023-06-27,14.3
2023-06-28,27.3
2023-06-29,23.0
2023-06-30,21.6
2023-07-01,13.8
2023-07-02,39.0
2023-07-03,34.2
2023-07-04,13.1
2023-07-05,15.3
2023-07-06,31.1
2023-07-07,29.3
2023-07-08,19.0
2023-07-09,13.8
2023-07-10,30.7
2023-07-11,13.9
2023-07-12,36.8
2023-07-13,21.1
2023-07-14,32.5
2023-07-15,14.0
2023-07-16,22.8
2023-07-17,37.6
2023-07-18,37.2
2023-07-19,27.9
2023-07-20,12.6
2023-07-21,31.2
2023-07-22,36.5
2023-07-23,34.7
2023-07-24,18.8
2023-07-25,13.4
2023-07-26,13.3
2023-07-27,36.1
2023-07-28,20.0
2023-07-29,34.4
2023-07-30,29.6
2023-07-31,12.5
2023-08-01,37.5
2023-08-02,18.6
2023-08-03,19.8
2023-08-04,36.6
2023-08-05,21.5
2023-08-06,34.7
2023-08-07,25.0
2023-08-08,24.7
2023-08-09,39.6
2023-08-10,38.2
2023-08-11,30.8
2023-08-12,39.6
2023-08-13,32.8
2023-08-14,35.5
2023-08-15,10.6
2023-08-16,36.8
2023-08-17,16.8
2023-08-18,10.5
2023-08-19,35.1
2023-08-20,13.1
2023-08-21,22.5
2023-08-22,30.8
2023-08-23,38.4
2023-08-24,34.2
2023-08-25,37.3
2023-08-26,28.3
2023-08-27,14.3
2023-08-28,32.2
2023-08-29,13.9
2023-08-30,18.7
2023-08-31,22.4
2023-09-01,24.0
2023-09-02,16.9
2023-09-03,30.1
2023-09-04,18.8
2023-09-05,35.5
2023-09-06,35.6
2023-09-07,34.4
2023-09-08,17.3
2023-09-09,31.3
2023-09-10,38.4
2023-09-11,18.3
2023-09-12,26.5
2023-09-13,12.7
2023-09-14,21.7
2023-09-15,26.7
2023-09-16,36.4
2023-09-17,28.9
2023-09-18,19.7
2023-09-19,20.6
2023-09-20,37.5
2023-09-21,17.5
2023-09-22,24.1
2023-09-23,12.3
2023-09-24,23.5
2023-09-25,23.7
2023-09-26,25.3
2023-09-27,23.4
2023-09-28,26.6
2023-09-29,14.3
2023-09-30,30.0
2023-10-01,18.2
2023-10-02,35.1
2023-10-03,34.0
2023-10-04,13.5
2023-10-05,33.3
2023-10-06,25.1
2023-10-07,27.3
2023-10-08,12.0
2023-10-09,10.7
2023-10-10,21.9
2023-10-11,16.5
2023-10-12,16.1
2023-10-13,16.5
2023-10-14,11.9
2023-10-15,33.8
2023-10-16,33.1
2023-10-17,18.1
2023-10-18,38.0
2023-10-19,18.2
2023-10-20,15.0
2023-10-21,21.2
2023-10-22,14.4
2023-10-23,12.3
2023-10-24,26.0
2023-10-25,25.5
2023-10-26,24.6
2023-10-27,11.0
2023-10-28,37.4
2023-10-29,32.2
2023-10-30,28.9
2023-10-31,23.5
2023-11-01,27.0
2023-11-02,28.2
2023-11-03,29.6
2023-11-04,25.1
2023-11-05,34.8
2023-11-06,15.6
2023-11-07,16.3
2023-11-08,20.6
2023-11-09,20.5
2023-11-10,38.8
2023-11-11,35.7
2023-11-12,27.2
2023-11-13,38.2
2023-11-14,26.9
2023-11-15,19.1
2023-11-16,38.6
2023-11-17,20.8
2023-11-18,28.3
2023-11-19,30.9
2023-11-20,33.8
2023-11-21,31.0
2023-11-22,16.0
2023-11-23,16.5
2023-11-24,18.5
2023-11-25,27.5
2023-11-26,22.0
2023-11-27,12.5
2023-11-28,36.2
2023-11-29,31.5
