date,temperature
2023-06-10,16.7
2023-06-11,25.4
2023-06-12,26.6
2023-06-13,3.4
2023-06-14,10.2
2023-06-15,-3.2
2023-06-16,-3.2
2023-06-17,9.0
2023-06-18,29.3
2023-06-19,29.5
2023-06-20,19.1
2023-06-21,21.2
2023-06-22,0.8
2023-06-23,16.2
2023-06-24,16.2
2023-06-25,29.4
2023-06-26,21.2
2023-06-27,3.7
2023-06-28,12.3
2023-06-29,22.5
2023-06-30,26.0
2023-07-01,8.7
2023-07-02,3.3
2023-07-03,4.3
2023-07-04,27.7
2023-07-05,13.4
2023-07-06,28.9
2023-07-07,15.9
2023-07-08,-3.2
2023-07-09,6.8
2023-07-10,10.1
2023-07-11,14.6
2023-07-12,21.1
2023-07-13,1.7
2023-07-14,11.1
2023-07-15,-0.0
2023-07-16,19.1
2023-07-17,9.1
2023-07-18,18.0
2023-07-19,1.6
2023-07-20,26.4
2023-07-21,-4.5
2023-07-22,-0.8
2023-07-23,7.4
2023-07-24,6.5
2023-07-25,9.8
2023-07-26,-0.3
2023-07-27,25.0
2023-07-28,10.7
2023-07-29,10.9
2023-07-30,11.5
2023-07-31,18.8
2023-08-01,-4.4
2023-08-02,-3.0
2023-08-03,3.3
2023-08-04,3.6
2023-08-05,7.7
2023-08-06,1.1
2023-08-07,15.4
2023-08-08,10.1
2023-08-09,19.3
2023-08-10,17.4
2023-08-11,14.1
2023-08-12,14.2
2023-08-13,18.1
2023-08-14,8.5
2023-08-15,28.5
2023-08-16,4.5
2023-08-17,18.5
2023-08-18,26.8
2023-08-19,-4.0
2023-08-20,12.0
2023-08-21,3.4
2023-08-22,7.6
2023-08-23,15.1
2023-08-24,-0.8
2023-08-25,15.6
2023-08-26,12.4
2023-08-27,5.1
2023-08-28,0.1
2023-08-29,3.6
2023-08-30,14.1
2023-08-31,-1.3
2023-09-01,5.3
2023-09-02,11.3
2023-09-03,7.4
2023-09-04,23.2
2023-09-05,25.5
2023-09-06,19.6
2023-09-07,10.4
2023-09-08,-0.1
2023-09-09,18.4
2023-09-10,2.1
2023-09-11,28.2
2023-09-12,28.5
2023-09-13,28.2
2023-09-14,4.4
2023-09-15,24.8
2023-09-16,24.2
2023-09-17,16.2
2023-09-18,2.6
2023-09-19,12.1
2023-09-20,18.5
2023-09-21,7.7
2023-09-22,18.0
2023-09-23,13.1
2023-09-24,0.6
2023-09-25,5.7
2023-09-26,21.2
2023-09-27,29.2
2023-09-28,-1.6
2023-09-29,23.3
2023-09-30,17.5
2023-10-01,6.5
2023-10-02,2.5
2023-10-03,24.7
2023-10-04,26.7
2023-10-05,29.8
2023-10-06,21.5
2023-10-07,18.1
2023-10-08,8.5
2023-10-09,9.8
2023-10-10,5.7
2023-10-11,2.2
2023-10-12,14.2
2023-10-13,8.9
2023-10-14,24.9
2023-10-15,15.7
2023-10-16,5.0
2023-10-17,13.0
2023-10-18,8.8
2023-10-19,8.4
2023-10-20,16.3
2023-10-21,18.9
2023-10-22,18.8
2023-10-23,21.5
2023-10-24,0.9
2023-10-25,4.2
2023-10-26,11.7
2023-10-27,15.6
2023-10-28,8.1
2023-10-29,-2.0
2023-10-30,-3.7
2023-10-31,-5.0
2023-11-01,-4.4
2023-11-02,15.2
2023-11-03,-2.0
2023-11-04,1.0
2023-11-05,27.4
2023-11-06,20.5
2023-11-07,25.2
2023-11-08,-2.1
2023-11-09,14.5
2023-11-10,23.6
2023-11-11,-1.0
2023-11-12,-2.3
2023-11-13,22.4
2023-11-14,28.4
2023-11-15,17.8
2023-11-16,9.4
2023-11-17,28.0
2023-11-18,2.9
2023-11-19,30.0
2023-11-20,17.8
2023-11-21,5.0
2023-11-22,19.9
2023-11-23,29.7
2023-11-24,-2.2
2023-11-25,14.2
2023-11-26,18.6
2023-11-27,19.1
2023-11-28,20.6
2023-11-29,12.8
2023-11-30,-5.0
2023-12-01,27.9
2023-12-02,21.8
2023-12-03,18.9
2023-12-04,15.2
2023-12-05,19.6
2023-12-06,29.4
2023-12-07,3.8
2023-12-08,-4.5
2023-12-09,-4.0
2023-12-10,1.9
2023-12-11,23.0
2023-12-12,26.1
2023-12-13,18.1
2023-12-14,16.7
2023-12-15,16.5
2023-12-16,26.1
2023-12-17,-0.4
2023-12-18,3.9
2023-12-19,9.1
2023-12-20,6.8
2023-12-21,9.6
2023-12-22,2.6
2023-12-23,15.1
2023-12-24,-3.6
2023-12-25,6.7
2023-12-26,5.6
2023-12-27,22.4
2023-12-28,-2.2
2023-12-29,4.6
2023-12-30,8.8
2023-12-31,22.2
2024-01-01,-1.2
2024-01-02,-1.3
2024-01-03,2.3
2024-01-04,2.1
2024-01-05,-3.6
2024-01-06,-2.2
2024-01-07,0.8
2024-01-08,3.6
2024-01-09,-2.2
2024-01-10,19.1
