date,temperature
2023-06-10,-16.8
2023-06-11,6.4
2023-06-12,-6.9
2023-06-13,-11.6
2023-06-14,18.9
2023-06-15,14.1
2023-06-16,-2.3
2023-06-17,16.7
2023-06-18,15.2
2023-06-19,1.9
2023-06-20,11.4
2023-06-21,-13.6
2023-06-22,9.9
2023-06-23,18.2
2023-06-24,-13.5
2023-06-25,-19.8
2023-06-26,-5.2
2023-06-27,-17.3
2023-06-28,13.1
2023-06-29,1.4
2023-06-30,5.3
2023-07-01,-18.7
2023-07-02,5.7
2023-07-03,3.7
2023-07-04,15.5
2023-07-05,-3.2
2023-07-06,10.5
2023-07-07,9.8
2023-07-08,12.9
2023-07-09,7.9
2023-07-10,11.2
2023-07-11,20.0
2023-07-12,-12.1
2023-07-13,-14.4
2023-07-14,-5.1
2023-07-15,-7.8
2023-07-16,9.9
2023-07-17,7.2
2023-07-18,8.4
2023-07-19,-3.5
2023-07-20,16.0
2023-07-21,1.2
2023-07-22,-9.0
2023-07-23,-8.1
2023-07-24,-10.7
2023-07-25,-8.9
2023-07-26,0.3
2023-07-27,16.7
2023-07-28,-13.1
2023-07-29,-0.2
2023-07-30,20.0
2023-07-31,-3.5
2023-08-01,7.9
2023-08-02,-14.4
2023-08-03,-19.4
2023-08-04,3.5
2023-08-05,11.4
2023-08-06,-19.5
2023-08-07,18.7
2023-08-08,-0.4
2023-08-09,4.4
2023-08-10,-1.3
2023-08-11,-19.7
2023-08-12,5.5
2023-08-13,-4.6
2023-08-14,15.2
2023-08-15,14.5
2023-08-16,-16.8
2023-08-17,3.4
2023-08-18,15.3
2023-08-19,0.8
2023-08-20,14.6
2023-08-21,10.0
2023-08-22,-0.6
2023-08-23,-2.4
2023-08-24,-0.3
2023-08-25,11.4
2023-08-26,-2.8
2023-08-27,-5.5
2023-08-28,-5.7
2023-08-29,0.2
2023-08-30,-1.3
2023-08-31,-18.2
2023-09-01,-10.7
2023-09-02,-3.6
2023-09-03,7.6
2023-09-04,-1.5
2023-09-05,-11.0
2023-09-06,7.4
2023-09-07,9.3
2023-09-08,-17.5
2023-09-09,15.9
2023-09-10,-13.8
2023-09-11,-1.7
2023-09-12,14.6
2023-09-13,-5.8
2023-09-14,16.8
2023-09-15,13.7
2023-09-16,5.4
2023-09-17,-5.1
2023-09-18,-18.2
2023-09-19,3.5
2023-09-20,5.8
2023-09-21,-14.8
2023-09-22,-5.3
2023-09-23,15.0
2023-09-24,3.9
2023-09-25,-18.1
2023-09-26,-18.6
2023-09-27,-4.3
2023-09-28,-9.6
2023-09-29,8.2
2023-09-30,-7.3
2023-10-01,11.6
2023-10-02,0.3
2023-10-03,-7.0
2023-10-04,3.1
2023-10-05,-16.4
2023-10-06,-9.8
2023-10-07,-0.5
2023-10-08,14.8
2023-10-09,6.8
2023-10-10,17.3
2023-10-11,-15.3
2023-10-12,-15.8
2023-10-13,-10.4
2023-10-14,-11.6
2023-10-15,12.9
2023-10-16,13.0
2023-10-17,7.6
2023-10-18,-2.8
2023-10-19,-15.6
2023-10-20,7.5
2023-10-21,-4.5
2023-10-22,-13.3
2023-10-23,-5.1
2023-10-24,-8.9
2023-10-25,18.3
2023-10-26,-18.6
2023-10-27,4.7
2023-10-28,-16.1
2023-10-29,0.0
2023-10-30,-1.8
2023-10-31,-3.4
2023-11-01,13.5
2023-11-02,-6.7
2023-11-03,18.3
