date,temperature
2023-06-10,34.6
2023-06-11,32.2
2023-06-12,15.8
2023-06-13,32.8
2023-06-14,28.2
2023-06-15,21.2
2023-06-16,22.4
2023-06-17,22.6
2023-06-18,33.5
2023-06-19,24.4
2023-06-20,22.9
2023-06-21,30.1
2023-06-22,17.5
2023-06-23,25.5
2023-06-24,18.0
2023-06-25,18.8
2023-06-26,28.0
2023-06-27,31.0
2023-06-28,22.1
2023-06-29,29.3
2023-06-30,33.2
2023-07-01,19.1
2023-07-02,34.6
2023-07-03,29.3
2023-07-04,16.2
2023-07-05,18.2
2023-07-06,21.0
2023-07-07,34.5
2023-07-08,18.0
2023-07-09,30.3
2023-07-10,27.6
2023-07-11,27.0
2023-07-12,20.8
2023-07-13,31.4
2023-07-14,33.8
2023-07-15,20.6
2023-07-16,33.2
2023-07-17,17.7
2023-07-18,21.3
2023-07-19,25.5
2023-07-20,16.6
2023-07-21,22.2
2023-07-22,32.6
2023-07-23,34.6
2023-07-24,15.6
2023-07-25,16.3
2023-07-26,28.3
2023-07-27,24.5
2023-07-28,24.5
2023-07-29,25.7
2023-07-30,24.3
2023-07-31,17.3
2023-08-01,22.2
2023-08-02,16.3
2023-08-03,32.3
2023-08-04,18.5
2023-08-05,32.7
2023-08-06,17.2
2023-08-07,16.7
2023-08-08,29.4
2023-08-09,18.2
2023-08-10,22.1
2023-08-11,21.4
2023-08-12,27.7
2023-08-13,20.4
2023-08-14,32.0
2023-08-15,29.5
2023-08-16,34.6
2023-08-17,24.2
2023-08-18,33.8
2023-08-19,15.3
2023-08-20,32.5
2023-08-21,27.5
2023-08-22,16.8
2023-08-23,15.4
2023-08-24,23.3
2023-08-25,24.1
2023-08-26,28.0
2023-08-27,26.3
2023-08-28,29.7
2023-08-29,21.3
2023-08-30,24.5
2023-08-31,31.0
2023-09-01,17.0
2023-09-02,26.0
2023-09-03,15.8
2023-09-04,24.5
2023-09-05,24.8
2023-09-06,27.2
2023-09-07,30.4
2023-09-08,17.9
2023-09-09,16.9
2023-09-10,19.7
2023-09-11,17.1
2023-09-12,22.8
2023-09-13,16.6
2023-09-14,19.8
2023-09-15,34.7
2023-09-16,16.4
2023-09-17,23.0
2023-09-18,33.4
2023-09-19,29.2
2023-09-20,22.8
2023-09-21,16.6
2023-09-22,18.1
2023-09-23,20.3
2023-09-24,26.4
2023-09-25,33.2
2023-09-26,16.2
2023-09-27,24.3
2023-09-28,24.6
2023-09-29,31.0
2023-09-30,26.0
2023-10-01,28.0
2023-10-02,35.0
2023-10-03,18.8
2023-10-04,15.4
2023-10-05,21.4
2023-10-06,20.9
2023-10-07,32.8
2023-10-08,30.4
2023-10-09,20.2
2023-10-10,25.2
2023-10-11,26.8
2023-10-12,31.4
2023-10-13,18.5
2023-10-14,31.6
2023-10-15,27.0
2023-10-16,20.4
2023-10-17,17.3
2023-10-18,27.9
2023-10-19,19.9
2023-10-20,23.9
2023-10-21,23.1
2023-10-22,17.9
2023-10-23,24.3
2023-10-24,17.0
2023-10-25,29.6
2023-10-26,28.2
2023-10-27,20.3
2023-10-28,23.2
2023-10-29,20.2
2023-10-30,33.0
2023-10-31,31.1
2023-11-01,18.1
2023-11-02,35.0
2023-11-03,21.1
2023-11-04,23.1
2023-11-05,20.4
2023-11-06,21.4
2023-11-07,31.5
2023-11-08,23.3
2023-11-09,30.4
2023-11-10,24.5
2023-11-11,16.9
2023-11-12,23.3
2023-11-13,32.4
2023-11-14,27.3
2023-11-15,21.5
2023-11-16,29.5
2023-11-17,23.0
2023-11-18,16.6
2023-11-19,34.8
2023-11-20,20.2
2023-11-21,34.7
2023-11-22,32.3
2023-11-23,16.1
2023-11-24,25.2
2023-11-25,34.6
2023-11-26,24.2
2023-11-27,19.6
2023-11-28,23.4
2023-11-29,25.9
2023-11-30,16.2
2023-12-01,19.6
2023-12-02,20.4
2023-12-03,33.3
2023-12-04,15.7
2023-12-05,20.5
2023-12-06,26.8
2023-12-07,26.2
2023-12-08,23.7
2023-12-09,21.3
2023-12-10,26.4
2023-12-11,23.3
2023-12-12,25.5
2023-12-13,34.7
2023-12-14,30.9
2023-12-15,31.0
2023-12-16,32.4
2023-12-17,26.9
2023-12-18,27.8
2023-12-19,28.8
2023-12-20,19.9
2023-12-21,16.0
2023-12-22,34.2
2023-12-23,32.6
2023-12-24,18.7
2023-12-25,28.8
2023-12-26,15.4
2023-12-27,28.6
2023-12-28,21.2
2023-12-29,34.2
2023-12-30,35.0
2023-12-31,22.1
2024-01-01,26.9
2024-01-02,25.2
2024-01-03,17.0
2024-01-04,28.0
2024-01-05,16.4
2024-01-06,33.9
2024-01-07,19.2
2024-01-08,31.3
2024-01-09,20.2
2024-01-10,34.9
2024-01-11,22.9
2024-01-12,28.3
2024-01-13,21.9
2024-01-14,22.8
2024-01-15,15.3
2024-01-16,17.6
2024-01-17,30.0
2024-01-18,15.2
2024-01-19,33.4
2024-01-20,18.7
2024-01-21,28.1
2024-01-22,31.6
2024-01-23,15.2
2024-01-24,24.1
2024-01-25,25.2
2024-01-26,26.2
2024-01-27,22.5
2024-01-28,16.6
2024-01-29,22.4
2024-01-30,17.6
2024-01-31,15.1
2024-02-01,20.5
2024-02-02,34.3
2024-02-03,29.5
2024-02-04,15.2
2024-02-05,26.8
2024-02-06,31.1
2024-02-07,22.6
2024-02-08,17.0
2024-02-09,16.9
2024-02-10,32.4
2024-02-11,34.9
2024-02-12,17.4
2024-02-13,31.8
2024-02-14,15.9
2024-02-15,19.8
2024-02-16,18.4
2024-02-17,32.9
2024-02-18,21.2
2024-02-19,30.6
2024-02-20,21.4
2024-02-21,23.4
2024-02-22,32.9
2024-02-23,18.7
2024-02-24,29.5
2024-02-25,30.7
2024-02-26,20.5
2024-02-27,33.8
2024-02-28,22.8
2024-02-29,30.5
2024-03-01,31.7
2024-03-02,33.9
2024-03-03,29.9
2024-03-04,33.0
2024-03-05,18.3
2024-03-06,16.1
2024-03-07,20.0
2024-03-08,24.6
2024-03-09,22.7
2024-03-10,29.9
2024-03-11,29.3
2024-03-12,30.0
2024-03-13,20.0
2024-03-14,28.9
2024-03-15,32.3
2024-03-16,32.6
2024-03-17,17.6
2024-03-18,23.9
2024-03-19,29.0
2024-03-20,17.2
2024-03-21,31.9
2024-03-22,21.9
2024-03-23,32.9
2024-03-24,34.5
2024-03-25,19.8
2024-03-26,29.4
2024-03-27,22.1
2024-03-28,21.4
2024-03-29,32.3
2024-03-30,23.9
2024-03-31,16.6
2024-04-01,22.0
2024-04-02,18.9
2024-04-03,23.3
2024-04-04,26.3
2024-04-05,34.7
2024-04-06,30.6
2024-04-07,24.6
2024-04-08,33.2
2024-04-09,29.4
2024-04-10,18.6
2024-04-11,24.7
2024-04-12,18.4
2024-04-13,25.9
2024-04-14,25.6
2024-04-15,32.5
2024-04-16,32.3
