date,temperature
2023-06-10,8.9
2023-06-11,24.8
2023-06-12,22.7
2023-06-13,31.3
2023-06-14,32.5
2023-06-15,33.6
2023-06-16,20.3
2023-06-17,5.5
2023-06-18,20.4
2023-06-19,30.8
2023-06-20,30.5
2023-06-21,28.9
2023-06-22,30.3
2023-06-23,22.3
2023-06-24,33.4
2023-06-25,28.7
2023-06-26,22.3
2023-06-27,6.1
2023-06-28,20.5
2023-06-29,21.3
2023-06-30,11.4
2023-07-01,19.7
2023-07-02,20.9
2023-07-03,27.1
2023-07-04,34.2
2023-07-05,21.2
2023-07-06,7.0
2023-07-07,7.5
2023-07-08,6.4
2023-07-09,12.9
2023-07-10,6.7
2023-07-11,19.7
2023-07-12,29.9
2023-07-13,30.9
2023-07-14,5.8
2023-07-15,19.5
2023-07-16,11.7
2023-07-17,15.9
2023-07-18,28.9
2023-07-19,8.3
2023-07-20,24.5
2023-07-21,16.5
2023-07-22,29.3
2023-07-23,7.9
2023-07-24,34.1
2023-07-25,26.8
2023-07-26,28.0
2023-07-27,20.4
2023-07-28,12.1
2023-07-29,6.6
2023-07-30,18.6
2023-07-31,27.3
2023-08-01,15.2
2023-08-02,15.6
2023-08-03,33.2
2023-08-04,28.6
2023-08-05,7.3
2023-08-06,14.9
2023-08-07,18.1
2023-08-08,33.5
2023-08-09,13.2
2023-08-10,11.7
2023-08-11,10.9
2023-08-12,18.7
2023-08-13,15.7
2023-08-14,23.6
2023-08-15,17.1
2023-08-16,21.8
2023-08-17,5.1
2023-08-18,20.6
2023-08-19,22.9
2023-08-20,31.7
2023-08-21,33.6
2023-08-22,5.7
2023-08-23,27.1
2023-08-24,7.6
2023-08-25,15.7
2023-08-26,11.0
2023-08-27,20.1
2023-08-28,21.1
2023-08-29,23.9
2023-08-30,15.5
2023-08-31,26.6
2023-09-01,34.7
2023-09-02,10.6
2023-09-03,16.3
2023-09-04,31.0
2023-09-05,30.3
2023-09-06,11.3
2023-09-07,22.9
2023-09-08,20.1
2023-09-09,12.6
2023-09-10,18.4
2023-09-11,29.3
2023-09-12,29.6
2023-09-13,23.6
2023-09-14,15.8
2023-09-15,14.0
2023-09-16,18.2
2023-09-17,18.1
2023-09-18,24.2
2023-09-19,17.7
2023-09-20,14.9
2023-09-21,19.3
2023-09-22,34.7
2023-09-23,29.3
2023-09-24,28.9
2023-09-25,23.0
2023-09-26,19.7
2023-09-27,9.1
2023-09-28,17.0
2023-09-29,28.1
2023-09-30,25.6
2023-10-01,31.4
2023-10-02,13.9
2023-10-03,32.3
2023-10-04,7.4
2023-10-05,9.5
2023-10-06,28.7
2023-10-07,22.3
2023-10-08,24.8
2023-10-09,18.1
2023-10-10,13.3
2023-10-11,6.9
