date,temperature
2023-06-10,10.2
2023-06-11,20.0
2023-06-12,16.6
2023-06-13,9.7
2023-06-14,8.8
2023-06-15,14.3
2023-06-16,21.9
2023-06-17,20.5
2023-06-18,26.3
2023-06-19,14.4
2023-06-20,18.5
2023-06-21,11.4
2023-06-22,26.6
2023-06-23,15.7
2023-06-24,20.3
2023-06-25,26.2
2023-06-26,14.2
2023-06-27,23.0
2023-06-28,32.3
2023-06-29,21.2
2023-06-30,23.6
2023-07-01,20.0
2023-07-02,34.0
2023-07-03,29.9
2023-07-04,11.4
2023-07-05,20.4
2023-07-06,23.0
2023-07-07,15.4
2023-07-08,17.9
2023-07-09,9.7
2023-07-10,26.4
2023-07-11,6.7
2023-07-12,21.1
2023-07-13,11.3
2023-07-14,16.7
2023-07-15,12.9
2023-07-16,29.9
2023-07-17,18.6
2023-07-18,34.2
2023-07-19,9.2
2023-07-20,25.9
2023-07-21,22.7
2023-07-22,22.7
2023-07-23,16.2
2023-07-24,26.2
2023-07-25,25.3
2023-07-26,24.0
2023-07-27,24.3
2023-07-28,8.7
2023-07-29,14.6
2023-07-30,19.1
2023-07-31,26.0
2023-08-01,26.0
2023-08-02,15.9
2023-08-03,12.7
2023-08-04,16.9
2023-08-05,8.6
2023-08-06,29.1
2023-08-07,26.7
2023-08-08,6.1
2023-08-09,5.8
2023-08-10,17.1
2023-08-11,9.6
2023-08-12,21.2
2023-08-13,5.0
2023-08-14,12.1
2023-08-15,11.7
2023-08-16,33.4
2023-08-17,15.0
2023-08-18,12.1
2023-08-19,29.0
2023-08-20,7.3
2023-08-21,6.6
2023-08-22,11.1
2023-08-23,17.7
2023-08-24,9.5
2023-08-25,34.3
2023-08-26,30.5
2023-08-27,21.2
2023-08-28,17.0
2023-08-29,23.5
2023-08-30,33.2
2023-08-31,15.6
2023-09-01,6.7
2023-09-02,32.1
2023-09-03,14.2
2023-09-04,13.6
2023-09-05,5.5
2023-09-06,14.5
2023-09-07,22.9
2023-09-08,30.5
2023-09-09,8.5
2023-09-10,17.5
2023-09-11,26.5
2023-09-12,9.7
2023-09-13,17.2
2023-09-14,24.4
2023-09-15,18.3
2023-09-16,19.1
2023-09-17,30.0
2023-09-18,26.0
2023-09-19,11.1
2023-09-20,27.1
2023-09-21,33.4
2023-09-22,12.6
2023-09-23,10.6
2023-09-24,9.9
2023-09-25,18.8
2023-09-26,14.2
2023-09-27,5.7
2023-09-28,27.7
2023-09-29,16.7
2023-09-30,7.2
2023-10-01,8.7
2023-10-02,11.9
2023-10-03,31.7
2023-10-04,14.5
2023-10-05,23.2
2023-10-06,20.5
2023-10-07,14.5
2023-10-08,11.2
2023-10-09,6.9
2023-10-10,32.4
2023-10-11,19.5
2023-10-12,9.8
2023-10-13,6.4
2023-10-14,6.3
2023-10-15,12.6
2023-10-16,27.1
2023-10-17,33.5
2023-10-18,33.1
2023-10-19,11.8
2023-10-20,25.4
2023-10-21,25.8
2023-10-22,29.0
2023-10-23,6.1
2023-10-24,31.8
2023-10-25,29.5
2023-10-26,7.0
2023-10-27,26.3
2023-10-28,15.5
2023-10-29,17.0
2023-10-30,32.1
2023-10-31,24.8
2023-11-01,29.4
2023-11-02,6.6
2023-11-03,18.0
2023-11-04,23.0
2023-11-05,29.8
2023-11-06,27.8
2023-11-07,14.5
2023-11-08,5.6
2023-11-09,19.9
2023-11-10,5.4
2023-11-11,27.5
2023-11-12,21.7
2023-11-13,9.6
2023-11-14,6.5
2023-11-15,15.7
2023-11-16,27.6
2023-11-17,22.3
2023-11-18,32.5
2023-11-19,5.7
2023-11-20,17.7
2023-11-21,13.9
2023-11-22,34.2
2023-11-23,23.0
2023-11-24,30.9
2023-11-25,11.2
2023-11-26,14.0
2023-11-27,17.5
2023-11-28,19.7
2023-11-29,23.0
2023-11-30,14.9
2023-12-01,21.3
2023-12-02,16.6
2023-12-03,8.0
2023-12-04,10.3
2023-12-05,16.4
2023-12-06,19.9
2023-12-07,22.8
2023-12-08,5.6
2023-12-09,23.5
2023-12-10,34.0
2023-12-11,18.4
2023-12-12,16.2
2023-12-13,28.6
2023-12-14,27.3
2023-12-15,34.2
2023-12-16,24.0
2023-12-17,28.3
2023-12-18,9.1
2023-12-19,25.8
2023-12-20,12.0
2023-12-21,12.7
2023-12-22,27.6
2023-12-23,28.7
2023-12-24,16.6
2023-12-25,27.6
2023-12-26,23.2
2023-12-27,12.1
2023-12-28,7.6
2023-12-29,32.6
2023-12-30,32.8
2023-12-31,5.4
2024-01-01,8.8
2024-01-02,13.5
2024-01-03,12.6
2024-01-04,12.6
2024-01-05,7.0
2024-01-06,27.5
2024-01-07,21.8
2024-01-08,7.1
2024-01-09,33.0
2024-01-10,27.8
2024-01-11,10.3
2024-01-12,30.1
2024-01-13,15.6
2024-01-14,17.5
2024-01-15,5.9
2024-01-16,6.0
2024-01-17,34.2
2024-01-18,25.9
2024-01-19,30.7
2024-01-20,13.1
2024-01-21,33.5
2024-01-22,25.3
2024-01-23,34.7
2024-01-24,10.1
2024-01-25,18.3
2024-01-26,34.3
2024-01-27,7.5
2024-01-28,28.4
2024-01-29,34.3
2024-01-30,26.5
2024-01-31,6.7
2024-02-01,19.4
2024-02-02,33.4
2024-02-03,35.0
2024-02-04,17.4
2024-02-05,16.2
2024-02-06,22.2
2024-02-07,5.8
2024-02-08,5.9
2024-02-09,12.8
2024-02-10,28.4
2024-02-11,22.3
2024-02-12,28.6
2024-02-13,27.8
2024-02-14,5.3
2024-02-15,29.4
2024-02-16,16.5
2024-02-17,24.2
2024-02-18,16.6
2024-02-19,23.7
2024-02-20,34.3
2024-02-21,28.3
2024-02-22,33.0
2024-02-23,22.8
2024-02-24,32.7
2024-02-25,22.6
2024-02-26,14.7
2024-02-27,31.1
2024-02-28,7.1
2024-02-29,24.2
2024-03-01,22.4
2024-03-02,25.8
2024-03-03,15.3
2024-03-04,6.1
2024-03-05,17.7
2024-03-06,32.5
2024-03-07,17.3
2024-03-08,6.6
2024-03-09,33.3
2024-03-10,26.5
2024-03-11,18.4
2024-03-12,12.1
2024-03-13,23.4
2024-03-14,24.6
2024-03-15,23.4
2024-03-16,20.0
2024-03-17,21.1
2024-03-18,19.2
2024-03-19,6.6
2024-03-20,21.8
2024-03-21,16.7
2024-03-22,34.0
2024-03-23,13.2
2024-03-24,15.1
2024-03-25,9.0
2024-03-26,33.6
2024-03-27,31.0
2024-03-28,28.0
2024-03-29,11.2
2024-03-30,15.2
2024-03-31,28.8
2024-04-01,17.8
2024-04-02,31.9
2024-04-03,32.2
2024-04-04,14.0
2024-04-05,19.6
2024-04-06,11.3
2024-04-07,12.0
2024-04-08,22.4
2024-04-09,10.0
2024-04-10,7.9
2024-04-11,32.9
2024-04-12,15.6
2024-04-13,14.6
2024-04-14,28.9
2024-04-15,15.4
2024-04-16,12.9
2024-04-17,25.4
2024-04-18,19.8
2024-04-19,30.3
2024-04-20,15.6
2024-04-21,26.5
2024-04-22,7.8
2024-04-23,13.9
2024-04-24,11.0
2024-04-25,14.8
2024-04-26,27.3
2024-04-27,20.1
2024-04-28,20.9
2024-04-29,26.8
2024-04-30,20.2
2024-05-01,34.6
2024-05-02,17.7
2024-05-03,29.1
2024-05-04,17.3
2024-05-05,20.8
2024-05-06,26.2
2024-05-07,19.4
2024-05-08,19.2
2024-05-09,22.4
2024-05-10,24.6
2024-05-11,17.4
2024-05-12,20.8
2024-05-13,5.3
2024-05-14,21.7
2024-05-15,26.2
2024-05-16,17.8
2024-05-17,15.4
2024-05-18,31.9
2024-05-19,11.3
2024-05-20,22.9
2024-05-21,26.9
2024-05-22,18.9
2024-05-23,14.6
2024-05-24,8.2
2024-05-25,23.8
2024-05-26,16.3
2024-05-27,23.9
2024-05-28,15.2
2024-05-29,11.6
2024-05-30,15.7
2024-05-31,27.3
2024-06-01,14.8
2024-06-02,29.6
2024-06-03,20.3
2024-06-04,19.6
2024-06-05,6.0
2024-06-06,22.4
2024-06-07,31.2
2024-06-08,15.3
2024-06-09,14.0
2024-06-10,8.5
2024-06-11,12.2
2024-06-12,28.8
2024-06-13,30.0
2024-06-14,12.3
2024-06-15,10.2
2024-06-16,35.0
2024-06-17,13.1
2024-06-18,29.9
2024-06-19,18.1
2024-06-20,18.3
2024-06-21,33.1
2024-06-22,6.2
2024-06-23,21.0
2024-06-24,18.5
2024-06-25,11.6
2024-06-26,7.0
2024-06-27,16.0
2024-06-28,29.6
2024-06-29,19.6
2024-06-30,16.6
2024-07-01,20.8
2024-07-02,30.9
2024-07-03,11.2
2024-07-04,16.0
2024-07-05,34.5
2024-07-06,23.1
2024-07-07,14.6
2024-07-08,31.0
2024-07-09,19.3
2024-07-10,10.8
2024-07-11,20.2
2024-07-12,30.8
2024-07-13,25.7
2024-07-14,28.5
2024-07-15,5.3
2024-07-16,9.4
2024-07-17,24.9
2024-07-18,29.3
2024-07-19,33.9
2024-07-20,19.6
2024-07-21,7.1
2024-07-22,6.8
2024-07-23,6.0
2024-07-24,21.9
2024-07-25,29.4
2024-07-26,18.3
2024-07-27,11.4
2024-07-28,5.6
2024-07-29,15.8
2024-07-30,21.9
2024-07-31,24.3
2024-08-01,19.3
2024-08-02,16.6
2024-08-03,12.7
2024-08-04,26.6
2024-08-05,29.1
2024-08-06,18.9
2024-08-07,23.0
2024-08-08,18.1
2024-08-09,30.4
2024-08-10,7.6
2024-08-11,9.0
2024-08-12,23.5
2024-08-13,30.3
2024-08-14,18.5
2024-08-15,26.6
2024-08-16,24.6
2024-08-17,10.8
2024-08-18,33.9
2024-08-19,23.1
2024-08-20,5.6
2024-08-21,24.9
2024-08-22,25.2
2024-08-23,25.2
2024-08-24,5.0
2024-08-25,15.5
2024-08-26,5.7
2024-08-27,14.0
2024-08-28,14.1
